Date,POOL
2010-01-04,15.674891471862793
2010-01-05,15.836980819702148
2010-01-06,15.326374053955078
2010-01-07,15.229119300842285
2010-01-08,15.115652084350586
2010-01-11,15.00218391418457
2010-01-12,14.961650848388672
2010-01-13,15.350689888000488
2010-01-14,15.45604419708252
2010-01-15,15.618148803710938
2010-01-19,15.999085426330566
2010-01-20,15.796459197998047
2010-01-21,15.804564476013184
2010-01-22,15.577631950378418
2010-01-25,15.48847484588623
2010-01-26,15.318266868591309
2010-01-27,15.399311065673828
2010-01-28,15.285850524902344
2010-01-29,14.880606651306152
2010-02-01,15.318266868591309
2010-02-02,15.277748107910156
2010-02-03,15.358797073364258
2010-02-04,14.969756126403809
2010-02-05,14.937350273132324
2010-02-08,15.058915138244629
2010-02-09,15.804564476013184
2010-02-10,15.86130142211914
2010-02-11,16.201711654663086
2010-02-12,16.696102142333984
2010-02-16,17.12566375732422
2010-02-17,17.012191772460938
2010-02-18,16.67989730834961
2010-02-19,16.744728088378906
2010-02-22,16.78527069091797
2010-02-23,16.46916961669922
2010-02-24,16.48537826538086
2010-02-25,16.558326721191406
2010-02-26,16.193593978881836
2010-03-01,16.40433692932129
2010-03-02,16.61505889892578
2010-03-03,16.914936065673828
2010-03-04,16.97166633605957
2010-03-05,17.518096923828125
2010-03-08,17.575183868408203
2010-03-09,17.86878204345703
2010-03-10,18.04820442199707
2010-03-11,17.98295783996582
2010-03-12,18.007427215576172
2010-03-15,18.056354522705078
2010-03-16,18.610931396484375
2010-03-17,18.52121925354004
2010-03-18,18.52121925354004
2010-03-19,18.684329986572266
2010-03-22,19.083955764770508
2010-03-23,19.312313079833984
2010-03-24,18.96977996826172
2010-03-25,18.83928871154785
2010-03-26,18.733266830444336
2010-03-29,18.847448348999023
2010-03-30,18.806671142578125
2010-03-31,18.464130401611328
2010-04-01,18.4315185546875
2010-04-05,19.108428955078125
2010-04-06,18.880069732666016
2010-04-07,18.627239227294922
2010-04-08,18.684329986572266
2010-04-09,18.56200408935547
2010-04-12,18.439668655395508
2010-04-13,18.407045364379883
2010-04-14,18.733266830444336
2010-04-15,19.271530151367188
2010-04-16,19.483579635620117
2010-04-19,20.331754684448242
2010-04-20,20.315439224243164
2010-04-21,19.915822982788086
2010-04-22,20.64982032775879
2010-04-23,20.812931060791016
2010-04-26,21.11468505859375
2010-04-27,20.723222732543945
2010-04-28,20.633508682250977
2010-04-29,20.62535285949707
2010-04-30,20.005537033081055
2010-05-03,20.7069149017334
2010-05-04,20.15233039855957
2010-05-05,19.907663345336914
2010-05-06,19.4591064453125
2010-05-07,19.026878356933594
2010-05-10,20.03815269470215
2010-05-11,20.282827377319336
2010-05-12,21.106529235839844
2010-05-13,20.60653305053711
2010-05-14,20.44259262084961
2010-05-17,20.795055389404297
2010-05-18,20.426206588745117
2010-05-19,20.368825912475586
2010-05-20,19.975379943847656
2010-05-21,19.77866554260254
2010-05-24,19.762279510498047
2010-05-25,18.942594528198242
2010-05-26,19.385215759277344
2010-05-27,19.852439880371094
2010-05-28,19.663902282714844
2010-06-01,19.155710220336914
2010-06-02,19.77046775817871
2010-06-03,19.983579635620117
2010-06-04,19.23768424987793
2010-06-07,18.70489501953125
2010-06-08,18.590137481689453
2010-06-09,18.860628128051758
2010-06-10,19.442590713500977
2010-06-11,19.581947326660156
2010-06-14,19.713083267211914
2010-06-15,19.40981674194336
2010-06-16,18.999971389770508
2010-06-17,18.934404373168945
2010-06-18,19.065553665161133
2010-06-21,18.885225296020508
2010-06-22,18.450788497924805
2010-06-23,18.450788497924805
2010-06-24,18.442596435546875
2010-06-25,18.83603858947754
2010-06-28,19.155710220336914
2010-06-29,18.581939697265625
2010-06-30,17.967187881469727
2010-07-01,17.77866554260254
2010-07-02,17.319652557373047
2010-07-06,16.885221481323242
2010-07-07,17.458986282348633
2010-07-08,17.48358154296875
2010-07-09,18.049161911010742
2010-07-12,17.762277603149414
2010-07-13,18.442596435546875
2010-07-14,18.344234466552734
2010-07-15,18.213085174560547
2010-07-16,17.557344436645508
2010-07-19,17.549165725708008
2010-07-20,17.90981674194336
2010-07-21,17.696693420410156
2010-07-22,17.122920989990234
2010-07-23,17.77046775817871
2010-07-26,18.53275489807129
2010-07-27,19.081939697265625
2010-07-28,18.409809112548828
2010-07-29,18.409809112548828
2010-07-30,18.139318466186523
2010-08-02,18.467191696166992
2010-08-03,18.63113021850586
2010-08-04,19.09833526611328
2010-08-05,18.86882781982422
2010-08-06,18.458993911743164
2010-08-09,18.59833335876465
2010-08-10,17.901613235473633
2010-08-11,16.958993911743164
2010-08-12,17.082721710205078
2010-08-13,16.546573638916016
2010-08-16,16.66204261779785
2010-08-17,16.77752685546875
2010-08-18,16.686790466308594
2010-08-19,16.06815528869629
2010-08-20,16.12588882446289
2010-08-23,15.993913650512695
2010-08-24,15.696968078613281
2010-08-25,15.696968078613281
2010-08-26,15.663969039916992
2010-08-27,15.746458053588867
2010-08-30,15.317527770996094
2010-08-31,15.218554496765137
2010-09-01,16.059900283813477
2010-09-02,16.002166748046875
2010-09-03,16.439340591430664
2010-09-07,15.993913650512695
2010-09-08,16.150636672973633
2010-09-09,16.002166748046875
2010-09-10,16.059900283813477
2010-09-13,16.28261947631836
2010-09-14,16.0928955078125
2010-09-15,16.233121871948242
2010-09-16,15.589737892150879
2010-09-17,15.911434173583984
2010-09-20,16.290864944458008
2010-09-21,16.0928955078125
2010-09-22,16.051654815673828
2010-09-23,15.861936569213867
2010-09-24,16.63730239868164
2010-09-27,16.61255645751953
2010-09-28,16.76103401184082
