Date,INTC
2010-01-04,13.519429206848145
2010-01-05,13.51295280456543
2010-01-06,13.467623710632324
2010-01-07,13.338128089904785
2010-01-08,13.48705005645752
2010-01-11,13.564750671386719
2010-01-12,13.344605445861816
2010-01-13,13.571223258972168
2010-01-14,13.907915115356445
2010-01-15,13.467623710632324
2010-01-19,13.629501342773438
2010-01-20,13.648921966552734
2010-01-21,13.493534088134766
2010-01-22,12.891372680664062
2010-01-25,13.156837463378906
2010-01-26,12.94964599609375
2010-01-27,13.105042457580566
2010-01-28,12.89784049987793
2010-01-29,12.561153411865234
2010-02-01,12.697123527526855
2010-02-02,12.891372680664062
2010-02-03,12.844378471374512
2010-02-04,12.413619995117188
2010-02-05,12.707320213317871
2010-02-08,12.629000663757324
2010-02-09,12.824796676635742
2010-02-10,12.85090446472168
2010-02-11,13.092390060424805
2010-02-12,13.333870887756348
2010-02-16,13.523147583007812
2010-02-17,13.483987808227539
2010-02-18,13.601466178894043
2010-02-19,13.588409423828125
2010-02-22,13.621044158935547
2010-02-23,13.30776596069336
2010-02-24,13.510093688964844
2010-02-25,13.464406967163086
2010-02-26,13.399136543273926
2010-03-01,13.621044158935547
2010-03-02,13.510093688964844
2010-03-03,13.392611503601074
2010-03-04,13.399136543273926
2010-03-05,13.56883430480957
2010-03-08,13.555780410766602
2010-03-09,13.666730880737305
2010-03-10,13.8298978805542
2010-03-11,13.869056701660156
2010-03-12,13.882109642028809
2010-03-15,13.816844940185547
2010-03-16,14.365076065063477
2010-03-17,14.515192031860352
2010-03-18,14.489086151123047
2010-03-19,14.35202407836914
2010-03-22,14.515192031860352
2010-03-23,14.79583740234375
2010-03-24,14.639192581176758
2010-03-25,14.586983680725098
2010-03-26,14.515192031860352
2010-03-29,14.57393741607666
2010-03-30,14.580459594726562
2010-03-31,14.547826766967773
2010-04-01,14.613091468811035
2010-04-05,14.743620872497559
2010-04-06,14.61961555480957
2010-04-07,14.652251243591309
2010-04-08,14.56087589263916
2010-04-09,14.717509269714355
2010-04-12,14.710991859436035
2010-04-13,14.861096382141113
2010-04-14,15.350601196289062
2010-04-15,15.80746078491211
2010-04-16,15.611663818359375
2010-04-19,15.663877487182617
2010-04-20,15.742193222045898
2010-04-21,15.533343315124512
2010-04-22,15.657344818115234
2010-04-23,15.689982414245605
2010-04-26,15.546396255493164
2010-04-27,15.239649772644043
2010-04-28,15.18090534210205
2010-04-29,15.331016540527344
2010-04-30,14.906781196594238
2010-05-03,15.18090534210205
2010-05-04,14.724045753479004
2010-05-05,14.571554183959961
2010-05-06,14.137763977050781
2010-05-07,14.006305694580078
2010-05-10,14.821316719055176
2010-05-11,14.64385986328125
2010-05-12,15.176239013671875
2010-05-13,14.788450241088867
2010-05-14,14.38752269744873
2010-05-17,14.47297191619873
2010-05-18,14.08518123626709
2010-05-19,14.196918487548828
2010-05-20,13.664530754089355
2010-05-21,13.743409156799316
2010-05-24,13.585661888122559
2010-05-25,13.703968048095703
2010-05-26,13.605378150939941
2010-05-27,14.302081108093262
2010-05-28,14.07861042022705
2010-06-01,13.920865058898926
2010-06-02,14.334939956665039
2010-06-03,14.394097328186035
2010-06-04,13.769693374633789
2010-06-07,13.349040985107422
2010-06-08,13.26360034942627
2010-06-09,13.099282264709473
2010-06-10,13.50678825378418
2010-06-11,13.565942764282227
2010-06-14,13.73025894165039
2010-06-15,14.118045806884766
2010-06-16,14.124619483947754
2010-06-17,14.14433765411377
2010-06-18,14.065461158752441
2010-06-21,13.927438735961914
2010-06-22,13.789408683776855
2010-06-23,13.6776762008667
2010-06-24,13.355619430541992
2010-06-25,13.165010452270508
2010-06-28,13.381903648376465
2010-06-29,13.0072660446167
2010-06-30,12.783795356750488
2010-07-01,12.652341842651367
2010-07-02,12.61948013305664
2010-07-06,12.803511619567871
2010-07-07,13.237303733825684
2010-07-08,13.211019515991211
2010-07-09,13.3030366897583
2010-07-12,13.51993465423584
2010-07-13,13.809126853942871
2010-07-14,14.03917407989502
2010-07-15,14.137763977050781
2010-07-16,13.81571102142334
2010-07-19,14.190338134765625
2010-07-20,14.229779243469238
2010-07-21,13.973444938659668
2010-07-22,14.315229415893555
2010-07-23,14.256064414978027
2010-07-26,14.269213676452637
2010-07-27,14.1837739944458
2010-07-28,14.019454956054688
2010-07-29,13.822279930114746
2010-07-30,13.53964614868164
2010-08-02,13.901142120361328
2010-08-03,13.717110633850098
2010-08-04,13.72903060913086
2010-08-05,13.689299583435059
2010-08-06,13.676053047180176
2010-08-09,13.676053047180176
2010-08-10,13.126358985900879
2010-08-11,12.868071556091309
2010-08-12,12.881315231323242
2010-08-13,12.682636260986328
2010-08-16,12.894564628601074
2010-08-17,12.93429946899414
2010-08-18,12.974040031433105
2010-08-19,12.517066955566406
2010-08-20,12.523688316345215
2010-08-23,12.38460636138916
2010-08-24,12.192550659179688
2010-08-25,12.238907814025879
2010-08-26,12.040227890014648
2010-08-27,12.166059494018555
2010-08-30,11.894515991210938
2010-08-31,11.702462196350098
2010-09-01,12.013731002807617
2010-09-02,12.106451988220215
2010-09-03,12.205795288085938
2010-09-07,12.000490188598633
2010-09-08,11.854784965515137
2010-09-09,11.92101001739502
2010-09-10,11.901147842407227
2010-09-13,12.291889190673828
2010-09-14,12.411096572875977
2010-09-15,12.39785385131836
2010-09-16,12.563423156738281
2010-09-17,12.457459449768066
2010-09-20,12.536932945251465
2010-09-21,12.676011085510254
2010-09-22,12.589917182922363
2010-09-23,12.570045471191406
2010-09-24,12.8614501953125
2010-09-27,12.742234230041504
2010-09-28,12.921056747436523
