Date,MAR
2010-01-04,22.149799346923828
2010-01-05,22.278064727783203
2010-01-06,22.34220314025879
2010-01-07,22.43037986755371
2010-01-08,22.478471755981445
2010-01-11,22.43037986755371
2010-01-12,22.237985610961914
2010-01-13,22.550630569458008
2010-01-14,23.80121612548828
2010-01-15,23.488569259643555
2010-01-19,23.648906707763672
2010-01-20,23.079727172851562
2010-01-21,22.550630569458008
2010-01-22,22.005502700805664
2010-01-25,22.053598403930664
2010-01-26,21.756986618041992
2010-01-27,21.548559188842773
2010-01-28,21.380210876464844
2010-01-29,21.027481079101562
2010-02-01,21.292028427124023
2010-02-02,21.484420776367188
2010-02-03,21.251943588256836
2010-02-04,20.634662628173828
2010-02-05,21.003427505493164
2010-02-08,20.803010940551758
2010-02-09,20.93929100036621
2010-02-10,21.16376304626465
2010-02-11,21.372196197509766
2010-02-12,21.516494750976562
2010-02-16,21.740949630737305
2010-02-17,21.74898338317871
2010-02-18,21.716876983642578
2010-02-19,21.885456085205078
2010-02-22,21.965749740600586
2010-02-23,21.732927322387695
2010-02-24,21.885456085205078
2010-02-25,21.67673110961914
2010-02-26,21.765039443969727
2010-03-01,21.853355407714844
2010-03-02,21.572359085083008
2010-03-03,21.45193862915039
2010-03-04,21.668704986572266
2010-03-05,22.375202178955078
2010-03-08,22.399288177490234
2010-03-09,22.559856414794922
2010-03-10,22.559856414794922
2010-03-11,22.744510650634766
2010-03-12,23.041563034057617
2010-03-15,22.97733497619629
2010-03-16,23.121841430664062
2010-03-17,23.0576229095459
2010-03-18,23.073665618896484
2010-03-19,23.330585479736328
2010-03-22,23.723976135253906
2010-03-23,23.884536743164062
2010-03-24,23.820316314697266
2010-03-25,24.205684661865234
2010-03-26,24.960350036621094
2010-03-29,25.112890243530273
2010-03-30,25.514312744140625
2010-03-31,25.305580139160156
2010-04-01,25.634737014770508
2010-04-05,26.044185638427734
2010-04-06,26.252927780151367
2010-04-07,25.97193717956543
2010-04-08,26.38137435913086
2010-04-09,26.574066162109375
2010-04-12,26.47772789001465
2010-04-13,26.78281021118164
2010-04-14,27.2243709564209
2010-04-15,27.320703506469727
2010-04-16,27.20027732849121
2010-04-19,27.20027732849121
2010-04-20,27.441137313842773
2010-04-21,27.83452796936035
2010-04-22,29.560625076293945
2010-04-23,30.16277313232422
2010-04-26,30.010229110717773
2010-04-27,28.942432403564453
2010-04-28,28.813989639282227
2010-04-29,30.243053436279297
2010-04-30,29.512449264526367
2010-05-03,30.251083374023438
2010-05-04,29.0307674407959
2010-05-05,28.308210372924805
2010-05-06,27.537473678588867
2010-05-07,26.766746520996094
2010-05-10,28.741741180419922
2010-05-11,28.581167221069336
2010-05-12,29.472318649291992
2010-05-13,28.926393508911133
2010-05-14,27.78635597229004
2010-05-17,28.043272018432617
2010-05-18,27.537473678588867
2010-05-19,27.079315185546875
2010-05-20,25.913841247558594
2010-05-21,26.476486206054688
2010-05-24,25.937955856323242
2010-05-25,25.921878814697266
2010-05-26,25.94598960876465
2010-05-27,27.344573974609375
2010-05-28,26.886417388916016
2010-06-01,26.428253173828125
2010-06-02,26.926599502563477
2010-06-03,27.625883102416992
2010-06-04,25.865610122680664
2010-06-07,24.98949432373047
2010-06-08,25.83346176147461
2010-06-09,26.130863189697266
2010-06-10,26.85426139831543
2010-06-11,26.781925201416016
2010-06-14,27.304372787475586
2010-06-15,28.252838134765625
2010-06-16,28.389474868774414
2010-06-17,28.32518196105957
2010-06-18,28.37340545654297
2010-06-21,28.333223342895508
2010-06-22,27.3847599029541
2010-06-23,27.103431701660156
2010-06-24,26.251428604125977
2010-06-25,26.29161834716797
2010-06-28,25.897762298583984
2010-06-29,24.627792358398438
2010-06-30,24.065139770507812
2010-07-01,24.20983123779297
2010-07-02,23.75167465209961
2010-07-06,23.510541915893555
2010-07-07,24.716209411621094
2010-07-08,24.659944534301758
2010-07-09,25.029678344726562
2010-07-12,24.893037796020508
2010-07-13,25.61644172668457
2010-07-14,25.849533081054688
2010-07-15,25.44765281677246
2010-07-16,24.3625431060791
2010-07-19,24.86893081665039
2010-07-20,25.35922622680664
2010-07-21,24.7242431640625
2010-07-22,25.753080368041992
2010-07-23,26.637239456176758
2010-07-26,27.223997116088867
2010-07-27,26.990907669067383
2010-07-28,27.063241958618164
2010-07-29,27.135576248168945
2010-07-30,27.25615882873535
2010-08-02,28.389474868774414
2010-08-03,28.092082977294922
2010-08-04,28.646690368652344
2010-08-05,28.413597106933594
2010-08-06,28.276947021484375
2010-08-09,28.646690368652344
2010-08-10,27.995628356933594
2010-08-11,26.974822998046875
2010-08-12,27.015016555786133
2010-08-13,26.910520553588867
2010-08-16,27.159700393676758
2010-08-17,27.908096313476562
2010-08-18,27.924192428588867
2010-08-19,27.014841079711914
2010-08-20,27.014841079711914
2010-08-23,26.668806076049805
2010-08-24,25.75946044921875
2010-08-25,25.88017463684082
2010-08-26,25.687040328979492
2010-08-27,26.314727783203125
2010-08-30,25.47780990600586
2010-08-31,25.735319137573242
2010-09-01,27.03899574279785
2010-09-02,27.93223762512207
2010-09-03,28.447275161743164
2010-09-07,27.988569259643555
2010-09-08,28.38288688659668
2010-09-09,28.57602310180664
2010-09-10,28.57602310180664
2010-09-13,29.11519432067871
2010-09-14,29.13129425048828
2010-09-15,28.922067642211914
2010-09-16,28.407032012939453
2010-09-17,28.66454315185547
2010-09-20,29.292236328125
2010-09-21,29.018630981445312
2010-09-22,28.366806030273438
2010-09-23,27.827617645263672
2010-09-24,29.147375106811523
2010-09-27,28.90595817565918
2010-09-28,29.21980857849121
