Date,MOS
2010-01-04,47.51434326171875
2010-01-05,48.623085021972656
2010-01-06,50.48640441894531
2010-01-07,50.6326789855957
2010-01-08,51.35645294189453
2010-01-11,51.056175231933594
2010-01-12,48.114925384521484
2010-01-13,48.15342330932617
2010-01-14,46.84447479248047
2010-01-15,47.39885330200195
2010-01-19,48.53839111328125
2010-01-20,47.76072692871094
2010-01-21,46.2515983581543
2010-01-22,45.14286804199219
2010-01-25,45.242958068847656
2010-01-26,45.1043701171875
2010-01-27,44.688602447509766
2010-01-28,42.77908706665039
2010-01-29,41.200645446777344
2010-02-01,43.32575607299805
2010-02-02,43.425933837890625
2010-02-03,44.42007827758789
2010-02-04,41.62261199951172
2010-02-05,42.52427291870117
2010-02-08,42.03105926513672
2010-02-09,43.85750198364258
2010-02-10,44.25052261352539
2010-02-11,45.02117919921875
2010-02-12,45.33714294433594
2010-02-16,46.53165054321289
2010-02-17,47.209800720214844
2010-02-18,46.670352935791016
2010-02-19,46.83991241455078
2010-02-22,46.76282501220703
2010-02-23,45.37567901611328
2010-02-24,44.404666900634766
2010-02-25,45.098236083984375
2010-02-26,44.998046875
2010-03-01,45.814937591552734
2010-03-02,47.387062072753906
2010-03-03,47.21752166748047
2010-03-04,46.5701789855957
2010-03-05,47.47182083129883
2010-03-08,47.30228805541992
2010-03-09,46.99403381347656
2010-03-10,46.50851821899414
2010-03-11,46.18484115600586
2010-03-12,49.16726303100586
2010-03-15,48.080650329589844
2010-03-16,48.5815544128418
2010-03-17,47.71072769165039
2010-03-18,45.89971160888672
2010-03-19,45.02117919921875
2010-03-22,45.61457061767578
2010-03-23,45.57604217529297
2010-03-24,46.454566955566406
2010-03-25,45.036582946777344
2010-03-26,45.73786926269531
2010-03-29,46.408329010009766
2010-03-30,46.277339935302734
2010-03-31,46.83220291137695
2010-04-01,44.951812744140625
2010-04-05,44.68980026245117
2010-04-06,44.3430061340332
2010-04-07,43.91914367675781
2010-04-08,44.381534576416016
2010-04-09,43.65713882446289
2010-04-12,43.73421096801758
2010-04-13,43.7573127746582
2010-04-14,42.69382858276367
2010-04-15,42.50886917114258
2010-04-16,41.715110778808594
2010-04-19,40.99068832397461
2010-04-20,42.32390594482422
2010-04-21,41.021522521972656
2010-04-22,41.67656326293945
2010-04-23,41.445369720458984
2010-04-26,40.220035552978516
2010-04-27,38.97929763793945
2010-04-28,40.03508758544922
2010-04-29,39.696006774902344
2010-04-30,39.41087341308594
2010-05-03,39.287567138671875
2010-05-04,37.87589645385742
2010-05-05,37.2587776184082
2010-05-06,36.765071868896484
2010-05-07,37.150779724121094
2010-05-10,37.59047317504883
2010-05-11,36.772789001464844
2010-05-12,38.10731506347656
2010-05-13,37.05049514770508
2010-05-14,36.842220306396484
2010-05-17,36.1479606628418
2010-05-18,37.02734375
2010-05-19,36.1479606628418
2010-05-20,34.68999481201172
2010-05-21,35.26084899902344
2010-05-24,34.6668586730957
2010-05-25,34.46628952026367
2010-05-26,33.94173812866211
2010-05-27,36.271385192871094
2010-05-28,35.61568832397461
2010-06-01,34.41231155395508
2010-06-02,35.71596908569336
2010-06-03,34.512596130371094
2010-06-04,33.21660614013672
2010-06-07,33.316898345947266
2010-06-08,32.93891525268555
2010-06-09,32.800071716308594
2010-06-10,34.952293395996094
2010-06-11,34.898284912109375
2010-06-14,33.9185905456543
2010-06-15,35.067996978759766
2010-06-16,34.921409606933594
2010-06-17,34.18859100341797
2010-06-18,33.525169372558594
2010-06-21,33.62546920776367
2010-06-22,33.41719055175781
2010-06-23,33.741180419921875
2010-06-24,32.86949157714844
2010-06-25,32.738346099853516
2010-06-28,32.128944396972656
2010-06-29,30.354703903198242
2010-06-30,30.069290161132812
2010-07-01,30.00758934020996
2010-07-02,30.41641616821289
2010-07-06,30.185009002685547
2010-07-07,32.96976852416992
2010-07-08,34.49715805053711
2010-07-09,35.584835052490234
2010-07-12,32.76920700073242
2010-07-13,32.167510986328125
2010-07-14,32.414371490478516
2010-07-15,33.363197326660156
2010-07-16,34.52799987792969
2010-07-19,34.53573226928711
2010-07-20,35.90882110595703
2010-07-21,34.58200454711914
2010-07-22,34.674583435058594
2010-07-23,36.10167694091797
2010-07-26,35.63111877441406
2010-07-27,34.65916061401367
2010-07-28,35.831695556640625
2010-07-29,36.7110710144043
2010-07-30,36.75737762451172
2010-08-02,38.099605560302734
2010-08-03,37.10451126098633
2010-08-04,38.90373229980469
2010-08-05,39.606441497802734
2010-08-06,39.52920913696289
2010-08-09,39.4906120300293
2010-08-10,39.25894546508789
2010-08-11,38.16242599487305
2010-08-12,39.614173889160156
2010-08-13,39.53694534301758
2010-08-16,39.48288345336914
2010-08-17,42.93464279174805
2010-08-18,44.695281982421875
2010-08-19,43.67596435546875
2010-08-20,43.73773956298828
2010-08-23,46.15474319458008
2010-08-24,44.87289810180664
2010-08-25,43.467472076416016
2010-08-26,43.08136749267578
2010-08-27,44.99643325805664
2010-08-30,44.208778381347656
2010-08-31,45.297603607177734
2010-09-01,45.15087890625
2010-09-02,45.0582160949707
2010-09-03,44.86516571044922
2010-09-07,44.67982864379883
2010-09-08,46.07752990722656
2010-09-09,45.305320739746094
2010-09-10,45.830421447753906
2010-09-13,46.069801330566406
2010-09-14,45.42115783691406
2010-09-15,44.471343994140625
2010-09-16,46.75706481933594
2010-09-17,46.3477897644043
2010-09-20,47.073673248291016
2010-09-21,45.82270050048828
2010-09-22,46.540855407714844
2010-09-23,47.374847412109375
2010-09-24,47.94627380371094
2010-09-27,48.950138092041016
2010-09-28,47.69917297363281
