Date,ROL
2010-01-04,3.099311113357544
2010-01-05,3.0835068225860596
2010-01-06,3.0850870609283447
2010-01-07,3.1087942123413086
2010-01-08,3.104053020477295
2010-01-11,3.099311113357544
2010-01-12,3.0819268226623535
2010-01-13,3.1182773113250732
2010-01-14,3.127761125564575
2010-01-15,3.056638717651367
2010-01-19,3.088247776031494
2010-01-20,3.0218682289123535
2010-01-21,2.9902589321136475
2010-01-22,2.9554882049560547
2010-01-25,2.9381027221679688
2010-01-26,2.9049129486083984
2010-01-27,3.1514670848846436
2010-01-28,3.067702054977417
2010-01-29,3.110374927520752
2010-02-01,3.104053020477295
2010-02-02,3.0787646770477295
2010-02-03,3.091409683227539
2010-02-04,3.0471549034118652
2010-02-05,3.0708634853363037
2010-02-08,3.0327558517456055
2010-02-09,3.06292462348938
2010-02-10,3.0486340522766113
2010-02-11,3.1057968139648438
2010-02-12,3.194713830947876
2010-02-16,3.2153561115264893
2010-02-17,3.2629897594451904
2010-02-18,3.3233282566070557
2010-02-19,3.3582606315612793
2010-02-22,3.3995444774627686
2010-02-23,3.3741402626037598
2010-02-24,3.3916046619415283
2010-02-25,3.402719736099243
2010-02-26,3.3741402626037598
2010-03-01,3.428123950958252
2010-03-02,3.459881544113159
2010-03-03,3.467820167541504
2010-03-04,3.4567060470581055
2010-03-05,3.5535643100738525
2010-03-08,3.5472121238708496
2010-03-09,3.5821449756622314
2010-03-10,3.6043732166290283
2010-03-11,3.588496208190918
2010-03-12,3.5726170539855957
2010-03-15,3.529745578765869
2010-03-16,3.5218067169189453
2010-03-17,3.5472121238708496
2010-03-18,3.5535643100738525
2010-03-19,3.539273738861084
2010-03-22,3.5694427490234375
2010-03-23,3.6123127937316895
2010-03-24,3.551975965499878
2010-03-25,3.4614694118499756
2010-03-26,3.4376509189605713
2010-03-29,3.4694080352783203
2010-03-30,3.472583532333374
2010-03-31,3.4424149990081787
2010-04-01,3.4297127723693848
2010-04-05,3.4757609367370605
2010-04-06,3.509104013442993
2010-04-07,3.512280225753784
2010-04-08,3.4805243015289307
2010-04-09,3.451941967010498
2010-04-12,3.450354814529419
2010-04-13,3.4884629249572754
2010-04-14,3.5345091819763184
2010-04-15,3.548799514770508
2010-04-16,3.520218849182129
2010-04-19,3.515455484390259
2010-04-20,3.551975965499878
2010-04-21,3.5916714668273926
2010-04-22,3.5996105670928955
2010-04-23,3.580556631088257
2010-04-26,3.567854404449463
2010-04-27,3.523394823074341
2010-04-28,3.5535643100738525
2010-04-29,3.51704478263855
2010-04-30,3.45353102684021
2010-05-03,3.5218067169189453
2010-05-04,3.482111930847168
2010-05-05,3.482111930847168
2010-05-06,3.3928258419036865
2010-05-07,3.311513900756836
2010-05-10,3.5187816619873047
2010-05-11,3.5522637367248535
2010-05-12,3.6558995246887207
2010-05-13,3.572990894317627
2010-05-14,3.5426976680755615
2010-05-17,3.5857455730438232
2010-05-18,3.478921413421631
2010-05-19,3.4964613914489746
2010-05-20,3.3131070137023926
2010-05-21,3.321079730987549
2010-05-24,3.3131070137023926
2010-05-25,3.3258626461029053
2010-05-26,3.3370234966278076
2010-05-27,3.4247140884399414
2010-05-28,3.3896374702453613
2010-06-01,3.3370234966278076
2010-06-02,3.421525239944458
2010-06-03,3.421525239944458
2010-06-04,3.303542137145996
2010-06-07,3.2891929149627686
2010-06-08,3.3338351249694824
2010-06-09,3.330645799636841
2010-06-10,3.3928258419036865
2010-06-11,3.4199318885803223
2010-06-14,3.37050461769104
2010-06-15,3.4470345973968506
2010-06-16,3.418337345123291
2010-06-17,3.421525239944458
2010-06-18,3.4167416095733643
2010-06-21,3.4023923873901367
2010-06-22,3.3832600116729736
2010-06-23,3.3545610904693604
2010-06-24,3.3258626461029053
2010-06-25,3.3736937046051025
2010-06-28,3.411958694458008
2010-06-29,3.324268102645874
2010-06-30,3.2987585067749023
2010-07-01,3.255709648132324
2010-07-02,3.2413604259490967
2010-07-06,3.2445504665374756
2010-07-07,3.3162970542907715
2010-07-08,3.4071760177612305
2010-07-09,3.418337345123291
2010-07-12,3.4279026985168457
2010-07-13,3.4996492862701416
2010-07-14,3.4629788398742676
2010-07-15,3.4263086318969727
2010-07-16,3.3290510177612305
2010-07-19,3.3625328540802
2010-07-20,3.411958694458008
2010-07-21,3.352966785430908
2010-07-22,3.4231197834014893
2010-07-23,3.486893653869629
2010-07-26,3.529942035675049
2010-07-27,3.5139992237091064
2010-07-28,3.5267539024353027
2010-07-29,3.4948670864105225
2010-07-30,3.482111692428589
2010-08-02,3.5139992237091064
2010-08-03,3.486893653869629
2010-08-04,3.5315377712249756
2010-08-05,3.4852993488311768
2010-08-06,3.4548816680908203
2010-08-09,3.5077128410339355
2010-08-10,3.4516799449920654
2010-08-11,3.3508198261260986
2010-08-12,3.3364100456237793
2010-08-13,3.309194326400757
2010-08-16,3.3396124839782715
2010-08-17,3.397247314453125
2010-08-18,3.386040687561035
2010-08-19,3.2899820804595947
2010-08-20,3.2947850227355957
2010-08-23,3.270770788192749
2010-08-24,3.2371509075164795
2010-08-25,3.270770788192749
2010-08-26,3.251559019088745
2010-08-27,3.368429660797119
2010-08-30,3.3316073417663574
2010-08-31,3.278776168823242
2010-09-01,3.376434564590454
2010-09-02,3.386040687561035
2010-09-03,3.4500787258148193
2010-09-07,3.4292666912078857
2010-09-08,3.4084534645080566
2010-09-09,3.4276657104492188
2010-09-10,3.4436752796173096
2010-09-13,3.5333287715911865
2010-09-14,3.5093154907226562
2010-09-15,3.5301287174224854
2010-09-16,3.477294921875
