Date,STZ
2010-01-04,13.90829086303711
2010-01-05,13.735729217529297
2010-01-06,13.916913986206055
2010-01-07,13.778870582580566
2010-01-08,13.511401176452637
2010-01-11,13.537284851074219
2010-01-12,13.502769470214844
2010-01-13,13.727100372314453
2010-01-14,14.089471817016602
2010-01-15,14.15849781036377
2010-01-19,14.512245178222656
2010-01-20,14.520872116088867
2010-01-21,14.48636245727539
2010-01-22,14.331061363220215
2010-01-25,14.331061363220215
2010-01-26,14.167125701904297
2010-01-27,14.098103523254395
2010-01-28,13.951427459716797
2010-01-29,13.873773574829102
2010-02-01,14.003193855285645
2010-02-02,14.141240119934082
2010-02-03,14.07221794128418
2010-02-04,13.330214500427246
2010-02-05,13.226678848266602
2010-02-08,12.881560325622559
2010-02-09,13.114513397216797
2010-02-10,13.054117202758789
2010-02-11,13.364725112915039
2010-02-12,13.252561569213867
2010-02-16,13.46826171875
2010-02-17,13.528656959533691
2010-02-18,13.451006889343262
2010-02-19,13.459635734558105
2010-02-22,13.399235725402832
2010-02-23,13.131770133972168
2010-02-24,12.959210395812988
2010-02-25,12.795281410217285
2010-02-26,12.976465225219727
2010-03-01,13.166280746459961
2010-03-02,13.347467422485352
2010-03-03,13.312958717346191
2010-03-04,13.433748245239258
2010-03-05,13.640820503234863
2010-03-08,13.614934921264648
2010-03-09,13.640820503234863
2010-03-10,13.476887702941895
2010-03-11,13.658073425292969
2010-03-12,13.89966106414795
2010-03-15,13.916913986206055
2010-03-16,13.951427459716797
2010-03-17,14.011820793151855
2010-03-18,13.968681335449219
2010-03-19,13.804752349853516
2010-03-22,13.89966106414795
2010-03-23,14.123984336853027
2010-03-24,13.994563102722168
2010-03-25,13.960051536560059
2010-03-26,13.81338119506836
2010-03-29,14.07221794128418
2010-03-30,14.167125701904297
2010-03-31,14.184386253356934
2010-04-01,14.236148834228516
2010-04-05,14.38282299041748
2010-04-06,14.667549133300781
2010-04-07,14.529500961303711
2010-04-08,14.538128852844238
2010-04-09,14.175755500793457
2010-04-12,14.796967506408691
2010-04-13,14.727944374084473
2010-04-14,14.89187240600586
2010-04-15,14.909131050109863
2010-04-16,14.684807777404785
2010-04-19,15.176596641540527
2010-04-20,15.711530685424805
2010-04-21,15.763306617736816
2010-04-22,15.797812461853027
2010-04-23,15.823692321777344
2010-04-26,15.884092330932617
2010-04-27,15.651137351989746
2010-04-28,15.694279670715332
2010-04-29,16.004884719848633
2010-04-30,15.763306617736816
2010-05-03,16.048019409179688
2010-05-04,15.797812461853027
2010-05-05,15.625255584716797
2010-05-06,15.262877464294434
2010-05-07,14.417330741882324
2010-05-10,15.021293640136719
2010-05-11,15.090324401855469
2010-05-12,15.625255584716797
2010-05-13,15.564861297607422
2010-05-14,15.357783317565918
2010-05-17,15.418176651000977
2010-05-18,15.314643859863281
2010-05-19,14.978156089782715
2010-05-20,14.175755500793457
2010-05-21,14.063587188720703
2010-05-24,14.089471817016602
2010-05-25,13.632190704345703
2010-05-26,13.873773574829102
2010-05-27,14.408708572387695
2010-05-28,14.374197959899902
2010-06-01,13.90829086303711
2010-06-02,14.167125701904297
2010-06-03,14.193010330200195
2010-06-04,13.6839599609375
2010-06-07,13.589056968688965
2010-06-08,13.804752349853516
2010-06-09,13.839261054992676
2010-06-10,14.167125701904297
2010-06-11,14.546760559082031
2010-06-14,14.615781784057617
2010-06-15,14.48636245727539
2010-06-16,14.356942176818848
2010-06-17,14.123984336853027
2010-06-18,14.063587188720703
2010-06-21,14.080843925476074
2010-06-22,14.003193855285645
2010-06-23,13.994563102722168
2010-06-24,13.856514930725098
2010-06-25,13.81338119506836
2010-06-28,13.761610984802246
2010-06-29,13.312958717346191
2010-06-30,13.476887702941895
2010-07-01,13.416494369506836
2010-07-02,13.27844524383545
2010-07-06,13.459635734558105
2010-07-07,13.839261054992676
2010-07-08,13.847890853881836
2010-07-09,13.865144729614258
2010-07-12,13.865144729614258
2010-07-13,14.115354537963867
2010-07-14,14.123984336853027
2010-07-15,14.210269927978516
2010-07-16,14.098103523254395
2010-07-19,14.253406524658203
2010-07-20,14.434591293334961
2010-07-21,14.262031555175781
2010-07-22,14.555383682250977
2010-07-23,14.719316482543945
2010-07-26,14.848732948303223
2010-07-27,14.935014724731445
2010-07-28,14.736572265625
2010-07-29,14.727944374084473
2010-07-30,14.719316482543945
2010-08-02,15.029927253723145
2010-08-03,14.943648338317871
2010-08-04,15.142083168029785
2010-08-05,14.935014724731445
2010-08-06,14.883243560791016
2010-08-09,14.986786842346191
2010-08-10,14.978156089782715
2010-08-11,14.581268310546875
2010-08-12,14.589892387390137
2010-08-13,14.408708572387695
2010-08-16,14.227521896362305
2010-08-17,14.555383682250977
2010-08-18,14.538128852844238
2010-08-19,14.391453742980957
2010-08-20,14.374197959899902
2010-08-23,14.391453742980957
2010-08-24,14.331061363220215
2010-08-25,14.451849937438965
2010-08-26,14.391453742980957
2010-08-27,14.529500961303711
2010-08-30,14.279285430908203
2010-08-31,14.374197959899902
2010-09-01,14.633038520812988
2010-09-02,14.883243560791016
2010-09-03,15.021293640136719
2010-09-07,14.8056001663208
2010-09-08,14.641663551330566
2010-09-09,14.710691452026367
2010-09-10,14.736572265625
2010-09-13,14.865991592407227
2010-09-14,15.090324401855469
2010-09-15,15.271510124206543
2010-09-16,15.29738998413086
2010-09-17,15.49583625793457
2010-09-20,15.737421035766602
2010-09-21,15.659757614135742
2010-09-22,15.625255584716797
2010-09-23,15.383666038513184
2010-09-24,15.625255584716797
2010-09-27,15.504464149475098
2010-09-28,15.392297744750977
