Date,WDC
2010-01-04,27.412736892700195
2010-01-05,28.139549255371094
2010-01-06,28.163780212402344
2010-01-07,27.612611770629883
2010-01-08,27.751924514770508
2010-01-11,27.78219985961914
2010-01-12,27.067506790161133
2010-01-13,27.53386878967285
2010-01-14,27.721630096435547
2010-01-15,26.637483596801758
2010-01-19,27.23103904724121
2010-01-20,26.807064056396484
2010-01-21,27.430910110473633
2010-01-22,24.675100326538086
2010-01-25,25.129352569580078
2010-01-26,24.747779846191406
2010-01-27,24.614538192749023
2010-01-28,23.911956787109375
2010-01-29,23.009504318237305
2010-02-01,24.045198440551758
2010-02-02,24.511568069458008
2010-02-03,24.52368927001953
2010-02-04,23.45163917541504
2010-02-05,23.881668090820312
2010-02-08,24.01491928100586
2010-02-09,24.457061767578125
2010-02-10,24.269298553466797
2010-02-11,24.402549743652344
2010-02-12,24.136049270629883
2010-02-16,25.789533615112305
2010-02-17,25.825881958007812
2010-02-18,26.28619384765625
2010-02-19,26.1347713470459
2010-02-22,25.662351608276367
2010-02-23,24.735671997070312
2010-02-24,23.615177154541016
2010-02-25,23.681791305541992
2010-02-26,23.39712905883789
2010-03-01,24.51762580871582
2010-03-02,23.990690231323242
2010-03-03,23.4031925201416
2010-03-04,23.881668090820312
2010-03-05,23.77264976501465
2010-03-08,23.98463249206543
2010-03-09,23.49403953552246
2010-03-10,23.057954788208008
2010-03-11,23.536439895629883
2010-03-12,23.24571418762207
2010-03-15,23.16697883605957
2010-03-16,23.366849899291992
2010-03-17,23.718137741088867
2010-03-18,23.627286911010742
2010-03-19,23.100353240966797
2010-03-22,24.614538192749023
2010-03-23,25.45035743713379
2010-03-24,25.2504940032959
2010-03-25,24.638763427734375
2010-03-26,23.954345703125
2010-03-29,24.2087345123291
2010-03-30,23.833213806152344
2010-03-31,23.615177154541016
2010-04-01,23.627286911010742
2010-04-05,24.608476638793945
2010-04-06,24.86285972595215
2010-04-07,24.396488189697266
2010-04-08,24.432836532592773
2010-04-09,25.068790435791016
2010-04-12,24.881025314331055
2010-04-13,24.317752838134766
2010-04-14,25.105131149291992
2010-04-15,25.29894256591797
2010-04-16,24.493396759033203
2010-04-19,23.972522735595703
2010-04-20,24.36014747619629
2010-04-21,24.402549743652344
2010-04-22,24.638763427734375
2010-04-23,27.079622268676758
2010-04-26,26.716217041015625
2010-04-27,25.922788619995117
2010-04-28,25.898555755615234
2010-04-29,26.001516342163086
2010-04-30,24.887086868286133
2010-05-03,25.28077507019043
2010-05-04,24.54791259765625
2010-05-05,24.626646041870117
2010-05-06,23.46980857849121
2010-05-07,23.221485137939453
2010-05-10,24.196622848510742
2010-05-11,24.01491928100586
2010-05-12,24.584245681762695
2010-05-13,24.033090591430664
2010-05-14,23.354738235473633
2010-05-17,23.6696834564209
2010-05-18,22.24635124206543
2010-05-19,21.84054946899414
2010-05-20,21.337844848632812
2010-05-21,21.810270309448242
2010-05-24,21.531661987304688
2010-05-25,21.29545021057129
2010-05-26,20.8109073638916
2010-05-27,21.991968154907227
2010-05-28,21.083465576171875
2010-06-01,20.326370239257812
2010-06-02,21.343902587890625
2010-06-03,22.1373291015625
2010-06-04,20.84724998474121
2010-06-07,20.277915954589844
2010-06-08,20.28397560119629
2010-06-09,20.11438751220703
2010-06-10,20.653438568115234
2010-06-11,20.804855346679688
2010-06-14,20.804855346679688
2010-06-15,21.519540786743164
2010-06-16,21.325729370117188
2010-06-17,21.325729370117188
2010-06-18,21.2045955657959
2010-06-21,20.695833206176758
2010-06-22,20.156784057617188
2010-06-23,20.241580963134766
2010-06-24,19.05445671081543
2010-06-25,19.248275756835938
2010-06-28,19.199817657470703
2010-06-29,18.57598114013672
2010-06-30,18.267087936401367
2010-07-01,18.76373291015625
2010-07-02,18.29130744934082
2010-07-06,18.091434478759766
2010-07-07,18.9454402923584
2010-07-08,19.115026473999023
2010-07-09,19.133195877075195
2010-07-12,18.993894577026367
2010-07-13,19.405750274658203
2010-07-14,19.799442291259766
2010-07-15,19.823671340942383
2010-07-16,19.048404693603516
2010-07-19,19.211929321289062
2010-07-20,19.290664672851562
2010-07-21,18.27920150756836
2010-07-22,17.055742263793945
2010-07-23,16.970945358276367
2010-07-26,17.455480575561523
2010-07-27,17.40703010559082
2010-07-28,16.83769989013672
2010-07-29,16.334985733032227
2010-07-30,15.9837007522583
2010-08-02,16.444011688232422
2010-08-03,16.207796096801758
2010-08-04,16.40766716003418
2010-08-05,16.268367767333984
2010-08-06,15.862566947937012
2010-08-09,15.747485160827637
2010-08-10,14.784472465515137
2010-08-11,15.202381134033203
2010-08-12,14.681504249572754
2010-08-13,14.814750671386719
2010-08-16,15.008563995361328
2010-08-17,14.6391019821167
2010-08-18,14.729958534240723
2010-08-19,14.554311752319336
2010-08-20,14.935885429382324
2010-08-23,14.717844009399414
2010-08-24,14.378662109375
2010-08-25,14.584598541259766
2010-08-26,14.305988311767578
2010-08-27,15.281122207641602
2010-08-30,14.984338760375977
2010-08-31,14.633049964904785
2010-09-01,15.541557312011719
2010-09-02,15.789887428283691
2010-09-03,16.104835510253906
2010-09-07,15.759599685668945
2010-09-08,15.850449562072754
2010-09-09,15.717201232910156
2010-09-10,15.535497665405273
2010-09-13,16.377391815185547
2010-09-14,16.165403366088867
2010-09-15,16.52274513244629
2010-09-16,16.304706573486328
2010-09-17,16.068492889404297
2010-09-20,16.583309173583984
2010-09-21,16.637819290161133
2010-09-22,16.159347534179688
2010-09-23,16.45612335205078
2010-09-24,17.079965591430664
2010-09-27,16.777132034301758
2010-09-28,16.807416915893555
