Date,APA
2010-01-04,78.900390625
2010-01-05,79.83197021484375
2010-01-06,81.08399963378906
2010-01-07,79.85430908203125
2010-01-08,79.43699645996094
2010-01-11,79.67546081542969
2010-01-12,78.46815490722656
2010-01-13,79.60838317871094
2010-01-14,80.04063415527344
2010-01-15,80.23445129394531
2010-01-19,80.78590393066406
2010-01-20,79.4500503540039
2010-01-21,78.40524291992188
2010-01-22,76.14395904541016
2010-01-25,77.61417388916016
2010-01-26,76.39026641845703
2010-01-27,75.67383575439453
2010-01-28,75.89025115966797
2010-01-29,73.7110595703125
2010-02-01,76.42012023925781
2010-02-02,78.08432006835938
2010-02-03,77.10669708251953
2010-02-04,73.79319763183594
2010-02-05,73.43495178222656
2010-02-08,72.53195190429688
2010-02-09,73.51702880859375
2010-02-10,73.54691314697266
2010-02-11,74.49468231201172
2010-02-12,74.31555938720703
2010-02-16,77.37535095214844
2010-02-17,77.2932357788086
2010-02-18,77.30821228027344
2010-02-19,78.36793518066406
2010-02-22,77.62911987304688
2010-02-23,76.46487426757812
2010-02-24,76.32306671142578
2010-02-25,76.97235107421875
2010-02-26,77.34549713134766
2010-03-01,78.38287353515625
2010-03-02,79.24108123779297
2010-03-03,79.11419677734375
2010-03-04,78.21122741699219
2010-03-05,80.15901184082031
2010-03-08,79.1216812133789
2010-03-09,79.26346588134766
2010-03-10,79.54705810546875
2010-03-11,79.80826568603516
2010-03-12,79.74108123779297
2010-03-15,77.85299682617188
2010-03-16,78.0992660522461
2010-03-17,79.24108123779297
2010-03-18,77.2037124633789
2010-03-19,75.88275909423828
2010-03-22,75.82307434082031
2010-03-23,77.06194305419922
2010-03-24,76.36038970947266
2010-03-25,73.93496704101562
2010-03-26,73.36780548095703
2010-03-29,74.47975158691406
2010-03-30,74.42003631591797
2010-03-31,75.74842071533203
2010-04-01,77.51715850830078
2010-04-05,79.26346588134766
2010-04-06,79.509765625
2010-04-07,78.71121215820312
2010-04-08,79.32317352294922
2010-04-09,79.67394256591797
2010-04-12,79.93515014648438
2010-04-13,79.69629669189453
2010-04-14,80.64410400390625
2010-04-15,79.60676574707031
2010-04-16,78.6888198852539
2010-04-19,78.49480438232422
2010-04-20,80.57244873046875
2010-04-21,80.75928497314453
2010-04-22,80.89381408691406
2010-04-23,82.1119613647461
2010-04-26,81.82801818847656
2010-04-27,79.11508178710938
2010-04-28,79.65320587158203
2010-04-29,76.91786193847656
2010-04-30,76.05093383789062
2010-05-03,78.13603973388672
2010-05-04,75.42315673828125
2010-05-05,74.21245574951172
2010-05-06,71.71627044677734
2010-05-07,69.90019989013672
2010-05-10,73.44266510009766
2010-05-11,72.23943328857422
2010-05-12,73.56971740722656
2010-05-13,72.0899658203125
2010-05-14,70.46070098876953
2010-05-17,71.1408462524414
2010-05-18,70.28136444091797
2010-05-19,69.69841766357422
2010-05-20,65.7448959350586
2010-05-21,66.9481430053711
2010-05-24,65.28153228759766
2010-05-25,65.79720306396484
2010-05-26,65.62532043457031
2010-05-27,68.63716888427734
2010-05-28,66.91824340820312
2010-06-01,63.83914566040039
2010-06-02,66.5445785522461
2010-06-03,66.96308135986328
2010-06-04,65.44596099853516
2010-06-07,64.29507446289062
2010-06-08,66.4324722290039
2010-06-09,66.39511108398438
2010-06-10,69.69841766357422
2010-06-11,69.98240661621094
2010-06-14,71.25291442871094
2010-06-15,73.39033508300781
2010-06-16,72.95686340332031
2010-06-17,72.63554382324219
2010-06-18,72.9195556640625
2010-06-21,71.40984344482422
2010-06-22,69.75072479248047
2010-06-23,68.9136734008789
2010-06-24,67.01542663574219
2010-06-25,67.20222473144531
2010-06-28,65.55059814453125
2010-06-29,63.15904235839844
2010-06-30,62.91990661621094
2010-07-01,62.553672790527344
2010-07-02,61.91842269897461
2010-07-06,61.948326110839844
2010-07-07,65.05731964111328
2010-07-08,65.31890869140625
2010-07-09,65.67764282226562
2010-07-12,63.577537536621094
2010-07-13,64.75836944580078
2010-07-14,64.8929443359375
2010-07-15,64.36973571777344
2010-07-16,61.843692779541016
2010-07-19,63.966163635253906
2010-07-20,66.09241485595703
2010-07-21,65.47100830078125
2010-07-22,66.84111022949219
2010-07-23,69.46890258789062
2010-07-26,71.4977798461914
2010-07-27,71.06358337402344
2010-07-28,70.65182495117188
2010-07-29,71.42292022705078
2010-07-30,71.55767822265625
2010-08-02,73.72134399414062
2010-08-03,73.38443756103516
2010-08-04,73.1897964477539
2010-08-05,73.03256225585938
2010-08-06,71.83467102050781
2010-08-09,72.0368423461914
2010-08-10,71.46782684326172
2010-08-11,69.1244888305664
2010-08-12,68.76517486572266
2010-08-13,68.32343292236328
2010-08-16,68.42823791503906
2010-08-17,69.62612915039062
2010-08-18,69.49884796142578
2010-08-19,68.6902847290039
2010-08-20,67.77690887451172
2010-08-23,66.97582244873047
2010-08-24,65.49349212646484
2010-08-25,64.87960815429688
2010-08-26,65.35124206542969
2010-08-27,67.35765838623047
2010-08-30,67.04322052001953
2010-08-31,67.26780700683594
2010-09-01,69.22183990478516
2010-09-02,68.3533935546875
2010-09-03,69.34164428710938
2010-09-07,67.64962005615234
2010-09-08,68.84003448486328
2010-09-09,69.40901184082031
2010-09-10,70.17265319824219
2010-09-13,70.82401275634766
2010-09-14,70.89883422851562
2010-09-15,70.54698181152344
2010-09-16,70.59937286376953
2010-09-17,70.73416137695312
2010-09-20,71.89460754394531
2010-09-21,71.92452239990234
2010-09-22,71.4378890991211
2010-09-23,71.1159896850586
2010-09-24,73.466796875
2010-09-27,73.04005432128906
2010-09-28,72.69567108154297
