Date,WST
2010-01-04,17.557024002075195
2010-01-05,17.334613800048828
2010-01-06,17.165576934814453
2010-01-07,17.218950271606445
2010-01-08,17.214506149291992
2010-01-11,17.138885498046875
2010-01-12,17.07661247253418
2010-01-13,17.116640090942383
2010-01-14,17.134443283081055
2010-01-15,17.049564361572266
2010-01-19,17.339908599853516
2010-01-20,17.179101943969727
2010-01-21,16.8530330657959
2010-01-22,16.598432540893555
2010-01-25,16.392959594726562
2010-01-26,16.227691650390625
2010-01-27,16.308095932006836
2010-01-28,16.05795669555664
2010-01-29,16.227691650390625
2010-02-01,16.17855453491211
2010-02-02,16.388486862182617
2010-02-03,16.267885208129883
2010-02-04,15.852489471435547
2010-02-05,16.035621643066406
2010-02-08,15.861411094665527
2010-02-09,16.138362884521484
2010-02-10,15.982020378112793
2010-02-11,16.218753814697266
2010-02-12,16.299148559570312
2010-02-16,16.433162689208984
2010-02-17,16.513559341430664
2010-02-18,17.424776077270508
2010-02-19,17.071897506713867
2010-02-22,16.987045288085938
2010-02-23,17.19251251220703
2010-02-24,17.263978958129883
2010-02-25,17.482847213745117
2010-02-26,17.397974014282227
2010-03-01,17.92951774597168
2010-03-02,18.108184814453125
2010-03-03,18.076923370361328
2010-03-04,18.085859298706055
2010-03-05,18.255596160888672
2010-03-08,18.121591567993164
2010-03-09,18.19306182861328
2010-03-10,18.291332244873047
2010-03-11,18.157323837280273
2010-03-12,18.175189971923828
2010-03-15,18.42533302307129
2010-03-16,18.648664474487305
2010-03-17,18.746932983398438
2010-03-18,18.702266693115234
2010-03-19,18.75140380859375
2010-03-22,19.06407928466797
2010-03-23,19.323144912719727
2010-03-24,18.684396743774414
2010-03-25,18.532535552978516
2010-03-26,18.554861068725586
2010-03-29,18.675460815429688
2010-03-30,18.787132263183594
2010-03-31,18.738004684448242
2010-04-01,18.84967041015625
2010-04-05,18.907739639282227
2010-04-06,18.988140106201172
2010-04-07,19.068540573120117
2010-04-08,19.006000518798828
2010-04-09,19.032808303833008
2010-04-12,19.122142791748047
2010-04-13,19.037273406982422
2010-04-14,19.501815795898438
2010-04-15,19.68048667907715
2010-04-16,19.41694450378418
2010-04-19,19.48419761657715
2010-04-20,19.98183250427246
2010-04-21,19.86975860595703
2010-04-22,19.174854278564453
2010-04-23,19.035865783691406
2010-04-26,18.757915496826172
2010-04-27,18.560649871826172
2010-04-28,18.713069915771484
2010-04-29,19.130014419555664
2010-04-30,18.762386322021484
2010-05-03,19.14347267150879
2010-05-04,18.84309196472168
2010-05-05,18.748950958251953
2010-05-06,18.385805130004883
2010-05-07,18.116809844970703
2010-05-10,18.663761138916016
2010-05-11,18.627899169921875
2010-05-12,18.982072830200195
2010-05-13,18.91482162475586
2010-05-14,18.435115814208984
2010-05-17,18.659278869628906
2010-05-18,18.784814834594727
2010-05-19,18.41269874572754
2010-05-20,17.699861526489258
2010-05-21,17.807458877563477
2010-05-24,17.58329963684082
2010-05-25,17.39051628112793
2010-05-26,17.34568214416504
2010-05-27,17.8836727142334
2010-05-28,17.64158058166504
2010-06-01,17.2605037689209
2010-06-02,17.7043514251709
2010-06-03,17.798494338989258
2010-06-04,16.93770980834961
2010-06-07,16.61939811706543
2010-06-08,16.57905387878418
2010-06-09,16.655263900756836
2010-06-10,16.865982055664062
2010-06-11,16.960126876831055
2010-06-14,17.00047492980957
2010-06-15,17.23809051513672
2010-06-16,17.15290641784668
2010-06-17,17.022891998291016
2010-06-18,16.95115852355957
2010-06-21,16.95115852355957
2010-06-22,16.726999282836914
2010-06-23,16.65974998474121
2010-06-24,16.592498779296875
2010-06-25,16.58353614807129
2010-06-28,16.655263900756836
2010-06-29,16.283153533935547
2010-06-30,16.359363555908203
2010-07-01,16.314537048339844
2010-07-02,16.166587829589844
2010-07-06,16.26970863342285
2010-07-07,16.274192810058594
2010-07-08,16.31005859375
2010-07-09,16.46249008178711
2010-07-12,16.354894638061523
2010-07-13,16.574565887451172
2010-07-14,16.314537048339844
2010-07-15,16.265222549438477
2010-07-16,15.816898345947266
2010-07-19,15.79438591003418
2010-07-20,15.95201301574707
2010-07-21,15.578201293945312
2010-07-22,15.767351150512695
2010-07-23,15.947507858276367
2010-07-26,16.33481788635254
2010-07-27,16.528478622436523
2010-07-28,16.235742568969727
2010-07-29,16.154672622680664
2010-07-30,16.366352081298828
2010-08-02,16.58253288269043
2010-08-03,15.79438591003418
2010-08-04,16.26726722717285
2010-08-05,16.09161949157715
2010-08-06,15.879948616027832
2010-08-09,16.100627899169922
2010-08-10,15.785368919372559
2010-08-11,15.384540557861328
2010-08-12,15.55118179321289
2010-08-13,15.11432933807373
2010-08-16,15.168368339538574
2010-08-17,15.771865844726562
2010-08-18,15.915983200073242
2010-08-19,15.276457786560059
2010-08-20,15.240431785583496
2010-08-23,15.069287300109863
2010-08-24,15.073790550231934
2010-08-25,15.389045715332031
2010-08-26,15.177377700805664
2010-08-27,15.461112022399902
2010-08-30,15.154854774475098
2010-08-31,15.141349792480469
2010-09-01,15.461112022399902
2010-09-02,15.677289009094238
2010-09-03,15.875444412231445
2010-09-07,15.087301254272461
2010-09-08,15.105319023132324
2010-09-09,15.096309661865234
2010-09-10,15.154854774475098
2010-09-13,15.285467147827148
2010-09-14,15.118828773498535
2010-09-15,15.271955490112305
2010-09-16,15.07829475402832
2010-09-17,15.055774688720703
2010-09-20,15.307978630065918
2010-09-21,15.159369468688965
2010-09-22,15.141349792480469
2010-09-23,14.880133628845215
2010-09-24,14.889144897460938
2010-09-27,14.880133628845215
2010-09-28,15.127830505371094
