Date,ED
2010-01-04,24.718446731567383
2010-01-05,24.39708709716797
2010-01-06,24.658538818359375
2010-01-07,24.57139778137207
2010-01-08,24.647642135620117
2010-01-11,24.95812225341797
2010-01-12,24.909095764160156
2010-01-13,25.09973907470703
2010-01-14,25.18144416809082
2010-01-15,24.903661727905273
2010-01-19,25.279491424560547
2010-01-20,25.170551300048828
2010-01-21,24.84374237060547
2010-01-22,23.699859619140625
2010-01-25,23.759780883789062
2010-01-26,24.010345458984375
2010-01-27,23.99401092529297
2010-01-28,23.81426239013672
2010-01-29,23.82513427734375
2010-02-01,23.92863655090332
2010-02-02,24.04303741455078
2010-02-03,23.836042404174805
2010-02-04,23.43296241760254
2010-02-05,23.52010726928711
2010-02-08,23.318580627441406
2010-02-09,23.6617431640625
2010-02-10,23.411170959472656
2010-02-11,23.514659881591797
2010-02-12,23.318599700927734
2010-02-16,23.721782684326172
2010-02-17,23.672080993652344
2010-02-18,23.5892333984375
2010-02-19,23.82120704650879
2010-02-22,23.705219268798828
2010-02-23,23.61131477355957
2010-02-24,23.683130264282227
2010-02-25,23.677608489990234
2010-02-26,23.61131477355957
2010-03-01,23.85433578491211
2010-03-02,24.185731887817383
2010-03-03,24.124971389770508
2010-03-04,24.047649383544922
2010-03-05,24.091833114624023
2010-03-08,24.185731887817383
2010-03-09,24.11392593383789
2010-03-10,24.158098220825195
2010-03-11,24.240955352783203
2010-03-12,24.136022567749023
2010-03-15,24.38456153869629
2010-03-16,24.566816329956055
2010-03-17,24.583398818969727
2010-03-18,24.483978271484375
2010-03-19,24.467409133911133
2010-03-22,24.445314407348633
2010-03-23,24.39560317993164
2010-03-24,24.21334457397461
2010-03-25,24.21334457397461
2010-03-26,24.401123046875
2010-03-29,24.622055053710938
2010-03-30,24.67728614807129
2010-03-31,24.599950790405273
2010-04-01,24.798795700073242
2010-04-05,24.876121520996094
2010-04-06,25.052865982055664
2010-04-07,24.80431365966797
2010-04-08,24.583398818969727
2010-04-09,24.77118492126465
2010-04-12,24.87059783935547
2010-04-13,24.721473693847656
2010-04-14,24.754610061645508
2010-04-15,24.73804473876953
2010-04-16,24.599950790405273
2010-04-19,24.64967155456543
2010-04-20,24.80431365966797
2010-04-21,24.9423885345459
2010-04-22,24.964488983154297
2010-04-23,25.080480575561523
2010-04-26,25.014202117919922
2010-04-27,24.633102416992188
2010-04-28,24.947917938232422
2010-04-29,24.97001838684082
2010-04-30,24.964488983154297
2010-05-03,25.25720977783203
2010-05-04,24.876121520996094
2010-05-05,24.881641387939453
2010-05-06,24.417701721191406
2010-05-07,24.489498138427734
2010-05-10,25.080114364624023
2010-05-11,25.10810089111328
2010-05-12,25.10810089111328
2010-05-13,24.93455696105957
2010-05-14,24.878585815429688
2010-05-17,24.923362731933594
2010-05-18,24.828197479248047
2010-05-19,24.531490325927734
2010-05-20,24.050037384033203
2010-05-21,24.234779357910156
2010-05-24,23.95486068725586
2010-05-25,23.803720474243164
2010-05-26,23.66376304626465
2010-05-27,23.926877975463867
2010-05-28,23.842899322509766
2010-06-01,23.372655868530273
2010-06-02,23.82051658630371
2010-06-03,23.97166633605957
2010-06-04,23.3222713470459
2010-06-07,23.439830780029297
2010-06-08,23.77012825012207
2010-06-09,23.596576690673828
2010-06-10,24.122814178466797
2010-06-11,24.145206451416016
2010-06-14,24.26836395263672
2010-06-15,24.68263816833496
2010-06-16,24.867374420166016
2010-06-17,25.06331443786621
2010-06-18,25.130495071411133
2010-06-21,25.018543243408203
2010-06-22,24.525894165039062
2010-06-23,24.43632698059082
2010-06-24,24.497900009155273
2010-06-25,24.54268455505371
2010-06-28,24.710634231567383
2010-06-29,24.341144561767578
2010-06-30,24.128416061401367
2010-07-01,24.016456604003906
2010-07-02,24.17879295349121
2010-07-06,24.41952133178711
2010-07-07,25.0521183013916
2010-07-08,25.371231079101562
2010-07-09,25.343225479125977
2010-07-12,25.41600799560547
2010-07-13,25.483186721801758
2010-07-14,25.511186599731445
2010-07-15,25.606348037719727
2010-07-16,25.22567367553711
2010-07-19,25.567163467407227
2010-07-20,25.656740188598633
2010-07-21,25.343225479125977
2010-07-22,25.763097763061523
2010-07-23,25.919858932495117
2010-07-26,26.132585525512695
2010-07-27,26.40129852294922
2010-07-28,26.32853126525879
2010-07-29,26.070993423461914
2010-07-30,25.819089889526367
2010-08-02,26.39011001586914
2010-08-03,26.272541046142578
2010-08-04,26.278133392333984
2010-08-05,26.429298400878906
2010-08-06,26.63081932067871
2010-08-09,26.854753494262695
2010-08-10,27.073095321655273
2010-08-11,26.670015335083008
2010-08-12,26.84356117248535
2010-08-13,26.619617462158203
2010-08-16,26.560104370117188
2010-08-17,26.860570907592773
2010-08-18,26.622461318969727
2010-08-19,26.361684799194336
2010-08-20,26.475067138671875
2010-08-23,26.633800506591797
2010-08-24,26.82088851928711
2010-08-25,26.89459800720215
2010-08-26,26.730178833007812
2010-08-27,27.14402961730957
2010-08-30,26.786869049072266
2010-08-31,26.94560432434082
2010-09-01,27.348114013671875
2010-09-02,27.353790283203125
2010-09-03,27.46150016784668
2010-09-07,27.41615104675293
2010-09-08,27.087339401245117
2010-09-09,27.183712005615234
2010-09-10,27.036314010620117
2010-09-13,27.08167266845703
2010-09-14,27.268747329711914
2010-09-15,27.127029418945312
2010-09-16,26.979616165161133
2010-09-17,27.166711807250977
2010-09-20,27.603235244750977
2010-09-21,27.467172622680664
2010-09-22,27.506851196289062
2010-09-23,27.263084411621094
2010-09-24,27.659923553466797
2010-09-27,27.63726234436035
2010-09-28,27.49552345275879
