Date,K
2010-01-04,29.946239471435547
2010-01-05,30.01425552368164
2010-01-06,30.019935607910156
2010-01-07,30.314687728881836
2010-01-08,30.257993698120117
2010-01-11,30.27501106262207
2010-01-12,30.263681411743164
2010-01-13,30.45073890686035
2010-01-14,30.524429321289062
2010-01-15,30.80218505859375
2010-01-19,30.89287567138672
2010-01-20,30.53575897216797
2010-01-21,30.292022705078125
2010-01-22,30.80218505859375
2010-01-25,30.70580291748047
2010-01-26,31.091266632080078
2010-01-27,31.204641342163086
2010-01-28,31.0685977935791
2010-01-29,30.847536087036133
2010-02-01,31.0175724029541
2010-02-02,31.380367279052734
2010-02-03,31.284006118774414
2010-02-04,29.70817756652832
2010-02-05,29.883895874023438
2010-02-08,29.48143768310547
2010-02-09,29.75351905822754
2010-02-10,29.662830352783203
2010-02-11,29.827211380004883
2010-02-12,29.66849708557129
2010-02-16,29.815876007080078
2010-02-17,30.031278610229492
2010-02-18,30.04828643798828
2010-02-19,30.155975341796875
2010-02-22,29.963260650634766
2010-02-23,29.88958168029785
2010-02-24,29.702512741088867
2010-02-25,29.651498794555664
2010-02-26,29.77423858642578
2010-03-01,29.779956817626953
2010-03-02,30.036874771118164
2010-03-03,30.01402473449707
2010-03-04,30.05971336364746
2010-03-05,30.21957778930664
2010-03-08,30.04257583618164
2010-03-09,29.934110641479492
2010-03-10,29.979778289794922
2010-03-11,30.08254051208496
2010-03-12,29.96834945678711
2010-03-15,29.979778289794922
2010-03-16,30.162466049194336
2010-03-17,30.236703872680664
2010-03-18,30.168176651000977
2010-03-19,30.505041122436523
2010-03-22,30.92181968688965
2010-03-23,31.26437759399414
2010-03-24,31.178739547729492
2010-03-25,30.967487335205078
2010-03-26,30.69345474243164
2010-03-29,30.750534057617188
2010-03-30,30.68773078918457
2010-03-31,30.505041122436523
2010-04-01,30.607805252075195
2010-04-05,30.3394718170166
2010-04-06,30.28238296508789
2010-04-07,30.05971336364746
2010-04-08,29.8656005859375
2010-04-09,30.15106773376465
2010-04-12,30.305213928222656
2010-04-13,30.328054428100586
2010-04-14,30.55641746520996
2010-04-15,30.56783676147461
2010-04-16,30.85330581665039
2010-04-19,30.704858779907227
2010-04-20,30.607805252075195
2010-04-21,30.756250381469727
2010-04-22,30.819059371948242
2010-04-23,30.61350440979004
2010-04-26,30.453645706176758
2010-04-27,29.934110641479492
2010-04-28,30.019742965698242
2010-04-29,31.407115936279297
2010-04-30,31.367143630981445
2010-05-03,31.252962112426758
2010-05-04,30.904680252075195
2010-05-05,31.252962112426758
2010-05-06,30.664899826049805
2010-05-07,30.168176651000977
2010-05-10,30.973215103149414
2010-05-11,31.047426223754883
2010-05-12,31.338598251342773
2010-05-13,31.190162658691406
2010-05-14,31.11593246459961
2010-05-17,31.732555389404297
2010-05-18,31.664016723632812
2010-05-19,31.49846649169922
2010-05-20,30.69345474243164
2010-05-21,30.876148223876953
2010-05-24,30.8076171875
2010-05-25,30.505041122436523
2010-05-26,30.208152770996094
2010-05-27,30.814794540405273
