Date,FAST
2010-01-04,3.5765788555145264
2010-01-05,3.650613307952881
2010-01-06,3.8914337158203125
2010-01-07,3.957807779312134
2010-01-08,3.997805118560791
2010-01-11,3.919515609741211
2010-01-12,3.91866397857666
2010-01-13,3.9731268882751465
2010-01-14,3.9399380683898926
2010-01-15,3.902496099472046
2010-01-19,3.8139970302581787
2010-01-20,3.766342878341675
2010-01-21,3.7025225162506104
2010-01-22,3.6208293437957764
2010-01-25,3.6284873485565186
2010-01-26,3.5867908000946045
2010-01-27,3.5952999591827393
2010-01-28,3.530627489089966
2010-01-29,3.5297772884368896
2010-02-01,3.534031867980957
2010-02-02,3.6548666954040527
2010-02-03,3.6608235836029053
2010-02-04,3.58594012260437
2010-02-05,3.5731749534606934
2010-02-08,3.506800413131714
2010-02-09,3.6029577255249023
2010-02-10,3.6020922660827637
2010-02-11,3.6550002098083496
2010-02-12,3.628112316131592
2010-02-16,3.7278573513031006
2010-02-17,3.7399990558624268
2010-02-18,3.785102367401123
2010-02-19,3.805050849914551
2010-02-22,3.821531057357788
2010-02-23,3.8102540969848633
2010-02-24,3.831937789916992
2010-02-25,3.8484175205230713
2010-02-26,3.8484175205230713
2010-03-01,3.8961222171783447
2010-03-02,3.8874480724334717
2010-03-03,3.9047951698303223
2010-03-04,3.9108669757843018
2010-03-05,3.963775157928467
2010-03-08,3.942091941833496
2010-03-09,3.928213119506836
2010-03-10,3.926478862762451
2010-03-11,3.922142744064331
2010-03-12,3.926478862762451
2010-03-15,3.979386806488037
2010-03-16,4.020152568817139
2010-03-17,4.114692687988281
2010-03-18,4.106019496917725
2010-03-19,4.074796676635742
2010-03-22,4.196224212646484
2010-03-23,4.25
2010-03-24,4.192755222320557
2010-03-25,4.165867805480957
2010-03-26,4.187549591064453
2010-03-29,4.200559616088867
2010-03-30,4.206632137298584
2010-03-31,4.1623969078063965
2010-04-01,4.213571071624756
2010-04-05,4.3107147216796875
2010-04-06,4.3436737060546875
2010-04-07,4.485918045043945
2010-04-08,4.406989097595215
2010-04-09,4.4364800453186035
2010-04-12,4.501530170440674
2010-04-13,4.596938610076904
2010-04-14,4.634234428405762
2010-04-15,4.770409107208252
2010-04-16,4.711428642272949
2010-04-19,4.75913143157959
2010-04-20,4.70622444152832
2010-04-21,4.716632843017578
2010-04-22,4.831989288330078
2010-04-23,4.874490261077881
2010-04-26,4.865814685821533
2010-04-27,4.707959175109863
2010-04-28,4.731378078460693
2010-04-29,4.860612392425537
2010-04-30,4.743519306182861
2010-05-03,4.89877462387085
2010-05-04,4.691479206085205
2010-05-05,4.623826026916504
2010-05-06,4.453825950622559
2010-05-07,4.355816841125488
2010-05-10,4.638571739196777
2010-05-11,4.705356121063232
2010-05-12,4.809438228607178
2010-05-13,4.768673419952393
2010-05-14,4.6541829109191895
2010-05-17,4.653315544128418
2010-05-18,4.559642314910889
2010-05-19,4.532754421234131
2010-05-20,4.268213748931885
2010-05-21,4.367092609405518
2010-05-24,4.299438953399658
2010-05-25,4.306378364562988
2010-05-26,4.286427974700928
2010-05-27,4.454693794250488
2010-05-28,4.374897480010986
2010-06-01,4.308112621307373
2010-06-02,4.4919891357421875
2010-06-03,4.507602691650391
2010-06-04,4.285560131072998
2010-06-07,4.191887378692627
2010-06-08,4.252601146697998
2010-06-09,4.263878345489502
2010-06-10,4.466835975646973
2010-06-11,4.485049247741699
2010-06-14,4.510203838348389
2010-06-15,4.636836051940918
2010-06-16,4.655917167663574
2010-06-17,4.70102071762085
2010-06-18,4.741785049438477
2010-06-21,4.74612283706665
2010-06-22,4.581326961517334
2010-06-23,4.6298980712890625
2010-06-24,4.51193904876709
2010-06-25,4.531887054443359
2010-06-28,4.525815010070801
2010-06-29,4.379234790802002
2010-06-30,4.353213787078857
2010-07-01,4.321121692657471
2010-07-02,4.2690815925598145
2010-07-06,4.235255241394043
2010-07-07,4.354948997497559
2010-07-08,4.440814971923828
2010-07-09,4.516275405883789
2010-07-12,4.563978672027588
2010-07-13,4.374897480010986
2010-07-14,4.406121730804443
2010-07-15,4.317653179168701
2010-07-16,4.13377571105957
2010-07-19,4.136376857757568
2010-07-20,4.184947967529297
2010-07-21,4.119030475616455
2010-07-22,4.2387237548828125
2010-07-23,4.281224727630615
2010-07-26,4.332398891448975
2010-07-27,4.261274814605713
2010-07-28,4.239591121673584
2010-07-29,4.2473978996276855
2010-07-30,4.2569379806518555
2010-08-02,4.337601661682129
2010-08-03,4.348877429962158
2010-08-04,4.433009624481201
2010-08-05,4.442550182342529
2010-08-06,4.437347888946533
2010-08-09,4.455560207366943
2010-08-10,4.393978595733643
2010-08-11,4.201428413391113
2010-08-12,4.203162670135498
2010-08-13,4.177143096923828
2010-08-16,4.1745405197143555
2010-08-17,4.330663204193115
2010-08-18,4.305510997772217
2010-08-19,4.147651195526123
2010-08-20,4.1641316413879395
2010-08-23,4.120765209197998
2010-08-24,4.013213157653809
2010-08-25,3.9811224937438965
2010-08-26,3.9455602169036865
2010-08-27,3.9863264560699463
2010-08-30,3.9108669757843018
2010-08-31,3.926478862762451
2010-09-01,4.092143535614014
2010-09-02,4.2473978996276855
2010-09-03,4.281224727630615
2010-09-07,4.230917453765869
2010-09-08,4.3107147216796875
2010-09-09,4.364489555358887
2010-09-10,4.416530609130859
2010-09-13,4.4772443771362305
2010-09-14,4.478113174438477
2010-09-15,4.483315467834473
2010-09-16,4.438214302062988
2010-09-17,4.470306396484375
2010-09-20,4.528417587280273
2010-09-21,4.510203838348389
2010-09-22,4.525815010070801
2010-09-23,4.50499963760376
