Date,CMCSA
2010-01-04,6.087094306945801
2010-01-05,6.00459098815918
2010-01-06,5.961552143096924
2010-01-07,6.087094306945801
2010-01-08,6.069158554077148
2010-01-11,6.0297017097473145
2010-01-12,5.922092914581299
2010-01-13,6.015355587005615
2010-01-14,5.979485511779785
2010-01-15,5.965136528015137
2010-01-19,6.0297017097473145
2010-01-20,5.9256815910339355
2010-01-21,5.739156723022461
2010-01-22,5.6853532791137695
2010-01-25,5.742745876312256
2010-01-26,5.6315484046936035
2010-01-27,5.6853532791137695
2010-01-28,5.602853775024414
2010-01-29,5.678177833557129
2010-02-01,5.717634677886963
2010-02-02,5.843180179595947
2010-02-03,5.728396892547607
2010-02-04,5.566982269287109
2010-02-05,5.531113624572754
2010-02-08,5.45578670501709
2010-02-09,5.520352363586426
2010-02-10,5.4916582107543945
2010-02-11,5.498830795288086
2010-02-12,5.50241756439209
2010-02-16,5.620787143707275
2010-02-17,5.617199420928955
2010-02-18,5.642309665679932
2010-02-19,5.739156723022461
2010-02-22,5.80731201171875
2010-02-23,5.7893757820129395
2010-02-24,5.889810085296631
2010-02-25,5.7893757820129395
2010-02-26,5.896985054016113
2010-03-01,6.036877155303955
2010-03-02,6.026114463806152
2010-03-03,6.083507537841797
2010-03-04,6.1588335037231445
2010-03-05,6.252095699310303
2010-03-08,6.298724174499512
2010-03-09,6.280789375305176
2010-03-10,6.287965297698975
2010-03-11,6.30231237411499
2010-03-12,6.248508453369141
2010-03-15,6.287965297698975
2010-03-16,6.273613929748535
2010-03-17,6.305899143218994
2010-03-18,6.338184356689453
2010-03-19,6.287965297698975
2010-03-22,6.377638339996338
2010-03-23,6.488835334777832
2010-03-24,6.521117210388184
2010-03-25,6.614377498626709
2010-03-26,6.5785112380981445
2010-03-29,6.635900497436523
2010-03-30,6.721988677978516
2010-03-31,6.754271984100342
2010-04-01,6.765032768249512
2010-04-05,6.784862518310547
2010-04-06,6.7632317543029785
2010-04-07,6.593786239624023
2010-04-08,6.644259452819824
2010-04-09,6.669496536254883
2010-04-12,6.716360092163086
2010-04-13,6.730786323547363
2010-04-14,6.824516296386719
2010-04-15,6.799282550811768
2010-04-16,6.6046037673950195
2010-04-19,6.698337554931641
2010-04-20,6.6839141845703125
2010-04-21,6.6803107261657715
2010-04-22,6.777649879455566
2010-04-23,6.835331439971924
2010-04-26,6.878592014312744
2010-04-27,6.655073642730713
2010-04-28,6.781254768371582
2010-04-29,7.210265159606934
2010-04-30,7.127349376678467
2010-05-03,7.35086727142334
2010-05-04,7.163399696350098
2010-05-05,7.116533279418945
2010-05-06,6.673102855682373
2010-05-07,6.619024753570557
2010-05-10,6.500054359436035
2010-05-11,6.518080234527588
2010-05-12,6.554131507873535
2010-05-13,6.402716636657715
2010-05-14,6.345033168792725
2010-05-17,6.5252909660339355
2010-05-18,6.377481937408447
2010-05-19,6.337823390960693
2010-05-20,6.053017616271973
2010-05-21,6.139543533325195
2010-05-24,6.0458083152771
2010-05-25,6.370272636413574
2010-05-26,6.388296604156494
2010-05-27,6.608209609985352
2010-05-28,6.521687030792236
2010-06-01,6.496449947357178
2010-06-02,6.626232624053955
2010-06-03,6.633444309234619
2010-06-04,6.4135308265686035
2010-06-07,6.258510112762451
2010-06-08,6.28374719619751
2010-06-09,6.280142307281494
2010-06-10,6.514476299285889
2010-06-11,6.557740211486816
2010-06-14,6.543317794799805
2010-06-15,6.72357177734375
2010-06-16,6.6298418045043945
2010-06-17,6.698337554931641
2010-06-18,6.673102855682373
2010-06-21,6.615419864654541
2010-06-22,6.5757622718811035
2010-06-23,6.554131507873535
2010-06-24,6.424347877502441
2010-06-25,6.370272636413574
2010-06-28,6.528895378112793
2010-06-29,6.373877048492432
2010-06-30,6.262118816375732
2010-07-01,6.395503997802734
2010-07-02,6.328451633453369
2010-07-06,6.451685428619385
2010-07-07,6.466186046600342
2010-07-08,6.466186046600342
2010-07-09,6.549549579620361
2010-07-12,6.709028244018555
2010-07-13,6.893880367279053
2010-07-14,6.879384517669678
2010-07-15,6.9989914894104
2010-07-16,6.719903945922852
2010-07-19,6.890254974365234
2010-07-20,6.835887432098389
2010-07-21,6.651037216186523
2010-07-22,6.82139253616333
2010-07-23,7.002618312835693
2010-07-26,7.0569844245910645
2010-07-27,7.006241798400879
2010-07-28,7.089605808258057
2010-07-29,6.933751106262207
2010-07-30,7.0569844245910645
2010-08-02,7.060609817504883
2010-08-03,6.962748050689697
2010-08-04,6.969994068145752
2010-08-05,6.864884853363037
2010-08-06,6.7561469078063965
2010-08-09,6.7887678146362305
2010-08-10,6.745276927947998
2010-08-11,6.527801990509033
2010-08-12,6.585795879364014
2010-08-13,6.477059841156006
2010-08-16,6.433562755584717
2010-08-17,6.437184810638428
2010-08-18,6.564046382904053
2010-08-19,6.466186046600342
2010-08-20,6.455311298370361
2010-08-23,6.324826240539551
2010-08-24,6.165348529815674
2010-08-25,6.281332015991211
2010-08-26,6.172595500946045
2010-08-27,6.252336025238037
2010-08-30,6.161722660064697
2010-08-31,6.197970867156982
2010-09-01,6.5024309158325195
2010-09-02,6.553173542022705
2010-09-03,6.6002912521362305
2010-09-07,6.451685428619385
2010-09-08,6.495181083679199
2010-09-09,6.516928195953369
2010-09-10,6.669157028198242
2010-09-13,6.6764068603515625
2010-09-14,6.448061466217041
2010-09-15,6.538675308227539
2010-09-16,6.368320465087891
2010-09-17,6.3936944007873535
2010-09-20,6.560425758361816
2010-09-21,6.571298122406006
2010-09-22,6.506054878234863
2010-09-23,6.495181083679199
2010-09-24,6.730777263641357
