Date,VZ
2010-01-04,13.987560272216797
2010-01-05,14.012774467468262
2010-01-06,13.609848976135254
2010-01-07,13.528837203979492
2010-01-08,13.537369728088379
2010-01-11,13.592794418334961
2010-01-12,13.605587005615234
2010-01-13,13.58853530883789
2010-01-14,13.31139087677002
2010-01-15,13.038512229919434
2010-01-19,13.315655708312988
2010-01-20,13.093937873840332
2010-01-21,13.059825897216797
2010-01-22,12.936178207397461
2010-01-25,13.081146240234375
2010-01-26,12.86369800567627
2010-01-27,12.735784530639648
2010-01-28,12.50554370880127
2010-01-29,12.543920516967773
2010-02-01,12.62492561340332
2010-02-02,12.676091194152832
2010-02-03,12.44585132598877
2010-02-04,12.207080841064453
2010-02-05,12.253982543945312
2010-02-08,12.096223831176758
2010-02-09,12.258243560791016
2010-02-10,12.30941390991211
2010-02-11,12.381895065307617
2010-02-12,12.334997177124023
2010-02-16,12.4415864944458
2010-02-17,12.42453384399414
2010-02-18,12.42879867553711
2010-02-19,12.373367309570312
2010-02-22,12.364840507507324
2010-02-23,12.253982543945312
2010-02-24,12.347785949707031
2010-02-25,12.313675880432129
2010-02-26,12.334997177124023
2010-03-01,12.360572814941406
2010-03-02,12.475698471069336
2010-03-03,12.420271873474121
2010-03-04,12.479961395263672
2010-03-05,12.462904930114746
2010-03-08,12.633454322814941
2010-03-09,12.75283432006836
2010-03-10,12.68461799621582
2010-03-11,12.72299861907959
2010-03-12,12.676091194152832
2010-03-15,12.731520652770996
2010-03-16,12.761367797851562
2010-03-17,12.855169296264648
2010-03-18,12.919119834899902
2010-03-19,12.966025352478027
2010-03-22,13.068349838256836
2010-03-23,13.209059715270996
2010-03-24,12.987343788146973
2010-03-25,12.923389434814453
2010-03-26,12.948974609375
2010-03-29,12.98307991027832
2010-03-30,13.315655708312988
2010-03-31,13.226110458374023
2010-04-01,13.336968421936035
2010-04-05,13.413719177246094
2010-04-06,13.302864074707031
2010-04-07,13.092870712280273
2010-04-08,13.058237075805664
2010-04-09,13.02359676361084
2010-04-12,12.96298599243164
2010-04-13,13.019268989562988
2010-04-14,12.924015998840332
2010-04-15,12.789803504943848
2010-04-16,12.807114601135254
2010-04-19,12.872060775756836
2010-04-20,12.885048866271973
2010-04-21,12.798454284667969
2010-04-22,12.677227020263672
2010-04-23,12.577642440795898
2010-04-26,12.53001594543457
2010-04-27,12.447754859924316
2010-04-28,12.607951164245605
2010-04-29,12.651249885559082
2010-04-30,12.512701034545898
2010-05-03,12.68155574798584
2010-05-04,12.447754859924316
2010-05-05,12.41744613647461
2010-05-06,12.127361297607422
2010-05-07,12.205293655395508
2010-05-10,12.387139320373535
2010-05-11,12.29621696472168
2010-05-12,12.426105499267578
2010-05-13,12.42177677154541
2010-05-14,12.343843460083008
2010-05-17,12.408791542053223
2010-05-18,12.304880142211914
2010-05-19,12.343843460083008
2010-05-20,12.019120216369629
2010-05-21,12.105710983276367
2010-05-24,11.902223587036133
2010-05-25,11.863252639770508
2010-05-26,11.659756660461426
2010-05-27,11.941183090209961
2010-05-28,11.915207862854004
2010-06-01,11.780989646911621
2010-06-02,11.945517539978027
2010-06-03,11.96716022491455
2010-06-04,11.780989646911621
2010-06-07,11.724700927734375
2010-06-08,11.984478950500488
2010-06-09,12.027777671813965
2010-06-10,12.270241737365723
2010-06-11,12.36548900604248
2010-06-14,12.395797729492188
2010-06-15,12.603622436523438
2010-06-16,12.633928298950195
2010-06-17,12.594961166381836
2010-06-18,12.612281799316406
2010-06-21,12.581975936889648
2010-06-22,12.581975936889648
2010-06-23,12.698872566223145
2010-06-24,12.538676261901855
2010-06-25,12.36115837097168
2010-06-28,12.430440902709961
2010-06-29,12.39146614074707
2010-06-30,12.131685256958008
2010-07-01,12.179315567016602
2010-07-02,12.376521110534668
2010-07-06,12.284194946289062
2010-07-07,12.465155601501465
2010-07-08,12.587359428405762
2010-07-09,12.52625560760498
2010-07-12,12.4510498046875
2010-07-13,12.639062881469727
2010-07-14,12.615564346313477
2010-07-15,12.596761703491211
2010-07-16,12.545066833496094
2010-07-19,12.559157371520996
2010-07-20,12.535658836364746
2010-07-21,12.465155601501465
2010-07-22,12.690765380859375
2010-07-23,13.170198440551758
2010-07-26,13.292407035827637
2010-07-27,13.438112258911133
