Date,STE
2010-01-04,22.885251998901367
2010-01-05,22.860979080200195
2010-01-06,22.83670997619629
2010-01-07,22.505043029785156
2010-01-08,22.391801834106445
2010-01-11,22.37561798095703
2010-01-12,22.12483024597168
2010-01-13,22.472692489624023
2010-01-14,22.327075958251953
2010-01-15,22.34326171875
2010-01-19,22.37561798095703
2010-01-20,22.17336082458496
2010-01-21,21.890241622924805
2010-01-22,21.696086883544922
2010-01-25,21.80934715270996
2010-01-26,21.639469146728516
2010-01-27,21.388689041137695
2010-01-28,21.12982749938965
2010-01-29,21.097469329833984
2010-02-01,21.097469329833984
2010-02-02,23.888349533081055
2010-02-03,24.25237464904785
2010-02-04,24.05014419555664
2010-02-05,24.01778221130371
2010-02-08,24.478891372680664
2010-02-09,24.50316047668457
2010-02-10,24.446529388427734
2010-02-11,24.559791564941406
2010-02-12,24.745845794677734
2010-02-16,24.94808578491211
2010-02-17,24.939987182617188
2010-02-18,25.4091796875
2010-02-19,25.660831451416016
2010-02-22,25.3604736328125
2010-02-23,25.206226348876953
2010-02-24,25.677074432373047
2010-02-25,25.4903621673584
2010-02-26,25.660831451416016
2010-03-01,26.11543846130371
2010-03-02,26.34274673461914
2010-03-03,25.880022048950195
2010-03-04,25.652719497680664
2010-03-05,26.156034469604492
2010-03-08,25.831315994262695
2010-03-09,25.97744369506836
2010-03-10,26.253448486328125
2010-03-11,26.27779769897461
2010-03-12,26.253448486328125
2010-03-15,26.302160263061523
2010-03-16,26.781118392944336
2010-03-17,26.67558479309082
2010-03-18,27.04900550842285
2010-03-19,27.22760009765625
2010-03-22,27.43867301940918
2010-03-23,27.64162826538086
2010-03-24,27.260072708129883
2010-03-25,27.787734985351562
2010-03-26,27.61726188659668
2010-03-29,27.747148513793945
2010-03-30,27.730907440185547
2010-03-31,27.32501792907715
2010-04-01,27.698444366455078
2010-04-05,27.83645248413086
2010-04-06,27.568559646606445
2010-04-07,29.0460205078125
2010-04-08,28.144943237304688
2010-04-09,28.502120971679688
2010-04-12,28.940492630004883
2010-04-13,28.82684326171875
2010-04-14,29.224618911743164
2010-04-15,28.948606491088867
2010-04-16,28.964839935302734
2010-04-19,29.10285186767578
2010-04-20,29.395084381103516
2010-04-21,28.786245346069336
2010-04-22,28.339757919311523
2010-04-23,28.347883224487305
2010-04-26,27.990694046020508
2010-04-27,27.61726188659668
2010-04-28,27.592905044555664
2010-04-29,27.795862197875977
2010-04-30,27.016538619995117
2010-05-03,27.4954891204834
2010-05-04,27.203245162963867
2010-05-05,27.85268211364746
2010-05-06,26.764881134033203
2010-05-07,26.02614402770996
2010-05-10,26.67558479309082
2010-05-11,27.089595794677734
2010-05-12,27.089595794677734
2010-05-13,27.04900550842285
2010-05-14,26.821704864501953
2010-05-17,27.260072708129883
2010-05-18,27.138309478759766
2010-05-19,26.764881134033203
2010-05-20,25.871912002563477
2010-05-21,25.896263122558594
2010-05-24,25.85567283630371
2010-05-25,25.529829025268555
2010-05-26,25.48094940185547
2010-05-27,26.116344451904297
2010-05-28,25.928983688354492
2010-06-01,25.220273971557617
2010-06-02,25.586849212646484
2010-06-03,25.700895309448242
2010-06-04,24.764087677001953
2010-06-07,24.527854919433594
2010-06-08,24.511564254760742
2010-06-09,24.58487892150879
2010-06-10,24.78853416442871
2010-06-11,25.59499740600586
2010-06-14,26.189661026000977
2010-06-15,26.434045791625977
2010-06-16,26.3037052154541
2010-06-17,26.556224822998047
2010-06-18,26.548093795776367
2010-06-21,26.548093795776367
2010-06-22,26.279266357421875
2010-06-23,25.9045467376709
2010-06-24,25.806793212890625
2010-06-25,25.8149356842041
2010-06-28,26.108196258544922
2010-06-29,25.652013778686523
2010-06-30,25.318023681640625
2010-07-01,25.00847816467285
2010-07-02,24.943313598632812
2010-07-06,24.772241592407227
2010-07-07,25.44021987915039
2010-07-08,25.513530731201172
2010-07-09,25.505382537841797
2010-07-12,25.29359245300293
2010-07-13,25.986013412475586
2010-07-14,25.896406173706055
2010-07-15,25.407634735107422
2010-07-16,24.54415512084961
2010-07-19,24.421955108642578
2010-07-20,24.812965393066406
2010-07-21,24.291624069213867
2010-07-22,24.959604263305664
2010-07-23,25.146963119506836
2010-07-26,25.66016387939453
2010-07-27,25.99415397644043
2010-07-28,25.203981399536133
2010-07-29,25.529829025268555
2010-07-30,25.896406173706055
2010-08-02,26.16522216796875
2010-08-03,26.059322357177734
2010-08-04,26.344432830810547
2010-08-05,26.254831314086914
2010-08-06,26.116344451904297
2010-08-09,26.47477149963379
2010-08-10,26.238529205322266
2010-08-11,25.17140007019043
2010-08-12,25.01662254333496
2010-08-13,24.576732635498047
2010-08-16,24.576732635498047
2010-08-17,25.09809684753418
2010-08-18,25.220273971557617
2010-08-19,24.397525787353516
2010-08-20,24.08641815185547
2010-08-23,23.77529525756836
2010-08-24,23.21039581298828
2010-08-25,23.52150535583496
2010-08-26,23.685243606567383
2010-08-27,24.143712997436523
2010-08-30,23.7343692779541
2010-08-31,23.554248809814453
2010-09-01,23.922672271728516
2010-09-02,24.479398727416992
2010-09-03,25.003360748291016
2010-09-07,24.75775146484375
2010-09-08,25.027929306030273
2010-09-09,25.068857192993164
2010-09-10,25.20804214477539
2010-09-13,25.854812622070312
2010-09-14,26.157745361328125
2010-09-15,26.49341583251953
2010-09-16,26.092256546020508
2010-09-17,26.66533851623535
2010-09-20,27.238439559936523
2010-09-21,27.140186309814453
2010-09-22,27.009204864501953
2010-09-23,26.608028411865234
2010-09-24,27.27118682861328
2010-09-27,27.10745620727539
2010-09-28,27.24662971496582
