Date,SBUX
2010-01-04,8.726415634155273
2010-01-05,8.930853843688965
2010-01-06,8.866494178771973
2010-01-07,8.843775749206543
2010-01-08,8.813492774963379
2010-01-11,8.78699016571045
2010-01-12,8.639341354370117
2010-01-13,8.851347923278809
2010-01-14,8.915709495544434
2010-01-15,8.809709548950195
2010-01-19,8.927066802978516
2010-01-20,8.817280769348145
2010-01-21,8.964925765991211
2010-01-22,8.67341136932373
2010-01-25,8.48033618927002
2010-01-26,8.533337593078613
2010-01-27,8.484122276306152
2010-01-28,8.359187126159668
2010-01-29,8.24940013885498
2010-02-01,8.415974617004395
2010-02-02,8.499267578125
2010-02-03,8.491695404052734
2010-02-04,8.25696849822998
2010-02-05,8.215326309204102
2010-02-08,8.294829368591309
2010-02-09,8.400835037231445
2010-02-10,8.468977928161621
2010-02-11,8.540908813476562
2010-02-12,8.556051254272461
2010-02-16,8.662055015563965
2010-02-17,8.764276504516602
2010-02-18,8.80591869354248
2010-02-19,8.843775749206543
2010-02-22,8.66962718963623
2010-02-23,8.586338996887207
2010-02-24,8.737773895263672
2010-02-25,8.66962718963623
2010-02-26,8.67341136932373
2010-03-01,8.817280769348145
2010-03-02,8.832417488098145
2010-03-03,8.730202674865723
2010-03-04,8.677199363708496
2010-03-05,8.847565650939941
2010-03-08,8.82863712310791
2010-03-09,8.942211151123047
2010-03-10,9.173151016235352
2010-03-11,9.188291549682617
2010-03-12,9.192081451416016
2010-03-15,9.245078086853027
2010-03-16,9.57445240020752
2010-03-17,9.676671028137207
2010-03-18,9.472235679626465
2010-03-19,9.4533052444458
2010-03-22,9.555521011352539
2010-03-23,9.619880676269531
2010-03-24,9.57445240020752
2010-03-25,9.165576934814453
2010-03-26,9.309441566467285
2010-03-29,9.317010879516602
2010-03-30,9.298081398010254
2010-03-31,9.188291549682617
2010-04-01,9.1769380569458
2010-04-05,9.355605125427246
2010-04-06,9.351808547973633
2010-04-07,9.469654083251953
2010-04-08,9.439242362976074
2010-04-09,9.39742660522461
2010-04-12,9.309990882873535
2010-04-13,9.401225090026855
2010-04-14,9.443039894104004
2010-04-15,9.553287506103516
2010-04-16,9.488663673400879
2010-04-19,9.465851783752441
2010-04-20,9.602707862854004
2010-04-21,9.652131080627441
2010-04-22,10.35921573638916
2010-04-23,10.363018035888672
2010-04-26,10.412440299987793
2010-04-27,10.085505485534668
2010-04-28,9.967656135559082
2010-04-29,10.112115859985352
2010-04-30,9.876419067382812
2010-05-03,10.33260440826416
2010-05-04,9.895430564880371
2010-05-05,9.967656135559082
2010-05-06,9.735762596130371
2010-05-07,9.674939155578613
2010-05-10,10.279383659362793
2010-05-11,10.150135040283203
2010-05-12,10.587307929992676
2010-05-13,10.431443214416504
2010-05-14,10.077901840209961
2010-05-17,10.229960441589355
2010-05-18,10.104511260986328
2010-05-19,9.956250190734863
2010-05-20,9.54188346862793
2010-05-21,9.614113807678223
2010-05-24,9.530479431152344
2010-05-25,9.473457336425781
2010-05-26,9.393624305725098
2010-05-27,9.89162826538086
2010-05-28,9.842205047607422
2010-06-01,9.769975662231445
2010-06-02,10.104511260986328
2010-06-03,10.210956573486328
2010-06-04,9.941047668457031
2010-06-07,9.709155082702637
2010-06-08,9.82700252532959
2010-06-09,10.001873016357422
2010-06-10,10.256574630737305
2010-06-11,10.321202278137207
2010-06-14,10.439045906066895
2010-06-15,10.617719650268555
2010-06-16,10.640531539916992
2010-06-17,10.636727333068848
2010-06-18,10.678548812866211
2010-06-21,10.651936531066895
2010-06-22,10.351614952087402
2010-06-23,10.385828018188477
2010-06-24,10.138729095458984
2010-06-25,10.191949844360352
2010-06-28,10.032282829284668
2010-06-29,9.50766658782959
2010-06-30,9.237761497497559
2010-07-01,9.374616622924805
2010-07-02,9.256768226623535
2010-07-06,8.975451469421387
2010-07-07,9.275774002075195
2010-07-08,9.443039894104004
2010-07-09,9.61791706085205
2010-07-12,9.606511116027832
2010-07-13,9.861213684082031
2010-07-14,9.884023666381836
2010-07-15,9.933442115783691
2010-07-16,9.636922836303711
2010-07-19,9.690144538879395
2010-07-20,9.796588897705078
2010-07-21,9.568493843078613
2010-07-22,9.56088924407959
2010-07-23,9.648331642150879
2010-07-26,9.652131080627441
2010-07-27,9.572295188903809
2010-07-28,9.500066757202148
2010-07-29,9.43543815612793
2010-07-30,9.446843147277832
2010-08-02,9.431561470031738
2010-08-03,9.446846008300781
2010-08-04,9.622636795043945
2010-08-05,9.622636795043945
2010-08-06,9.679960250854492
2010-08-09,9.806072235107422
2010-08-10,9.706707954406738
2010-08-11,9.423916816711426
2010-08-12,9.347485542297363
2010-08-13,9.167875289916992
2010-08-16,9.102907180786133
2010-08-17,9.286340713500977
2010-08-18,9.36276912689209
2010-08-19,9.186984062194824
2010-08-20,9.190803527832031
2010-08-23,9.049403190612793
2010-08-24,8.720749855041504
2010-08-25,8.927114486694336
2010-08-26,8.892724990844727
2010-08-27,8.969152450561523
2010-08-30,8.953864097595215
2010-08-31,8.781896591186523
2010-09-01,9.049403190612793
2010-09-02,9.423916816711426
2010-09-03,9.580602645874023
2010-09-07,9.504166603088379
2010-09-08,9.469775199890137
2010-09-09,9.488882064819336
2010-09-10,9.706707954406738
2010-09-13,9.840461730957031
2010-09-14,9.851934432983398
2010-09-15,9.840461730957031
2010-09-16,9.832818031311035
2010-09-17,9.756387710571289
2010-09-20,10.043004989624023
2010-09-21,9.997142791748047
2010-09-22,9.909249305725098
2010-09-23,9.725817680358887
2010-09-24,9.985681533813477
2010-09-27,9.993325233459473
2010-09-28,9.989503860473633
