Date,SLB
2010-01-04,46.52802658081055
2010-01-05,46.659751892089844
2010-01-06,47.69971466064453
2010-01-07,48.19197082519531
2010-01-08,48.982337951660156
2010-01-11,48.982337951660156
2010-01-12,48.2474479675293
2010-01-13,49.12100601196289
2010-01-14,49.42605209350586
2010-01-15,49.10715103149414
2010-01-19,49.17646026611328
2010-01-20,47.90078353881836
2010-01-21,47.3599967956543
2010-01-22,45.231544494628906
2010-01-25,45.62671661376953
2010-01-26,45.58513259887695
2010-01-27,45.550445556640625
2010-01-28,44.808624267578125
2010-01-29,43.99745178222656
2010-02-01,44.919551849365234
2010-02-02,45.841636657714844
2010-02-03,45.751522064208984
2010-02-04,43.33186340332031
2010-02-05,43.02680969238281
2010-02-08,43.06840515136719
2010-02-09,44.20542526245117
2010-02-10,44.12916946411133
2010-02-11,44.89874267578125
2010-02-12,44.7248649597168
2010-02-16,45.663875579833984
2010-02-17,45.51084518432617
2010-02-18,45.77515411376953
2010-02-19,44.4466438293457
2010-02-22,42.82596206665039
2010-02-23,42.34601593017578
2010-02-24,42.36690139770508
2010-02-25,42.29733657836914
2010-02-26,42.499053955078125
2010-03-01,42.72163391113281
2010-03-02,43.68846893310547
2010-03-03,43.98059844970703
2010-03-04,43.73714828491211
2010-03-05,44.384037017822266
2010-03-08,44.85005187988281
2010-03-09,44.58574676513672
2010-03-10,44.65530014038086
2010-03-11,44.4466438293457
2010-03-12,44.89179229736328
2010-03-15,44.731834411621094
2010-03-16,45.57343673706055
2010-03-17,46.324642181396484
2010-03-18,45.385650634765625
2010-03-19,44.738765716552734
2010-03-22,44.161460876464844
2010-03-23,43.841487884521484
2010-03-24,43.27113723754883
2010-03-25,42.26255798339844
2010-03-26,42.895511627197266
2010-03-29,43.86930847167969
2010-03-30,43.85539627075195
2010-03-31,44.14059066772461
2010-04-01,44.912654876708984
2010-04-05,45.74733352661133
2010-04-06,46.456825256347656
2010-04-07,45.93514633178711
2010-04-08,46.33858108520508
2010-04-09,46.27595138549805
2010-04-12,46.12294006347656
2010-04-13,45.56648635864258
2010-04-14,46.672447204589844
2010-04-15,46.74894714355469
2010-04-16,45.76819610595703
2010-04-19,45.378692626953125
2010-04-20,47.19411849975586
2010-04-21,47.3123664855957
2010-04-22,47.42365264892578
2010-04-23,50.5536994934082
2010-04-26,50.5606689453125
2010-04-27,48.905208587646484
2010-04-28,49.392112731933594
2010-04-29,50.8806037902832
2010-04-30,49.677268981933594
2010-05-03,49.60076904296875
2010-05-04,47.9592399597168
2010-05-05,46.81155014038086
2010-05-06,45.45520782470703
2010-05-07,43.72324752807617
2010-05-10,46.48463439941406
2010-05-11,46.49156951904297
2010-05-12,46.35943603515625
2010-05-13,46.561153411865234
2010-05-14,45.12828063964844
2010-05-17,44.62052536010742
2010-05-18,44.33533477783203
2010-05-19,43.535438537597656
2010-05-20,41.19138717651367
2010-05-21,42.08171844482422
2010-05-24,40.06455993652344
2010-05-25,40.66275405883789
2010-05-26,40.86446762084961
2010-05-27,41.74782180786133
2010-05-28,39.1931266784668
2010-06-01,36.12190246582031
2010-06-02,39.30480194091797
2010-06-03,39.52816390991211
2010-06-04,38.906925201416016
2010-06-07,37.85295867919922
2010-06-08,38.78129959106445
2010-06-09,38.71847915649414
2010-06-10,41.301116943359375
2010-06-11,41.517494201660156
2010-06-14,40.94514083862305
2010-06-15,42.48773193359375
2010-06-16,42.44585418701172
2010-06-17,42.82974624633789
2010-06-18,42.25040054321289
2010-06-21,42.11082077026367
2010-06-22,40.66592025756836
2010-06-23,40.71479034423828
2010-06-24,39.8841552734375
2010-06-25,40.63801574707031
2010-06-28,40.02376174926758
2010-06-29,38.44626235961914
2010-06-30,38.62774658203125
2010-07-01,38.571895599365234
2010-07-02,38.36250305175781
2010-07-06,38.767356872558594
2010-07-07,40.16335678100586
2010-07-08,40.86137008666992
2010-07-09,40.87533187866211
2010-07-12,40.65894317626953
2010-07-13,40.91719436645508
2010-07-14,41.10566711425781
2010-07-15,40.95210647583008
2010-07-16,39.563087463378906
2010-07-19,41.28716278076172
2010-07-20,42.60638427734375
2010-07-21,41.594276428222656
2010-07-22,42.787864685058594
2010-07-23,41.42676544189453
2010-07-26,41.07773971557617
2010-07-27,41.13359069824219
2010-07-28,41.69199752807617
2010-07-29,41.747825622558594
2010-07-30,41.64314651489258
2010-08-02,43.79301071166992
2010-08-03,43.87677764892578
2010-08-04,43.91864776611328
2010-08-05,44.15596389770508
2010-08-06,43.5138053894043
2010-08-09,43.799983978271484
2010-08-10,43.38117218017578
2010-08-11,41.92234420776367
2010-08-12,41.391845703125
2010-08-13,41.014923095703125
2010-08-16,41.44071578979492
2010-08-17,42.09684371948242
2010-08-18,41.30809020996094
2010-08-19,40.358802795410156
2010-08-20,39.409515380859375
2010-08-23,38.96278381347656
2010-08-24,38.22987747192383
2010-08-25,38.17403030395508
2010-08-26,37.31549072265625
2010-08-27,38.920902252197266
2010-08-30,37.95402145385742
2010-08-31,37.36546325683594
2010-09-01,38.66167449951172
2010-09-02,39.53046798706055
2010-09-03,40.19609832763672
2010-09-07,40.02793502807617
2010-09-08,40.87571334838867
2010-09-09,41.00883102416992
2010-09-10,41.55533981323242
2010-09-13,42.143882751464844
2010-09-14,41.2330322265625
2010-09-15,40.7706184387207
2010-09-16,40.76361846923828
2010-09-17,40.70756912231445
2010-09-20,41.22602081298828
2010-09-21,41.54132843017578
2010-09-22,41.32411575317383
2010-09-23,40.71455764770508
2010-09-24,42.48719787597656
2010-09-27,41.9406852722168
2010-09-28,42.24197006225586
