Date,O
2010-01-04,12.058500289916992
2010-01-05,12.261784553527832
2010-01-06,12.252546310424805
2010-01-07,12.511270523071289
2010-01-08,12.682209968566895
2010-01-11,12.585190773010254
2010-01-12,12.631392478942871
2010-01-13,12.774617195129395
2010-01-14,12.723793029785156
2010-01-15,12.700691223144531
2010-01-19,12.91321849822998
2010-01-20,12.719171524047852
2010-01-21,12.437346458435059
2010-01-22,12.137041091918945
2010-01-25,12.405001640319824
2010-01-26,12.59904956817627
2010-01-27,12.86239242553711
2010-01-28,12.900938034057617
2010-01-29,12.97060489654541
2010-02-01,12.938095092773438
2010-02-02,12.863792419433594
2010-02-03,12.566574096679688
2010-02-04,12.083602905273438
2010-02-05,12.130045890808105
2010-02-08,11.953574180603027
2010-02-09,11.851405143737793
2010-02-10,11.958219528198242
2010-02-11,12.088254928588867
2010-02-12,12.53406810760498
2010-02-16,12.933450698852539
2010-02-17,13.151716232299805
2010-02-18,13.351397514343262
2010-02-19,13.27245807647705
2010-02-22,13.142434120178223
2010-02-23,13.017045021057129
2010-02-24,13.14707088470459
2010-02-25,13.21381664276123
2010-02-26,13.06912612915039
2010-03-01,13.059795379638672
2010-03-02,13.055130004882812
2010-03-03,13.050456047058105
2010-03-04,13.097126007080078
2010-03-05,13.274492263793945
2010-03-08,13.353848457336426
2010-03-09,13.59189510345459
2010-03-10,13.638562202453613
2010-03-11,13.638562202453613
2010-03-12,13.615239143371582
2010-03-15,13.671238899230957
2010-03-16,13.96529483795166
2010-03-17,14.100645065307617
2010-03-18,14.226685523986816
2010-03-19,13.983949661254883
2010-03-22,14.203338623046875
2010-03-23,14.105316162109375
2010-03-24,14.30135440826416
2010-03-25,14.24533748626709
2010-03-26,14.362028121948242
2010-03-29,14.394702911376953
2010-03-30,14.410184860229492
2010-03-31,14.391425132751465
2010-04-01,14.274194717407227
2010-04-05,14.560234069824219
2010-04-06,14.785322189331055
2010-04-07,14.87441635131836
2010-04-08,14.846288681030273
2010-04-09,14.888479232788086
2010-04-12,14.724358558654785
2010-04-13,14.996335983276367
2010-04-14,15.258949279785156
2010-04-15,14.94945240020752
2010-04-16,14.738423347473145
2010-04-19,14.775944709777832
2010-04-20,14.991653442382812
2010-04-21,15.310528755187988
2010-04-22,15.54030704498291
2010-04-23,15.610642433166504
2010-04-26,15.74194049835205
2010-04-27,15.423062324523926
2010-04-28,15.55436897277832
2010-04-29,16.191587448120117
2010-04-30,15.442748069763184
2010-05-03,15.499274253845215
2010-05-04,14.995339393615723
2010-05-05,14.85405445098877
2010-05-06,14.138195037841797
2010-05-07,14.241812705993652
2010-05-10,15.014178276062012
2010-05-11,15.244953155517578
2010-05-12,15.405071258544922
2010-05-13,15.282623291015625
2010-05-14,14.943530082702637
2010-05-17,14.849343299865723
2010-05-18,14.712766647338867
2010-05-19,14.449031829833984
2010-05-20,13.963940620422363
2010-05-21,14.491400718688965
2010-05-24,14.284193992614746
2010-05-25,14.571474075317383
2010-05-26,14.444324493408203
2010-05-27,15.117636680603027
2010-05-28,14.734370231628418
2010-06-01,14.450469017028809
2010-06-02,14.84792709350586
2010-06-03,14.73910140991211
2010-06-04,14.005699157714844
2010-06-07,14.0482759475708
2010-06-08,14.322707176208496
2010-06-09,14.351105690002441
2010-06-10,14.890510559082031
2010-06-11,15.060845375061035
2010-06-14,15.2595853805542
2010-06-15,15.628656387329102
2010-06-16,15.38260555267334
2010-06-17,15.467777252197266
2010-06-18,15.183876991271973
2010-06-21,15.018263816833496
2010-06-22,14.611356735229492
2010-06-23,14.672869682312012
2010-06-24,14.502516746520996
2010-06-25,15.07504653930664
2010-06-28,14.829005241394043
2010-06-29,14.56946086883545
2010-06-30,14.417346000671387
2010-07-01,14.365052223205566
2010-07-02,14.40308666229248
2010-07-06,13.941999435424805
2010-07-07,14.764342308044434
2010-07-08,14.921221733093262
2010-07-09,15.021035194396973
2010-07-12,14.911714553833008
2010-07-13,15.168405532836914
2010-07-14,15.182656288146973
2010-07-15,15.135129928588867
2010-07-16,14.607481002807617
2010-07-19,14.731080055236816
2010-07-20,14.854669570922852
2010-07-21,14.583725929260254
2010-07-22,15.144630432128906
2010-07-23,15.263468742370605
2010-07-26,15.610474586486816
2010-07-27,15.591456413269043
2010-07-28,15.496383666992188
2010-07-29,15.187956809997559
2010-07-30,15.321642875671387
2010-08-02,15.82774829864502
2010-08-03,15.57947063446045
2010-08-04,15.617669105529785
2010-08-05,15.41235065460205
2010-08-06,15.464875221252441
2010-08-09,15.655863761901855
2010-08-10,15.627211570739746
2010-08-11,15.474434852600098
2010-08-12,15.259572982788086
2010-08-13,15.507850646972656
2010-08-16,15.58901309967041
2010-08-17,15.770454406738281
2010-08-18,15.674959182739258
2010-08-19,15.369389533996582
2010-08-20,15.312098503112793
2010-08-23,15.273890495300293
2010-08-24,15.321642875671387
2010-08-25,15.526947975158691
2010-08-26,15.460105895996094
2010-08-27,15.60811996459961
2010-08-30,15.45657730102539
2010-08-31,15.629213333129883
2010-09-01,16.04644203186035
2010-09-02,16.199907302856445
2010-09-03,16.199907302856445
2010-09-07,15.840230941772461
2010-09-08,15.907370567321777
2010-09-09,15.79227352142334
2010-09-10,15.859416961669922
2010-09-13,16.16634178161621
2010-09-14,16.28143882751465
2010-09-15,16.348567962646484
2010-09-16,16.199907302856445
2010-09-17,16.271841049194336
2010-09-20,16.64590835571289
2010-09-21,16.362964630126953
2010-09-22,16.223873138427734
2010-09-23,16.06081771850586
2010-09-24,16.21430015563965
2010-09-27,16.065628051757812
2010-09-28,16.21908187866211
