Date,CRM
2010-01-04,18.542518615722656
2010-01-05,18.463214874267578
2010-01-06,18.43099594116211
2010-01-07,18.349214553833008
2010-01-08,18.376476287841797
2010-01-11,18.252559661865234
2010-01-12,16.92420196533203
2010-01-13,16.976245880126953
2010-01-14,17.147247314453125
2010-01-15,17.008460998535156
2010-01-19,17.22407341003418
2010-01-20,16.988636016845703
2010-01-21,16.57476234436035
2010-01-22,15.994844436645508
2010-01-25,15.893233299255371
2010-01-26,16.2104549407959
2010-01-27,16.207975387573242
2010-01-28,15.900670051574707
2010-01-29,15.749494552612305
2010-02-01,16.153453826904297
2010-02-02,16.123714447021484
2010-02-03,16.262500762939453
2010-02-04,15.471927642822266
2010-02-05,15.385187149047852
2010-02-08,15.395100593566895
2010-02-09,16.024585723876953
2010-02-10,16.04193115234375
2010-02-11,16.346759796142578
2010-02-12,16.131149291992188
2010-02-16,16.40623664855957
2010-02-17,16.54998016357422
2010-02-18,16.96385383605957
2010-02-19,17.080331802368164
2010-02-22,17.11007308959961
2010-02-23,16.911806106567383
2010-02-24,17.209205627441406
2010-02-25,16.854808807373047
2010-02-26,16.839941024780273
2010-03-01,17.571033477783203
2010-03-02,17.803991317749023
2010-03-03,17.489248275756836
2010-03-04,17.568553924560547
2010-03-05,17.913036346435547
2010-03-08,18.07908058166504
2010-03-09,18.259994506835938
2010-03-10,18.63421630859375
2010-03-11,18.691219329833984
2010-03-12,18.76308822631836
2010-03-15,18.735824584960938
2010-03-16,19.00596046447754
2010-03-17,19.01835060119629
2010-03-18,19.060483932495117
2010-03-19,18.839914321899414
2010-03-22,19.209178924560547
2010-03-23,19.107568740844727
2010-03-24,18.874610900878906
2010-03-25,18.82752227783203
2010-03-26,18.574735641479492
2010-03-29,18.530126571655273
2010-03-30,18.688739776611328
2010-03-31,18.450822830200195
2010-04-01,18.72095489501953
2010-04-05,19.045612335205078
2010-04-06,19.536314010620117
2010-04-07,19.127395629882812
2010-04-08,19.318222045898438
2010-04-09,19.769268035888672
2010-04-12,19.952665328979492
2010-04-13,19.932838439941406
2010-04-14,20.78536605834961
2010-04-15,20.75067138671875
2010-04-16,20.6887149810791
2010-04-19,20.483015060424805
2010-04-20,20.936542510986328
2010-04-21,21.085241317749023
2010-04-22,21.982376098632812
2010-04-23,21.848552703857422
2010-04-26,21.930334091186523
2010-04-27,21.26615333557129
2010-04-28,21.35041618347168
2010-04-29,21.843595504760742
2010-04-30,21.214109420776367
2010-05-03,21.7395076751709
2010-05-04,21.45945930480957
2010-05-05,21.11993408203125
2010-05-06,20.049320220947266
2010-05-07,19.21165657043457
2010-05-10,21.186851501464844
2010-05-11,21.362804412841797
2010-05-12,21.908029556274414
2010-05-13,21.481767654418945
2010-05-14,20.996023178100586
2010-05-17,21.12489128112793
2010-05-18,20.85723876953125
2010-05-19,20.222795486450195
2010-05-20,19.58587646484375
2010-05-21,20.629234313964844
2010-05-24,20.369014739990234
2010-05-25,20.354143142700195
2010-05-26,20.755626678466797
2010-05-27,21.561071395874023
2010-05-28,21.444589614868164
2010-06-01,21.038148880004883
2010-06-02,21.91794204711914
2010-06-03,23.593263626098633
2010-06-04,22.2153377532959
2010-06-07,21.784116744995117
2010-06-08,21.80889892578125
2010-06-09,22.061681747436523
2010-06-10,22.904300689697266
2010-06-11,23.95013427734375
2010-06-14,23.171953201293945
2010-06-15,23.546175003051758
2010-06-16,23.380130767822266
2010-06-17,24.06414031982422
2010-06-18,23.72213363647461
2010-06-21,23.645307540893555
2010-06-22,22.775428771972656
2010-06-23,23.033172607421875
2010-06-24,22.56229591369629
2010-06-25,22.706039428710938
2010-06-28,22.621776580810547
2010-06-29,21.167024612426758
2010-06-30,21.268632888793945
2010-07-01,21.578420639038086
2010-07-02,21.588333129882812
2010-07-06,21.83616065979004
2010-07-07,22.64655876159668
2010-07-08,22.69364356994629
2010-07-09,22.745689392089844
2010-07-12,22.763036727905273
2010-07-13,23.20912742614746
2010-07-14,23.724613189697266
2010-07-15,23.789045333862305
2010-07-16,22.812604904174805
2010-07-19,22.956342697143555
2010-07-20,23.07777976989746
2010-07-21,22.83986473083496
2010-07-22,23.774179458618164
2010-07-23,24.72583770751953
2010-07-26,24.800188064575195
2010-07-27,24.485445022583008
2010-07-28,24.314441680908203
2010-07-29,24.235137939453125
2010-07-30,24.52261734008789
2010-08-02,25.256193161010742
2010-08-03,25.033145904541016
2010-08-04,25.66510772705078
2010-08-05,25.449499130249023
2010-08-06,25.360279083251953
2010-08-09,25.78902244567871
2010-08-10,25.191757202148438
2010-08-11,24.26487922668457
2010-08-12,24.026960372924805
2010-08-13,24.098833084106445
2010-08-16,23.947656631469727
2010-08-17,24.616792678833008
2010-08-18,24.616792678833008
2010-08-19,23.893136978149414
2010-08-20,27.942651748657227
2010-08-23,27.826171875
2010-08-24,28.076478958129883
2010-08-25,27.803865432739258
2010-08-26,27.22146987915039
2010-08-27,27.627912521362305
2010-08-30,27.05542755126953
2010-08-31,27.231380462646484
2010-09-01,28.847225189208984
2010-09-02,29.521318435668945
2010-09-03,29.64771270751953
2010-09-07,29.65266990661621
2010-09-08,29.68736457824707
2010-09-09,29.157011032104492
2010-09-10,29.100008010864258
2010-09-13,29.389968872070312
2010-09-14,29.18922996520996
2010-09-15,28.948833465576172
2010-09-16,28.976097106933594
2010-09-17,28.931486129760742
2010-09-20,30.517589569091797
2010-09-21,30.083887100219727
2010-09-22,29.414752960205078
2010-09-23,29.117355346679688
2010-09-24,29.57583999633789
2010-09-27,29.00583267211914
2010-09-28,28.44326400756836
