Date,EQIX
2010-01-04,82.41083526611328
2010-01-05,81.64356994628906
2010-01-06,82.38825225830078
2010-01-07,80.70336151123047
2010-01-08,80.31220245361328
2010-01-11,80.97411346435547
2010-01-12,77.6945571899414
2010-01-13,77.53658294677734
2010-01-14,78.31890106201172
2010-01-15,76.80694580078125
2010-01-19,78.17594909667969
2010-01-20,77.81491088867188
2010-01-21,77.75473022460938
2010-01-22,74.48268127441406
2010-01-25,75.28751373291016
2010-01-26,74.81362915039062
2010-01-27,74.65567016601562
2010-01-28,73.53485107421875
2010-01-29,72.384033203125
2010-02-01,72.09819030761719
2010-02-02,72.64732360839844
2010-02-03,72.21102142333984
2010-02-04,69.74382781982422
2010-02-05,69.9468994140625
2010-02-08,69.02171325683594
2010-02-09,69.96194458007812
2010-02-10,69.96194458007812
2010-02-11,71.63184356689453
2010-02-12,72.1282958984375
2010-02-16,72.030517578125
2010-02-17,72.34642028808594
2010-02-18,71.48139190673828
2010-02-19,71.46635437011719
2010-02-22,71.09025573730469
2010-02-23,70.12744903564453
2010-02-24,71.3309555053711
2010-02-25,70.95487213134766
2010-02-26,71.06017303466797
2010-03-01,73.56498718261719
2010-03-02,73.87337493896484
2010-03-03,73.06100463867188
2010-03-04,74.27957153320312
2010-03-05,77.28081512451172
2010-03-08,77.19058227539062
2010-03-09,76.94989013671875
2010-03-10,77.52155303955078
2010-03-11,78.5595703125
2010-03-12,78.34898376464844
2010-03-15,76.76934051513672
2010-03-16,76.73172760009766
2010-03-17,78.57464599609375
2010-03-18,78.13082122802734
2010-03-19,77.24322509765625
2010-03-22,76.6866226196289
2010-03-23,76.73172760009766
2010-03-24,75.28751373291016
2010-03-25,74.43000793457031
2010-03-26,72.54954528808594
2010-03-29,73.03092193603516
2010-03-30,73.69287872314453
2010-03-31,73.21895599365234
2010-04-01,74.39240264892578
2010-04-05,76.43087768554688
2010-04-06,76.31051635742188
2010-04-07,76.4458999633789
2010-04-08,76.64148712158203
2010-04-09,77.22067260742188
2010-04-12,77.46138763427734
2010-04-13,76.12999725341797
2010-04-14,76.23529052734375
2010-04-15,75.5658187866211
2010-04-16,74.93399810791016
2010-04-19,73.60260772705078
2010-04-20,74.66322326660156
2010-04-21,75.68620300292969
2010-04-22,72.27118682861328
2010-04-23,72.01544189453125
2010-04-26,77.63439178466797
2010-04-27,76.97997283935547
2010-04-28,75.29505157470703
2010-04-29,76.23529052734375
2010-04-30,75.70874786376953
2010-05-03,77.6945571899414
2010-05-04,75.33267211914062
2010-05-05,71.54158020019531
2010-05-06,69.54073333740234
2010-05-07,68.78850555419922
2010-05-10,74.00126647949219
2010-05-11,74.09153747558594
2010-05-12,74.65567016601562
2010-05-13,76.4835205078125
2010-05-14,74.95655059814453
2010-05-17,74.27204132080078
2010-05-18,72.6397933959961
2010-05-19,72.84286499023438
2010-05-20,69.40531921386719
2010-05-21,69.33010864257812
2010-05-24,68.83367156982422
2010-05-25,68.32968139648438
2010-05-26,68.7057876586914
2010-05-27,70.68408203125
2010-05-28,69.20975494384766
2010-06-01,66.7425537109375
2010-06-02,68.79605102539062
2010-06-03,68.57789611816406
2010-06-04,65.3584976196289
2010-06-07,62.28952407836914
2010-06-08,60.83779525756836
2010-06-09,62.507659912109375
2010-06-10,63.63597106933594
2010-06-11,63.67356872558594
2010-06-14,62.011226654052734
2010-06-15,63.97444534301758
2010-06-16,64.73421478271484
2010-06-17,63.52312088012695
2010-06-18,63.839073181152344
2010-06-21,63.98950958251953
2010-06-22,62.49264907836914
2010-06-23,62.989105224609375
2010-06-24,62.3421745300293
2010-06-25,63.25986862182617
2010-06-28,62.80854415893555
2010-06-29,59.76214599609375
2010-06-30,61.09353256225586
2010-07-01,59.71703338623047
2010-07-02,59.190486907958984
2010-07-06,59.10020446777344
2010-07-07,59.7320442199707
2010-07-08,62.0488395690918
2010-07-09,62.898826599121094
2010-07-12,61.89838409423828
2010-07-13,63.876686096191406
2010-07-14,64.08727264404297
2010-07-15,64.71163177490234
2010-07-16,61.860774993896484
2010-07-19,62.470062255859375
2010-07-20,63.46299743652344
2010-07-21,63.726234436035156
2010-07-22,65.07264709472656
2010-07-23,66.8027114868164
2010-07-26,68.32968139648438
2010-07-27,68.03631591796875
2010-07-28,66.23856353759766
2010-07-29,70.57124328613281
2010-07-30,70.33805084228516
2010-08-02,70.71416473388672
2010-08-03,70.73673248291016
2010-08-04,70.87965393066406
2010-08-05,70.70663452148438
2010-08-06,70.24026489257812
2010-08-09,70.6088638305664
2010-08-10,70.93228912353516
2010-08-11,68.23189544677734
2010-08-12,67.66775512695312
2010-08-13,67.56998443603516
2010-08-16,67.75802612304688
2010-08-17,68.11906433105469
2010-08-18,68.05138397216797
2010-08-19,67.8257064819336
2010-08-20,67.71288299560547
2010-08-23,67.6978530883789
2010-08-24,66.93060302734375
2010-08-25,67.87838745117188
2010-08-26,67.1336898803711
2010-08-27,68.72834014892578
2010-08-30,68.1265869140625
2010-08-31,68.60799407958984
2010-09-01,70.4809799194336
2010-09-02,72.17342376708984
2010-09-03,72.91809844970703
2010-09-07,71.38359069824219
2010-09-08,71.157958984375
2010-09-09,71.6468734741211
2010-09-10,71.10529327392578
2010-09-13,72.31634521484375
2010-09-14,72.04552459716797
2010-09-15,72.0079345703125
2010-09-16,71.60929107666016
2010-09-17,72.75260925292969
2010-09-20,73.87337493896484
2010-09-21,74.873779296875
2010-09-22,74.49771881103516
2010-09-23,75.6937026977539
2010-09-24,76.90473937988281
2010-09-27,77.11536407470703
2010-09-28,77.59674072265625
