Date,STX
2010-01-04,9.840490341186523
2010-01-05,9.647745132446289
2010-01-06,9.580022811889648
2010-01-07,9.397693634033203
2010-01-08,9.31955337524414
2010-01-11,9.559184074401855
2010-01-12,9.230995178222656
2010-01-13,9.475835800170898
2010-01-14,9.553974151611328
2010-01-15,9.257040977478027
2010-01-19,9.460206985473633
2010-01-20,9.25183391571045
2010-01-21,10.153051376342773
2010-01-22,9.585229873657227
2010-01-25,9.856118202209473
2010-01-26,10.059284210205078
2010-01-27,9.939467430114746
2010-01-28,9.564396858215332
2010-01-29,8.704851150512695
2010-02-01,9.324763298034668
2010-02-02,9.678997039794922
2010-02-03,9.814444541931152
2010-02-04,9.387277603149414
2010-02-05,9.387277603149414
2010-02-08,9.470626831054688
2010-02-09,9.548766136169434
2010-02-10,9.62690544128418
2010-02-11,9.772770881652832
2010-02-12,9.741514205932617
2010-02-16,10.278079986572266
2010-02-17,10.418731689453125
2010-02-18,10.799013137817383
2010-02-19,10.684412002563477
2010-02-22,10.799013137817383
2010-02-23,10.590641975402832
2010-02-24,10.158262252807617
2010-02-25,10.153051376342773
2010-02-26,10.371844291687012
2010-03-01,11.121993064880371
2010-03-02,10.944877624511719
2010-03-03,10.225984573364258
2010-03-04,10.278079986572266
2010-03-05,10.377053260803223
2010-03-08,10.361424446105957
2010-03-09,10.210356712341309
2010-03-10,9.986351013183594
2010-03-11,10.017610549926758
2010-03-12,10.038446426391602
2010-03-15,9.783185958862305
2010-03-16,9.965514183044434
2010-03-17,10.064494132995605
2010-03-18,10.064494132995605
2010-03-19,9.86132526397705
2010-03-22,10.267660140991211
2010-03-23,10.653151512145996
2010-03-24,10.434358596801758
2010-03-25,10.220776557922363
2010-03-26,9.86132526397705
2010-03-29,9.845698356628418
2010-03-30,9.465417861938477
2010-03-31,9.512301445007324
2010-04-01,9.434163093566895
2010-04-05,9.62690544128418
2010-04-06,9.929046630859375
2010-04-07,9.81965446472168
2010-04-08,9.731091499328613
2010-04-09,9.970720291137695
2010-04-12,9.939467430114746
2010-04-13,9.574810981750488
2010-04-14,10.038446426391602
2010-04-15,10.257241249084473
2010-04-16,10.028023719787598
2010-04-19,9.944679260253906
2010-04-20,10.069703102111816
2010-04-21,10.179099082946777
2010-04-22,10.257241249084473
2010-04-23,10.81985092163086
2010-04-26,10.658358573913574
2010-04-27,10.225984573364258
2010-04-28,10.142635345458984
2010-04-29,9.970720291137695
2010-04-30,9.559184074401855
2010-05-03,9.871744155883789
2010-05-04,9.845698356628418
2010-05-05,9.564396858215332
2010-05-06,9.298715591430664
2010-05-07,9.246621131896973
2010-05-10,9.62690544128418
2010-05-11,9.585229873657227
2010-05-12,9.892583847045898
2010-05-13,9.65295124053955
2010-05-14,9.366439819335938
2010-05-17,9.293509483337402
2010-05-18,8.887178421020508
2010-05-19,8.657964706420898
2010-05-20,8.387077331542969
2010-05-21,8.51731014251709
2010-05-24,8.407912254333496
2010-05-25,8.084933280944824
2010-05-26,7.741115093231201
2010-05-27,8.16828441619873
2010-05-28,8.00158405303955
2010-06-01,7.532741069793701
2010-06-02,8.012001991271973
2010-06-03,8.303729057312012
2010-06-04,7.892186641693115
2010-06-07,7.563997268676758
2010-06-08,7.506694316864014
2010-06-09,7.5483717918396
2010-06-10,7.751533031463623
2010-06-11,7.683815002441406
2010-06-14,7.761951923370361
2010-06-15,8.137025833129883
2010-06-16,8.058890342712402
2010-06-17,8.090144157409668
2010-06-18,7.996375560760498
2010-06-21,7.746325969696045
2010-06-22,7.527531623840332
2010-06-23,7.4546003341674805
2010-06-24,7.115992546081543
2010-06-25,7.12640905380249
2010-06-28,7.230595111846924
2010-06-29,6.970129489898682
2010-06-30,6.793013572692871
2010-07-01,6.923245906829834
2010-07-02,6.860733509063721
2010-07-06,6.641940116882324
2010-07-07,7.011805534362793
2010-07-08,7.13162088394165
2010-07-09,7.1941328048706055
2010-07-12,7.3295769691467285
2010-07-13,7.532741069793701
2010-07-14,7.803630352020264
2010-07-15,7.6942315101623535
2010-07-16,7.376458644866943
2010-07-19,7.433765888214111
2010-07-20,7.569205284118652
2010-07-21,6.845104217529297
2010-07-22,6.865944862365723
2010-07-23,6.662778377532959
2010-07-26,6.933664321899414
2010-07-27,6.891989231109619
2010-07-28,6.68882417678833
2010-07-29,6.5637993812561035
2010-07-30,6.537752628326416
2010-08-02,6.735710144042969
2010-08-03,6.496077537536621
2010-08-04,6.537752628326416
2010-08-05,6.511704921722412
2010-08-06,6.360634803771973
2010-08-09,6.183514595031738
2010-08-10,5.782393932342529
2010-08-11,5.876165390014648
2010-08-12,5.72509241104126
2010-08-13,5.824070453643799
2010-08-16,5.8501176834106445
2010-08-17,5.735509872436523
2010-08-18,5.870953559875488
2010-08-19,5.782393932342529
2010-08-20,5.72509241104126
2010-08-23,5.657369136810303
2010-08-24,5.402111053466797
2010-08-25,5.495882987976074
2010-08-26,5.282297611236572
2010-08-27,5.537554740905762
2010-08-30,5.511508464813232
2010-08-31,5.282297611236572
2010-09-01,5.594858169555664
2010-09-02,5.72509241104126
2010-09-03,5.824070453643799
2010-09-07,5.646951198577881
2010-09-08,5.751141548156738
2010-09-09,5.745929718017578
2010-09-10,5.600066184997559
2010-09-13,5.855327129364014
2010-09-14,5.787601947784424
2010-09-15,5.933466911315918
2010-09-16,5.886582374572754
2010-09-17,5.813650131225586
2010-09-20,5.881372928619385
2010-09-21,5.954304218292236
2010-09-22,5.782393932342529
2010-09-23,5.777184963226318
2010-09-24,6.053282260894775
2010-09-27,6.016818046569824
