Date,VLO
2010-01-04,9.818324089050293
2010-01-05,10.07077693939209
2010-01-06,10.323233604431152
2010-01-07,10.400069236755371
2010-01-08,10.257379531860352
2010-01-11,10.158587455749512
2010-01-12,9.99394416809082
2010-01-13,9.91162109375
2010-01-14,10.026875495910645
2010-01-15,10.301281929016113
2010-01-19,10.356161117553711
2010-01-20,10.493371963500977
2010-01-21,10.372628211975098
2010-01-22,9.977477073669434
2010-01-25,10.07077693939209
2010-01-26,10.438485145568848
2010-01-27,10.257379531860352
2010-01-28,10.114683151245117
2010-01-29,10.109199523925781
2010-02-01,10.5153226852417
2010-02-02,10.570202827453613
2010-02-03,10.394583702087402
2010-02-04,9.939059257507324
2010-02-05,9.966503143310547
2010-02-08,9.796370506286621
2010-02-09,9.933576583862305
2010-02-10,9.878692626953125
2010-02-11,9.878692626953125
2010-02-12,9.741106986999512
2010-02-16,9.88969898223877
2010-02-17,9.807147979736328
2010-02-18,9.735605239868164
2010-02-19,9.845674514770508
2010-02-22,9.785131454467773
2010-02-23,9.620030403137207
2010-02-24,9.68607234954834
2010-02-25,9.60351848602295
2010-02-26,9.642046928405762
2010-03-01,9.708084106445312
2010-03-02,10.016277313232422
2010-03-03,10.247424125671387
2010-03-04,10.357492446899414
2010-03-05,10.770249366760254
2010-03-08,10.797768592834473
2010-03-09,10.748238563537598
2010-03-10,11.293078422546387
2010-03-11,11.232539176940918
2010-03-12,11.249054908752441
2010-03-15,11.205024719238281
2010-03-16,11.315093040466309
2010-03-17,11.370129585266113
2010-03-18,11.309587478637695
2010-03-19,11.177507400512695
2010-03-22,11.166499137878418
2010-03-23,11.17199993133545
2010-03-24,11.386635780334473
2010-03-25,10.935358047485352
2010-03-26,10.852804183959961
2010-03-29,10.94636058807373
2010-03-30,10.918844223022461
2010-03-31,10.841797828674316
2010-04-01,11.01790714263916
2010-04-05,11.353617668151855
2010-04-06,11.414155006408691
2010-04-07,11.067440032958984
2010-04-08,11.01790714263916
2010-04-09,11.012401580810547
2010-04-12,10.786764144897461
2010-04-13,10.825287818908691
2010-04-14,11.205024719238281
2010-04-15,10.935358047485352
2010-04-16,10.539105415344238
2010-04-19,10.46205997467041
2010-04-20,10.775757789611816
2010-04-21,10.583136558532715
2010-04-22,10.704209327697754
2010-04-23,10.940855979919434
2010-04-26,11.072941780090332
2010-04-27,10.95186710357666
2010-04-28,11.243551254272461
2010-04-29,11.645303726196289
2010-04-30,11.441670417785645
2010-05-03,11.760873794555664
2010-05-04,11.265559196472168
2010-05-05,11.205024719238281
2010-05-06,10.649176597595215
2010-05-07,10.19238567352295
2010-05-10,10.858308792114258
2010-05-11,10.770249366760254
2010-05-12,11.315093040466309
2010-05-13,11.353617668151855
2010-05-14,11.078446388244629
2010-05-17,10.736385345458984
2010-05-18,10.50466251373291
2010-05-19,10.383283615112305
2010-05-20,9.86467170715332
2010-05-21,10.008118629455566
2010-05-24,9.770877838134766
2010-05-25,9.588812828063965
2010-05-26,9.704673767089844
2010-05-27,10.372247695922852
2010-05-28,10.30604076385498
2010-06-01,9.68812084197998
2010-06-02,9.837085723876953
2010-06-03,10.041217803955078
2010-06-04,9.52812385559082
2010-06-07,9.439851760864258
2010-06-08,9.301921844482422
2010-06-09,9.026062965393066
2010-06-10,9.52812385559082
2010-06-11,9.517087936401367
2010-06-14,9.671568870544434
2010-06-15,10.041217803955078
2010-06-16,10.019150733947754
2010-06-17,9.897773742675781
2010-06-18,9.925355911254883
2010-06-21,10.008118629455566
2010-06-22,9.820533752441406
2010-06-23,10.019150733947754
2010-06-24,9.96949577331543
2010-06-25,10.355694770812988
2010-06-28,10.20673656463623
2010-06-29,9.754327774047852
2010-06-30,9.919841766357422
2010-07-01,9.52260684967041
2010-07-02,9.329505920410156
2010-07-06,9.296404838562012
2010-07-07,9.715709686279297
2010-07-08,9.875706672668457
2010-07-09,9.870189666748047
2010-07-12,9.815016746520996
2010-07-13,9.98052978515625
2010-07-14,9.726743698120117
2010-07-15,9.86467170715332
2010-07-16,9.577781677246094
2010-07-19,9.461917877197266
2010-07-20,9.533642768859863
2010-07-21,9.39571475982666
2010-07-22,9.461917877197266
2010-07-23,9.428813934326172
2010-07-26,9.68812084197998
2010-07-27,9.594328880310059
2010-07-28,9.39571475982666
2010-07-29,9.323989868164062
2010-07-30,9.373642921447754
2010-08-02,9.439851760864258
2010-08-03,9.754327774047852
2010-08-04,9.919841766357422
2010-08-05,10.101909637451172
2010-08-06,9.96397876739502
2010-08-09,10.05777359008789
2010-08-10,9.925355911254883
2010-08-11,9.456403732299805
2010-08-12,9.340544700622559
2010-08-13,9.296404838562012
2010-08-16,9.351739883422852
2010-08-17,9.263204574584961
2010-08-18,9.429211616516113
2010-08-19,9.268736839294434
2010-08-20,9.152531623840332
2010-08-23,9.05845832824707
2010-08-24,8.958856582641602
2010-08-25,8.892452239990234
2010-08-26,8.660039901733398
2010-08-27,8.90905475616455
2010-08-30,8.864782333374023
2010-08-31,8.726445198059082
2010-09-01,8.96438980102539
2010-09-02,9.207865715026855
2010-09-03,9.37387466430664
2010-09-07,9.362810134887695
2010-09-08,9.335137367248535
2010-09-09,9.313005447387695
2010-09-10,9.384943008422852
2010-09-13,9.606287002563477
2010-09-14,9.639484405517578
2010-09-15,9.59521770477295
2010-09-16,9.52328109741211
2010-09-17,9.40153980255127
2010-09-20,9.539883613586426
2010-09-21,9.490079879760742
2010-09-22,9.279807090759277
2010-09-23,9.207865715026855
2010-09-24,9.307470321655273
2010-09-27,9.340672492980957
2010-09-28,9.44581127166748
