Date,GOOGL
2010-01-04,15.590929985046387
2010-01-05,15.522272109985352
2010-01-06,15.130976676940918
2010-01-07,14.778733253479004
2010-01-08,14.975751876831055
2010-01-11,14.95311450958252
2010-01-12,14.688685417175293
2010-01-13,14.604354858398438
2010-01-14,14.673012733459473
2010-01-15,14.427986145019531
2010-01-19,14.617539405822754
2010-01-20,14.438183784484863
2010-01-21,14.502116203308105
2010-01-22,13.68195915222168
2010-01-25,13.432950973510742
2010-01-26,13.49315071105957
2010-01-27,13.485189437866211
2010-01-28,13.290911674499512
2010-01-29,13.182699203491211
2010-02-01,13.259318351745605
2010-02-02,13.212054252624512
2010-02-03,13.453350067138672
2010-02-04,13.104092597961426
2010-02-05,13.216283798217773
2010-02-08,13.270511627197266
2010-02-09,13.344393730163574
2010-02-10,13.294891357421875
2010-02-11,13.343398094177246
2010-02-12,13.261805534362793
2010-02-16,13.465290069580078
2010-02-17,13.388423919677734
2010-02-18,13.513051986694336
2010-02-19,13.451857566833496
2010-02-22,13.502603530883789
2010-02-23,13.31031322479248
2010-02-24,13.220760345458984
2010-02-25,13.095386505126953
2010-02-26,13.104589462280273
2010-03-01,13.25110912322998
2010-03-02,13.459319114685059
2010-03-03,13.565292358398438
2010-03-04,13.795889854431152
2010-03-05,14.035194396972656
2010-03-08,13.992159843444824
2010-03-09,13.935195922851562
2010-03-10,14.339676856994629
2010-03-11,14.456343650817871
2010-03-12,14.416543006896973
2010-03-15,14.009573936462402
2010-03-16,14.059823036193848
2010-03-17,14.068778038024902
2010-03-18,14.089673042297363
2010-03-19,13.930468559265137
2010-03-22,13.868277549743652
2010-03-23,13.656834602355957
2010-03-24,13.86404800415039
2010-03-25,14.002111434936523
2010-03-26,13.997385025024414
2010-03-29,13.991414070129395
2010-03-30,14.09738540649414
2010-03-31,14.107583999633789
2010-04-01,14.149374961853027
2010-04-05,14.204351425170898
2010-04-06,14.134947776794434
2010-04-07,14.018529891967773
2010-04-08,14.116787910461426
2010-04-09,14.085196495056152
2010-04-12,14.247138023376465
2010-04-13,14.596394538879395
2010-04-14,14.651867866516113
2010-04-15,14.808585166931152
2010-04-16,13.685441970825195
2010-04-19,13.684196472167969
2010-04-20,13.807084083557129
2010-04-21,13.788675308227539
2010-04-22,13.608574867248535
2010-04-23,13.557082176208496
2010-04-26,13.22498893737793
2010-04-27,13.160811424255371
2010-04-28,13.164044380187988
2010-04-29,13.233943939208984
2010-04-30,13.077226638793945
2010-05-03,13.199118614196777
2010-05-04,12.596375465393066
2010-05-05,12.680706977844238
2010-05-06,12.40483283996582
2010-05-07,12.2672700881958
2010-05-10,12.976480484008789
2010-05-11,12.663044929504395
2010-05-12,12.57199764251709
2010-05-13,12.70856761932373
2010-05-14,12.625232696533203
2010-05-17,12.636178016662598
2010-05-18,12.397369384765625
2010-05-19,12.299359321594238
2010-05-20,11.81627082824707
2010-05-21,11.742636680603027
2010-05-24,11.869752883911133
2010-05-25,11.86751651763916
2010-05-26,11.827714920043945
2010-05-27,12.200603485107422
2010-05-28,12.080452919006348
2010-06-01,11.999356269836426
2010-06-02,12.272992134094238
2010-06-03,12.577223777770996
2010-06-04,12.406076431274414
2010-06-07,12.077715873718262
2010-06-08,12.059307098388672
2010-06-09,11.791643142700195
2010-06-10,12.11478042602539
2010-06-11,12.151845932006836
2010-06-14,12.019754409790039
2010-06-15,12.387917518615723
2010-06-16,12.469510078430176
2010-06-17,12.439908027648926
2010-06-18,12.438664436340332
2010-06-21,12.153337478637695
2010-06-22,12.095873832702637
2010-06-23,11.991395950317383
2010-06-24,11.818509101867676
2010-06-25,11.758310317993164
2010-06-28,11.743385314941406
2010-06-29,11.300098419189453
2010-06-30,11.068504333496094
2010-07-01,10.9326810836792
2010-07-02,10.859546661376953
2010-07-06,10.847607612609863
2010-07-07,11.199102401733398
2010-07-08,11.35731029510498
2010-07-09,11.629203796386719
2010-07-12,11.836668014526367
2010-07-13,12.169259071350098
2010-07-14,12.222493171691895
2010-07-15,12.289159774780273
2010-07-16,11.433183670043945
2010-07-19,11.596617698669434
2010-07-20,11.979954719543457
2010-07-21,11.87821102142334
2010-07-22,12.060052871704102
2010-07-23,12.190652847290039
2010-07-26,12.163537979125977
2010-07-27,12.254582405090332
2010-07-28,12.04861068725586
2010-07-29,12.064531326293945
2010-07-30,12.06104850769043
2010-08-02,12.199358940124512
2010-08-03,12.184930801391602
2010-08-04,12.595133781433105
2010-08-05,12.639411926269531
2010-08-06,12.443389892578125
2010-08-09,12.571003913879395
2010-08-10,12.530207633972168
2010-08-11,12.232443809509277
2010-08-12,12.239160537719727
2010-08-13,12.098362922668457
2010-08-16,12.07945728302002
2010-08-17,12.202094078063965
2010-08-18,11.993884086608887
2010-08-19,11.641146659851074
2010-08-20,11.493133544921875
2010-08-23,11.54412841796875
2010-08-24,11.228703498840332
2010-08-25,11.309052467346191
2010-08-26,11.218504905700684
2010-08-27,11.413780212402344
2010-08-30,11.261042594909668
2010-08-31,11.194622993469238
2010-09-01,11.451093673706055
2010-09-02,11.521989822387695
2010-09-03,11.699105262756348
2010-09-07,11.552338600158691
2010-09-08,11.706068992614746
2010-09-09,11.845375061035156
2010-09-10,11.844379425048828
2010-09-13,11.996869087219238
2010-09-14,11.951099395751953
2010-09-15,11.956320762634277
2010-09-16,11.966771125793457
2010-09-17,12.192891120910645
2010-09-20,12.643890380859375
2010-09-21,12.772747039794922
2010-09-22,12.835932731628418
2010-09-23,12.77324390411377
2010-09-24,13.116779327392578
2010-09-27,13.194392204284668
2010-09-28,13.11379337310791
