Date,PPG
2010-01-04,22.673490524291992
2010-01-05,22.68846321105957
2010-01-06,23.04390525817871
2010-01-07,23.148666381835938
2010-01-08,23.1037654876709
2010-01-11,23.077577590942383
2010-01-12,22.759553909301758
2010-01-13,22.999008178710938
2010-01-14,23.492887496948242
2010-01-15,23.216012954711914
2010-01-19,24.031654357910156
2010-01-20,23.620092391967773
2010-01-21,22.11227035522461
2010-01-22,22.4190616607666
2010-01-25,22.85308265686035
2010-01-26,22.437780380249023
2010-01-27,22.265670776367188
2010-01-28,22.078590393066406
2010-01-29,21.955121994018555
2010-02-01,22.2694091796875
2010-02-02,22.426549911499023
2010-02-03,22.15342140197754
2010-02-04,21.599681854248047
2010-02-05,21.827922821044922
2010-02-08,21.580978393554688
2010-02-09,22.134721755981445
2010-02-10,22.3554630279541
2010-02-11,22.535057067871094
2010-02-12,22.583702087402344
2010-02-16,22.980295181274414
2010-02-17,23.331340789794922
2010-02-18,23.4445858001709
2010-02-19,23.584247589111328
2010-02-22,23.429481506347656
2010-02-23,23.195451736450195
2010-02-24,23.4408016204834
2010-02-25,23.04824447631836
2010-02-26,23.229421615600586
2010-03-01,23.54650115966797
2010-03-02,23.629539489746094
2010-03-03,23.757883071899414
2010-03-04,23.746566772460938
2010-03-05,23.889999389648438
2010-03-08,23.98814582824707
2010-03-09,23.754106521606445
2010-03-10,24.04475975036621
2010-03-11,23.889999389648438
2010-03-12,24.218402862548828
2010-03-15,24.342958450317383
2010-03-16,24.39958953857422
2010-03-17,24.875192642211914
2010-03-18,24.43733787536621
2010-03-19,24.509042739868164
2010-03-22,24.716659545898438
2010-03-23,24.931806564331055
2010-03-24,24.697784423828125
2010-03-25,24.4184513092041
2010-03-26,24.939350128173828
2010-03-29,24.822345733642578
2010-03-30,24.931806564331055
2010-03-31,24.68645668029785
2010-04-01,25.101665496826172
2010-04-05,25.26020622253418
2010-04-06,25.51688003540039
2010-04-07,25.460269927978516
2010-04-08,25.641456604003906
2010-04-09,25.924551010131836
2010-04-12,26.00382423400879
2010-04-13,26.169912338256836
2010-04-14,26.23784828186035
2010-04-15,26.320899963378906
2010-04-16,26.105737686157227
2010-04-19,26.498306274414062
2010-04-20,26.577571868896484
2010-04-21,26.607778549194336
2010-04-22,26.517173767089844
2010-04-23,26.90219497680664
2010-04-26,26.694597244262695
2010-04-27,26.030254364013672
2010-04-28,26.392610549926758
2010-04-29,26.8908748626709
2010-04-30,26.562469482421875
2010-05-03,26.905969619750977
2010-05-04,25.845285415649414
2010-05-05,25.467819213867188
2010-05-06,24.638301849365234
2010-05-07,24.27300262451172
2010-05-10,25.52869987487793
2010-05-11,25.277563095092773
2010-05-12,25.737974166870117
2010-05-13,25.410734176635742
2010-05-14,24.767663955688477
2010-05-17,25.159597396850586
2010-05-18,24.973148345947266
2010-05-19,24.48988914489746
2010-05-20,23.424453735351562
2010-05-21,23.854427337646484
2010-05-24,23.413036346435547
2010-05-25,23.675596237182617
2010-05-26,23.538612365722656
2010-05-27,24.767663955688477
2010-05-28,24.379547119140625
2010-06-01,23.7973575592041
2010-06-02,24.63068389892578
2010-06-03,24.337688446044922
2010-06-04,23.511972427368164
2010-06-07,23.028715133666992
2010-06-08,23.641347885131836
2010-06-09,23.557634353637695
2010-06-10,24.094160079956055
2010-06-11,24.649709701538086
2010-06-14,24.379547119140625
2010-06-15,24.954124450683594
2010-06-16,25.319416046142578
2010-06-17,25.174819946289062
2010-06-18,25.365081787109375
2010-06-21,25.42215347290039
2010-06-22,24.93890953063965
2010-06-23,24.771469116210938
2010-06-24,24.014251708984375
2010-06-25,23.953369140625
2010-06-28,23.930543899536133
2010-06-29,23.21136474609375
2010-06-30,22.986860275268555
2010-07-01,23.23039436340332
2010-07-02,23.047746658325195
2010-07-06,23.043941497802734
2010-07-07,23.9990291595459
2010-07-08,24.448036193847656
2010-07-09,24.588836669921875
2010-07-12,24.26919937133789
2010-07-13,24.85899543762207
2010-07-14,24.55078125
2010-07-15,24.581209182739258
2010-07-16,23.766925811767578
2010-07-19,23.648962020874023
2010-07-20,24.59644889831543
2010-07-21,24.657320022583008
2010-07-22,25.11393928527832
2010-07-23,25.741785049438477
2010-07-26,25.951074600219727
2010-07-27,26.17937660217285
2010-07-28,26.194597244262695
2010-07-29,26.186992645263672
2010-07-30,26.434326171875
2010-08-02,27.062170028686523
2010-08-03,26.643590927124023
2010-08-04,26.97085952758789
2010-08-05,26.731117248535156
2010-08-06,26.673599243164062
2010-08-09,26.757959365844727
2010-08-10,26.59305763244629
2010-08-11,25.714807510375977
2010-08-12,25.638092041015625
2010-08-13,25.43099594116211
2010-08-16,25.50769805908203
2010-08-17,25.979421615600586
2010-08-18,25.791505813598633
2010-08-19,25.154874801635742
2010-08-20,25.082008361816406
2010-08-23,24.932430267333984
2010-08-24,24.6256103515625
2010-08-25,24.982284545898438
2010-08-26,25.051315307617188
2010-08-27,25.733983993530273
2010-08-30,25.112689971923828
2010-08-31,25.246917724609375
2010-09-01,26.14051055908203
2010-09-02,26.43198585510254
2010-09-03,26.838510513305664
2010-09-07,26.186527252197266
2010-09-08,26.501022338867188
2010-09-09,26.581554412841797
2010-09-10,27.1414852142334
2010-09-13,27.47515106201172
2010-09-14,27.360084533691406
2010-09-15,27.4713077545166
2010-09-16,27.70142936706543
2010-09-17,27.63239860534668
2010-09-20,27.866342544555664
2010-09-21,27.686077117919922
2010-09-22,27.643890380859375
2010-09-23,27.402278900146484
2010-09-24,27.96605110168457
2010-09-27,27.912353515625
2010-09-28,28.0504150390625
