Date,EXR
2010-01-04,6.993332862854004
2010-01-05,6.946276664733887
2010-01-06,6.9698052406311035
2010-01-07,6.916872978210449
2010-01-08,6.763946056365967
2010-01-11,6.816884994506836
2010-01-12,6.575735092163086
2010-01-13,6.693367004394531
2010-01-14,6.669840335845947
2010-01-15,6.699250221252441
2010-01-19,6.893345832824707
2010-01-20,6.910989284515381
2010-01-21,6.799239158630371
2010-01-22,6.752185344696045
2010-01-25,6.775710582733154
2010-01-26,6.675722599029541
2010-01-27,6.7051310539245605
2010-01-28,6.646313190460205
2010-01-29,6.675722599029541
2010-02-01,6.740422248840332
2010-02-02,6.893345832824707
2010-02-03,6.828644752502441
2010-02-04,6.575735092163086
2010-02-05,6.675722599029541
2010-02-08,6.546323776245117
2010-02-09,6.516916275024414
2010-02-10,6.546323776245117
2010-02-11,6.6404314041137695
2010-02-12,6.681604385375977
2010-02-16,6.816884994506836
2010-02-17,6.822763919830322
2010-02-18,6.963926315307617
2010-02-19,7.099203109741211
2010-02-22,7.05803108215332
2010-02-23,6.775710582733154
2010-02-24,6.763946056365967
2010-02-25,6.722774028778076
2010-02-26,6.634546756744385
2010-03-01,6.669840335845947
2010-03-02,6.569850921630859
2010-03-03,6.652197360992432
2010-03-04,6.899224281311035
2010-03-05,7.181548118591309
2010-03-08,7.340353012084961
2010-03-09,7.446224212646484
2010-03-10,7.446224212646484
2010-03-11,7.446222305297852
2010-03-12,7.541077136993408
2010-03-15,7.588505268096924
2010-03-16,7.766364097595215
2010-03-17,7.784152030944824
2010-03-18,7.813790798187256
2010-03-19,7.630005359649658
2010-03-22,7.647791862487793
2010-03-23,7.742650985717773
2010-03-24,7.7307915687561035
2010-03-25,7.647791862487793
2010-03-26,7.7070770263671875
2010-03-29,7.724864959716797
2010-03-30,7.7485809326171875
2010-03-31,7.517364978790283
2010-04-01,7.535149097442627
2010-04-05,7.7307915687561035
2010-04-06,7.944220542907715
2010-04-07,8.039076805114746
2010-04-08,7.962005615234375
2010-04-09,8.175432205200195
2010-04-12,8.080575942993164
2010-04-13,8.35921573638916
2010-04-14,8.531145095825195
2010-04-15,8.1161470413208
2010-04-16,7.920503616333008
2010-04-19,8.003503799438477
2010-04-20,8.068719863891602
2010-04-21,8.353287696838379
2010-04-22,8.377001762390137
2010-04-23,8.596356391906738
2010-04-26,8.791999816894531
2010-04-27,8.50149917602539
2010-04-28,8.430357933044434
2010-04-29,8.987640380859375
2010-04-30,8.90463924407959
2010-05-03,9.224781036376953
2010-05-04,9.248493194580078
2010-05-05,9.384851455688477
2010-05-06,9.112141609191895
2010-05-07,8.92242431640625
2010-05-10,9.438206672668457
2010-05-11,9.40263557434082
2010-05-12,9.621989250183105
2010-05-13,9.390776634216309
2010-05-14,9.278138160705566
2010-05-17,9.408562660217285
2010-05-18,8.993566513061523
2010-05-19,8.851279258728027
2010-05-20,8.311786651611328
2010-05-21,8.679354667663574
2010-05-24,8.560786247253418
2010-05-25,8.519286155700684
2010-05-26,8.572643280029297
2010-05-27,9.052851676940918
2010-05-28,8.916499137878418
2010-06-01,8.53707218170166
2010-06-02,8.744571685791016
2010-06-03,8.649713516235352
2010-06-04,8.228785514831543
2010-06-07,8.14578914642334
2010-06-08,8.240643501281738
2010-06-09,8.32364273071289
2010-06-10,8.560786247253418
2010-06-11,8.70406436920166
2010-06-14,9.014494895935059
2010-06-15,9.265230178833008
2010-06-16,8.93688678741455
2010-06-17,8.895097732543945
2010-06-18,8.889128684997559
2010-06-21,8.805550575256348
2010-06-22,8.716001510620117
2010-06-23,8.698091506958008
2010-06-24,8.495118141174316
2010-06-25,8.692122459411621
2010-06-28,8.626452445983887
2010-06-29,8.304080963134766
2010-06-30,8.298112869262695
2010-07-01,8.268259048461914
2010-07-02,8.04140853881836
2010-07-06,7.784704208374023
2010-07-07,8.25632381439209
2010-07-08,8.316020965576172
2010-07-09,8.435417175292969
2010-07-12,8.507059097290039
2010-07-13,8.757790565490723
2010-07-14,8.542877197265625
2010-07-15,8.495118141174316
2010-07-16,8.280200958251953
2010-07-19,8.327960014343262
2010-07-20,8.47720718383789
2010-07-21,8.38766098022461
2010-07-22,8.781667709350586
2010-07-23,8.96076488494873
2010-07-26,9.21150016784668
2010-07-27,9.21150016784668
2010-07-28,9.21150016784668
2010-07-29,9.169713020324707
2010-07-30,9.259260177612305
2010-08-02,9.426416397094727
2010-08-03,9.444326400756836
2010-08-04,9.462235450744629
2010-08-05,9.42044448852539
2010-08-06,9.348807334899902
2010-08-09,9.569692611694336
2010-08-10,9.384626388549805
2010-08-11,9.193591117858887
2010-08-12,9.05628490447998
2010-08-13,8.918978691101074
2010-08-16,9.050313949584961
2010-08-17,9.348807334899902
2010-08-18,9.336864471435547
2010-08-19,9.038374900817871
2010-08-20,9.020464897155762
2010-08-23,8.853310585021973
2010-08-24,8.841368675231934
2010-08-25,9.092103004455566
2010-08-26,8.954795837402344
2010-08-27,9.06225299835205
2010-08-30,8.966737747192383
2010-08-31,9.127923965454102
2010-09-01,9.539844512939453
2010-09-02,9.521933555603027
2010-09-03,9.724906921386719
2010-09-07,9.557755470275879
2010-09-08,9.581634521484375
2010-09-09,9.372685432434082
2010-09-10,9.456266403198242
2010-09-13,9.726614952087402
2010-09-14,9.822738647460938
2010-09-15,9.972936630249023
2010-09-16,9.918867111206055
2010-09-17,9.966928482055664
2010-09-20,10.261311531066895
2010-09-21,9.954912185668945
2010-09-22,9.858790397644043
2010-09-23,9.63049030303955
2010-09-24,10.033011436462402
2010-09-27,9.79870891571045
