Date,HRL
2010-01-04,6.800990104675293
2010-01-05,6.836524963378906
2010-01-06,6.799212455749512
2010-01-07,6.761907577514648
2010-01-08,6.767236709594727
2010-01-11,6.779670715332031
2010-01-12,6.8471832275390625
2010-01-13,6.884492874145508
2010-01-14,6.886268615722656
2010-01-15,6.850734710693359
2010-01-19,6.905813217163086
2010-01-20,6.877230644226074
2010-01-21,6.889734745025635
2010-01-22,6.898666858673096
2010-01-25,6.895092010498047
2010-01-26,6.904026508331299
2010-01-27,6.952254772186279
2010-01-28,6.907598972320557
2010-01-29,6.912958145141602
2010-02-01,6.987979412078857
2010-02-02,7.080868721008301
2010-02-03,7.045145034790039
2010-02-04,6.934390544891357
2010-02-05,6.966544151306152
2010-02-08,6.941536903381348
2010-02-09,7.00941801071167
2010-02-10,7.077298164367676
2010-02-11,7.109448432922363
2010-02-12,7.084438800811768
2010-02-16,7.191618919372559
2010-02-17,7.25056791305542
2010-02-18,7.550661563873291
2010-02-19,7.4202680587768555
2010-02-22,7.4327712059021
2010-02-23,7.357743740081787
2010-02-24,7.400618076324463
2010-02-25,7.355959892272949
2010-02-26,7.343454360961914
2010-03-01,7.382751941680908
2010-03-02,7.472067356109619
2010-03-03,7.393470764160156
2010-03-04,7.466706275939941
2010-03-05,7.473853588104248
2010-03-08,7.445273399353027
2010-03-09,7.445273399353027
2010-03-10,7.436343193054199
2010-03-11,7.423838138580322
2010-03-12,7.372037410736084
2010-03-15,7.38096809387207
2010-03-16,7.393470764160156
2010-03-17,7.425624370574951
2010-03-18,7.423838138580322
2010-03-19,7.395256519317627
2010-03-22,7.4327712059021
2010-03-23,7.472067356109619
2010-03-24,7.477427959442139
2010-03-25,7.441701889038086
2010-03-26,7.493502616882324
2010-03-29,7.581029891967773
2010-03-30,7.53816032409668
2010-03-31,7.504220962524414
2010-04-01,7.532798767089844
2010-04-05,7.489930152893066
2010-04-06,7.4649224281311035
2010-04-07,7.459561347961426
2010-04-08,7.423838138580322
2010-04-09,7.459561347961426
2010-04-12,7.463135719299316
2010-04-13,7.491715431213379
2010-04-14,7.5330071449279785
2010-04-15,7.550963401794434
2010-04-16,7.509672164916992
2010-04-19,7.507875442504883
2010-04-20,7.49351167678833
2010-04-21,7.457605838775635
2010-04-22,7.215244770050049
2010-04-23,7.1847243309021
2010-04-26,7.0105814933776855
2010-04-27,7.039303779602051
2010-04-28,7.11829948425293
2010-04-29,7.29064416885376
2010-04-30,7.317573070526123
2010-05-03,7.346302032470703
2010-05-04,7.236788272857666
2010-05-05,7.321167945861816
2010-05-06,7.222424030303955
2010-05-07,7.22062873840332
2010-05-10,7.396569728851318
2010-05-11,7.36784029006958
2010-05-12,7.409135341644287
2010-05-13,7.401956081390381
2010-05-14,7.357071399688721
2010-05-17,7.4522223472595215
2010-05-18,7.500694274902344
2010-05-19,7.303214073181152
2010-05-20,7.218832492828369
2010-05-21,7.1721577644348145
2010-05-24,7.170358657836914
2010-05-25,7.096752643585205
2010-05-26,7.120094299316406
2010-05-27,7.164974689483643
2010-05-28,7.145225524902344
2010-06-01,7.191903114318848
2010-06-02,7.317573070526123
2010-06-03,7.39836311340332
2010-06-04,7.270895481109619
2010-06-07,7.247556209564209
2010-06-08,7.333733081817627
2010-06-09,7.335529804229736
2010-06-10,7.468377590179443
2010-06-11,7.450425624847412
2010-06-14,7.504284381866455
2010-06-15,7.572503089904785
2010-06-16,7.504284381866455
2010-06-17,7.651498317718506
2010-06-18,7.5671210289001465
2010-06-21,7.520442008972168
2010-06-22,7.468377590179443
2010-06-23,7.574300289154053
2010-06-24,7.541982650756836
2010-06-25,7.4611968994140625
2010-06-28,7.525829792022705
2010-06-29,7.405544281005859
2010-06-30,7.267306804656982
2010-07-01,7.371432781219482
2010-07-02,7.385794639587402
2010-07-06,7.450425624847412
2010-07-07,7.511463165283203
2010-07-08,7.543778419494629
2010-07-09,7.574300289154053
2010-07-12,7.543778419494629
2010-07-13,7.6676554679870605
2010-07-14,7.678427219390869
2010-07-15,7.683811187744141
2010-07-16,7.556345462799072
2010-07-19,7.57070779800415
2010-07-20,7.678427219390869
2010-07-21,7.5719804763793945
2010-07-22,7.645949840545654
2010-07-23,7.714504718780518
2010-07-26,7.929203987121582
2010-07-27,7.918378829956055
2010-07-28,7.790282726287842
2010-07-29,7.7072930335998535
2010-07-30,7.743374824523926
2010-08-02,7.7975006103515625
2010-08-03,7.766829967498779
2010-08-04,7.806519508361816
2010-08-05,7.756002902984619
2010-08-06,7.732551097869873
2010-08-09,7.790282726287842
2010-08-10,7.862452030181885
2010-08-11,7.714504718780518
2010-08-12,7.701879978179932
2010-08-13,7.7397661209106445
2010-08-16,7.745180606842041
2010-08-17,7.837193489074707
2010-08-18,7.867862701416016
2010-08-19,7.82456111907959
2010-08-20,7.84440803527832
2010-08-23,7.884097576141357
2010-08-24,7.822758197784424
2010-08-25,7.719921112060547
2010-08-26,7.766829967498779
2010-08-27,7.7794599533081055
2010-08-30,7.7036848068237305
2010-08-31,7.784872055053711
2010-09-01,7.866058826446533
2010-09-02,7.9364190101623535
2010-09-03,7.9977569580078125
2010-09-07,7.905747890472412
2010-09-08,7.949047565460205
2010-09-09,7.96348237991333
2010-09-10,8.037450790405273
2010-09-13,8.017603874206543
2010-09-14,8.033841133117676
2010-09-15,8.035645484924316
2010-09-16,7.988738536834717
2010-09-17,7.9670915603637695
2010-09-20,8.00858211517334
2010-09-21,8.028432846069336
2010-09-22,8.019408226013184
2010-09-23,8.001367568969727
2010-09-24,8.08796501159668
