Date,BLK
2010-01-04,159.8558349609375
2010-01-05,160.5458984375
2010-01-06,157.23594665527344
2010-01-07,158.96461486816406
2010-01-08,160.08360290527344
2010-01-11,162.6900177001953
2010-01-12,159.78207397460938
2010-01-13,160.41856384277344
2010-01-14,159.40013122558594
2010-01-15,159.52740478515625
2010-01-19,160.81393432617188
2010-01-20,159.64138793945312
2010-01-21,154.26771545410156
2010-01-22,150.7567596435547
2010-01-25,151.7350311279297
2010-01-26,150.56243896484375
2010-01-27,151.9427032470703
2010-01-28,147.16539001464844
2010-01-29,143.26583862304688
2010-02-01,145.10841369628906
2010-02-02,144.72650146484375
2010-02-03,147.83544921875
2010-02-04,141.54383850097656
2010-02-05,139.8955841064453
2010-02-08,137.12832641601562
2010-02-09,139.95587158203125
2010-02-10,141.46348571777344
2010-02-11,138.89727783203125
2010-02-12,138.80340576171875
2010-02-16,140.98101806640625
2010-02-17,142.77667236328125
2010-02-18,143.20555114746094
2010-02-19,144.39817810058594
2010-02-22,145.55064392089844
2010-02-23,143.96934509277344
2010-02-24,146.30775451660156
2010-02-25,146.26760864257812
2010-02-26,146.60252380371094
2010-03-01,146.06655883789062
2010-03-02,145.00123596191406
2010-03-03,144.7801055908203
2010-03-04,145.29164123535156
2010-03-05,147.97755432128906
2010-03-08,146.82643127441406
2010-03-09,146.05226135253906
2010-03-10,145.19747924804688
2010-03-11,141.6365203857422
2010-03-12,141.36053466796875
2010-03-15,142.82122802734375
2010-03-16,142.94241333007812
2010-03-17,149.976806640625
2010-03-18,151.90199279785156
2010-03-19,151.0201873779297
2010-03-22,151.92897033691406
2010-03-23,152.8040008544922
2010-03-24,151.4577178955078
2010-03-25,151.73365783691406
2010-03-26,147.6005859375
2010-03-29,148.12564086914062
2010-03-30,147.5063934326172
2010-03-31,146.58412170410156
2010-04-01,142.0673065185547
2010-04-05,138.66795349121094
2010-04-06,133.65301513671875
2010-04-07,133.9693603515625
2010-04-08,137.69862365722656
2010-04-09,138.7420196533203
2010-04-12,138.53334045410156
2010-04-13,139.27377319335938
2010-04-14,142.28945922851562
2010-04-15,139.1391143798828
2010-04-16,135.13392639160156
2010-04-19,136.385986328125
2010-04-20,136.7696533203125
2010-04-21,135.4368438720703
2010-04-22,139.8728485107422
2010-04-23,142.04713439941406
2010-04-26,129.88340759277344
2010-04-27,124.86849212646484
2010-04-28,124.15496826171875
2010-04-29,128.1601104736328
2010-04-30,123.8587875366211
2010-05-03,125.04350280761719
2010-05-04,119.60441589355469
2010-05-05,117.66577911376953
2010-05-06,115.52519989013672
2010-05-07,115.86182403564453
2010-05-10,118.85723114013672
2010-05-11,115.10111999511719
2010-05-12,117.10710144042969
2010-05-13,116.03004455566406
2010-05-14,114.24624633789062
2010-05-17,115.10780334472656
2010-05-18,113.41830444335938
2010-05-19,113.05477142333984
2010-05-20,107.77056884765625
2010-05-21,112.05847930908203
2010-05-24,109.02261352539062
2010-05-25,109.34571838378906
2010-05-26,110.4227523803711
2010-05-27,116.04351043701172
2010-05-28,113.00763702392578
2010-06-01,109.85733795166016
2010-06-02,110.91417694091797
2010-06-03,110.96154022216797
2010-06-04,108.0155258178711
2010-06-07,106.66777801513672
2010-06-08,105.98372650146484
2010-06-09,104.91365051269531
2010-06-10,106.31556701660156
2010-06-11,107.7784423828125
2010-06-14,107.52789306640625
2010-06-15,110.58232116699219
2010-06-16,109.39032745361328
2010-06-17,107.93423461914062
2010-06-18,107.52789306640625
2010-06-21,106.95223999023438
2010-06-22,105.54351806640625
2010-06-23,105.00849151611328
2010-06-24,102.08951568603516
2010-06-25,103.17315673828125
2010-06-28,103.03767395019531
2010-06-29,98.60843658447266
2010-06-30,97.11844635009766
2010-07-01,95.03254699707031
2010-07-02,96.70532989501953
2010-07-06,98.34429168701172
2010-07-07,100.55892944335938
2010-07-08,103.1121597290039
2010-07-09,104.95438385009766
2010-07-12,104.39896392822266
2010-07-13,106.26139068603516
2010-07-14,105.14391326904297
2010-07-15,104.29064178466797
2010-07-16,101.00591278076172
2010-07-19,100.32188415527344
2010-07-20,101.1549072265625
2010-07-21,97.07103729248047
2010-07-22,102.40779113769531
2010-07-23,104.62920379638672
2010-07-26,108.12384796142578
2010-07-27,106.72196197509766
2010-07-28,106.32917022705078
2010-07-29,107.1689224243164
2010-07-30,106.66099548339844
2010-08-02,110.29110717773438
2010-08-03,108.92981719970703
2010-08-04,108.65210723876953
2010-08-05,108.71307373046875
2010-08-06,106.43753051757812
2010-08-09,108.12384796142578
2010-08-10,107.9612808227539
2010-08-11,103.58625030517578
2010-08-12,101.24967956542969
2010-08-13,102.65840148925781
2010-08-16,102.14371490478516
2010-08-17,102.8751449584961
2010-08-18,101.91340637207031
2010-08-19,99.78006744384766
2010-08-20,98.47295379638672
2010-08-23,96.94910430908203
2010-08-24,95.75717163085938
2010-08-25,95.62847900390625
2010-08-26,94.4365234375
2010-08-27,95.59461975097656
2010-08-30,96.28546142578125
2010-08-31,96.81744384765625
2010-09-01,99.968505859375
2010-09-02,101.83052062988281
2010-09-03,103.36515045166016
2010-09-07,102.8399429321289
2010-09-08,103.63113403320312
2010-09-09,102.81269073486328
2010-09-10,103.0991439819336
2010-09-13,102.77860260009766
2010-09-14,108.82156372070312
2010-09-15,112.47050476074219
2010-09-16,110.86090850830078
2010-09-17,112.5728530883789
2010-09-20,117.09484100341797
2010-09-21,114.4144058227539
2010-09-22,113.04342651367188
2010-09-23,110.26744842529297
2010-09-24,114.05974578857422
2010-09-27,113.15263366699219
2010-09-28,115.04192352294922
