Date,USB
2010-01-04,14.391040802001953
2010-01-05,14.755850791931152
2010-01-06,14.913098335266113
2010-01-07,15.202424049377441
2010-01-08,15.227595329284668
2010-01-11,15.296771049499512
2010-01-12,15.290486335754395
2010-01-13,15.542073249816895
2010-01-14,15.93204402923584
2010-01-15,15.485467910766602
2010-01-19,15.403703689575195
2010-01-20,15.730767250061035
2010-01-21,15.812541007995605
2010-01-22,15.51691722869873
2010-01-25,15.604976654052734
2010-01-26,15.290486335754395
2010-01-27,15.799958229064941
2010-01-28,15.718192100524902
2010-01-29,15.774797439575195
2010-02-01,15.837700843811035
2010-02-02,15.642712593078613
2010-02-03,15.384833335876465
2010-02-04,14.875353813171387
2010-02-05,15.076628684997559
2010-02-08,14.7747220993042
2010-02-09,14.7747220993042
2010-02-10,14.850197792053223
2010-02-11,14.7747220993042
2010-02-12,14.630054473876953
2010-02-16,15.007447242736816
2010-02-17,14.925674438476562
2010-02-18,15.03889274597168
2010-02-19,15.183557510375977
2010-02-22,15.441439628601074
2010-02-23,15.265323638916016
2010-02-24,15.586104393005371
2010-02-25,15.284192085266113
2010-02-26,15.479174613952637
2010-03-01,15.416275978088379
2010-03-02,15.560940742492676
2010-03-03,15.504337310791016
2010-03-04,15.560940742492676
2010-03-05,15.8502779006958
2010-03-08,15.718192100524902
2010-03-09,15.51691722869873
2010-03-10,15.69932746887207
2010-03-11,16.02010154724121
2010-03-12,16.145898818969727
2010-03-15,16.290555953979492
2010-03-16,16.428936004638672
2010-03-17,16.48554039001465
2010-03-18,16.34716796875
2010-03-19,16.44151496887207
2010-03-22,16.491830825805664
2010-03-23,16.510704040527344
2010-03-24,16.47296714782715
2010-03-25,16.460384368896484
2010-03-26,16.38490867614746
2010-03-29,16.359697341918945
2010-03-30,16.296672821044922
2010-03-31,16.30927848815918
2010-04-01,16.536157608032227
2010-04-05,16.68109703063965
2010-04-06,17.065509796142578
2010-04-07,16.826038360595703
2010-04-08,17.09701156616211
2010-04-09,17.115924835205078
2010-04-12,17.33649444580078
2010-04-13,17.349092483520508
2010-04-14,17.80282974243164
2010-04-15,17.80912971496582
2010-04-16,17.29868507385254
2010-04-19,17.399507522583008
2010-04-20,17.777629852294922
2010-04-21,17.607473373413086
2010-04-22,17.24826431274414
2010-04-23,17.204158782958984
2010-04-26,16.933168411254883
2010-04-27,16.529850006103516
2010-04-28,16.74411392211914
2010-04-29,17.197853088378906
2010-04-30,16.870149612426758
2010-05-03,17.15373420715332
2010-05-04,16.700002670288086
2010-05-05,16.649587631225586
2010-05-06,16.057207107543945
2010-05-07,15.849245071411133
2010-05-10,16.725208282470703
2010-05-11,16.813440322875977
2010-05-12,16.939470291137695
2010-05-13,16.624378204345703
2010-05-14,16.076120376586914
2010-05-17,16.139131546020508
2010-05-18,15.351404190063477
2010-05-19,15.219057083129883
2010-05-20,14.626681327819824
2010-05-21,15.111926078796387
2010-05-24,14.866155624389648
2010-05-25,15.055205345153809
2010-05-26,14.891365051269531
2010-05-27,15.39551067352295
2010-05-28,15.099324226379395
2010-06-01,14.67709732055664
2010-06-02,15.118223190307617
2010-06-03,14.853545188903809
2010-06-04,14.399815559387207
2010-06-07,14.154038429260254
2010-06-08,14.330486297607422
2010-06-09,14.223362922668457
2010-06-10,14.92286491394043
2010-06-11,14.68970012664795
2010-06-14,14.380908012390137
2010-06-15,14.620377540588379
2010-06-16,14.569969177246094
2010-06-17,14.532145500183105
2010-06-18,14.853545188903809
2010-06-21,14.916571617126465
2010-06-22,14.840949058532715
2010-06-23,14.576263427734375
2010-06-24,14.248567581176758
2010-06-25,14.721209526062012
2010-06-28,14.594902038574219
2010-06-29,14.285449981689453
2010-06-30,14.114931106567383
2010-07-01,14.10229778289795
2010-07-02,13.818099975585938
2010-07-06,13.919153213500977
2010-07-07,14.481226921081543
2010-07-08,14.676997184753418
2010-07-09,15.100133895874023
2010-07-12,15.01171588897705
2010-07-13,15.428539276123047
2010-07-14,15.24538516998291
2010-07-15,15.409590721130371
2010-07-16,14.550694465637207
2010-07-19,14.519116401672363
2010-07-20,14.620165824890137
2010-07-21,14.569632530212402
2010-07-22,14.94225025177002
2010-07-23,14.967509269714355
2010-07-26,15.23275375366211
2010-07-27,15.352751731872559
2010-07-28,15.138020515441895
2010-07-29,15.1190824508667
2010-07-30,15.09381103515625
2010-08-02,15.47905445098877
2010-08-03,15.295909881591797
2010-08-04,15.112765312194824
2010-08-05,14.954878807067871
2010-08-06,14.6643705368042
2010-08-09,14.9296236038208
2010-08-10,14.80331039428711
2010-08-11,14.197027206420898
2010-08-12,14.171769142150879
2010-08-13,14.03282642364502
2010-08-16,13.97598934173584
2010-08-17,14.089668273925781
2010-08-18,14.146507263183594
2010-08-19,13.717060089111328
2010-08-20,13.72968864440918
2010-08-23,13.660223007202148
2010-08-24,13.4581298828125
2010-08-25,13.401286125183105
2010-08-26,13.243404388427734
2010-08-27,13.679169654846191
2010-08-30,13.079201698303223
2010-08-31,13.136039733886719
2010-09-01,13.77389907836914
2010-09-02,13.969677925109863
2010-09-03,14.317022323608398
2010-09-07,14.039142608642578
2010-09-08,14.095983505249023
2010-09-09,14.304397583007812
2010-09-10,14.291764259338379
2010-09-13,14.759105682373047
2010-09-14,14.689630508422852
2010-09-15,14.317022323608398
2010-09-16,14.335973739624023
2010-09-17,14.405437469482422
2010-09-20,14.702259063720703
2010-09-21,14.44333267211914
2010-09-22,14.22229290008545
2010-09-23,13.780217170715332
2010-09-24,14.152823448181152
2010-09-27,13.8054780960083
2010-09-28,13.818136215209961
