Date,OKE
2010-01-04,8.70603084564209
2010-01-05,8.629636764526367
2010-01-06,8.679295539855957
2010-01-07,8.621993064880371
2010-01-08,8.671655654907227
2010-01-11,8.864570617675781
2010-01-12,8.734686851501465
2010-01-13,8.770979881286621
2010-01-14,8.719407081604004
2010-01-15,8.579972267150879
2010-01-19,8.78052806854248
2010-01-20,8.78052806854248
2010-01-21,8.70603084564209
2010-01-22,8.555144309997559
2010-01-25,8.637274742126465
2010-01-26,8.658286094665527
2010-01-27,8.46926212310791
2010-01-28,8.378610610961914
2010-01-29,8.137514114379883
2010-02-01,8.309174537658691
2010-02-02,8.351611137390137
2010-02-03,8.282174110412598
2010-02-04,7.981283187866211
2010-02-05,7.859772682189941
2010-02-08,7.834693908691406
2010-02-09,7.975496292114258
2010-02-10,7.927279949188232
2010-02-11,8.027573585510254
2010-02-12,8.03722095489502
2010-02-16,8.185734748840332
2010-02-17,8.239737510681152
2010-02-18,8.233951568603516
2010-02-19,8.293745040893555
2010-02-22,8.384395599365234
2010-02-23,8.286030769348145
2010-02-24,8.46926212310791
2010-02-25,8.519412994384766
2010-02-26,8.550271987915039
2010-03-01,8.727720260620117
2010-03-02,8.789443016052246
2010-03-03,8.849235534667969
2010-03-04,9.036322593688965
2010-03-05,9.04404067993164
2010-03-08,8.945672988891602
2010-03-09,8.993889808654785
2010-03-10,9.04404067993164
2010-03-11,9.094188690185547
2010-03-12,8.999678611755371
2010-03-15,8.982316017150879
2010-03-16,8.99582290649414
2010-03-17,9.018965721130371
2010-03-18,9.026681900024414
2010-03-19,8.86273193359375
2010-03-22,8.843448638916016
2010-03-23,8.953387260437012
2010-03-24,8.899383544921875
2010-03-25,8.806802749633789
2010-03-26,8.73736572265625
2010-03-29,8.883951187133789
2010-03-30,8.887808799743652
2010-03-31,8.804872512817383
2010-04-01,9.020894050598145
2010-04-05,9.152050018310547
2010-04-06,9.258135795593262
2010-04-07,9.18097972869873
2010-04-08,9.086474418640137
2010-04-09,9.1771240234375
2010-04-12,9.207988739013672
2010-04-13,9.169411659240723
2010-04-14,9.234989166259766
2010-04-15,9.229201316833496
2010-04-16,9.152050018310547
2010-04-19,9.14047908782959
2010-04-20,9.352646827697754
2010-04-21,9.366148948669434
2010-04-22,9.487661361694336
2010-04-23,9.651609420776367
2010-04-26,9.680537223815918
2010-04-27,9.362288475036621
2010-04-28,9.510215759277344
2010-04-29,9.576395988464355
2010-04-30,9.564717292785645
2010-05-03,9.8722505569458
2010-05-04,9.68344783782959
2010-05-05,9.434303283691406
2010-05-06,9.03139877319336
2010-05-07,8.951593399047852
2010-05-10,9.43235969543457
2010-05-11,9.50048542022705
2010-05-12,9.648412704467773
2010-05-13,9.479071617126465
2010-05-14,9.194894790649414
2010-05-17,9.144290924072266
2010-05-18,8.94964599609375
2010-05-19,8.811454772949219
2010-05-20,8.350149154663086
2010-05-21,8.412432670593262
2010-05-24,8.328740119934082
2010-05-25,8.174969673156738
2010-05-26,8.359880447387695
2010-05-27,8.68493366241455
2010-05-28,8.655733108520508
2010-06-01,8.336525917053223
2010-06-02,8.712185859680176
2010-06-03,8.815340995788574
2010-06-04,8.441633224487305
2010-06-07,8.264505386352539
2010-06-08,8.389077186584473
2010-06-09,8.412432670593262
2010-06-10,8.770573616027832
2010-06-11,8.817291259765625
2010-06-14,8.875683784484863
2010-06-15,9.13455867767334
2010-06-16,9.101466178894043
2010-06-17,9.165701866149902
2010-06-18,9.148180961608887
2010-06-21,9.144290924072266
2010-06-22,8.852331161499023
2010-06-23,8.661576271057129
2010-06-24,8.642111778259277
2010-06-25,8.799777030944824
2010-06-28,8.900986671447754
2010-06-29,8.505863189697266
2010-06-30,8.418272972106934
2010-07-01,8.278135299682617
2010-07-02,8.231417655944824
2010-07-06,8.340418815612793
2010-07-07,8.58566665649414
2010-07-08,8.735541343688965
2010-07-09,8.828971862792969
2010-07-12,8.803664207458496
2010-07-13,8.957430839538574
2010-07-14,8.893204689025879
2010-07-15,8.951593399047852
2010-07-16,8.774469375610352
2010-07-19,8.819234848022461
2010-07-20,8.928238868713379
2010-07-21,8.770573616027832
2010-07-22,8.881521224975586
2010-07-23,8.945754051208496
2010-07-26,9.159858703613281
2010-07-27,9.325308799743652
2010-07-28,9.242762565612793
2010-07-29,9.136638641357422
2010-07-30,9.144500732421875
2010-08-02,9.40588092803955
2010-08-03,9.315481185913086
2010-08-04,9.307616233825684
2010-08-05,9.276176452636719
2010-08-06,9.170049667358398
2010-08-09,9.223114013671875
2010-08-10,9.189699172973633
2010-08-11,8.861498832702637
2010-08-12,8.820228576660156
2010-08-13,8.8831148147583
2010-08-16,8.841846466064453
2010-08-17,8.991206169128418
2010-08-18,8.928314208984375
2010-08-19,8.763236999511719
2010-08-20,8.645316123962402
2010-08-23,8.604044914245605
2010-08-24,8.531332015991211
2010-08-25,8.562776565551758
2010-08-26,8.5490140914917
2010-08-27,8.708207130432129
2010-08-30,8.492022514343262
2010-08-31,8.433065414428711
2010-09-01,8.69248104095459
2010-09-02,8.655139923095703
2010-09-03,8.81039810180664
2010-09-07,8.572595596313477
2010-09-08,8.623697280883789
2010-09-09,8.71213150024414
2010-09-10,8.737685203552246
2010-09-13,8.749475479125977
2010-09-14,8.76716423034668
2010-09-15,8.721963882446289
2010-09-16,8.688551902770996
2010-09-17,8.635488510131836
2010-09-20,8.718031883239746
2010-09-21,8.653176307678223
2010-09-22,8.682655334472656
2010-09-23,8.623697280883789
2010-09-24,8.81039810180664
2010-09-27,8.745543479919434
2010-09-28,8.763236999511719
