Date,NKE
2010-01-04,13.420441627502441
2010-01-05,13.473838806152344
2010-01-06,13.391692161560059
2010-01-07,13.523128509521484
2010-01-08,13.496431350708008
2010-01-11,13.330082893371582
2010-01-12,13.311602592468262
2010-01-13,13.43071174621582
2010-01-14,13.346513748168945
2010-01-15,13.223292350769043
2010-01-19,13.28901195526123
2010-01-20,13.180171966552734
2010-01-21,13.069273948669434
2010-01-22,12.933733940124512
2010-01-25,13.075437545776367
2010-01-26,13.089814186096191
2010-01-27,13.143206596374512
2010-01-28,13.044633865356445
2010-01-29,13.091861724853516
2010-02-01,13.163738250732422
2010-02-02,13.128827095031738
2010-02-03,13.143206596374512
2010-02-04,12.750959396362305
2010-02-05,12.670870780944824
2010-02-08,12.588726043701172
2010-02-09,12.837214469909668
2010-02-10,12.863908767700195
2010-02-11,12.927573204040527
2010-02-12,12.833105087280273
2010-02-16,13.071327209472656
2010-02-17,13.241781234741211
2010-02-18,13.233565330505371
2010-02-19,13.215078353881836
2010-02-22,13.206866264343262
2010-02-23,13.169900894165039
2010-02-24,13.334193229675293
2010-02-25,13.586788177490234
2010-02-26,13.882512092590332
2010-03-01,14.013943672180176
2010-03-02,13.970816612243652
2010-03-03,13.890727996826172
2010-03-04,13.944328308105469
2010-03-05,14.086599349975586
2010-03-08,14.189698219299316
2010-03-09,14.212376594543457
2010-03-10,14.251545906066895
2010-03-11,14.381450653076172
2010-03-12,14.412374496459961
2010-03-15,14.513405799865723
2010-03-16,14.511340141296387
2010-03-17,14.614437103271484
2010-03-18,15.393821716308594
2010-03-19,15.158769607543945
2010-03-22,15.232985496520996
2010-03-23,15.358758926391602
2010-03-24,15.129895210266113
2010-03-25,15.169075965881348
2010-03-26,15.235055923461914
2010-03-29,15.25155258178711
2010-03-30,15.218557357788086
2010-03-31,15.154644966125488
2010-04-01,15.259793281555176
2010-04-05,15.280417442321777
2010-04-06,15.239182472229004
2010-04-07,15.173206329345703
2010-04-08,15.255666732788086
2010-04-09,15.5010347366333
2010-04-12,15.573199272155762
2010-04-13,15.569064140319824
2010-04-14,15.628872871398926
2010-04-15,15.595884323120117
2010-04-16,15.498970985412598
2010-04-19,15.583507537841797
2010-04-20,15.744332313537598
2010-04-21,15.818561553955078
2010-04-22,16.129907608032227
2010-04-23,16.061864852905273
2010-04-26,16.086606979370117
2010-04-27,15.822677612304688
2010-04-28,15.760828018188477
2010-04-29,15.993821144104004
2010-04-30,15.651541709899902
2010-05-03,16.03505516052246
2010-05-04,15.948460578918457
2010-05-05,15.507219314575195
2010-05-06,14.907215118408203
2010-05-07,14.558762550354004
2010-05-10,15.804121017456055
2010-05-11,15.758760452270508
2010-05-12,16.051549911499023
2010-05-13,15.57732105255127
2010-05-14,15.20412826538086
2010-05-17,15.181451797485352
2010-05-18,15.037117958068848
2010-05-19,14.896904945373535
2010-05-20,14.496908187866211
2010-05-21,14.71959114074707
2010-05-24,14.709277153015137
2010-05-25,15.032994270324707
2010-05-26,14.952582359313965
2010-05-27,15.237117767333984
2010-05-28,14.923710823059082
2010-06-01,14.676287651062012
2010-06-02,15.051548957824707
2010-06-03,15.237811088562012
2010-06-04,14.645923614501953
2010-06-07,14.401721954345703
2010-06-08,14.540380477905273
2010-06-09,14.488643646240234
2010-06-10,14.848732948303223
2010-06-11,14.968770980834961
2010-06-14,14.946005821228027
2010-06-15,15.3102388381958
2010-06-16,15.279197692871094
2010-06-17,15.432345390319824
2010-06-18,15.5089111328125
2010-06-21,15.38680648803711
2010-06-22,14.995675086975098
2010-06-23,15.008094787597656
2010-06-24,14.410002708435059
2010-06-25,14.511409759521484
2010-06-28,14.590046882629395
2010-06-29,14.107854843139648
2010-06-30,13.979544639587402
2010-07-01,14.08715534210205
2010-07-02,14.04369831085205
2010-07-06,13.909175872802734
2010-07-07,14.188562393188477
2010-07-08,14.54451847076416
2010-07-09,14.517616271972656
2010-07-12,14.447246551513672
2010-07-13,14.583843231201172
2010-07-14,14.5983247756958
2010-07-15,14.621089935302734
2010-07-16,14.271347999572754
2010-07-19,14.1989107131958
2010-07-20,14.453461647033691
2010-07-21,14.414135932922363
2010-07-22,14.80941390991211
2010-07-23,15.053617477416992
2010-07-26,15.1529541015625
2010-07-27,15.24815559387207
2010-07-28,15.1301851272583
2010-07-29,15.217108726501465
2010-07-30,15.23987102508545
2010-08-02,15.38060474395752
2010-08-03,15.12812328338623
2010-08-04,15.31438159942627
2010-08-05,15.326794624328613
2010-08-06,15.306093215942383
2010-08-09,15.339217185974121
2010-08-10,15.295755386352539
2010-08-11,14.917033195495605
2010-08-12,14.801140785217285
2010-08-13,14.606608390808105
2010-08-16,14.705934524536133
2010-08-17,14.84045696258545
2010-08-18,14.950142860412598
2010-08-19,14.763882637023926
2010-08-20,14.747337341308594
2010-08-23,14.683178901672363
2010-08-24,14.49692440032959
2010-08-25,14.513470649719238
2010-08-26,14.567283630371094
2010-08-27,14.681112289428711
2010-08-30,14.561073303222656
2010-08-31,14.486568450927734
2010-09-01,14.927376747131348
2010-09-02,15.155875205993652
2010-09-03,15.423851013183594
2010-09-07,15.376073837280273
2010-09-08,15.40099811553955
2010-09-09,15.355299949645996
2010-09-10,15.319986343383789
2010-09-13,15.513172149658203
2010-09-14,15.635733604431152
2010-09-15,15.903702735900879
2010-09-16,15.920316696166992
2010-09-17,16.04911231994629
2010-09-20,16.279691696166992
2010-09-21,16.138446807861328
2010-09-22,16.05949592590332
2010-09-23,16.134288787841797
2010-09-24,16.528961181640625
2010-09-27,16.43340492248535
2010-09-28,16.751237869262695
