Date,KDP
2010-01-04,3.1746644973754883
2010-01-05,3.1375718116760254
2010-01-06,3.2073915004730225
2010-01-07,3.1724815368652344
2010-01-08,3.149571657180786
2010-01-11,3.1288437843322754
2010-01-12,3.077568292617798
2010-01-13,3.1048433780670166
2010-01-14,3.109206199645996
2010-01-15,3.102661609649658
2010-01-19,3.0982978343963623
2010-01-20,3.0917513370513916
2010-01-21,3.027385950088501
2010-01-22,2.9848384857177734
2010-01-25,2.9848384857177734
2010-01-26,2.9924752712249756
2010-01-27,3.0001118183135986
2010-01-28,3.0121119022369385
2010-01-29,3.0175669193267822
2010-02-01,3.03283953666687
2010-02-02,3.061204433441162
2010-02-03,3.061204433441162
2010-02-04,2.9281084537506104
2010-02-05,2.956475019454956
2010-02-08,2.9281084537506104
2010-02-09,2.9302921295166016
2010-02-10,2.9281084537506104
2010-02-11,2.964109420776367
2010-02-12,2.954291582107544
2010-02-16,2.9935665130615234
2010-02-17,3.119025707244873
2010-02-18,3.1790273189544678
2010-02-19,3.1561176776885986
2010-02-22,3.1255712509155273
2010-02-23,3.1004798412323
2010-02-24,3.1255712509155273
2010-02-25,3.4724936485290527
2010-02-26,3.4637653827667236
2010-03-01,3.401580810546875
2010-03-02,3.4364917278289795
2010-03-03,3.4528560638427734
2010-03-04,3.485583782196045
2010-03-05,3.5292227268218994
2010-03-08,3.5837700366973877
2010-03-09,3.6514081954956055
2010-03-10,3.6710457801818848
2010-03-11,3.821596622467041
2010-03-12,3.815051317214966
2010-03-15,3.8128693103790283
2010-03-16,3.978694438934326
2010-03-17,4.0016021728515625
2010-03-18,4.016938209533691
2010-03-19,3.9632630348205566
2010-03-22,4.031178951263428
2010-03-23,4.005984783172607
2010-03-24,3.979696035385132
2010-03-25,3.95778489112854
2010-03-26,3.921638011932373
2010-03-29,3.904109477996826
2010-03-30,3.903015375137329
2010-03-31,3.852625846862793
2010-04-01,3.886584997177124
2010-04-05,3.885488748550415
2010-04-06,3.8832972049713135
2010-04-07,3.8285250663757324
2010-04-08,3.8581020832061768
2010-04-09,3.8504343032836914
2010-04-12,3.836195468902588
2010-04-13,3.819761276245117
2010-04-14,3.80661678314209
2010-04-15,3.749654769897461
2010-04-16,3.727747917175293
2010-04-19,3.7343199253082275
2010-04-20,3.7255547046661377
2010-04-21,3.701456308364868
2010-04-22,3.6587345600128174
2010-04-23,3.6795477867126465
2010-04-26,3.728841781616211
2010-04-27,3.639017105102539
2010-04-28,3.670783758163452
2010-04-29,3.762798547744751
2010-04-30,3.5853397846221924
2010-05-03,3.7452731132507324
2010-05-04,3.6401124000549316
2010-05-05,3.723365545272827
2010-05-06,3.764988899230957
2010-05-07,3.9128735065460205
2010-05-10,4.011463642120361
2010-05-11,4.028989791870117
2010-05-12,4.1483917236328125
2010-05-13,4.150580406188965
2010-05-14,4.08047342300415
2010-05-17,4.162630558013916
2010-05-18,4.175776481628418
2010-05-19,4.170300006866455
2010-05-20,3.9731242656707764
2010-05-21,4.022416591644287
2010-05-24,4.0344672203063965
2010-05-25,4.0651373863220215
2010-05-26,4.0848565101623535
2010-05-27,4.181252956390381
2010-05-28,4.1472954750061035
2010-06-01,4.124294281005859
2010-06-02,4.156059741973877
2010-06-03,4.074997425079346
2010-06-04,3.9972221851348877
2010-06-07,3.9271140098571777
2010-06-08,4.002699375152588
2010-06-09,3.95888090133667
2010-06-10,4.038847923278809
2010-06-11,4.0848565101623535
2010-06-14,4.101288795471191
2010-06-15,4.138530731201172
2010-06-16,4.164822578430176
2010-06-17,4.216649055480957
2010-06-18,4.185773849487305
2010-06-21,4.20562219619751
2010-06-22,4.126229286193848
2010-06-23,4.111893653869629
2010-06-24,4.099763870239258
2010-06-25,4.032500267028809
2010-06-28,4.197903633117676
2010-06-29,4.167028427124023
2010-06-30,4.122921943664551
2010-07-01,4.128433704376221
2010-07-02,4.1107916831970215
2010-07-06,4.1868767738342285
2010-07-07,4.190184116363525
2010-07-08,4.21223783493042
2010-07-09,4.249728679656982
2010-07-12,4.254139423370361
2010-07-13,4.318094253540039
2010-07-14,4.3280181884765625
2010-07-15,4.298246383666992
2010-07-16,4.217750549316406
2010-07-19,4.287220001220703
2010-07-20,4.366613388061523
2010-07-21,4.287220001220703
2010-07-22,4.366613388061523
2010-07-23,4.390870571136475
2010-07-26,4.42174768447876
2010-07-27,4.37764310836792
2010-07-28,4.215545177459717
2010-07-29,4.0931477546691895
2010-07-30,4.140564441680908
2010-08-02,4.158207416534424
2010-08-03,4.149384498596191
2010-08-04,4.164822101593018
2010-08-05,4.111893653869629
2010-08-06,4.065581321716309
2010-08-09,4.050144195556641
2010-08-10,4.108586311340332
2010-08-11,4.0633769035339355
2010-08-12,4.078812122344971
2010-08-13,4.062273025512695
2010-08-16,4.060065746307373
2010-08-17,4.0545549392700195
2010-08-18,4.0710930824279785
2010-08-19,4.057862281799316
2010-08-20,4.053451061248779
2010-08-23,4.02808952331543
2010-08-24,4.068889141082764
2010-08-25,4.104175090789795
2010-08-26,4.087636470794678
2010-08-27,4.1218180656433105
2010-08-30,4.079915523529053
2010-08-31,4.060065746307373
2010-09-01,4.158207416534424
2010-09-02,4.195698261260986
2010-09-03,4.223264217376709
2010-09-07,4.2111358642578125
2010-09-08,4.204520225524902
2010-09-09,3.924438714981079
2010-09-10,3.829606056213379
2010-09-13,3.843942165374756
2010-09-14,3.819683313369751
2010-09-15,3.925541877746582
2010-09-16,3.9077727794647217
2010-09-17,3.9210996627807617
2010-09-20,3.9299826622009277
2010-09-21,3.864464044570923
