Date,TXN
2010-01-04,17.28887176513672
2010-01-05,17.189167022705078
2010-01-06,17.06287384033203
2010-01-07,17.116050720214844
2010-01-08,17.508224487304688
2010-01-11,17.282224655151367
2010-01-12,16.557701110839844
2010-01-13,16.630817413330078
2010-01-14,16.42475128173828
2010-01-15,16.285175323486328
2010-01-19,16.4314022064209
2010-01-20,16.318410873413086
2010-01-21,16.072473526000977
2010-01-22,15.361242294311523
2010-01-25,15.746761322021484
2010-01-26,15.520769119262695
2010-01-27,15.64040756225586
2010-01-28,15.39988899230957
2010-01-29,15.032434463500977
2010-02-01,15.39988899230957
2010-02-02,15.573603630065918
2010-02-03,15.50010871887207
2010-02-04,15.092570304870605
2010-02-05,15.346444129943848
2010-02-08,15.433298110961914
2010-02-09,15.620370864868164
2010-02-10,15.660451889038086
2010-02-11,15.880931854248047
2010-02-12,16.054636001586914
2010-02-16,16.562406539916992
2010-02-17,16.508953094482422
2010-02-18,16.589122772216797
2010-02-19,16.709386825561523
2010-02-22,16.52231788635254
2010-02-23,16.235021591186523
2010-02-24,16.535676956176758
2010-02-25,16.382009506225586
2010-02-26,16.288471221923828
2010-03-01,16.45550537109375
2010-03-02,16.35528564453125
2010-03-03,16.301837921142578
2010-03-04,16.482227325439453
2010-03-05,16.682659149169922
2010-03-08,16.495590209960938
2010-03-09,16.161540985107422
2010-03-10,16.42877960205078
2010-03-11,16.081361770629883
2010-03-12,16.03460121154785
2010-03-15,15.994508743286133
2010-03-16,16.488908767700195
2010-03-17,16.642576217651367
2010-03-18,16.51563262939453
2010-03-19,16.275114059448242
2010-03-22,16.52231788635254
2010-03-23,17.00334930419922
2010-03-24,16.562406539916992
2010-03-25,16.562406539916992
2010-03-26,16.535676956176758
2010-03-29,16.52231788635254
2010-03-30,16.442140579223633
2010-03-31,16.348609924316406
2010-04-01,16.45550537109375
2010-04-05,16.96327018737793
2010-04-06,16.736108779907227
2010-04-07,16.91650390625
2010-04-08,16.51563262939453
2010-04-09,16.662616729736328
2010-04-12,17.163700103759766
2010-04-13,17.283958435058594
2010-04-14,17.972116470336914
2010-04-15,18.032238006591797
2010-04-16,17.75831413269043
2010-04-19,17.658103942871094
2010-04-20,17.805086135864258
2010-04-21,17.651416778564453
2010-04-22,17.704866409301758
2010-04-23,17.818439483642578
2010-04-26,18.145824432373047
2010-04-27,17.731595993041992
2010-04-28,17.71817398071289
2010-04-29,18.1275691986084
2010-04-30,17.45642852783203
2010-05-03,17.751724243164062
2010-05-04,17.27521514892578
2010-05-05,17.362462997436523
2010-05-06,16.82555389404297
2010-05-07,16.60407066345215
2010-05-10,17.32890510559082
2010-05-11,17.21480941772461
2010-05-12,17.516830444335938
2010-05-13,17.107421875
2010-05-14,16.69803237915039
2010-05-17,17.060449600219727
2010-05-18,16.4698486328125
2010-05-19,16.54366683959961
2010-05-20,16.28192901611328
2010-05-21,16.489978790283203
2010-05-24,16.268497467041016
2010-05-25,16.37588119506836
2010-05-26,16.20138931274414
2010-05-27,16.67789649963379
2010-05-28,16.38930320739746
2010-06-01,16.342323303222656
2010-06-02,16.617496490478516
2010-06-03,16.805419921875
2010-06-04,16.228235244750977
2010-06-07,15.885950088500977
2010-06-08,16.026885986328125
2010-06-09,15.932929992675781
2010-06-10,16.463136672973633
2010-06-11,16.409446716308594
2010-06-14,16.489978790283203
2010-06-15,17.248369216918945
2010-06-16,17.060449600219727
2010-06-17,17.13427734375
2010-06-18,17.08057975769043
2010-06-21,16.946353912353516
2010-06-22,16.610782623291016
2010-06-23,16.63092041015625
2010-06-24,16.295347213745117
2010-06-25,16.13426971435547
2010-06-28,16.349037170410156
2010-06-29,16.033605575561523
2010-06-30,15.624207496643066
2010-07-01,15.550376892089844
2010-07-02,15.510110855102539
2010-07-06,15.51682186126709
2010-07-07,16.275209426879883
2010-07-08,16.255075454711914
2010-07-09,16.4295711517334
2010-07-12,16.610782623291016
2010-07-13,17.040319442749023
2010-07-14,16.838964462280273
2010-07-15,17.04702377319336
2010-07-16,16.62420654296875
2010-07-19,17.14769744873047
2010-07-20,16.62420654296875
2010-07-21,16.443002700805664
2010-07-22,16.973203659057617
2010-07-23,17.033601760864258
2010-07-26,17.22152328491211
2010-07-27,17.16783332824707
2010-07-28,17.005998611450195
2010-07-29,16.776731491088867
2010-07-30,16.64861297607422
2010-08-02,16.931827545166016
2010-08-03,16.729530334472656
2010-08-04,16.97903060913086
2010-08-05,17.12737274169922
2010-08-06,17.16783332824707
2010-08-09,17.329668045043945
2010-08-10,17.09366226196289
2010-08-11,16.837421417236328
2010-08-12,16.459810256958008
2010-08-13,16.37215232849121
2010-08-16,16.54073143005371
2010-08-17,16.65536117553711
2010-08-18,16.796964645385742
2010-08-19,16.54073143005371
2010-08-20,16.65536117553711
2010-08-23,16.432842254638672
2010-08-24,16.36540412902832
2010-08-25,16.392375946044922
2010-08-26,16.06871795654297
2010-08-27,16.28449249267578
2010-08-30,15.677614212036133
2010-08-31,15.52253246307373
2010-09-01,16.014774322509766
2010-09-02,16.210317611694336
2010-09-03,16.40586280822754
2010-09-07,15.927109718322754
2010-09-08,15.967565536499023
2010-09-09,16.075458526611328
2010-09-10,15.981057167053223
2010-09-13,16.493528366088867
2010-09-14,16.64861297607422
2010-09-15,16.635128021240234
2010-09-16,16.844158172607422
2010-09-17,17.343154907226562
2010-09-20,17.437557220458984
2010-09-21,17.397096633911133
2010-09-22,17.15435218811035
2010-09-23,17.376867294311523
2010-09-24,18.159061431884766
2010-09-27,17.99048614501953
2010-09-28,18.246719360351562
