Date,AMGN
2010-01-04,39.91325378417969
2010-01-05,39.567508697509766
2010-01-06,39.270164489746094
2010-01-07,38.910579681396484
2010-01-08,39.256324768066406
2010-01-11,39.42919921875
2010-01-12,38.74461364746094
2010-01-13,39.090362548828125
2010-01-14,38.83451461791992
2010-01-15,38.89675521850586
2010-01-19,39.79570007324219
2010-01-20,39.55366516113281
2010-01-21,39.159515380859375
2010-01-22,39.13876724243164
2010-01-25,38.523338317871094
2010-01-26,39.12494659423828
2010-01-27,39.92708969116211
2010-01-28,40.162200927734375
2010-01-29,40.43879318237305
2010-02-01,40.60475158691406
2010-02-02,40.9574089050293
2010-02-03,40.846778869628906
2010-02-04,39.781856536865234
2010-02-05,39.885597229003906
2010-02-08,39.73347091674805
2010-02-09,39.56058120727539
2010-02-10,39.30473709106445
2010-02-11,39.06962585449219
2010-02-12,39.05579376220703
2010-02-16,39.40846252441406
2010-02-17,39.55366516113281
2010-02-18,39.60206604003906
2010-02-19,39.67813491821289
2010-02-22,39.484519958496094
2010-02-23,38.98664093017578
2010-02-24,39.2355842590332
2010-02-25,38.89675521850586
2010-02-26,39.145694732666016
2010-03-01,39.346229553222656
2010-03-02,39.325462341308594
2010-03-03,39.346229553222656
2010-03-04,39.256324768066406
2010-03-05,39.58131408691406
2010-03-08,39.837181091308594
2010-03-09,39.940914154052734
2010-03-10,39.954734802246094
2010-03-11,39.75420379638672
2010-03-12,39.712703704833984
2010-03-15,39.33930587768555
2010-03-16,39.70580291748047
2010-03-17,39.712703704833984
2010-03-18,40.32124328613281
2010-03-19,41.48986053466797
2010-03-22,41.55208969116211
2010-03-23,41.53135299682617
2010-03-24,40.846778869628906
2010-03-25,40.97815704345703
2010-03-26,41.08187484741211
2010-03-29,41.42762756347656
2010-03-30,41.55208969116211
2010-03-31,41.37921905517578
2010-04-01,42.043067932128906
2010-04-05,41.78029251098633
2010-04-06,41.69039535522461
2010-04-07,41.731868743896484
2010-04-08,41.84943389892578
2010-04-09,42.11220169067383
2010-04-12,41.745723724365234
2010-04-13,41.9600830078125
2010-04-14,42.27818298339844
2010-04-15,41.932430267333984
2010-04-16,41.98774719238281
2010-04-19,42.22977066040039
2010-04-20,41.61433410644531
2010-04-21,40.59783172607422
2010-04-22,40.217498779296875
2010-04-23,40.71537780761719
2010-04-26,40.404212951660156
2010-04-27,39.996219635009766
2010-04-28,40.231346130371094
2010-04-29,40.51485824584961
2010-04-30,39.62973403930664
2010-05-03,39.823368072509766
2010-05-04,39.297813415527344
2010-05-05,39.13876724243164
2010-05-06,37.8594856262207
2010-05-07,37.658958435058594
2010-05-10,38.43344497680664
2010-05-11,38.67546463012695
2010-05-12,39.13876724243164
2010-05-13,38.640892028808594
2010-05-14,37.81801223754883
2010-05-17,37.900997161865234
2010-05-18,37.80418395996094
2010-05-19,38.212158203125
2010-05-20,36.607887268066406
2010-05-21,36.26213836669922
2010-05-24,36.414276123046875
2010-05-25,36.33820343017578
2010-05-26,34.8238410949707
2010-05-27,35.563720703125
2010-05-28,35.80575180053711
2010-06-01,35.10042190551758
2010-06-02,38.78611755371094
2010-06-03,38.474937438964844
2010-06-04,37.57598876953125
2010-06-07,37.002052307128906
2010-06-08,37.21641540527344
2010-06-09,36.75310134887695
2010-06-10,37.3477897644043
2010-06-11,37.410030364990234
2010-06-14,37.3892822265625
2010-06-15,38.115352630615234
2010-06-16,38.18451690673828
2010-06-17,38.336639404296875
2010-06-18,38.17068099975586
2010-06-21,39.08344650268555
2010-06-22,38.806854248046875
2010-06-23,38.862159729003906
2010-06-24,38.827606201171875
2010-06-25,38.903656005859375
2010-06-28,38.315895080566406
2010-06-29,37.423858642578125
2010-06-30,36.37278747558594
2010-07-01,35.971717834472656
2010-07-02,35.75043869018555
2010-07-06,35.47383117675781
2010-07-07,35.54298400878906
2010-07-08,36.11692810058594
2010-07-09,36.34512710571289
2010-07-12,36.26213836669922
2010-07-13,36.48341751098633
2010-07-14,36.3866081237793
2010-07-15,36.59405517578125
2010-07-16,36.0754280090332
2010-07-19,37.064273834228516
2010-07-20,36.787689208984375
2010-07-21,36.13075256347656
2010-07-22,36.86375427246094
2010-07-23,36.47649383544922
2010-07-26,37.112667083740234
2010-07-27,37.69355010986328
2010-07-28,37.17491149902344
2010-07-29,36.90523147583008
2010-07-30,37.7073860168457
2010-08-02,37.94248580932617
2010-08-03,37.83184051513672
2010-08-04,38.55791473388672
2010-08-05,38.25365447998047
2010-08-06,38.68238067626953
2010-08-09,38.488765716552734
2010-08-10,38.53025436401367
2010-08-11,37.12651824951172
2010-08-12,37.8594856262207
2010-08-13,38.04621124267578
2010-08-16,37.39619445800781
2010-08-17,37.31320571899414
2010-08-18,37.43768310546875
2010-08-19,36.45574951171875
2010-08-20,36.192996978759766
2010-08-23,35.92330551147461
2010-08-24,35.3078727722168
2010-08-25,35.84724807739258
2010-08-26,35.21796798706055
2010-08-27,36.01319885253906
2010-08-30,35.7020263671875
2010-08-31,35.29404830932617
2010-09-01,36.36586380004883
2010-09-02,36.310543060302734
2010-09-03,36.5871467590332
2010-09-07,36.310543060302734
2010-09-08,36.607887268066406
2010-09-09,37.1956672668457
2010-09-10,37.58290100097656
2010-09-13,37.61749267578125
2010-09-14,37.700439453125
2010-09-15,38.23983383178711
2010-09-16,38.101531982421875
2010-09-17,38.18451690673828
2010-09-20,38.68238067626953
2010-09-21,38.55100631713867
2010-09-22,38.910579681396484
2010-09-23,38.53025436401367
2010-09-24,38.94514846801758
2010-09-27,38.50950622558594
2010-09-28,38.723873138427734
