Date,ORCL
2010-01-04,20.10477638244629
2010-01-05,20.08050537109375
2010-01-06,19.789241790771484
2010-01-07,19.72452163696289
2010-01-08,19.967243194580078
2010-01-11,19.975332260131836
2010-01-12,19.87015151977539
2010-01-13,20.06432342529297
2010-01-14,20.542621612548828
2010-01-15,20.461559295654297
2010-01-19,20.534517288208008
2010-01-20,20.31563377380371
2010-01-21,20.129179000854492
2010-01-22,19.57792091369629
2010-01-25,19.480636596679688
2010-01-26,19.359033584594727
2010-01-27,19.34282112121582
2010-01-28,19.026657104492188
2010-01-29,18.694272994995117
2010-02-01,18.82398796081543
2010-02-02,19.261754989624023
2010-02-03,19.253644943237305
2010-02-04,18.734813690185547
2010-02-05,19.091495513916016
2010-02-08,18.742916107177734
2010-02-09,19.0590877532959
2010-02-10,18.734813690185547
2010-02-11,18.92937660217285
2010-02-12,18.97801399230957
2010-02-16,19.302284240722656
2010-02-17,19.60224723815918
2010-02-18,19.877870559692383
2010-02-19,19.715726852416992
2010-02-22,20.112964630126953
2010-02-23,19.84543800354004
2010-02-24,20.080541610717773
2010-02-25,20.161605834960938
2010-02-26,19.983247756958008
2010-03-01,20.056215286254883
2010-03-02,19.92650604248047
2010-03-03,19.861656188964844
2010-03-04,20.072423934936523
2010-03-05,20.226457595825195
2010-03-08,20.023794174194336
2010-03-09,20.16971206665039
2010-03-10,20.161605834960938
2010-03-11,20.38048553466797
2010-03-12,20.307523727416992
2010-03-15,20.493989944458008
2010-03-16,20.437236785888672
2010-03-17,20.648012161254883
2010-03-18,20.575050354003906
2010-03-19,20.421016693115234
2010-03-22,20.720975875854492
2010-03-23,21.069562911987305
2010-03-24,20.883115768432617
2010-03-25,21.110097885131836
2010-03-26,20.826358795166016
2010-03-29,20.729080200195312
2010-03-30,20.704769134521484
2010-03-31,20.842578887939453
2010-04-01,20.63991355895996
2010-04-05,20.7371826171875
2010-04-06,20.93985366821289
2010-04-07,21.004716873168945
2010-04-08,20.93985366821289
2010-04-09,21.183063507080078
2010-04-12,21.2805233001709
2010-04-13,21.402362823486328
2010-04-14,21.426733016967773
2010-04-15,21.2805233001709
2010-04-16,21.07747459411621
2010-04-19,21.272411346435547
2010-04-20,21.239917755126953
2010-04-21,21.3536319732666
2010-04-22,21.31301498413086
2010-04-23,21.507949829101562
2010-04-26,21.499834060668945
2010-04-27,21.101831436157227
2010-04-28,21.00437355041504
2010-04-29,21.09371566772461
2010-04-30,21.012487411499023
2010-05-03,21.126205444335938
2010-05-04,20.28148078918457
2010-05-05,20.257108688354492
2010-05-06,19.420513153076172
2010-05-07,19.0143985748291
2010-05-10,19.810386657714844
2010-05-11,19.64793586730957
2010-05-12,19.9809513092041
2010-05-13,19.68855094909668
2010-05-14,19.314926147460938
2010-05-17,19.28243064880371
2010-05-18,19.030641555786133
2010-05-19,18.835710525512695
2010-05-20,18.15342140197754
2010-05-21,17.999103546142578
2010-05-24,18.096572875976562
2010-05-25,18.031593322753906
2010-05-26,17.796043395996094
2010-05-27,18.34024429321289
2010-05-28,18.33211326599121
2010-06-01,18.031593322753906
2010-06-02,18.38897705078125
2010-06-03,18.551424026489258
2010-06-04,17.97473907470703
2010-06-07,17.625476837158203
2010-06-08,17.67421531677246
2010-06-09,17.495521545410156
2010-06-10,18.031593322753906
2010-06-11,18.429584503173828
2010-06-14,18.429584503173828
2010-06-15,18.843830108642578
2010-06-16,18.827579498291016
2010-06-17,18.738235473632812
2010-06-18,18.843830108642578
2010-06-21,18.754484176635742
2010-06-22,18.592029571533203
2010-06-23,18.421470642089844
2010-06-24,18.047834396362305
2010-06-25,18.40522003173828
2010-06-28,18.234647750854492
2010-06-29,17.66609001159668
2010-06-30,17.4305362701416
2010-07-01,17.503637313842773
2010-07-02,17.73106575012207
2010-07-06,18.129056930541992
2010-07-07,18.754484176635742
2010-07-08,18.860074996948242
2010-07-09,18.98190689086914
2010-07-12,19.030744552612305
2010-07-13,19.299360275268555
2010-07-14,19.486574172973633
2010-07-15,19.39702796936035
2010-07-16,18.94120979309082
2010-07-19,19.201679229736328
2010-07-20,19.470300674438477
2010-07-21,19.177263259887695
2010-07-22,19.787742614746094
2010-07-23,19.94240379333496
2010-07-26,20.056358337402344
2010-07-27,19.999378204345703
2010-07-28,19.763322830200195
2010-07-29,19.291213989257812
2010-07-30,19.24237632751465
2010-08-02,19.771459579467773
2010-08-03,19.706342697143555
2010-08-04,19.93425750732422
2010-08-05,19.771459579467773
2010-08-06,19.844724655151367
2010-08-09,19.747045516967773
2010-08-10,19.771459579467773
2010-08-11,19.258657455444336
2010-08-12,18.6726016998291
2010-08-13,18.44468116760254
2010-08-16,18.493520736694336
2010-08-17,18.762134552001953
2010-08-18,18.794694900512695
2010-08-19,18.721437454223633
2010-08-20,18.737707138061523
2010-08-23,18.591197967529297
2010-08-24,18.241188049316406
2010-08-25,18.249330520629883
2010-08-26,18.110960006713867
2010-08-27,18.32257843017578
2010-08-30,17.923738479614258
2010-08-31,17.777223587036133
2010-09-01,18.412120819091797
2010-09-02,18.298166275024414
2010-09-03,18.656314849853516
2010-09-07,19.747045516967773
2010-09-08,19.649368286132812
2010-09-09,19.80402374267578
2010-09-10,20.390085220336914
2010-09-13,20.438926696777344
2010-09-14,20.658689498901367
2010-09-15,20.951730728149414
2010-09-16,20.642417907714844
2010-09-17,22.368045806884766
2010-09-20,22.376178741455078
2010-09-21,21.83082389831543
2010-09-22,22.14012908935547
2010-09-23,22.07501220703125
2010-09-24,21.94478416442871
2010-09-27,21.93663787841797
2010-09-28,22.131994247436523
