Date,NUE
2010-01-04,31.31675148010254
2010-01-05,31.533008575439453
2010-01-06,32.48318099975586
2010-01-07,32.26039123535156
2010-01-08,32.71908950805664
2010-01-11,32.52906036376953
2010-01-12,31.72304344177246
2010-01-13,31.736133575439453
2010-01-14,31.395395278930664
2010-01-15,31.08085060119629
2010-01-19,31.52644920349121
2010-01-20,30.871158599853516
2010-01-21,29.94063949584961
2010-01-22,28.957666397094727
2010-01-25,28.91835594177246
2010-01-26,28.544843673706055
2010-01-27,27.909194946289062
2010-01-28,27.129396438598633
2010-01-29,26.736209869384766
2010-02-01,27.502906799316406
2010-02-02,28.125452041625977
2010-02-03,27.483238220214844
2010-02-04,25.88433265686035
2010-02-05,26.513412475585938
2010-02-08,25.930194854736328
2010-02-09,26.513412475585938
2010-02-10,26.15953826904297
2010-02-11,26.965576171875
2010-02-12,26.952468872070312
2010-02-16,27.974729537963867
2010-02-17,27.810911178588867
2010-02-18,28.58415412902832
2010-02-19,29.062524795532227
2010-02-22,28.610366821289062
2010-02-23,27.52256202697754
2010-02-24,27.58155059814453
2010-02-25,27.443944931030273
2010-02-26,27.129396438598633
2010-03-01,27.765031814575195
2010-03-02,28.118898391723633
2010-03-03,28.282726287841797
2010-03-04,28.512075424194336
2010-03-05,29.200143814086914
2010-03-08,29.38361930847168
2010-03-09,29.442604064941406
2010-03-10,29.50813102722168
2010-03-11,29.495018005371094
2010-03-12,29.671947479248047
2010-03-15,29.567094802856445
2010-03-16,30.18964195251465
2010-03-17,29.56055450439453
2010-03-18,29.318098068237305
2010-03-19,29.08873176574707
2010-03-22,29.265670776367188
2010-03-23,30.360010147094727
2010-03-24,30.025815963745117
2010-03-25,29.409832000732422
2010-03-26,29.92751693725586
2010-03-29,30.409687042236328
2010-03-30,30.0926456451416
2010-03-31,29.9737606048584
2010-04-01,30.35024642944336
2010-04-05,31.393850326538086
2010-04-06,31.466501235961914
2010-04-07,31.44668960571289
2010-04-08,31.367416381835938
2010-04-09,31.30797576904297
2010-04-12,31.142854690551758
2010-04-13,31.043779373168945
2010-04-14,31.48630714416504
2010-04-15,30.812599182128906
2010-04-16,30.145492553710938
2010-04-19,30.07283592224121
2010-04-20,29.89449691772461
2010-04-21,29.795421600341797
2010-04-22,29.901113510131836
2010-04-23,30.422901153564453
2010-04-26,30.22474479675293
2010-04-27,29.47177505493164
2010-04-28,29.729358673095703
2010-04-29,30.15870475769043
2010-04-30,29.93411636352539
2010-05-03,30.33702850341797
2010-05-04,29.828445434570312
2010-05-05,30.231361389160156
2010-05-06,29.524595260620117
2010-05-07,29.656713485717773
2010-05-10,30.75975227355957
2010-05-11,30.376665115356445
2010-05-12,30.89185905456543
2010-05-13,30.60124397277832
2010-05-14,30.31061363220215
2010-05-17,30.07283592224121
2010-05-18,29.399112701416016
2010-05-19,29.432144165039062
2010-05-20,28.2101993560791
2010-05-21,28.368732452392578
2010-05-24,27.906383514404297
2010-05-25,28.335691452026367
2010-05-26,28.03849220275879
2010-05-27,28.963180541992188
2010-05-28,28.43477439880371
2010-06-01,27.364763259887695
2010-06-02,28.243228912353516
2010-06-03,28.097915649414062
2010-06-04,27.034507751464844
2010-06-07,26.499494552612305
2010-06-08,27.047727584838867
2010-06-09,27.14019012451172
2010-06-10,28.025264739990234
2010-06-11,28.157360076904297
2010-06-14,28.025264739990234
2010-06-15,28.170578002929688
2010-06-16,27.853525161743164
2010-06-17,27.536487579345703
2010-06-18,27.404376983642578
2010-06-21,27.589324951171875
2010-06-22,27.13358497619629
2010-06-23,27.556316375732422
2010-06-24,26.776914596557617
2010-06-25,27.18642807006836
2010-06-28,26.746641159057617
2010-06-29,25.64053726196289
2010-06-30,25.50726318359375
2010-07-01,25.160770416259766
2010-07-02,24.867578506469727
2010-07-06,24.90089225769043
2010-07-07,26.033658981323242
2010-07-08,26.060312271118164
2010-07-09,26.393484115600586
2010-07-12,25.767127990722656
2010-07-13,26.12693977355957
2010-07-14,26.253562927246094
2010-07-15,26.166929244995117
2010-07-16,25.380651473999023
2010-07-19,25.620542526245117
2010-07-20,26.533416748046875
2010-07-21,26.060312271118164
2010-07-22,26.43346405029297
2010-07-23,26.546743392944336
2010-07-26,26.726652145385742
2010-07-27,26.52008628845215
2010-07-28,26.353500366210938
2010-07-29,26.093650817871094
2010-07-30,26.080318450927734
2010-08-02,26.833261489868164
2010-08-03,26.560073852539062
2010-08-04,26.853256225585938
2010-08-05,26.640026092529297
2010-08-06,26.646690368652344
2010-08-09,26.666683197021484
2010-08-10,26.45346450805664
2010-08-11,25.560562133789062
2010-08-12,25.693843841552734
2010-08-13,25.380651473999023
2010-08-16,25.60053825378418
2010-08-17,26.20025062561035
2010-08-18,26.21357536315918
2010-08-19,25.680503845214844
2010-08-20,25.567232131958008
2010-08-23,25.160770416259766
2010-08-24,24.44112777709961
2010-08-25,24.44112777709961
2010-08-26,24.241233825683594
2010-08-27,24.820941925048828
2010-08-30,24.42780113220215
2010-08-31,24.50775909423828
2010-09-01,25.294038772583008
2010-09-02,25.613872528076172
2010-09-03,25.773794174194336
2010-09-07,26.240236282348633
2010-09-08,26.6733455657959
2010-09-09,26.54007911682129
2010-09-10,26.71333122253418
2010-09-13,27.093143463134766
2010-09-14,26.260211944580078
2010-09-15,26.166929244995117
2010-09-16,25.953699111938477
2010-09-17,25.813777923583984
2010-09-20,25.82710075378418
2010-09-21,25.36733055114746
2010-09-22,25.214069366455078
2010-09-23,24.654354095458984
2010-09-24,25.080808639526367
2010-09-27,25.020828247070312
2010-09-28,25.579246520996094
