Date,AIG
2010-01-04,18.996618270874023
2010-01-05,18.64070701599121
2010-01-06,18.519947052001953
2010-01-07,18.16404914855957
2010-01-08,18.647062301635742
2010-01-11,18.831371307373047
2010-01-12,18.087778091430664
2010-01-13,18.469104766845703
2010-01-14,18.176755905151367
2010-01-15,17.83355712890625
2010-01-19,17.954307556152344
2010-01-20,17.770004272460938
2010-01-21,17.509422302246094
2010-01-22,16.84209442138672
2010-01-25,16.581520080566406
2010-01-26,15.507437705993652
2010-01-27,15.831579208374023
2010-01-28,15.354909896850586
2010-01-29,15.399397850036621
2010-02-01,15.22779369354248
2010-02-02,15.23415470123291
2010-02-03,15.119756698608398
2010-02-04,14.357096672058105
2010-02-05,14.242693901062012
2010-02-08,14.083807945251465
2010-02-09,14.706643104553223
2010-02-10,17.10902976989746
2010-02-11,16.714984893798828
2010-02-12,17.045473098754883
2010-02-16,17.433156967163086
2010-02-17,17.0963191986084
2010-02-18,16.975570678710938
2010-02-19,16.861160278320312
2010-02-22,18.068706512451172
2010-02-23,17.007341384887695
2010-02-24,17.789066314697266
2010-02-25,17.48400115966797
2010-02-26,15.74259090423584
2010-03-01,16.38450050354004
2010-03-02,15.90783405303955
2010-03-03,15.8125
2010-03-04,16.975570678710938
2010-03-05,17.846269607543945
2010-03-08,18.49452781677246
2010-03-09,20.82699966430664
2010-03-10,23.032371520996094
2010-03-11,22.314197540283203
2010-03-12,21.754898071289062
2010-03-15,21.812103271484375
2010-03-16,21.360858917236328
2010-03-17,21.86930274963379
2010-03-18,22.01548194885254
2010-03-19,22.117162704467773
2010-03-22,21.221040725708008
2010-03-23,21.151126861572266
2010-03-24,21.08121681213379
2010-03-25,21.9328556060791
2010-03-26,21.74219512939453
2010-03-29,21.894729614257812
2010-03-30,21.72947883605957
2010-03-31,21.69770050048828
2010-04-01,21.678640365600586
2010-04-05,22.282413482666016
2010-04-06,22.822628021240234
2010-04-07,25.22500991821289
2010-04-08,23.890357971191406
2010-04-09,24.239906311035156
2010-04-12,26.197402954101562
2010-04-13,25.517364501953125
2010-04-14,25.256784439086914
2010-04-15,25.40932273864746
2010-04-16,24.88180923461914
2010-04-19,24.843687057495117
2010-04-20,26.45798683166504
2010-04-21,25.994028091430664
2010-04-22,27.487577438354492
2010-04-23,28.205753326416016
2010-04-26,28.288372039794922
2010-04-27,23.75054168701172
2010-04-28,25.110610961914062
2010-04-29,25.568214416503906
2010-04-30,24.722925186157227
2010-05-03,25.129676818847656
2010-05-04,24.30982208251953
2010-05-05,23.96026611328125
2010-05-06,23.356494903564453
2010-05-07,24.595809936523438
2010-05-10,26.044878005981445
2010-05-11,27.25878143310547
2010-05-12,26.311805725097656
2010-05-13,25.83514976501465
2010-05-14,25.24407196044922
2010-05-17,24.78648567199707
2010-05-18,24.0111083984375
2010-05-19,23.72511863708496
2010-05-20,22.12352752685547
2010-05-21,22.854413986206055
2010-05-24,21.94556999206543
2010-05-25,21.920150756835938
2010-05-26,21.640512466430664
2010-05-27,23.17218780517578
2010-05-28,22.485790252685547
2010-06-01,21.76762580871582
2010-06-02,22.282413482666016
2010-06-03,22.371387481689453
2010-06-04,22.085386276245117
2010-06-07,21.659576416015625
2010-06-08,21.805755615234375
2010-06-09,21.748558044433594
2010-06-10,22.4349422454834
2010-06-11,22.295124053955078
2010-06-14,23.57257080078125
2010-06-15,24.074668884277344
2010-06-16,24.068317413330078
2010-06-17,24.004758834838867
2010-06-18,24.093727111816406
2010-06-21,24.63394546508789
2010-06-22,24.322532653808594
2010-06-23,24.03017807006836
2010-06-24,23.369205474853516
2010-06-25,23.483606338500977
2010-06-28,23.121349334716797
2010-06-29,21.939212799072266
2010-06-30,21.888368606567383
2010-07-01,21.53246307373047
2010-07-02,21.036739349365234
2010-07-06,21.42441177368164
2010-07-07,22.460369110107422
2010-07-08,22.568405151367188
2010-07-09,22.816280364990234
2010-07-12,22.60654067993164
2010-07-13,24.14457893371582
2010-07-14,23.85221290588379
2010-07-15,23.756887435913086
2010-07-16,22.651031494140625
2010-07-19,22.492141723632812
2010-07-20,23.076852798461914
2010-07-21,22.441299438476562
2010-07-22,23.19124984741211
2010-07-23,23.369205474853516
2010-07-26,24.595809936523438
2010-07-27,24.88180923461914
2010-07-28,24.80554962158203
2010-07-29,24.76742172241211
2010-07-30,24.44964599609375
2010-08-02,25.447452545166016
2010-08-03,25.16145133972168
2010-08-04,25.43474578857422
2010-08-05,25.35848617553711
2010-08-06,26.013092041015625
2010-08-09,26.464336395263672
2010-08-10,25.542781829833984
2010-08-11,24.04924201965332
2010-08-12,23.578935623168945
2010-08-13,23.305641174316406
2010-08-16,22.854413986206055
2010-08-17,23.146760940551758
2010-08-18,23.407329559326172
2010-08-19,22.59383773803711
2010-08-20,22.352319717407227
2010-08-23,22.269712448120117
2010-08-24,21.78032112121582
2010-08-25,21.862951278686523
2010-08-26,21.60237693786621
2010-08-27,22.371387481689453
2010-08-30,21.608732223510742
2010-08-31,21.564239501953125
2010-09-01,22.66374397277832
2010-09-02,22.828981399536133
2010-09-03,23.324710845947266
2010-09-07,22.60654067993164
2010-09-08,23.057781219482422
2010-09-09,23.06414222717285
2010-09-10,23.102270126342773
2010-09-13,23.464536666870117
2010-09-14,22.96244239807129
2010-09-15,22.981521606445312
2010-09-16,22.695512771606445
2010-09-17,22.651031494140625
2010-09-20,23.261165618896484
2010-09-21,23.267513275146484
2010-09-22,22.670087814331055
2010-09-23,22.288768768310547
2010-09-24,23.178537368774414
2010-09-27,23.59800910949707
2010-09-28,23.7187557220459
