Date,BRO
2010-01-04,7.603635787963867
2010-01-05,7.548750400543213
2010-01-06,7.481200695037842
2010-01-07,7.4854207038879395
2010-01-08,7.447424411773682
2010-01-11,7.4769792556762695
2010-01-12,7.4854207038879395
2010-01-13,7.53186559677124
2010-01-14,7.561417102813721
2010-01-15,7.5023112297058105
2010-01-19,7.5403056144714355
2010-01-20,7.514976978302002
2010-01-21,7.569860935211182
2010-01-22,7.552971363067627
2010-01-25,7.552971363067627
2010-01-26,7.523423194885254
2010-01-27,7.519195556640625
2010-01-28,7.43898344039917
2010-01-29,7.430539131164551
2010-02-01,7.4678544998168945
2010-02-02,7.527225971221924
2010-02-03,7.565392971038818
2010-02-04,7.569632530212402
2010-02-05,7.531463623046875
2010-02-08,7.531463623046875
2010-02-09,7.527225971221924
2010-02-10,7.5017852783203125
2010-02-11,7.5017852783203125
2010-02-12,7.5060224533081055
2010-02-16,7.022583484649658
2010-02-17,7.014101982116699
2010-02-18,6.997139930725098
2010-02-19,7.090434551239014
2010-02-22,7.103157997131348
2010-02-23,7.13284158706665
2010-02-24,7.1879706382751465
2010-02-25,7.162526607513428
2010-02-26,7.115880012512207
2010-03-01,7.141323089599609
2010-03-02,7.175251483917236
2010-03-03,7.243098258972168
2010-03-04,7.285505771636963
2010-03-05,7.36184024810791
2010-03-08,7.340635299682617
2010-03-09,7.395764350891113
2010-03-10,7.442409515380859
2010-03-11,7.497541904449463
2010-03-12,7.493302345275879
2010-03-15,7.5060224533081055
2010-03-16,7.522985935211182
2010-03-17,7.5823540687561035
2010-03-18,7.603557109832764
2010-03-19,7.624762058258057
2010-03-22,7.5950775146484375
2010-03-23,7.633245468139648
2010-03-24,7.616278648376465
2010-03-25,7.5738749504089355
2010-03-26,7.552671909332275
2010-03-29,7.561150074005127
2010-03-30,7.624762058258057
2010-03-31,7.599320411682129
2010-04-01,7.518742561340332
2010-04-05,7.544188499450684
2010-04-06,7.5950775146484375
2010-04-07,7.629001617431641
2010-04-08,7.675649642944336
2010-04-09,7.760465145111084
2010-04-12,7.8071136474609375
2010-04-13,7.879205703735352
2010-04-14,7.968258857727051
2010-04-15,7.993702411651611
2010-04-16,7.883443832397461
2010-04-19,8.014904975891113
2010-04-20,8.286309242248535
2010-04-21,8.252385139465332
2010-04-22,8.392326354980469
2010-04-23,8.494105339050293
2010-04-26,8.41777515411377
2010-04-27,8.354159355163574
2010-04-28,8.400810241699219
2010-04-29,8.58739948272705
2010-04-30,8.54074764251709
2010-05-03,8.578215599060059
2010-05-04,8.527131080627441
2010-05-05,8.41218376159668
2010-05-06,8.084380149841309
2010-05-07,8.09289836883545
2010-05-10,8.284469604492188
2010-05-11,8.331298828125
2010-05-12,8.441985130310059
2010-05-13,8.437726020812988
2010-05-14,8.310014724731445
2010-05-17,8.41218376159668
2010-05-18,8.314271926879883
2010-05-19,8.356842041015625
2010-05-20,8.118438720703125
2010-05-21,8.131207466125488
2010-05-24,8.14398193359375
2010-05-25,8.080124855041504
2010-05-26,8.126956939697266
2010-05-27,8.39941120147705
2010-05-28,8.344073295593262
2010-06-01,8.241899490356445
2010-06-02,8.33555793762207
2010-06-03,8.441985130310059
2010-06-04,8.216353416442871
2010-06-07,8.067353248596191
2010-06-08,8.101407051086426
2010-06-09,7.99072265625
2010-06-10,8.339814186096191
2010-06-11,8.39089584350586
2010-06-14,8.514357566833496
2010-06-15,8.680388450622559
2010-06-16,8.625045776367188
2010-06-17,8.590985298156738
2010-06-18,8.603755950927734
2010-06-21,8.565442085266113
2010-06-22,8.45050048828125
2010-06-23,8.420699119567871
2010-06-24,8.39089584350586
2010-06-25,8.424956321716309
2010-06-28,8.433470726013184
2010-06-29,8.23764419555664
2010-06-30,8.148238182067871
2010-07-01,8.148238182067871
2010-07-02,8.046067237854004
2010-07-06,8.071610450744629
2010-07-07,8.203583717346191
2010-07-08,8.24615478515625
2010-07-09,8.288728713989258
2010-07-12,8.216353416442871
2010-07-13,8.480299949645996
2010-07-14,8.369616508483887
2010-07-15,8.288728713989258
2010-07-16,8.067353248596191
2010-07-19,8.118438720703125
2010-07-20,8.514357566833496
2010-07-21,8.2802152633667
2010-07-22,8.5526762008667
2010-07-23,8.595245361328125
2010-07-26,8.612275123596191
2010-07-27,8.514357566833496
2010-07-28,8.510098457336426
2010-07-29,8.484557151794434
2010-07-30,8.522873878479004
2010-08-02,8.59894847869873
2010-08-03,8.500648498535156
2010-08-04,8.59894847869873
2010-08-05,8.58184814453125
2010-08-06,8.577576637268066
2010-08-09,8.7613525390625
2010-08-10,8.658781051635742
2010-08-11,8.445089340209961
2010-08-12,8.346786499023438
2010-08-13,8.291230201721191
2010-08-16,8.286954879760742
2010-08-17,8.406623840332031
2010-08-18,8.46218490600586
2010-08-19,8.346786499023438
2010-08-20,8.325420379638672
2010-08-23,8.338244438171387
2010-08-24,8.244216918945312
2010-08-25,8.222846984863281
2010-08-26,8.192931175231934
2010-08-27,8.346786499023438
2010-08-30,8.180106163024902
2010-08-31,8.137371063232422
2010-09-01,8.282684326171875
2010-09-02,8.492096900939941
2010-09-03,8.479275703430176
2010-09-07,8.329695701599121
2010-09-08,8.351061820983887
2010-09-09,8.466458320617676
2010-09-10,8.526288986206055
2010-09-13,8.611767768859863
2010-09-14,8.620317459106445
2010-09-15,8.628862380981445
2010-09-16,8.620317459106445
2010-09-17,8.667325019836426
2010-09-20,8.692971229553223
2010-09-21,8.692971229553223
2010-09-22,8.564752578735352
2010-09-23,8.440818786621094
2010-09-24,8.616040229797363
2010-09-27,8.483552932739258
