Date,BK
2010-01-04,19.707027435302734
2010-01-05,19.916004180908203
2010-01-06,19.616466522216797
2010-01-07,20.445430755615234
2010-01-08,20.570817947387695
2010-01-11,20.215547561645508
2010-01-12,20.250377655029297
2010-01-13,20.40363121032715
2010-01-14,20.375762939453125
2010-01-15,20.22250747680664
2010-01-19,20.570817947387695
2010-01-20,21.566970825195312
2010-01-21,21.36495590209961
2010-01-22,20.389707565307617
2010-01-25,20.731040954589844
2010-01-26,20.389707565307617
2010-01-27,20.731040954589844
2010-01-28,20.381675720214844
2010-01-29,20.325780868530273
2010-02-01,20.66815185546875
2010-02-02,20.44456672668457
2010-02-03,19.96244239807129
2010-02-04,19.068086624145508
2010-02-05,18.963272094726562
2010-02-08,18.76763153076172
2010-02-09,18.907373428344727
2010-02-10,19.137954711914062
2010-02-11,19.186866760253906
2010-02-12,18.900392532348633
2010-02-16,19.375524520874023
2010-02-17,19.361547470092773
2010-02-18,19.347566604614258
2010-02-19,20.025331497192383
2010-02-22,20.15110206604004
2010-02-23,19.648021697998047
2010-02-24,20.00436782836914
2010-02-25,19.836679458618164
2010-02-26,19.92751121520996
2010-03-01,19.857643127441406
2010-03-02,20.046295166015625
2010-03-03,20.046295166015625
2010-03-04,20.186038970947266
2010-03-05,20.751998901367188
2010-03-08,20.696104049682617
2010-03-09,20.828855514526367
2010-03-10,20.696104049682617
2010-03-11,20.731040954589844
2010-03-12,20.765974044799805
2010-03-15,20.919692993164062
2010-03-16,21.13629722595215
2010-03-17,21.443735122680664
2010-03-18,21.534570693969727
2010-03-19,21.40880584716797
2010-03-22,21.541553497314453
2010-03-23,21.904890060424805
2010-03-24,21.436752319335938
2010-03-25,21.548540115356445
2010-03-26,21.590469360351562
2010-03-29,21.632389068603516
2010-03-30,21.46470069885254
2010-03-31,21.57649040222168
2010-04-01,21.84200668334961
2010-04-05,22.00969886779785
2010-04-06,22.149442672729492
2010-04-07,21.98175048828125
2010-04-08,22.254249572753906
2010-04-09,22.324121475219727
2010-04-12,22.73636245727539
2010-04-13,22.68745994567871
2010-04-14,22.484832763671875
2010-04-15,22.373031616210938
2010-04-16,22.058609008789062
2010-04-19,22.45687484741211
2010-04-20,22.463869094848633
2010-04-21,22.512773513793945
2010-04-22,22.652515411376953
2010-04-23,22.324121475219727
2010-04-26,22.114503860473633
2010-04-27,21.56950569152832
2010-04-28,21.891857147216797
2010-04-29,22.403409957885742
2010-04-30,21.81476593017578
2010-05-03,21.954927444458008
2010-05-04,21.45037841796875
2010-05-05,21.849809646606445
2010-05-06,21.177080154418945
2010-05-07,21.06495475769043
2010-05-10,22.12310791015625
2010-05-11,21.709657669067383
2010-05-12,21.6676025390625
2010-05-13,21.008893966674805
2010-05-14,20.81267738342285
2010-05-17,20.882755279541016
2010-05-18,20.434268951416016
2010-05-19,20.167984008789062
2010-05-20,19.376110076904297
2010-05-21,19.4952392578125
2010-05-24,19.039745330810547
2010-05-25,19.05375862121582
2010-05-26,19.158876419067383
2010-05-27,19.642406463623047
2010-05-28,19.06077003479004
2010-06-01,18.570234298706055
2010-06-02,19.12384033203125
2010-06-03,19.11682891845703
2010-06-04,18.219852447509766
2010-06-07,17.953571319580078
2010-06-08,17.8064022064209
2010-06-09,17.750343322753906
2010-06-10,18.163789749145508
2010-06-11,18.353004455566406
2010-06-14,17.98859977722168
2010-06-15,18.570234298706055
2010-06-16,18.47913932800293
2010-06-17,18.437084197998047
2010-06-18,18.626293182373047
2010-06-21,18.514179229736328
2010-06-22,18.395044326782227
2010-06-23,18.303945541381836
2010-06-24,17.883481979370117
2010-06-25,18.135757446289062
2010-06-28,18.184814453125
2010-06-29,17.596174240112305
2010-06-30,17.30185317993164
2010-07-01,17.357912063598633
2010-07-02,17.224769592285156
2010-07-06,17.336891174316406
2010-07-07,18.444101333618164
2010-07-08,18.19182014465332
2010-07-09,18.38102912902832
2010-07-12,18.409053802490234
2010-07-13,18.815502166748047
2010-07-14,18.64731788635254
2010-07-15,18.773454666137695
2010-07-16,18.0306453704834
2010-07-19,17.967578887939453
2010-07-20,17.8904972076416
2010-07-21,17.645221710205078
2010-07-22,18.009626388549805
2010-07-23,18.093711853027344
2010-07-26,18.437084197998047
2010-07-27,18.324970245361328
2010-07-28,17.783517837524414
2010-07-29,17.762420654296875
2010-07-30,17.62881088256836
2010-08-02,18.16323471069336
2010-08-03,18.07884979248047
2010-08-04,18.106983184814453
2010-08-05,18.21245765686035
2010-08-06,18.092920303344727
2010-08-09,18.099946975708008
2010-08-10,17.888994216918945
2010-08-11,17.41786003112793
2010-08-12,17.43192481994629
2010-08-13,17.438955307006836
2010-08-16,17.368635177612305
2010-08-17,17.762420654296875
2010-08-18,17.656944274902344
2010-08-19,17.291292190551758
2010-08-20,17.333480834960938
2010-08-23,17.23503303527832
2010-08-24,17.115497589111328
2010-08-25,16.988920211791992
2010-08-26,17.00298309326172
2010-08-27,17.333480834960938
2010-08-30,16.99595069885254
2010-08-31,17.05924415588379
2010-09-01,17.66397476196289
2010-09-02,17.769454956054688
2010-09-03,18.331998825073242
2010-09-07,17.91009521484375
2010-09-08,18.015567779541016
2010-09-09,17.98040771484375
2010-09-10,17.931184768676758
2010-09-13,18.331998825073242
2010-09-14,17.994476318359375
2010-09-15,18.057758331298828
2010-09-16,17.966339111328125
2010-09-17,17.881969451904297
2010-09-20,18.240585327148438
2010-09-21,18.015567779541016
2010-09-22,17.874929428100586
2010-09-23,17.671001434326172
2010-09-24,18.37418556213379
2010-09-27,18.043689727783203
2010-09-28,18.1843318939209
