Date,IEX
2010-01-04,25.274085998535156
2010-01-05,25.098407745361328
2010-01-06,25.401845932006836
2010-01-07,25.353944778442383
2010-01-08,25.745223999023438
2010-01-11,25.745223999023438
2010-01-12,25.369909286499023
2010-01-13,25.46609878540039
2010-01-14,25.369911193847656
2010-01-15,25.033248901367188
2010-01-19,25.321819305419922
2010-01-20,25.12141227722168
2010-01-21,24.456119537353516
2010-01-22,24.031278610229492
2010-01-25,23.702634811401367
2010-01-26,23.558347702026367
2010-01-27,23.470172882080078
2010-01-28,23.085416793823242
2010-01-29,22.620494842529297
2010-02-01,23.06938362121582
2010-02-02,23.5102481842041
2010-02-03,23.502243041992188
2010-02-04,23.486204147338867
2010-02-05,23.26176643371582
2010-02-08,23.430095672607422
2010-02-09,23.486204147338867
2010-02-10,23.26176643371582
2010-02-11,23.68659210205078
2010-02-12,23.999216079711914
2010-02-16,24.303810119628906
2010-02-17,24.52825355529785
2010-02-18,25.041261672973633
2010-02-19,25.233642578125
2010-02-22,25.265703201293945
2010-02-23,24.704605102539062
2010-02-24,24.76873207092285
2010-02-25,24.888961791992188
2010-02-26,24.84888458251953
2010-03-01,25.297767639160156
2010-03-02,25.46609878540039
2010-03-03,25.321819305419922
2010-03-04,25.11341094970703
2010-03-05,25.78672981262207
2010-03-08,25.89093589782715
2010-03-09,25.995145797729492
2010-03-10,26.179500579833984
2010-03-11,26.452041625976562
2010-03-12,26.291719436645508
2010-03-15,26.219573974609375
2010-03-16,26.10736656188965
2010-03-17,26.291719436645508
2010-03-18,25.88292121887207
2010-03-19,25.72260284423828
2010-03-22,26.027204513549805
2010-03-23,26.556251525878906
2010-03-24,26.099340438842773
2010-03-25,25.810779571533203
2010-03-26,26.307750701904297
2010-03-29,26.620370864868164
2010-03-30,26.7886962890625
2010-03-31,26.532190322875977
2010-04-01,26.580293655395508
2010-04-05,26.94101333618164
2010-04-06,26.989105224609375
2010-04-07,26.876873016357422
2010-04-08,26.76465606689453
2010-04-09,26.997114181518555
2010-04-12,27.25361442565918
2010-04-13,27.462949752807617
2010-04-14,27.664234161376953
2010-04-15,27.784996032714844
2010-04-16,27.487106323242188
2010-04-19,27.036231994628906
2010-04-20,27.54346466064453
2010-04-21,27.98628807067871
2010-04-22,28.13120460510254
2010-04-23,28.04263687133789
2010-04-26,28.195621490478516
2010-04-27,27.640087127685547
2010-04-28,27.42269515991211
2010-04-29,27.873567581176758
2010-04-30,27.05233383178711
2010-05-03,27.704486846923828
2010-05-04,26.73833465576172
2010-05-05,26.883255004882812
2010-05-06,25.707761764526367
2010-05-07,24.862377166748047
2010-05-10,26.480688095092773
2010-05-11,26.545101165771484
2010-05-12,27.148948669433594
2010-05-13,27.20530891418457
2010-05-14,26.384075164794922
2010-05-17,26.545101165771484
2010-05-18,26.18279457092285
2010-05-19,25.490386962890625
2010-05-20,24.202178955078125
2010-05-21,24.22633171081543
2010-05-24,24.15386390686035
2010-05-25,23.912334442138672
2010-05-26,24.08139991760254
2010-05-27,25.02341079711914
2010-05-28,24.588640213012695
2010-06-01,24.057249069213867
2010-06-02,24.78187370300293
2010-06-03,25.377666473388672
2010-06-04,23.928430557250977
2010-06-07,23.39704704284668
2010-06-08,23.324588775634766
2010-06-09,23.36484146118164
2010-06-10,24.4437198638916
2010-06-11,24.838232040405273
2010-06-14,25.224695205688477
2010-06-15,26.158649444580078
2010-06-16,25.876840591430664
2010-06-17,25.562847137451172
2010-06-18,25.41792106628418
2010-06-21,25.321304321289062
2010-06-22,24.556434631347656
2010-06-23,24.516178131103516
2010-06-24,24.572538375854492
2010-06-25,24.677202224731445
2010-06-28,24.282691955566406
2010-06-29,23.276275634765625
2010-06-30,23.002534866333008
2010-07-01,22.704635620117188
2010-07-02,22.42284393310547
2010-07-06,22.51945686340332
2010-07-07,23.147459030151367
2010-07-08,23.34069061279297
2010-07-09,23.574180603027344
2010-07-12,23.68689727783203
2010-07-13,24.641820907592773
2010-07-14,24.625633239746094
2010-07-15,24.49615478515625
2010-07-16,23.4360294342041
2010-07-19,24.091520309448242
2010-07-20,24.7874813079834
2010-07-21,25.175920486450195
2010-07-22,25.734310150146484
2010-07-23,26.24414825439453
2010-07-26,26.414087295532227
2010-07-27,25.944719314575195
2010-07-28,25.612918853759766
2010-07-29,25.734310150146484
2010-07-30,26.033733367919922
2010-08-02,26.527376174926758
2010-08-03,26.37362289428711
2010-08-04,26.584022521972656
2010-08-05,26.7135066986084
2010-08-06,26.616392135620117
2010-08-09,26.786334991455078
2010-08-10,26.422176361083984
2010-08-11,25.49153709411621
2010-08-12,25.256851196289062
2010-08-13,25.038354873657227
2010-08-16,24.941234588623047
2010-08-17,25.556270599365234
2010-08-18,26.017549514770508
2010-08-19,25.305400848388672
2010-08-20,25.32158851623535
2010-08-23,25.094995498657227
2010-08-24,24.382854461669922
2010-08-25,24.439495086669922
2010-08-26,24.212907791137695
2010-08-27,24.83603858947754
2010-08-30,24.16436195373535
2010-08-31,24.10771942138672
2010-09-01,25.305400848388672
2010-09-02,26.07419204711914
2010-09-03,26.50310516357422
2010-09-07,26.17130470275879
2010-09-08,26.357437133789062
2010-09-09,26.47072410583496
2010-09-10,26.584022521972656
2010-09-13,27.22334098815918
2010-09-14,27.1262264251709
2010-09-15,27.22334098815918
2010-09-16,27.46612548828125
2010-09-17,27.733165740966797
2010-09-20,28.396772384643555
2010-09-21,28.356287002563477
2010-09-22,28.097335815429688
2010-09-23,27.627967834472656
2010-09-24,28.493871688842773
2010-09-27,28.31582260131836
2010-09-28,28.744731903076172
