Date,SBAC
2010-01-04,32.82798385620117
2010-01-05,33.612060546875
2010-01-06,33.546714782714844
2010-01-07,34.02275085449219
2010-01-08,34.06009292602539
2010-01-11,34.29345703125
2010-01-12,32.97733688354492
2010-01-13,33.86409378051758
2010-01-14,33.985416412353516
2010-01-15,34.209434509277344
2010-01-19,34.274776458740234
2010-01-20,33.89207458496094
2010-01-21,33.72407150268555
2010-01-22,32.20261001586914
2010-01-25,32.37995529174805
2010-01-26,31.969263076782227
2010-01-27,32.267948150634766
2010-01-28,31.44655990600586
2010-01-29,30.886512756347656
2010-02-01,31.79191017150879
2010-02-02,31.79191017150879
2010-02-03,30.951841354370117
2010-02-04,29.701078414916992
2010-02-05,29.673072814941406
2010-02-08,30.0371036529541
2010-02-09,30.77449607849121
2010-02-10,31.026519775390625
2010-02-11,31.558563232421875
2010-02-12,31.689237594604492
2010-02-16,32.04393005371094
2010-02-17,32.04393005371094
2010-02-18,32.15594482421875
2010-02-19,32.46396255493164
2010-02-22,31.941268920898438
2010-02-23,32.090606689453125
2010-02-24,32.56663513183594
2010-02-25,33.08001708984375
2010-02-26,33.005348205566406
2010-03-01,33.173362731933594
2010-03-02,33.06134796142578
2010-03-03,33.27603530883789
2010-03-04,33.33203125
2010-03-05,33.34136962890625
2010-03-08,32.99599075317383
2010-03-09,33.84539794921875
2010-03-10,34.228111267089844
2010-03-11,34.06009292602539
2010-03-12,33.84539794921875
2010-03-15,33.23869705200195
2010-03-16,33.957420349121094
2010-03-17,33.92007827758789
2010-03-18,33.5093879699707
2010-03-19,32.92134094238281
2010-03-22,33.40670394897461
2010-03-23,33.882747650146484
2010-03-24,33.313377380371094
2010-03-25,32.491966247558594
2010-03-26,32.51063537597656
2010-03-29,33.257362365722656
2010-03-30,33.83607482910156
2010-03-31,33.668060302734375
2010-04-01,34.18143844604492
2010-04-05,34.50813674926758
2010-04-06,34.18143844604492
2010-04-07,33.44404602050781
2010-04-08,33.537384033203125
2010-04-09,33.82673645019531
2010-04-12,33.76139831542969
2010-04-13,33.18268966674805
2010-04-14,33.03334426879883
2010-04-15,32.76264953613281
2010-04-16,32.501304626464844
2010-04-19,31.969263076782227
2010-04-20,32.83733367919922
2010-04-21,32.99599075317383
2010-04-22,33.40670394897461
2010-04-23,33.378700256347656
2010-04-26,33.41603088378906
2010-04-27,32.865325927734375
2010-04-28,32.43595886230469
2010-04-29,33.136024475097656
2010-04-30,32.98666000366211
2010-05-03,33.41603088378906
2010-05-04,32.41729736328125
2010-05-05,31.437210083007812
2010-05-06,30.625146865844727
2010-05-07,30.438472747802734
2010-05-10,31.530567169189453
2010-05-11,31.19452667236328
2010-05-12,31.83857536315918
2010-05-13,32.006595611572266
2010-05-14,31.717241287231445
2010-05-17,31.707902908325195
2010-05-18,31.3438720703125
2010-05-19,30.653148651123047
2010-05-20,29.439722061157227
2010-05-21,29.897090911865234
2010-05-24,29.55173110961914
2010-05-25,29.775745391845703
2010-05-26,30.177114486694336
2010-05-27,31.493223190307617
2010-05-28,30.830501556396484
2010-06-01,29.962427139282227
2010-06-02,30.97051429748535
2010-06-03,32.01592254638672
2010-06-04,30.60647964477539
2010-06-07,30.2797908782959
2010-06-08,30.111774444580078
2010-06-09,30.055770874023438
2010-06-10,31.707902908325195
2010-06-11,32.631980895996094
2010-06-14,32.29595184326172
2010-06-15,33.220027923583984
2010-06-16,33.014671325683594
2010-06-17,32.734649658203125
2010-06-18,32.97733688354492
2010-06-21,32.79999542236328
2010-06-22,32.32394027709961
2010-06-23,32.734649658203125
2010-06-24,32.127933502197266
2010-06-25,32.445289611816406
2010-06-28,32.846656799316406
2010-06-29,31.79191017150879
2010-06-30,31.745241165161133
2010-07-01,31.222536087036133
2010-07-02,31.017173767089844
2010-07-06,31.269195556640625
2010-07-07,32.78132247924805
2010-07-08,33.294700622558594
2010-07-09,32.99599075317383
2010-07-12,32.13727569580078
2010-07-13,32.53864288330078
2010-07-14,32.734649658203125
2010-07-15,32.58531188964844
2010-07-16,31.745241165161133
2010-07-19,32.01592254638672
2010-07-20,33.5093879699707
2010-07-21,33.117347717285156
2010-07-22,33.42536926269531
2010-07-23,33.99476623535156
2010-07-26,33.64006042480469
2010-07-27,33.136024475097656
2010-07-28,33.16401290893555
2010-07-29,32.98666000366211
2010-07-30,33.77073287963867
2010-08-02,34.6761474609375
2010-08-03,33.6307373046875
2010-08-04,34.23744201660156
2010-08-05,34.162776947021484
2010-08-06,33.59339141845703
2010-08-09,33.882747650146484
2010-08-10,33.9760856628418
2010-08-11,33.14535140991211
2010-08-12,33.434715270996094
2010-08-13,33.60272979736328
2010-08-16,33.780067443847656
2010-08-17,34.48945999145508
2010-08-18,34.52680587768555
2010-08-19,34.1161003112793
2010-08-20,34.284122467041016
2010-08-23,34.330780029296875
2010-08-24,33.84539794921875
2010-08-25,34.29345703125
2010-08-26,34.10676193237305
2010-08-27,34.162776947021484
2010-08-30,33.313377380371094
2010-08-31,33.41603088378906
2010-09-01,33.60272979736328
2010-09-02,33.79874801635742
2010-09-03,34.4334602355957
2010-09-07,34.79747772216797
2010-09-08,35.23619079589844
2010-09-09,35.06817626953125
2010-09-10,35.600215911865234
2010-09-13,36.010921478271484
2010-09-14,35.656227111816406
2010-09-15,35.88024139404297
2010-09-16,35.338863372802734
2010-09-17,35.60955047607422
2010-09-20,36.38427734375
2010-09-21,36.720306396484375
2010-09-22,36.29093933105469
2010-09-23,36.337608337402344
2010-09-24,37.19634246826172
2010-09-27,36.77632141113281
2010-09-28,37.28035354614258
