Date,JBL
2010-01-04,14.8356351852417
2010-01-05,14.659317970275879
2010-01-06,14.726484298706055
2010-01-07,14.751670837402344
2010-01-08,14.726484298706055
2010-01-11,14.306682586669922
2010-01-12,14.264711380004883
2010-01-13,14.39904499053955
2010-01-14,14.919598579406738
2010-01-15,14.306682586669922
2010-01-19,14.424232482910156
2010-01-20,14.264711380004883
2010-01-21,14.180747032165527
2010-01-22,13.173237800598145
2010-01-25,13.25719928741455
2010-01-26,13.13965129852295
2010-01-27,13.265593528747559
2010-01-28,12.568729400634766
2010-01-29,12.157328605651855
2010-02-01,12.904562950134277
2010-02-02,12.996923446655273
2010-02-03,13.072484970092773
2010-02-04,12.07336711883545
2010-02-05,12.056575775146484
2010-02-08,11.91384220123291
2010-02-09,11.972617149353027
2010-02-10,12.283265113830566
2010-02-11,12.485736846923828
2010-02-12,12.435117721557617
2010-02-16,12.873810768127441
2010-02-17,12.899118423461914
2010-02-18,12.958170890808105
2010-02-19,12.789446830749512
2010-02-22,12.882245063781738
2010-02-23,12.595409393310547
2010-02-24,12.890680313110352
2010-02-25,12.662899017333984
2010-02-26,12.797881126403809
2010-03-01,13.135333061218262
2010-03-02,13.65838623046875
2010-03-03,13.877726554870605
2010-03-04,14.029582977294922
2010-03-05,14.105507850646973
2010-03-08,14.299546241760254
2010-03-09,14.392342567443848
2010-03-10,14.797289848327637
2010-03-11,14.763545036315918
2010-03-12,14.864781379699707
2010-03-15,14.65386962890625
2010-03-16,14.949137687683105
2010-03-17,15.100993156433105
2010-03-18,14.957576751708984
2010-03-19,14.628562927246094
2010-03-22,14.991324424743652
2010-03-23,15.489070892333984
2010-03-24,13.945219993591309
2010-03-25,13.869292259216309
2010-03-26,13.810243606567383
2010-03-29,13.810243606567383
2010-03-30,13.928345680236816
2010-03-31,13.65838623046875
2010-04-01,13.725876808166504
2010-04-05,14.063326835632324
2010-04-06,14.206743240356445
2010-04-07,14.139254570007324
2010-04-08,14.113945960998535
2010-04-09,14.172996520996094
2010-04-12,14.367039680480957
2010-04-13,14.14769172668457
2010-04-14,14.139254570007324
2010-04-15,14.105507850646973
2010-04-16,13.877726554870605
2010-04-19,13.489659309387207
2010-04-20,13.818672180175781
2010-04-21,14.1223783493042
2010-04-22,14.257360458374023
2010-04-23,14.358597755432129
2010-04-26,14.164567947387695
2010-04-27,13.430602073669434
2010-04-28,13.531842231750488
2010-04-29,13.683692932128906
2010-04-30,12.924426078796387
2010-05-03,13.194390296936035
2010-05-04,12.831624984741211
2010-05-05,13.01722526550293
2010-05-06,12.359189987182617
2010-05-07,11.886762619018555
2010-05-10,12.991914749145508
2010-05-11,12.865371704101562
2010-05-12,13.050970077514648
2010-05-13,12.661137580871582
2010-05-14,11.966214179992676
2010-05-17,12.017064094543457
2010-05-18,11.601801872253418
2010-05-19,11.525531768798828
2010-05-20,10.898408889770508
2010-05-21,11.144174575805664
2010-05-24,10.957730293273926
2010-05-25,11.042472839355469
2010-05-26,10.940780639648438
2010-05-27,11.84757137298584
2010-05-28,11.601801872253418
2010-06-01,10.940780639648438
2010-06-02,11.550955772399902
2010-06-03,11.652654647827148
2010-06-04,10.728915214538574
2010-06-07,10.228909492492676
2010-06-08,10.127212524414062
2010-06-09,10.60179615020752
2010-06-10,10.923837661743164
2010-06-11,11.093326568603516
2010-06-14,11.178072929382324
2010-06-15,11.542482376098633
2010-06-16,11.68655014038086
2010-06-17,11.754347801208496
2010-06-18,11.830621719360352
2010-06-21,11.652654647827148
2010-06-22,11.517054557800293
2010-06-23,12.737407684326172
2010-06-24,12.211979866027832
2010-06-25,12.20350456237793
2010-06-28,12.050959587097168
2010-06-29,11.56790542602539
2010-06-30,11.271291732788086
2010-07-01,11.127225875854492
2010-07-02,11.034000396728516
2010-07-06,10.91535758972168
2010-07-07,11.440789222717285
2010-07-08,11.618753433227539
2010-07-09,11.839095115661621
2010-07-12,11.932319641113281
2010-07-13,12.466219902038574
2010-07-14,12.728934288024902
2010-07-15,12.923850059509277
2010-07-16,12.534017562866211
2010-07-19,12.652661323547363
2010-07-20,12.745880126953125
2010-07-21,12.372998237609863
2010-07-22,12.788257598876953
2010-07-23,12.974698066711426
2010-07-26,13.356059074401855
2010-07-27,12.906900405883789
2010-07-28,12.711983680725098
2010-07-29,12.48316478729248
2010-07-30,12.296727180480957
2010-08-02,12.661137580871582
2010-08-03,12.432323455810547
2010-08-04,12.627238273620605
2010-08-05,12.059435844421387
2010-08-06,11.262821197509766
2010-08-09,11.550955772399902
2010-08-10,10.974676132202148
2010-08-11,10.49162483215332
2010-08-12,9.980253219604492
2010-08-13,9.843891143798828
2010-08-16,9.767184257507324
2010-08-17,10.022865295410156
2010-08-18,10.261507987976074
2010-08-19,9.852413177490234
2010-08-20,9.520020484924316
2010-08-23,9.477408409118652
2010-08-24,9.187627792358398
2010-08-25,9.2131986618042
2010-08-26,9.145014762878418
2010-08-27,9.221719741821289
2010-08-30,9.042739868164062
2010-08-31,8.735918045043945
2010-09-01,9.315474510192871
2010-09-02,9.716045379638672
2010-09-03,9.997299194335938
2010-09-07,9.801271438598633
2010-09-08,10.1080961227417
2010-09-09,10.36378288269043
2010-09-10,10.4149169921875
2010-09-13,10.747306823730469
2010-09-14,10.653555870056152
2010-09-15,10.747306823730469
2010-09-16,10.508670806884766
2010-09-17,10.900723457336426
2010-09-20,11.181976318359375
2010-09-21,11.054129600524902
2010-09-22,10.824014663696289
2010-09-23,10.806970596313477
2010-09-24,11.565500259399414
2010-09-27,11.838233947753906
2010-09-28,11.72744083404541
