Date,CTAS
2010-01-04,5.308979034423828
2010-01-05,5.300933361053467
2010-01-06,5.315013885498047
2010-01-07,5.361284255981445
2010-01-08,5.4135894775390625
2010-01-11,5.391460418701172
2010-01-12,5.319037914276123
2010-01-13,5.401519775390625
2010-01-14,5.3673200607299805
2010-01-15,5.27880334854126
2010-01-19,5.363296031951904
2010-01-20,5.280816078186035
2010-01-21,5.1842498779296875
2010-01-22,5.079641342163086
2010-01-25,5.07159423828125
2010-01-26,5.033371448516846
2010-01-27,5.073605060577393
2010-01-28,5.021300315856934
2010-01-29,5.05147647857666
2010-02-01,5.073605060577393
2010-02-02,5.11786413192749
2010-02-03,5.091710090637207
2010-02-04,4.991125583648682
2010-02-05,4.995147705078125
2010-02-08,5.023867607116699
2010-02-09,5.062844753265381
2010-02-10,5.013609886169434
2010-02-11,5.050536155700684
2010-02-12,5.046431541442871
2010-02-16,4.872064113616943
2010-02-17,4.892576694488525
2010-02-18,4.947965145111084
2010-02-19,5.023867607116699
2010-02-22,5.032073974609375
2010-02-23,4.964376926422119
2010-02-24,5.0566887855529785
2010-02-25,5.0936150550842285
2010-02-26,5.085409164428711
2010-03-01,5.146950721740723
2010-03-02,5.09976863861084
2010-03-03,5.142848968505859
2010-03-04,5.185926914215088
2010-03-05,5.23721170425415
2010-03-08,5.335679531097412
2010-03-09,5.36439847946167
2010-03-10,5.419787406921387
2010-03-11,5.469019889831543
2010-03-12,5.471071243286133
2010-03-15,5.493636608123779
2010-03-16,5.561333179473877
2010-03-17,5.6433892250061035
2010-03-18,5.7008280754089355
2010-03-19,5.770575046539307
2010-03-22,5.836219787597656
2010-03-23,5.862888336181641
2010-03-24,5.80955171585083
2010-03-25,5.789037227630615
2010-03-26,5.72749662399292
2010-03-29,5.815706253051758
2010-03-30,5.821859836578369
2010-03-31,5.764421463012695
2010-04-01,5.74800968170166
2010-04-05,5.7726263999938965
2010-04-06,5.7726263999938965
2010-04-07,5.706981658935547
2010-04-08,5.69057035446167
2010-04-09,5.69057035446167
2010-04-12,5.663903713226318
2010-04-13,5.711084365844727
2010-04-14,5.737752914428711
2010-04-15,5.774677276611328
2010-04-16,5.725444316864014
2010-04-19,5.741856098175049
2010-04-20,5.791089057922363
2010-04-21,5.81160306930542
2010-04-22,5.883401870727539
2010-04-23,5.89365816116333
2010-04-26,5.823912143707275
2010-04-27,5.639285564422607
2010-04-28,5.641336917877197
2010-04-29,5.670056343078613
2010-04-30,5.592104911804199
2010-05-03,5.637234210968018
2010-05-04,5.507996082305908
2010-05-05,5.477226734161377
2010-05-06,5.354143142700195
2010-05-07,5.239264488220215
2010-05-10,5.518252849578857
2010-05-11,5.469019889831543
2010-05-12,5.575692653656006
2010-05-13,5.518252849578857
2010-05-14,5.430043697357178
2010-05-17,5.526458740234375
2010-05-18,5.4915852546691895
2010-05-19,5.469019889831543
2010-05-20,5.233109474182129
2010-05-21,5.319268226623535
2010-05-24,5.259777069091797
2010-05-25,5.245418071746826
2010-05-26,5.245418071746826
2010-05-27,5.382861614227295
2010-05-28,5.333629131317139
2010-06-01,5.204390048980713
2010-06-02,5.3049092292785645
2010-06-03,5.354143142700195
2010-06-04,5.130538463592529
2010-06-07,5.0484843254089355
2010-06-08,5.0813069343566895
2010-06-09,5.050536155700684
2010-06-10,5.20028829574585
2010-06-11,5.190029621124268
2010-06-14,5.167465686798096
2010-06-15,5.329524993896484
2010-06-16,5.3151655197143555
2010-06-17,5.331577777862549
2010-06-18,5.354143142700195
2010-06-21,5.288496971130371
2010-06-22,5.192081451416016
2010-06-23,5.175670146942139
2010-06-24,5.114128589630127
2010-06-25,5.112077713012695
2010-06-28,5.134642601013184
2010-06-29,4.968480110168457
2010-06-30,4.917195796966553
2010-07-01,4.917195796966553
2010-07-02,4.853601455688477
2010-07-06,4.867961406707764
2010-07-07,5.013609886169434
2010-07-08,5.071049690246582
2010-07-09,5.124385833740234
2010-07-12,5.169516086578369
2010-07-13,5.323371887207031
2010-07-14,5.286445140838623
2010-07-15,5.292600631713867
2010-07-16,5.169516086578369
2010-07-19,5.267982006072998
2010-07-20,5.319268226623535
2010-07-21,5.169516086578369
2010-07-22,5.309010982513428
2010-07-23,5.335679531097412
2010-07-26,5.380810260772705
2010-07-27,5.3931193351745605
2010-07-28,5.425940990447998
2010-07-29,5.384913444519043
2010-07-30,5.427993297576904
2010-08-02,5.569538593292236
2010-08-03,5.524408340454102
2010-08-04,5.536716461181641
2010-08-05,5.5223565101623535
2010-08-06,5.507996082305908
2010-08-09,5.557229995727539
2010-08-10,5.524408340454102
2010-08-11,5.347988128662109
2010-08-12,5.325421333312988
2010-08-13,5.300804138183594
2010-08-16,5.331577777862549
2010-08-17,5.446454048156738
2010-08-18,5.469019889831543
2010-08-19,5.356193542480469
2010-08-20,5.372605323791504
2010-08-23,5.352091312408447
2010-08-24,5.309010982513428
2010-08-25,5.259777069091797
2010-08-26,5.169516086578369
2010-08-27,5.2536234855651855
2010-08-30,5.19823694229126
2010-08-31,5.229008197784424
2010-09-01,5.397221088409424
2010-09-02,5.471071243286133
2010-09-03,5.571589946746826
2010-09-07,5.483380317687988
2010-09-08,5.536716461181641
2010-09-09,5.561333179473877
2010-09-10,5.629027843475342
2010-09-13,5.688519477844238
2010-09-14,5.7090349197387695
2010-09-15,5.717239856719971
2010-09-16,5.6618499755859375
2010-09-17,5.684416770935059
2010-09-20,5.768524169921875
2010-09-21,5.719289302825928
2010-09-22,5.616721153259277
2010-09-23,5.567485332489014
2010-09-24,5.686467170715332
