Date,TECH
2010-01-04,14.712309837341309
2010-01-05,14.585921287536621
2010-01-06,14.54736614227295
2010-01-07,14.581636428833008
2010-01-08,14.553797721862793
2010-01-11,14.45953369140625
2010-01-12,14.438115119934082
2010-01-13,14.609484672546387
2010-01-14,14.620196342468262
2010-01-15,14.365281105041504
2010-01-19,14.45953369140625
2010-01-20,14.316015243530273
2010-01-21,14.058944702148438
2010-01-22,14.016111373901367
2010-01-25,13.91114616394043
2010-01-26,13.992547988891602
2010-01-27,14.058944702148438
2010-01-28,14.106078147888184
2010-01-29,14.056812286376953
2010-02-01,14.176770210266113
2010-02-02,14.071809768676758
2010-02-03,13.707637786865234
2010-02-04,13.459151268005371
2010-02-05,13.169960021972656
2010-02-08,13.107833862304688
2010-02-09,13.109981536865234
2010-02-10,13.01317310333252
2010-02-11,13.017477989196777
2010-02-12,13.292839050292969
2010-02-16,13.230452537536621
2010-02-17,13.350926399230957
2010-02-18,13.441276550292969
2010-02-19,13.56605339050293
2010-02-22,13.523029327392578
2010-02-23,13.570356369018555
2010-02-24,13.705888748168945
2010-02-25,13.662861824035645
2010-02-26,13.751063346862793
2010-03-01,13.929622650146484
2010-03-02,14.106025695800781
2010-03-03,14.088814735412598
2010-03-04,14.080217361450195
2010-03-05,14.131847381591797
2010-03-08,14.007072448730469
2010-03-09,13.989860534667969
2010-03-10,14.009220123291016
2010-03-11,14.108181953430176
2010-03-12,14.065153121948242
2010-03-15,14.149052619934082
2010-03-16,14.170568466186523
2010-03-17,14.177020072937012
2010-03-18,14.192079544067383
2010-03-19,14.106025695800781
2010-03-22,14.243712425231934
2010-03-23,14.398603439331055
2010-03-24,14.220043182373047
2010-03-25,14.18992805480957
2010-03-26,14.067301750183105
2010-03-29,14.05224895477295
2010-03-30,13.959738731384277
2010-03-31,13.677921295166016
2010-04-01,13.692981719970703
2010-04-05,13.617685317993164
2010-04-06,13.596173286437988
2010-04-07,13.574660301208496
2010-04-08,13.514422416687012
2010-04-09,13.471395492553711
2010-04-12,13.348770141601562
2010-04-13,13.49075698852539
2010-04-14,13.55530071258545
2010-04-15,13.692981719970703
2010-04-16,13.710188865661621
2010-04-19,13.783332824707031
2010-04-20,13.983405113220215
2010-04-21,14.06300163269043
2010-04-22,14.037184715270996
2010-04-23,14.082365036010742
2010-04-26,14.116782188415527
2010-04-27,13.875842094421387
2010-04-28,13.94252872467041
2010-04-29,14.187775611877441
2010-04-30,14.252313613891602
2010-05-03,14.284582138061523
2010-05-04,13.910264015197754
2010-05-05,13.55530071258545
2010-05-06,13.344468116760254
2010-05-07,13.292839050292969
2010-05-10,13.630590438842773
2010-05-11,13.675768852233887
2010-05-12,13.718972206115723
2010-05-13,13.608804702758789
2010-05-14,13.384150505065918
2010-05-17,13.479202270507812
2010-05-18,13.245903968811035
2010-05-19,13.295589447021484
2010-05-20,13.086051940917969
2010-05-21,13.036373138427734
2010-05-24,12.993167877197266
2010-05-25,12.92404842376709
2010-05-26,13.062294006347656
2010-05-27,13.133575439453125
2010-05-28,13.079573631286621
2010-06-01,12.971566200256348
2010-06-02,13.163814544677734
2010-06-03,13.25886344909668
2010-06-04,12.928365707397461
2010-06-07,12.733953475952148
2010-06-08,12.528742790222168
2010-06-09,12.334331512451172
2010-06-10,12.675629615783691
2010-06-11,12.831157684326172
2010-06-14,12.86572265625
2010-06-15,13.034210205078125
2010-06-16,13.04284954071045
2010-06-17,13.032047271728516
2010-06-18,13.010448455810547
2010-06-21,12.876521110534668
2010-06-22,12.723154067993164
2010-06-23,12.632429122924805
2010-06-24,12.526578903198242
2010-06-25,12.81387710571289
2010-06-28,12.891646385192871
2010-06-29,12.567620277404785
2010-06-30,12.409937858581543
2010-07-01,12.183119773864746
2010-07-02,12.217679977416992
2010-07-06,12.349451065063477
2010-07-07,12.44233512878418
2010-07-08,12.563302040100098
2010-07-09,12.472579956054688
2010-07-12,12.405617713928223
2010-07-13,12.658347129821777
2010-07-14,12.628106117248535
2010-07-15,12.502817153930664
2010-07-16,12.217679977416992
2010-07-19,12.263045310974121
2010-07-20,12.386173248291016
2010-07-21,12.126958847045898
2010-07-22,12.330010414123535
2010-07-23,12.360247611999512
2010-07-26,12.727474212646484
2010-07-27,12.779319763183594
2010-07-28,12.66266918182373
2010-07-29,12.522258758544922
2010-07-30,12.615143775939941
2010-08-02,12.73178768157959
2010-08-03,13.15733814239502
2010-08-04,13.2523832321167
2010-08-05,13.19621753692627
2010-08-06,13.47703742980957
2010-08-09,13.522397994995117
2010-08-10,13.286942481994629
2010-08-11,12.982367515563965
2010-08-12,13.093013763427734
2010-08-13,12.958501815795898
2010-08-16,12.949824333190918
2010-08-17,13.236200332641602
2010-08-18,13.262239456176758
2010-08-19,12.949824333190918
2010-08-20,13.043111801147461
2010-08-23,12.971521377563477
2010-08-24,12.669957160949707
2010-08-25,12.711177825927734
2010-08-26,12.637412071228027
2010-08-27,12.921623229980469
2010-08-30,12.75673770904541
2010-08-31,12.524599075317383
2010-09-01,12.787105560302734
2010-09-02,12.854363441467285
2010-09-03,13.017082214355469
2010-09-07,12.876062393188477
2010-09-08,12.904265403747559
2010-09-09,13.049623489379883
2010-09-10,12.978028297424316
2010-09-13,13.075657844543457
2010-09-14,13.17762279510498
2010-09-15,13.320809364318848
2010-09-16,13.225350379943848
2010-09-17,13.210164070129395
2010-09-20,13.335996627807617
2010-09-21,13.199320793151855
2010-09-22,13.210164070129395
2010-09-23,13.053960800170898
2010-09-24,13.305627822875977
2010-09-27,13.203658103942871
2010-09-28,13.166775703430176
