Date,GRMN
2010-01-04,19.00251579284668
2010-01-05,19.049755096435547
2010-01-06,18.908035278320312
2010-01-07,18.99660873413086
2010-01-08,19.95323371887207
2010-01-11,20.248483657836914
2010-01-12,19.965038299560547
2010-01-13,20.472875595092773
2010-01-14,20.779949188232422
2010-01-15,20.7445125579834
2010-01-19,21.90781021118164
2010-01-20,21.346826553344727
2010-01-21,20.171720504760742
2010-01-22,19.734743118286133
2010-01-25,19.770177841186523
2010-01-26,19.57530975341797
2010-01-27,19.817419052124023
2010-01-28,19.374544143676758
2010-01-29,19.079280853271484
2010-02-01,19.209192276000977
2010-02-02,19.652076721191406
2010-02-03,19.5280704498291
2010-02-04,19.026142120361328
2010-02-05,19.12652015686035
2010-02-08,18.837173461914062
2010-02-09,18.84899139404297
2010-02-10,18.837173461914062
2010-02-11,19.14423179626465
2010-02-12,18.86669921875
2010-02-16,19.362728118896484
2010-02-17,19.486736297607422
2010-02-18,19.95323371887207
2010-02-19,19.911895751953125
2010-02-22,20.620500564575195
2010-02-23,20.342971801757812
2010-02-24,19.161956787109375
2010-02-25,18.84899139404297
2010-02-26,18.86669921875
2010-03-01,19.173763275146484
2010-03-02,19.48082733154297
2010-03-03,19.97093963623047
2010-03-04,19.994571685791016
2010-03-05,20.478784561157227
2010-03-08,20.73270606994629
2010-03-09,20.892139434814453
2010-03-10,21.081096649169922
2010-03-11,21.205116271972656
2010-03-12,21.205116271972656
2010-03-15,21.016141891479492
2010-03-16,20.844898223876953
2010-03-17,22.008197784423828
2010-03-18,21.695228576660156
2010-03-19,21.33501434326172
2010-03-22,21.39406967163086
2010-03-23,21.990476608276367
2010-03-24,22.46879005432129
2010-03-25,23.041584014892578
2010-03-26,23.584850311279297
2010-03-29,23.112443923950195
2010-03-30,22.498315811157227
2010-03-31,22.811279296875
2010-04-01,22.433366775512695
2010-04-05,22.37430763244629
2010-04-06,22.78175163269043
2010-04-07,22.81719398498535
2010-04-08,22.52193832397461
2010-04-09,22.510128021240234
2010-04-12,22.208965301513672
2010-04-13,22.38179588317871
2010-04-14,22.830785751342773
2010-04-15,22.87384033203125
2010-04-16,22.215730667114258
2010-04-19,22.541715621948242
2010-04-20,22.578615188598633
2010-04-21,22.68931770324707
2010-04-22,23.08296012878418
2010-04-23,23.076807022094727
2010-04-26,23.18752670288086
2010-04-27,23.464296340942383
2010-04-28,23.525789260864258
2010-04-29,23.827177047729492
2010-04-30,22.99069595336914
2010-05-03,23.97478485107422
2010-05-04,23.052215576171875
2010-05-05,21.0286808013916
2010-05-06,20.598146438598633
2010-05-07,21.071733474731445
2010-05-10,21.895904541015625
2010-05-11,21.016376495361328
2010-05-12,20.87491798400879
2010-05-13,20.24141502380371
2010-05-14,20.622743606567383
2010-05-17,20.917970657348633
2010-05-18,20.505884170532227
2010-05-19,21.071733474731445
2010-05-20,20.567398071289062
2010-05-21,20.622743606567383
2010-05-24,20.358274459838867
2010-05-25,20.296762466430664
2010-05-26,19.57100486755371
2010-05-27,20.358274459838867
2010-05-28,20.653501510620117
2010-06-01,19.72476577758789
2010-06-02,20.358274459838867
2010-06-03,20.16145133972168
2010-06-04,19.68171501159668
2010-06-07,19.201974868774414
2010-06-08,19.88468360900879
2010-06-09,19.767820358276367
