Date,COST
2010-01-04,42.22154235839844
2010-01-05,42.0936279296875
2010-01-06,42.640846252441406
2010-01-07,42.434749603271484
2010-01-08,42.129154205322266
2010-01-11,42.17889404296875
2010-01-12,41.951473236083984
2010-01-13,42.21444320678711
2010-01-14,41.73116683959961
2010-01-15,41.780921936035156
2010-01-19,41.894630432128906
2010-01-20,41.411380767822266
2010-01-21,40.87835693359375
2010-01-22,40.55854034423828
2010-01-25,40.89968490600586
2010-01-26,41.16973876953125
2010-01-27,40.88548278808594
2010-01-28,40.757537841796875
2010-01-29,40.81439971923828
2010-02-01,41.15552520751953
2010-02-02,41.76670837402344
2010-02-03,41.517982482910156
2010-02-04,41.58903503417969
2010-02-05,41.63167953491211
2010-02-08,41.31898498535156
2010-02-09,41.759605407714844
2010-02-10,42.165931701660156
2010-02-11,42.53662872314453
2010-02-12,42.25860595703125
2010-02-16,43.249488830566406
2010-02-17,43.52036666870117
2010-02-18,43.456214904785156
2010-02-19,43.58454132080078
2010-02-22,43.335044860839844
2010-02-23,43.135433197021484
2010-02-24,43.38492965698242
2010-02-25,43.769874572753906
2010-02-26,43.463356018066406
2010-03-01,43.94809341430664
2010-03-02,43.7556266784668
2010-03-03,43.25661087036133
2010-03-04,43.34215545654297
2010-03-05,43.25661087036133
2010-03-08,43.249488830566406
2010-03-09,42.86455154418945
2010-03-10,42.65781021118164
2010-03-11,42.700592041015625
2010-03-12,42.8930549621582
2010-03-15,43.1639404296875
2010-03-16,43.42057800292969
2010-03-17,43.71998596191406
2010-03-18,43.67721176147461
2010-03-19,43.28512191772461
2010-03-22,43.39918899536133
2010-03-23,43.31364059448242
2010-03-24,42.82178497314453
2010-03-25,42.807518005371094
2010-03-26,42.86455154418945
2010-03-29,42.871673583984375
2010-03-30,42.8930549621582
2010-03-31,42.56513977050781
2010-04-01,42.871673583984375
2010-04-05,43.356407165527344
2010-04-06,44.01226043701172
2010-04-07,43.99799346923828
2010-04-08,43.4704704284668
2010-04-09,43.63444137573242
2010-04-12,43.021385192871094
2010-04-13,42.693458557128906
2010-04-14,42.5009880065918
2010-04-15,42.08038330078125
2010-04-16,42.19443130493164
2010-04-19,42.394046783447266
2010-04-20,42.40830993652344
2010-04-21,42.42256546020508
2010-04-22,42.928714752197266
2010-04-23,42.91443634033203
2010-04-26,42.82178497314453
2010-04-27,42.18021011352539
2010-04-28,41.952083587646484
2010-04-29,42.308494567871094
2010-04-30,42.116024017333984
2010-05-03,42.27999496459961
2010-05-04,42.686336517333984
2010-05-05,43.17632293701172
2010-05-06,41.5096321105957
2010-05-07,40.994598388671875
2010-05-10,41.14482498168945
2010-05-11,41.44525909423828
2010-05-12,41.40234375
2010-05-13,41.252132415771484
2010-05-14,41.30219650268555
2010-05-17,41.73854446411133
2010-05-18,41.330810546875
2010-05-19,41.32365798950195
2010-05-20,40.479583740234375
2010-05-21,41.08760452270508
2010-05-24,40.60118103027344
2010-05-25,40.41520309448242
2010-05-26,40.04325485229492
2010-05-27,42.01750183105469
2010-05-28,41.667015075683594
2010-06-01,41.473876953125
2010-06-02,42.16773223876953
2010-06-03,41.43810272216797
2010-06-04,40.179161071777344
2010-06-07,39.95023727416992
2010-06-08,40.52964782714844
2010-06-09,41.05899429321289
2010-06-10,41.237823486328125
2010-06-11,41.14482498168945
2010-06-14,41.14482498168945
2010-06-15,42.31794738769531
2010-06-16,41.73138427734375
2010-06-17,41.903053283691406
2010-06-18,41.63838577270508
2010-06-21,41.330810546875
2010-06-22,41.209205627441406
2010-06-23,41.08760452270508
2010-06-24,40.21493148803711
2010-06-25,40.37229537963867
2010-06-28,40.52251434326172
2010-06-29,39.79289245605469
2010-06-30,39.220638275146484
2010-07-01,39.27070999145508
2010-07-02,38.79145050048828
2010-07-06,38.62692642211914
2010-07-07,38.834373474121094
2010-07-08,39.85011291503906
2010-07-09,40.193458557128906
2010-07-12,40.00746154785156
2010-07-13,40.422359466552734
2010-07-14,40.30791091918945
2010-07-15,40.45097351074219
2010-07-16,39.32792663574219
2010-07-19,39.21347427368164
2010-07-20,39.406612396240234
2010-07-21,38.34796905517578
2010-07-22,39.27070999145508
2010-07-23,40.021785736083984
2010-07-26,39.85011291503906
2010-07-27,40.92308807373047
2010-07-28,40.422359466552734
2010-07-29,40.207759857177734
2010-07-30,40.56541442871094
2010-08-02,40.658409118652344
2010-08-03,40.45097351074219
2010-08-04,41.208377838134766
2010-08-05,40.533538818359375
2010-08-06,40.59096908569336
2010-08-09,41.036067962646484
2010-08-10,40.9068489074707
2010-08-11,40.10997009277344
2010-08-12,39.966365814208984
2010-08-13,39.70790481567383
2010-08-16,39.75100326538086
2010-08-17,40.08124542236328
2010-08-18,39.97357177734375
2010-08-19,39.492549896240234
2010-08-20,39.514095306396484
2010-08-23,39.4135856628418
2010-08-24,39.91614532470703
2010-08-25,40.97146224975586
2010-08-26,40.40431213378906
2010-08-27,40.339691162109375
2010-08-30,40.25354766845703
2010-08-31,40.56224822998047
2010-09-01,41.488372802734375
2010-09-02,42.06268310546875
2010-09-03,42.04832458496094
2010-09-07,42.098594665527344
2010-09-08,42.507808685302734
2010-09-09,42.31397247314453
2010-09-10,42.744712829589844
2010-09-13,43.1108512878418
2010-09-14,43.82158279418945
2010-09-15,43.929283142089844
2010-09-16,43.965171813964844
2010-09-17,44.001068115234375
2010-09-20,43.99388885498047
2010-09-21,43.9867057800293
2010-09-22,44.747718811035156
2010-09-23,44.86974334716797
2010-09-24,45.98252487182617
2010-09-27,45.752784729003906
2010-09-28,46.66453552246094
