Date,TAP
2010-01-04,31.382314682006836
2010-01-05,31.00643539428711
2010-01-06,30.972265243530273
2010-01-07,30.452869415283203
2010-01-08,30.411863327026367
2010-01-11,30.760412216186523
2010-01-12,30.8697566986084
2010-01-13,30.992767333984375
2010-01-14,31.156784057617188
2010-01-15,30.87659454345703
2010-01-19,30.466550827026367
2010-01-20,29.906137466430664
2010-01-21,29.632768630981445
2010-01-22,29.400413513183594
2010-01-25,29.25007438659668
2010-01-26,29.325244903564453
2010-01-27,29.304744720458984
2010-01-28,29.0177001953125
2010-01-29,28.703336715698242
2010-02-01,29.045045852661133
2010-02-02,28.942533493041992
2010-02-03,29.14755630493164
2010-02-04,27.63037872314453
2010-02-05,28.170272827148438
2010-02-08,28.23178482055664
2010-02-09,27.322851181030273
2010-02-10,26.65310287475586
2010-02-11,26.95380210876465
2010-02-12,26.584747314453125
2010-02-16,27.254493713378906
2010-02-17,27.657711029052734
2010-02-18,27.773897171020508
2010-02-19,28.095096588134766
2010-02-22,28.25912857055664
2010-02-23,27.92425537109375
2010-02-24,28.171730041503906
2010-02-25,28.082361221313477
2010-02-26,27.759262084960938
2010-03-01,28.24048614501953
2010-03-02,28.233598709106445
2010-03-03,28.405467987060547
2010-03-04,28.996671676635742
2010-03-05,29.42976951599121
2010-03-08,29.34726905822754
2010-03-09,29.519134521484375
2010-03-10,29.567256927490234
2010-03-11,29.649765014648438
2010-03-12,29.663497924804688
2010-03-15,29.649765014648438
2010-03-16,29.794118881225586
2010-03-17,29.876611709594727
2010-03-18,29.780366897583008
2010-03-19,29.807851791381836
2010-03-22,29.663497924804688
2010-03-23,29.560367584228516
2010-03-24,29.422897338867188
2010-03-25,29.326648712158203
2010-03-26,29.292280197143555
2010-03-29,28.687313079833984
2010-03-30,28.962305068969727
2010-03-31,28.91417121887207
2010-04-01,29.629127502441406
2010-04-05,29.677249908447266
2010-04-06,29.48475456237793
2010-04-07,29.505390167236328
2010-04-08,29.594755172729492
2010-04-09,29.959104537963867
2010-04-12,30.25469970703125
2010-04-13,30.639671325683594
2010-04-14,30.63279914855957
2010-04-15,30.564054489135742
2010-04-16,30.23406219482422
2010-04-19,30.082836151123047
2010-04-20,30.30970001220703
2010-04-21,30.23406219482422
2010-04-22,30.25469970703125
2010-04-23,30.34407615661621
2010-04-26,30.25469970703125
2010-04-27,29.526002883911133
2010-04-28,29.471012115478516
2010-04-29,30.694677352905273
2010-04-30,30.49531364440918
2010-05-03,30.619056701660156
2010-05-04,30.337203979492188
2010-05-05,29.842222213745117
2010-05-06,29.422897338867188
2010-05-07,28.845430374145508
2010-05-10,29.49163818359375
2010-05-11,29.003530502319336
2010-05-12,29.189149856567383
2010-05-13,29.539762496948242
2010-05-14,29.354137420654297
2010-05-17,29.526002883911133
2010-05-18,29.972856521606445
2010-05-19,29.63599967956543
2010-05-20,28.412338256835938
2010-05-21,28.79729652404785
2010-05-24,28.549821853637695
2010-05-25,28.013620376586914
2010-05-26,27.792110443115234
2010-05-27,28.0966854095459
2010-05-28,28.408170700073242
2010-06-01,28.013612747192383
2010-06-02,28.865026473999023
2010-06-03,29.148841857910156
2010-06-04,28.823511123657227
2010-06-07,29.22498321533203
2010-06-08,29.73029327392578
2010-06-09,29.868732452392578
2010-06-10,30.408655166625977
2010-06-11,30.235595703125
2010-06-14,30.464025497436523
2010-06-15,30.692459106445312
2010-06-16,30.713228225708008
2010-06-17,30.699384689331055
2010-06-18,30.837825775146484
2010-06-21,30.450180053710938
2010-06-22,30.547107696533203
2010-06-23,30.56786346435547
2010-06-24,30.380962371826172
2010-06-25,30.041790008544922
2010-06-28,30.1871337890625
2010-06-29,29.640302658081055
2010-06-30,29.32188606262207
2010-07-01,29.55031394958496
2010-07-02,29.197290420532227
2010-07-06,29.43954849243164
2010-07-07,30.117918014526367
2010-07-08,30.42249870300293
2010-07-09,30.56786346435547
2010-07-12,30.692459106445312
2010-07-13,31.01779556274414
2010-07-14,30.837825775146484
2010-07-15,30.962419509887695
2010-07-16,30.436338424682617
2010-07-19,30.810134887695312
2010-07-20,31.038572311401367
2010-07-21,31.07316780090332
2010-07-22,31.779226303100586
2010-07-23,32.007659912109375
2010-07-26,32.17377471923828
2010-07-27,32.22223663330078
2010-07-28,31.46772003173828
2010-07-29,31.052404403686523
2010-07-30,31.15622901916504
2010-08-02,31.841524124145508
2010-08-03,32.36759948730469
2010-08-04,32.59603500366211
2010-08-05,32.36068344116211
2010-08-06,31.62002182006836
2010-08-09,31.848424911499023
2010-08-10,31.966129302978516
2010-08-11,31.5784854888916
2010-08-12,31.682315826416016
2010-08-13,31.5784854888916
2010-08-16,31.606163024902344
2010-08-17,32.125328063964844
2010-08-18,32.21531677246094
2010-08-19,31.869218826293945
2010-08-20,31.7861385345459
2010-08-23,31.668468475341797
2010-08-24,31.218536376953125
2010-08-25,30.886260986328125
2010-08-26,30.533254623413086
2010-08-27,30.519325256347656
2010-08-30,30.19887924194336
2010-08-31,30.345172882080078
2010-09-01,31.16021728515625
2010-09-02,31.174150466918945
2010-09-03,31.06268310546875
2010-09-07,30.91639518737793
2010-09-08,31.181114196777344
2010-09-09,30.930326461791992
2010-09-10,30.707414627075195
2010-09-13,30.902462005615234
2010-09-14,31.11146354675293
2010-09-15,31.438867568969727
2010-09-16,31.473690032958984
2010-09-17,31.696630477905273
2010-09-20,31.99617576599121
2010-09-21,31.71055030822754
2010-09-22,32.024051666259766
2010-09-23,31.940441131591797
2010-09-24,32.6649284362793
2010-09-27,32.518638610839844
2010-09-28,32.89481735229492
