Date,PEG
2010-01-04,18.75197410583496
2010-01-05,18.735244750976562
2010-01-06,18.63488006591797
2010-01-07,18.383960723876953
2010-01-08,18.333776473999023
2010-01-11,18.42299461364746
2010-01-12,18.305904388427734
2010-01-13,18.428565979003906
2010-01-14,18.30032730102539
2010-01-15,18.188806533813477
2010-01-19,18.356082916259766
2010-01-20,17.97134017944336
2010-01-21,17.703702926635742
2010-01-22,17.4193172454834
2010-01-25,17.530841827392578
2010-01-26,17.447200775146484
2010-01-27,17.207435607910156
2010-01-28,17.045732498168945
2010-01-29,17.056880950927734
2010-02-01,17.07918357849121
2010-02-02,17.22416114807129
2010-02-03,17.034576416015625
2010-02-04,16.52716636657715
2010-02-05,16.460254669189453
2010-02-08,16.437955856323242
2010-02-09,16.666566848754883
2010-02-10,16.688867568969727
2010-02-11,17.023426055908203
2010-02-12,16.82269287109375
2010-02-16,17.15167808532715
2010-02-17,17.14052391052246
2010-02-18,17.20185661315918
2010-02-19,17.3858642578125
2010-02-22,17.045732498168945
2010-02-23,16.81711769104004
2010-02-24,16.82269287109375
2010-02-25,16.683298110961914
2010-02-26,16.571775436401367
2010-03-01,16.973243713378906
2010-03-02,17.07918357849121
2010-03-03,17.045732498168945
2010-03-04,17.229736328125
2010-03-05,17.397014617919922
2010-03-08,17.314136505126953
2010-03-09,17.22393226623535
2010-03-10,17.22393226623535
2010-03-11,17.291582107543945
2010-03-12,17.235204696655273
2010-03-15,17.39307403564453
2010-03-16,17.550935745239258
2010-03-17,17.455087661743164
2010-03-18,17.472002029418945
2010-03-19,17.432537078857422
2010-03-22,17.24648666381836
2010-03-23,17.212657928466797
2010-03-24,16.96458625793457
2010-03-25,16.547380447387695
2010-03-26,16.412063598632812
2010-03-29,16.626317977905273
2010-03-30,16.6037540435791
2010-03-31,16.643220901489258
2010-04-01,16.98150062561035
2010-04-05,17.376155853271484
2010-04-06,17.53401756286621
2010-04-07,17.297229766845703
2010-04-08,17.18447494506836
2010-04-09,17.302860260009766
2010-04-12,17.494548797607422
2010-04-13,17.39307403564453
2010-04-14,17.6016788482666
2010-04-15,17.308502197265625
2010-04-16,17.054794311523438
2010-04-19,17.0604305267334
2010-04-20,17.359241485595703
2010-04-21,17.381793975830078
2010-04-22,17.51710319519043
2010-04-23,17.7877254486084
2010-04-26,17.697521209716797
2010-04-27,17.51710319519043
2010-04-28,17.736988067626953
2010-04-29,17.95122718811035
2010-04-30,18.114728927612305
2010-05-03,18.475557327270508
2010-05-04,18.126005172729492
2010-05-05,17.97941780090332
2010-05-06,17.477638244628906
2010-05-07,17.308502197265625
2010-05-10,17.71443748474121
2010-05-11,17.748268127441406
2010-05-12,18.126005172729492
2010-05-13,18.097816467285156
2010-05-14,17.934310913085938
2010-05-17,17.968149185180664
2010-05-18,17.799001693725586
2010-05-19,17.72007179260254
2010-05-20,17.19009780883789
2010-05-21,17.0604305267334
2010-05-24,16.987136840820312
2010-05-25,16.942031860351562
2010-05-26,16.851823806762695
2010-05-27,17.252113342285156
2010-05-28,17.269033432006836
2010-06-01,17.07171630859375
2010-06-02,17.54529571533203
2010-06-03,17.75389862060547
2010-06-04,17.291582107543945
2010-06-07,17.566978454589844
2010-06-08,18.006011962890625
2010-06-09,18.165658950805664
2010-06-10,18.382326126098633
2010-06-11,18.308198928833008
2010-06-14,18.42793846130371
2010-06-15,18.884071350097656
2010-06-16,18.9296932220459
2010-06-17,19.180572509765625
2010-06-18,19.169157028198242
2010-06-21,18.861268997192383
2010-06-22,18.353811264038086
2010-06-23,18.08013916015625
2010-06-24,18.142852783203125
2010-06-25,18.47355079650879
2010-06-28,18.49065399169922
2010-06-29,18.023120880126953
2010-06-30,17.86347198486328
2010-07-01,17.760839462280273
2010-07-02,17.891977310180664
2010-07-06,18.08013916015625
2010-07-07,18.656003952026367
2010-07-08,18.90688133239746
2010-07-09,19.009510040283203
2010-07-12,19.072229385375977
2010-07-13,19.083635330200195
2010-07-14,19.11214256286621
2010-07-15,19.23758888244629
2010-07-16,18.798555374145508
2010-07-19,18.986711502075195
2010-07-20,19.08934211730957
2010-07-21,18.815654754638672
2010-07-22,19.209075927734375
2010-07-23,19.254690170288086
2010-07-26,19.414335250854492
2010-07-27,19.83055877685547
2010-07-28,19.608192443847656
2010-07-29,19.2831974029541
2010-07-30,18.758642196655273
2010-08-02,18.992412567138672
2010-08-03,18.855567932128906
2010-08-04,18.758642196655273
2010-08-05,18.47355079650879
2010-08-06,18.667409896850586
2010-08-09,18.627498626708984
2010-08-10,18.541975021362305
2010-08-11,18.097240447998047
2010-08-12,17.994611740112305
2010-08-13,18.08013916015625
2010-08-16,17.98320960998535
2010-08-17,18.296798706054688
2010-08-18,18.348115921020508
2010-08-19,18.05162239074707
2010-08-20,18.091541290283203
2010-08-23,18.35951042175293
2010-08-24,18.31960105895996
2010-08-25,18.102935791015625
2010-08-26,17.897682189941406
2010-08-27,18.285400390625
2010-08-30,18.05162239074707
2010-08-31,18.22267723083496
2010-09-01,18.718727111816406
2010-09-02,18.5989933013916
2010-09-03,18.775741577148438
2010-09-07,18.714092254638672
2010-09-08,18.506675720214844
2010-09-09,18.64495277404785
