Date,CAT
2010-01-04,39.403465270996094
2010-01-05,39.87455368041992
2010-01-06,39.995697021484375
2010-01-07,40.15721893310547
2010-01-08,40.608123779296875
2010-01-11,43.158729553222656
2010-01-12,41.88679504394531
2010-01-13,41.94736099243164
2010-01-14,41.71181106567383
2010-01-15,40.736106872558594
2010-01-19,41.284934997558594
2010-01-20,40.4921760559082
2010-01-21,38.52042007446289
2010-01-22,36.758697509765625
2010-01-25,37.36174774169922
2010-01-26,37.84283447265625
2010-01-27,36.209869384765625
2010-01-28,35.139305114746094
2010-01-29,35.39677047729492
2010-02-01,35.87108612060547
2010-02-02,36.284400939941406
2010-02-03,36.17599105834961
2010-02-04,34.82759094238281
2010-02-05,35.06475067138672
2010-02-08,34.40751266479492
2010-02-09,36.27083969116211
2010-02-10,36.01335144042969
2010-02-11,38.046104431152344
2010-02-12,38.07999801635742
2010-02-16,38.70335388183594
2010-02-17,38.96084213256836
2010-02-18,39.17089080810547
2010-02-19,39.469024658203125
2010-02-22,39.319950103759766
2010-02-23,38.39167785644531
2010-02-24,38.59494400024414
2010-02-25,38.479774475097656
2010-02-26,38.65593719482422
2010-03-01,39.19799041748047
2010-03-02,39.40126037597656
2010-03-03,39.68585968017578
2010-03-04,39.60453796386719
2010-03-05,40.13306427001953
2010-03-08,39.91621780395508
2010-03-09,40.099185943603516
2010-03-10,39.82814025878906
2010-03-11,39.909461975097656
2010-03-12,40.898719787597656
2010-03-15,40.29567337036133
2010-03-16,40.28211975097656
2010-03-17,40.803863525390625
2010-03-18,40.49894714355469
2010-03-19,40.2279052734375
2010-03-22,40.62091064453125
2010-03-23,42.28776550292969
2010-03-24,42.05061340332031
2010-03-25,42.10481643676758
2010-03-26,42.30807876586914
2010-03-29,43.01276779174805
2010-03-30,42.795955657958984
2010-03-31,42.585880279541016
2010-04-01,43.35833740234375
2010-04-05,44.03591537475586
2010-04-06,44.23918914794922
2010-04-07,43.68357467651367
2010-04-08,43.69035720825195
2010-04-09,44.225643157958984
2010-04-12,45.214900970458984
2010-04-13,44.849002838134766
2010-04-14,45.58755874633789
2010-04-15,46.224510192871094
2010-04-16,45.316532135009766
2010-04-19,45.391056060791016
2010-04-20,45.73664093017578
2010-04-21,45.90604019165039
2010-04-22,46.02875900268555
2010-04-23,46.8946418762207
2010-04-26,48.85143280029297
2010-04-27,46.72419738769531
2010-04-28,47.024208068847656
2010-04-29,48.23781967163086
2010-04-30,46.4242057800293
2010-05-03,47.685543060302734
2010-05-04,45.47649383544922
2010-05-05,44.97195053100586
2010-05-06,43.29472351074219
2010-05-07,42.340179443359375
2010-05-10,45.469669342041016
2010-05-11,45.04696273803711
2010-05-12,46.46510696411133
2010-05-13,45.61967849731445
2010-05-14,44.23561477661133
2010-05-17,43.485626220703125
2010-05-18,43.0833625793457
2010-05-19,41.890193939208984
2010-05-20,40.001590728759766
2010-05-21,40.969757080078125
2010-05-24,40.376583099365234
2010-05-25,40.369754791259766
2010-05-26,40.72430419921875
2010-05-27,42.31291961669922
2010-05-28,41.426570892333984
2010-06-01,40.41066360473633
2010-06-02,41.49474334716797
2010-06-03,41.66519546508789
2010-06-04,39.38114929199219
2010-06-07,38.065250396728516
2010-06-08,38.597076416015625
2010-06-09,38.733428955078125
2010-06-10,40.874298095703125
2010-06-11,41.065208435058594
2010-06-14,41.59019470214844
2010-06-15,43.26744842529297
2010-06-16,43.90153121948242
2010-06-17,44.28333282470703
2010-06-18,44.8969612121582
2010-06-21,45.04696273803711
2010-06-22,43.71062088012695
2010-06-23,43.86062240600586
2010-06-24,43.20606994628906
2010-06-25,44.11970520019531
2010-06-28,43.9083366394043
2010-06-29,41.4879264831543
2010-06-30,40.956111907958984
2010-07-01,40.88793182373047
2010-07-02,40.34931182861328
2010-07-06,40.77885437011719
2010-07-07,42.39473342895508
2010-07-08,43.06972122192383
2010-07-09,44.12651443481445
2010-07-12,43.826515197753906
2010-07-13,45.53786849975586
2010-07-14,45.47649383544922
2010-07-15,45.346954345703125
2010-07-16,43.88503646850586
2010-07-19,44.475284576416016
2010-07-20,45.59402847290039
2010-07-21,45.896026611328125
2010-07-22,46.67160415649414
2010-07-23,47.57072067260742
2010-07-26,48.03742599487305
2010-07-27,47.48147964477539
2010-07-28,47.85213088989258
2010-07-29,47.632469177246094
2010-07-30,47.872711181640625
2010-08-02,48.76496505737305
2010-08-03,48.298240661621094
2010-08-04,48.8129997253418
2010-08-05,49.3895378112793
2010-08-06,49.115013122558594
2010-08-09,49.465057373046875
2010-08-10,49.01890182495117
2010-08-11,47.15890121459961
2010-08-12,46.32843780517578
2010-08-13,46.678462982177734
2010-08-16,47.00791931152344
2010-08-17,47.8658447265625
2010-08-18,47.872711181640625
2010-08-19,47.556976318359375
2010-08-20,47.26185607910156
2010-08-23,45.87543869018555
2010-08-24,44.6400260925293
2010-08-25,44.40666198730469
2010-08-26,43.89189147949219
2010-08-27,45.23027420043945
2010-08-30,44.248802185058594
2010-08-31,44.72237777709961
2010-09-01,46.78141403198242
2010-09-02,47.04224395751953
2010-09-03,48.099185943603516
2010-09-07,47.83838653564453
2010-09-08,48.55220413208008
2010-09-09,48.483551025390625
2010-09-10,48.909095764160156
2010-09-13,49.58173751831055
2010-09-14,49.30030822753906
2010-09-15,49.50621795654297
2010-09-16,49.416996002197266
2010-09-17,50.22688293457031
2010-09-20,51.3044548034668
2010-09-21,52.4300537109375
2010-09-22,52.28593063354492
2010-09-23,52.340858459472656
2010-09-24,54.722469329833984
2010-09-27,54.59203338623047
2010-09-28,54.6812744140625
