Date,TFC
2010-01-04,15.08700942993164
2010-01-05,15.303288459777832
2010-01-06,15.626643180847168
2010-01-07,16.25570297241211
2010-01-08,16.073453903198242
2010-01-11,16.073453903198242
2010-01-12,16.126361846923828
2010-01-13,16.402677536010742
2010-01-14,16.767183303833008
2010-01-15,16.32037353515625
2010-01-19,16.56142234802246
2010-01-20,16.75542449951172
2010-01-21,17.096410751342773
2010-01-22,16.549654006958008
2010-01-25,16.20867156982422
2010-01-26,15.755977630615234
2010-01-27,16.62608528137207
2010-01-28,16.64960479736328
2010-01-29,16.38504981994629
2010-02-01,16.59081268310547
2010-02-02,16.708396911621094
2010-02-03,16.343887329101562
2010-02-04,15.83240795135498
2010-02-05,16.17339515686035
2010-02-08,15.94998550415039
2010-02-09,15.991138458251953
2010-02-10,16.09109115600586
2010-02-11,15.985265731811523
2010-02-12,15.826529502868652
2010-02-16,16.114608764648438
2010-02-17,16.002899169921875
2010-02-18,16.020536422729492
2010-02-19,16.055816650390625
2010-02-22,16.584932327270508
2010-02-23,16.31449317932129
2010-02-24,16.743671417236328
2010-02-25,16.59669303894043
2010-02-26,16.7730655670166
2010-03-01,16.343887329101562
2010-03-02,16.34977149963379
2010-03-03,16.096967697143555
2010-03-04,16.34977149963379
2010-03-05,16.7730655670166
2010-03-08,16.878887176513672
2010-03-09,16.94355583190918
2010-03-10,17.419767379760742
2010-03-11,17.884218215942383
2010-03-12,18.048828125
2010-03-15,18.095863342285156
2010-03-16,18.572065353393555
2010-03-17,18.907175064086914
2010-03-18,18.760202407836914
2010-03-19,18.724925994873047
2010-03-22,18.8131103515625
2010-03-23,18.87190055847168
2010-03-24,18.883655548095703
2010-03-25,18.983600616455078
2010-03-26,18.960086822509766
2010-03-29,18.930692672729492
2010-03-30,18.79547691345215
2010-03-31,19.04239273071289
2010-04-01,19.089431762695312
2010-04-05,19.353992462158203
2010-04-06,19.712610244750977
2010-04-07,19.61812400817871
2010-04-08,19.88977813720703
2010-04-09,19.99017333984375
2010-04-12,20.108280181884766
2010-04-13,19.78938102722168
2010-04-14,20.4035587310791
2010-04-15,20.18504524230957
2010-04-16,19.9370174407959
2010-04-19,20.084657669067383
2010-04-20,20.40946388244629
2010-04-21,20.7342586517334
2010-04-22,20.279542922973633
2010-04-23,20.244104385375977
2010-04-26,19.683088302612305
2010-04-27,19.22835350036621
2010-04-28,19.311038970947266
2010-04-29,19.7952880859375
2010-04-30,19.629940032958984
2010-05-03,20.179149627685547
2010-05-04,19.807104110717773
2010-05-05,19.6063175201416
2010-05-06,19.027576446533203
2010-05-07,19.039377212524414
2010-05-10,20.090564727783203
2010-05-11,20.563005447387695
2010-05-12,21.02954864501953
2010-05-13,20.76970100402832
2010-05-14,20.108280181884766
2010-05-17,19.91929817199707
2010-05-18,19.21654510498047
2010-05-19,19.068910598754883
2010-05-20,17.964576721191406
2010-05-21,18.519702911376953
2010-05-24,17.77560806274414
2010-05-25,18.02363395690918
2010-05-26,17.78742027282715
2010-05-27,18.354347229003906
2010-05-28,17.8582763671875
2010-06-01,17.580720901489258
2010-06-02,18.147642135620117
2010-06-03,17.988201141357422
2010-06-04,17.26181983947754
2010-06-07,17.031509399414062
2010-06-08,17.114187240600586
2010-06-09,16.954734802246094
2010-06-10,17.793325424194336
2010-06-11,17.840564727783203
2010-06-14,17.59844207763672
2010-06-15,17.923242568969727
2010-06-16,17.893714904785156
2010-06-17,17.55119514465332
2010-06-18,17.462604522705078
2010-06-21,17.379934310913086
2010-06-22,17.16143035888672
2010-06-23,17.019695281982422
2010-06-24,16.635841369628906
2010-06-25,16.984264373779297
2010-06-28,16.848434448242188
2010-06-29,16.110246658325195
2010-06-30,15.537412643432617
2010-07-01,15.608282089233398
2010-07-02,15.366157531738281
2010-07-06,15.667333602905273
2010-07-07,16.243425369262695
2010-07-08,16.356271743774414
2010-07-09,16.73637580871582
2010-07-12,16.70074462890625
2010-07-13,16.97987937927246
2010-07-14,16.581953048706055
2010-07-15,16.445350646972656
2010-07-16,15.667333602905273
2010-07-19,15.506982803344727
2010-07-20,15.768293380737305
2010-07-21,15.388192176818848
2010-07-22,15.049664497375488
2010-07-23,15.168444633483887
2010-07-26,15.435702323913574
2010-07-27,15.495102882385254
2010-07-28,15.180327415466309
2010-07-29,14.87743854522705
2010-07-30,14.746774673461914
2010-08-02,15.0556058883667
2010-08-03,14.734895706176758
2010-08-04,14.901195526123047
2010-08-05,14.9962158203125
2010-08-06,14.966517448425293
2010-08-09,15.0556058883667
2010-08-10,14.990276336669922
2010-08-11,14.39042854309082
2010-08-12,14.158807754516602
2010-08-13,14.152863502502441
2010-08-16,14.135048866271973
2010-08-17,14.164743423461914
2010-08-18,14.158807754516602
2010-08-19,13.826213836669922
2010-08-20,13.725253105163574
2010-08-23,13.434235572814941
2010-08-24,13.30357551574707
2010-08-25,13.220429420471191
2010-08-26,13.22636604309082
2010-08-27,13.493624687194824
2010-08-30,12.988805770874023
2010-08-31,13.137283325195312
2010-09-01,13.677738189697266
2010-09-02,13.731184005737305
2010-09-03,13.992510795593262
2010-09-07,13.475812911987305
2010-09-08,13.784638404846191
2010-09-09,14.212258338928223
2010-09-10,14.0459566116333
2010-09-13,14.473576545715332
2010-09-14,13.915299415588379
2010-09-15,14.016264915466309
2010-09-16,13.826213836669922
2010-09-17,13.677738189697266
2010-09-20,14.063779830932617
2010-09-21,14.105356216430664
2010-09-22,14.051898002624512
2010-09-23,14.034083366394043
2010-09-24,14.556718826293945
2010-09-27,14.289464950561523
2010-09-28,14.295402526855469
