Date,CCI
2010-01-04,25.07207679748535
2010-01-05,25.312606811523438
2010-01-06,24.95181655883789
2010-01-07,24.54038429260254
2010-01-08,24.660646438598633
2010-01-11,24.666980743408203
2010-01-12,24.211238861083984
2010-01-13,24.477087020874023
2010-01-14,24.439102172851562
2010-01-15,24.489734649658203
2010-01-19,24.57836151123047
2010-01-20,24.660646438598633
2010-01-21,24.325162887573242
2010-01-22,23.641557693481445
2010-01-25,24.08463478088379
2010-01-26,23.698528289794922
2010-01-27,24.211238861083984
2010-01-28,23.527629852294922
2010-01-29,23.382038116455078
2010-02-01,23.590919494628906
2010-02-02,23.60991096496582
2010-02-03,23.287094116210938
2010-02-04,22.527524948120117
2010-02-05,22.331302642822266
2010-02-08,22.571836471557617
2010-02-09,22.704750061035156
2010-02-10,22.768047332763672
2010-02-11,23.407358169555664
2010-02-12,23.628894805908203
2010-02-16,24.040327072143555
2010-02-17,24.30617904663086
2010-02-18,24.363157272338867
2010-02-19,24.4454345703125
2010-02-22,24.236549377441406
2010-02-23,23.52129554748535
2010-02-24,23.958040237426758
2010-02-25,23.958040237426758
2010-02-26,23.926395416259766
2010-03-01,24.16058921813965
2010-03-02,24.255544662475586
2010-03-03,24.407451629638672
2010-03-04,24.635326385498047
2010-03-05,24.939149856567383
2010-03-08,24.350488662719727
2010-03-09,24.869524002075195
2010-03-10,24.97712516784668
2010-03-11,24.96446990966797
2010-03-12,24.863197326660156
2010-03-15,24.559364318847656
2010-03-16,25.19234275817871
2010-03-17,24.749258041381836
2010-03-18,24.407451629638672
2010-03-19,24.299850463867188
2010-03-22,24.4454345703125
2010-03-23,24.502403259277344
2010-03-24,24.287189483642578
2010-03-25,23.344064712524414
2010-03-26,23.445337295532227
2010-03-29,23.850444793701172
2010-03-30,24.249210357666016
2010-03-31,24.198570251464844
2010-04-01,24.287189483642578
2010-04-05,24.451765060424805
2010-04-06,23.787134170532227
2010-04-07,23.559276580810547
2010-04-08,23.81246566772461
2010-04-09,23.78081703186035
2010-04-12,23.793468475341797
2010-04-13,23.81246566772461
2010-04-14,23.62256622314453
2010-04-15,23.74915885925293
2010-04-16,23.71118927001953
2010-04-19,23.73649787902832
2010-04-20,24.299850463867188
2010-04-21,24.223888397216797
2010-04-22,24.185916900634766
2010-04-23,24.312501907348633
2010-04-26,24.16691780090332
2010-04-27,23.87575340270996
2010-04-28,23.74915885925293
2010-04-29,24.268198013305664
2010-04-30,23.958040237426758
2010-05-03,24.312501907348633
2010-05-04,23.74915885925293
2010-05-05,23.584590911865234
2010-05-06,23.147842407226562
2010-05-07,22.66045379638672
2010-05-10,23.63522720336914
2010-05-11,23.299755096435547
2010-05-12,23.901073455810547
2010-05-13,23.508638381958008
2010-05-14,23.116193771362305
2010-05-17,23.211135864257812
2010-05-18,22.856666564941406
2010-05-19,22.78704833984375
2010-05-20,22.04013442993164
2010-05-21,22.806039810180664
2010-05-24,22.60347557067871
2010-05-25,22.995927810668945
2010-05-26,22.92629623413086
2010-05-27,23.78081703186035
2010-05-28,23.43899917602539
2010-06-01,22.749055862426758
2010-06-02,23.36305046081543
2010-06-03,23.882081985473633
2010-06-04,22.856666564941406
2010-06-07,22.68576431274414
2010-06-08,22.51486587524414
2010-06-09,22.818689346313477
2010-06-10,23.87575340270996
2010-06-11,24.774572372436523
2010-06-14,24.787242889404297
2010-06-15,25.065744400024414
2010-06-16,25.091066360473633
2010-06-17,24.882183074951172
2010-06-18,24.844207763671875
2010-06-21,24.67330551147461
2010-06-22,24.477087020874023
2010-06-23,24.74293327331543
2010-06-24,24.223888397216797
2010-06-25,24.464420318603516
2010-06-28,24.635326385498047
2010-06-29,23.964374542236328
2010-06-30,23.584590911865234
2010-07-01,23.39470100402832
2010-07-02,23.293418884277344
2010-07-06,23.350379943847656
2010-07-07,23.926395416259766
2010-07-08,24.401121139526367
2010-07-09,24.065656661987305
2010-07-12,23.71118927001953
2010-07-13,24.249210357666016
2010-07-14,24.211238861083984
2010-07-15,24.021339416503906
2010-07-16,23.08453941345215
2010-07-19,23.071874618530273
2010-07-20,24.464420318603516
2010-07-21,24.325162887573242
2010-07-22,24.58469009399414
2010-07-23,25.04043197631836
2010-07-26,24.78090476989746
2010-07-27,24.666980743408203
2010-07-28,24.67963409423828
2010-07-29,24.806224822998047
2010-07-30,25.008773803710938
2010-08-02,25.86961555480957
2010-08-03,25.799989700317383
2010-08-04,25.945579528808594
2010-08-05,26.01519775390625
2010-08-06,25.660741806030273
2010-08-09,25.63542938232422
2010-08-10,25.553146362304688
2010-08-11,24.654312133789062
2010-08-12,24.546707153320312
2010-08-13,24.534046173095703
2010-08-16,24.926494598388672
2010-08-17,25.26197052001953
2010-08-18,25.87594985961914
2010-08-19,25.705055236816406
2010-08-20,25.698719024658203
2010-08-23,25.80632209777832
2010-08-24,25.534147262573242
2010-08-25,25.95823860168457
2010-08-26,25.591127395629883
2010-08-27,26.008878707885742
2010-08-30,25.63542938232422
2010-08-31,26.027873992919922
2010-09-01,25.970897674560547
2010-09-02,25.90760040283203
2010-09-03,26.610206604003906
2010-09-07,26.86338996887207
2010-09-08,26.933013916015625
2010-09-09,26.648181915283203
2010-09-10,26.83806610107422
2010-09-13,26.920358657836914
2010-09-14,26.736801147460938
2010-09-15,27.027965545654297
2010-09-16,26.35701560974121
2010-09-17,26.464622497558594
2010-09-20,26.825422286987305
2010-09-21,27.23684310913086
2010-09-22,27.0342960357666
2010-09-23,26.939346313476562
2010-09-24,27.471054077148438
2010-09-27,27.30014991760254
2010-09-28,27.749549865722656
