Date,RCL
2010-01-04,21.443805694580078
2010-01-05,21.51861000061035
2010-01-06,20.978357315063477
2010-01-07,21.360694885253906
2010-01-08,21.535234451293945
2010-01-11,21.626663208007812
2010-01-12,21.33575439453125
2010-01-13,22.058862686157227
2010-01-14,22.823516845703125
2010-01-15,22.549243927001953
2010-01-19,22.956504821777344
2010-01-20,22.424564361572266
2010-01-21,22.08378791809082
2010-01-22,21.127962112426758
2010-01-25,20.936798095703125
2010-01-26,20.9118595123291
2010-01-27,21.13627815246582
2010-01-28,21.601722717285156
2010-01-29,21.684837341308594
2010-02-01,22.108732223510742
2010-02-02,22.939882278442383
2010-02-03,22.76534080505371
2010-02-04,20.936798095703125
2010-02-05,20.953428268432617
2010-02-08,20.9118595123291
2010-02-09,21.2858829498291
2010-02-10,20.9118595123291
2010-02-11,21.61003303527832
2010-02-12,21.26926040649414
2010-02-16,21.48536491394043
2010-02-17,21.535234451293945
2010-02-18,21.501983642578125
2010-02-19,21.859378814697266
2010-02-22,22.117036819458008
2010-02-23,21.427183151245117
2010-02-24,23.03131103515625
2010-02-25,23.097806930541992
2010-02-26,23.49675941467285
2010-03-01,23.571565628051758
2010-03-02,23.613115310668945
2010-03-03,23.629741668701172
2010-03-04,24.05362892150879
2010-03-05,24.776735305786133
2010-03-08,25.12582015991211
2010-03-09,24.71024513244629
2010-03-10,25.508150100708008
2010-03-11,25.433345794677734
2010-03-12,25.682693481445312
2010-03-15,25.400104522705078
2010-03-16,25.857240676879883
2010-03-17,26.281129837036133
2010-03-18,25.857240676879883
2010-03-19,25.774118423461914
2010-03-22,26.12320327758789
2010-03-23,27.93512535095215
2010-03-24,27.536174774169922
2010-03-25,27.635906219482422
2010-03-26,27.419811248779297
2010-03-29,27.818769454956055
2010-03-30,27.7855167388916
2010-03-31,27.419811248779297
2010-04-01,28.117982864379883
2010-04-05,28.624980926513672
2010-04-06,28.899263381958008
2010-04-07,27.511234283447266
2010-04-08,28.201095581054688
2010-04-09,28.068105697631836
2010-04-12,28.46706771850586
2010-04-13,28.433820724487305
2010-04-14,29.22341537475586
2010-04-15,29.43120002746582
2010-04-16,28.69979476928711
2010-04-19,28.02655792236328
2010-04-20,28.683162689208984
2010-04-21,28.79953384399414
2010-04-22,29.11536407470703
2010-04-23,30.11274528503418
2010-04-26,31.2846736907959
2010-04-27,30.170944213867188
2010-04-28,28.69147300720215
2010-04-29,31.010404586791992
2010-04-30,29.788604736328125
2010-05-03,30.428600311279297
2010-05-04,28.450450897216797
2010-05-05,27.46137046813965
2010-05-06,25.599578857421875
2010-05-07,24.494144439697266
2010-05-10,27.087343215942383
2010-05-11,26.613584518432617
2010-05-12,27.62759780883789
2010-05-13,26.621898651123047
2010-05-14,25.682693481445312
2010-05-17,26.015151977539062
2010-05-18,25.316986083984375
2010-05-19,24.785045623779297
2010-05-20,23.0728702545166
2010-05-21,23.5549373626709
2010-05-24,23.19754409790039
2010-05-25,23.056243896484375
2010-05-26,23.23910140991211
2010-05-27,24.718555450439453
2010-05-28,24.103506088256836
2010-06-01,24.120128631591797
2010-06-02,24.826602935791016
2010-06-03,25.18400001525879
2010-06-04,23.205856323242188
2010-06-07,22.15859603881836
2010-06-08,22.33314323425293
2010-06-09,22.258333206176758
2010-06-10,23.712865829467773
2010-06-11,23.687911987304688
2010-06-14,24.24479866027832
2010-06-15,25.516460418701172
2010-06-16,25.075950622558594
2010-06-17,25.0510196685791
2010-06-18,24.477519989013672
2010-06-21,24.53569793701172
2010-06-22,23.172605514526367
2010-06-23,22.68222999572754
2010-06-24,21.91756248474121
2010-06-25,21.81782341003418
2010-06-28,21.03653907775879
2010-06-29,19.16644287109375
2010-06-30,18.92540168762207
2010-07-01,19.507217407226562
2010-07-02,19.075014114379883
2010-07-06,19.13319969177246
2010-07-07,20.03915786743164
2010-07-08,20.454729080200195
2010-07-09,20.546154022216797
2010-07-12,19.872913360595703
2010-07-13,20.78719139099121
2010-07-14,20.96173095703125
2010-07-15,20.55446434020996
2010-07-16,19.440719604492188
2010-07-19,19.64019203186035
2010-07-20,20.188758850097656
2010-07-21,20.42979621887207
2010-07-22,22.906635284423828
2010-07-23,23.372081756591797
2010-07-26,24.319602966308594
2010-07-27,23.40533447265625
2010-07-28,23.837528228759766
2010-07-29,24.120128631591797
2010-07-30,23.987136840820312
2010-08-02,24.809980392456055
2010-08-03,24.228174209594727
2010-08-04,24.55232048034668
2010-08-05,24.884788513183594
2010-08-06,24.361154556274414
2010-08-09,23.88739585876465
2010-08-10,23.372081756591797
2010-08-11,22.033924102783203
2010-08-12,21.61003303527832
2010-08-13,21.360694885253906
2010-08-16,21.526918411254883
2010-08-17,22.424564361572266
2010-08-18,22.757036209106445
2010-08-19,21.510297775268555
2010-08-20,21.152902603149414
2010-08-23,20.78719139099121
2010-08-24,19.897855758666992
2010-08-25,20.230314254760742
2010-08-26,20.089021682739258
2010-08-27,21.019920349121094
2010-08-30,20.379926681518555
2010-08-31,20.413166046142578
2010-09-01,21.884319305419922
2010-09-02,22.781965255737305
2010-09-03,23.49675941467285
2010-09-07,22.324831008911133
2010-09-08,22.964820861816406
2010-09-09,24.228174209594727
2010-09-10,24.35284423828125
2010-09-13,25.042701721191406
2010-09-14,24.959590911865234
2010-09-15,24.469207763671875
2010-09-16,24.618820190429688
2010-09-17,25.034391403198242
2010-09-20,25.981910705566406
2010-09-21,26.480607986450195
2010-09-22,25.57464599609375
2010-09-23,25.233871459960938
2010-09-24,26.621898651123047
2010-09-27,26.181386947631836
2010-09-28,26.247880935668945
