Date,GL
2010-01-04,17.243610382080078
2010-01-05,17.636568069458008
2010-01-06,17.763690948486328
2010-01-07,17.75984764099121
2010-01-08,17.75598907470703
2010-01-11,17.782957077026367
2010-01-12,17.825347900390625
2010-01-13,17.979427337646484
2010-01-14,17.983291625976562
2010-01-15,17.798368453979492
2010-01-19,18.075746536254883
2010-01-20,17.92164421081543
2010-01-21,17.54410171508789
2010-01-22,17.043283462524414
2010-01-25,17.451642990112305
2010-01-26,17.274433135986328
2010-01-27,17.640419006347656
2010-01-28,17.40156364440918
2010-01-29,17.297550201416016
2010-02-01,17.505577087402344
2010-02-02,17.798368453979492
2010-02-03,17.497875213623047
2010-02-04,17.0317325592041
2010-02-05,16.985498428344727
2010-02-08,16.966238021850586
2010-02-09,17.058692932128906
2010-02-10,17.093372344970703
2010-02-11,17.15886116027832
2010-02-12,17.097217559814453
2010-02-16,17.21665382385254
2010-02-17,17.49017333984375
2010-02-18,17.767539978027344
2010-02-19,17.925498962402344
2010-02-22,18.05648422241211
2010-02-23,17.38615608215332
2010-02-24,17.65968132019043
2010-02-25,17.840744018554688
2010-02-26,17.913938522338867
2010-03-01,18.125825881958008
2010-03-02,18.187461853027344
2010-03-03,18.672870635986328
2010-03-04,18.861650466918945
2010-03-05,19.258451461791992
2010-03-08,19.47804069519043
2010-03-09,19.431812286376953
2010-03-10,19.616729736328125
2010-03-11,19.751575469970703
2010-03-12,19.705337524414062
2010-03-15,19.840177536010742
2010-03-16,20.260086059570312
2010-03-17,20.699270248413086
2010-03-18,20.68000602722168
2010-03-19,20.487384796142578
2010-03-22,20.475830078125
2010-03-23,20.560583114624023
2010-03-24,20.379507064819336
2010-03-25,20.32172203063965
2010-03-26,20.287057876586914
2010-03-29,20.460418701171875
2010-03-30,20.398601531982422
2010-03-31,20.672903060913086
2010-04-01,20.912429809570312
2010-04-05,21.109466552734375
2010-04-06,21.136518478393555
2010-04-07,20.83902359008789
2010-04-08,20.788801193237305
2010-04-09,20.81584930419922
2010-04-12,21.009016036987305
2010-04-13,21.132648468017578
2010-04-14,21.654203414916992
2010-04-15,21.534435272216797
2010-04-16,21.055374145507812
2010-04-19,21.182870864868164
2010-04-20,21.573070526123047
2010-04-21,21.348997116088867
2010-04-22,21.31035614013672
2010-04-23,21.719879150390625
2010-04-26,21.557615280151367
2010-04-27,20.622678756713867
2010-04-28,20.35224151611328
2010-04-29,21.178998947143555
2010-04-30,20.684490203857422
2010-05-03,20.723125457763672
2010-05-04,20.32134246826172
2010-05-05,20.31361198425293
2010-05-06,19.614341735839844
2010-05-07,18.96915626525879
2010-05-10,20.533824920654297
2010-05-11,20.36383628845215
2010-05-12,20.734716415405273
2010-05-13,20.34451675415039
2010-05-14,19.714784622192383
2010-05-17,19.989093780517578
2010-05-18,19.664562225341797
2010-05-19,19.842281341552734
2010-05-20,19.10051155090332
2010-05-21,19.5563907623291
2010-05-24,19.11983299255371
2010-05-25,19.197092056274414
2010-05-26,19.2589111328125
2010-05-27,20.387012481689453
2010-05-28,19.907955169677734
2010-06-01,19.455942153930664
2010-06-02,20.209299087524414
2010-06-03,20.10885238647461
2010-06-04,19.139144897460938
2010-06-07,18.8300724029541
2010-06-08,19.425031661987305
2010-06-09,19.428897857666016
2010-06-10,20.00067901611328
2010-06-11,20.050901412963867
2010-06-14,19.9736328125
2010-06-15,20.479732513427734
2010-06-16,20.32134246826172
2010-06-17,20.34451675415039
2010-06-18,20.421783447265625
2010-06-21,20.356109619140625
2010-06-22,19.81523895263672
2010-06-23,19.772735595703125
2010-06-24,19.39412498474121
2010-06-25,20.10885238647461
2010-06-28,20.2054386138916
2010-06-29,19.780471801757812
2010-06-30,19.183757781982422
2010-07-01,18.943523406982422
2010-07-02,19.00164794921875
2010-07-06,19.00551414489746
2010-07-07,19.83470916748047
2010-07-08,20.02457046508789
2010-07-09,20.105939865112305
2010-07-12,19.87733268737793
2010-07-13,20.06719398498535
2010-07-14,19.733966827392578
2010-07-15,19.536357879638672
2010-07-16,18.98227310180664
2010-07-19,19.106264114379883
2010-07-20,19.493732452392578
2010-07-21,19.02489471435547
2010-07-22,19.555728912353516
2010-07-23,19.850210189819336
2010-07-26,19.989702224731445
2010-07-27,20.148561477661133
2010-07-28,20.13306427001953
2010-07-29,20.671655654907227
2010-07-30,20.563156127929688
2010-08-02,21.070749282836914
2010-08-03,20.698772430419922
2010-08-04,20.594160079956055
2010-08-05,20.671655654907227
2010-08-06,20.63678550720215
2010-08-09,20.919635772705078
2010-08-10,20.729772567749023
2010-08-11,20.0129451751709
2010-08-12,19.776592254638672
2010-08-13,19.61772918701172
2010-08-16,19.50536346435547
2010-08-17,19.819215774536133
2010-08-18,19.93157958984375
2010-08-19,19.3232479095459
2010-08-20,19.17600440979004
2010-08-23,19.22251319885254
2010-08-24,18.726539611816406
2010-08-25,18.8892879486084
2010-08-26,18.82728385925293
2010-08-27,19.478239059448242
2010-08-30,18.877655029296875
2010-08-31,19.12175750732422
2010-09-01,19.87346076965332
2010-09-02,19.896696090698242
2010-09-03,20.245437622070312
2010-09-07,19.83470916748047
2010-09-08,19.981948852539062
2010-09-09,20.183433532714844
2010-09-10,20.404300689697266
2010-09-13,20.81889533996582
2010-09-14,21.0048770904541
2010-09-15,21.03975486755371
2010-09-16,20.877012252807617
2010-09-17,20.84600830078125
2010-09-20,21.214115142822266
2010-09-21,21.372974395751953
2010-09-22,20.927387237548828
2010-09-23,20.466291427612305
2010-09-24,21.066879272460938
2010-09-27,20.737516403198242
2010-09-28,20.935134887695312
