Date,FDX
2010-01-04,69.87362670898438
2010-01-05,70.78630828857422
2010-01-06,70.20015716552734
2010-01-07,69.43824005126953
2010-01-08,71.16310119628906
2010-01-11,73.05538940429688
2010-01-12,72.4944076538086
2010-01-13,71.8580322265625
2010-01-14,72.2515640258789
2010-01-15,71.26358032226562
2010-01-19,71.92505645751953
2010-01-20,70.38436126708984
2010-01-21,68.32456970214844
2010-01-22,67.22772216796875
2010-01-25,67.56263732910156
2010-01-26,67.6212387084961
2010-01-27,67.33655548095703
2010-01-28,66.2061767578125
2010-01-29,65.60331726074219
2010-02-01,67.54589080810547
2010-02-02,68.93585968017578
2010-02-03,68.760009765625
2010-02-04,66.02197265625
2010-02-05,64.21339416503906
2010-02-08,64.21339416503906
2010-02-09,66.33179473876953
2010-02-10,65.55309295654297
2010-02-11,66.59137725830078
2010-02-12,65.77080535888672
2010-02-16,66.95977020263672
2010-02-17,66.93464660644531
2010-02-18,67.06863403320312
2010-02-19,68.45857238769531
2010-02-22,68.96092987060547
2010-02-23,68.23251342773438
2010-02-24,69.56382751464844
2010-02-25,69.6475601196289
2010-02-26,70.97050476074219
2010-03-01,71.84966278076172
2010-03-02,71.51475524902344
2010-03-03,72.12602996826172
2010-03-04,72.31016540527344
2010-03-05,72.80421447753906
2010-03-08,72.56973266601562
2010-03-09,72.81287384033203
2010-03-10,73.15662384033203
2010-03-11,72.5110855102539
2010-03-12,72.25113677978516
2010-03-15,73.6344985961914
2010-03-16,74.3051986694336
2010-03-17,75.28609466552734
2010-03-18,77.69224548339844
2010-03-19,76.33406066894531
2010-03-22,75.18548583984375
2010-03-23,76.82028198242188
2010-03-24,75.65497589111328
2010-03-25,76.2418441772461
2010-03-26,76.58557891845703
2010-03-29,77.32333374023438
2010-03-30,77.81800079345703
2010-03-31,78.30424499511719
2010-04-01,77.27304077148438
2010-04-05,77.51617431640625
2010-04-06,77.44068145751953
2010-04-07,76.0155029296875
2010-04-08,76.05741882324219
2010-04-09,76.51012420654297
2010-04-12,76.14122772216797
2010-04-13,76.05741882324219
2010-04-14,78.81564331054688
2010-04-15,80.16542053222656
2010-04-16,78.69828796386719
2010-04-19,77.59164428710938
2010-04-20,77.1640853881836
2010-04-21,76.71131896972656
2010-04-22,76.88739013671875
2010-04-23,77.80960083007812
2010-04-26,77.54969787597656
2010-04-27,75.2190170288086
2010-04-28,76.15799713134766
2010-04-29,77.61678314208984
2010-04-30,75.46215057373047
2010-05-03,77.52458190917969
2010-05-04,74.92560577392578
2010-05-05,74.24649810791016
2010-05-06,72.09187316894531
2010-05-07,69.70249938964844
2010-05-10,73.54229736328125
2010-05-11,73.86923217773438
2010-05-12,75.2525405883789
2010-05-13,73.76025390625
2010-05-14,72.02484130859375
2010-05-17,72.00801849365234
2010-05-18,70.47380828857422
2010-05-19,70.49894714355469
2010-05-20,67.99220275878906
2010-05-21,69.63545227050781
2010-05-24,68.3024673461914
2010-05-25,67.66524505615234
2010-05-26,68.44495391845703
2010-05-27,70.55765533447266
2010-05-28,69.99592590332031
2010-06-01,68.15153503417969
2010-06-02,69.85343170166016
2010-06-03,70.40678405761719
2010-06-04,66.5418701171875
2010-06-07,64.15245819091797
2010-06-08,65.96336364746094
2010-06-09,65.01598358154297
2010-06-10,67.2879638671875
2010-06-11,67.59818267822266
2010-06-14,68.3024673461914
2010-06-15,69.69619750976562
2010-06-16,65.54851531982422
2010-06-17,65.58209228515625
2010-06-18,66.07743835449219
2010-06-21,65.97672271728516
2010-06-22,63.97842025756836
2010-06-23,64.30590057373047
2010-06-24,63.776912689208984
2010-06-25,63.776912689208984
2010-06-28,63.080039978027344
2010-06-29,60.0406494140625
2010-06-30,58.86517333984375
2010-07-01,60.45207977294922
2010-07-02,59.95667266845703
2010-07-06,59.36056137084961
2010-07-07,61.19929885864258
2010-07-08,61.86260986328125
2010-07-09,62.316009521484375
2010-07-12,62.26561737060547
2010-07-13,64.89360809326172
2010-07-14,66.1026840209961
2010-07-15,64.83480834960938
2010-07-16,62.643409729003906
2010-07-19,62.962520599365234
2010-07-20,63.73493957519531
2010-07-21,62.156497955322266
2010-07-22,65.93473815917969
2010-07-23,66.29576110839844
2010-07-26,70.0152359008789
2010-07-27,69.15882873535156
2010-07-28,69.5534439086914
2010-07-29,68.90693664550781
2010-07-30,69.30997467041016
2010-08-02,71.03118896484375
2010-08-03,70.21674346923828
2010-08-04,72.17305755615234
2010-08-05,71.99674224853516
2010-08-06,71.63568878173828
2010-08-09,73.28971862792969
2010-08-10,73.13019561767578
2010-08-11,69.79690551757812
2010-08-12,68.79779815673828
2010-08-13,67.84066772460938
2010-08-16,67.99178314208984
2010-08-17,70.32589721679688
2010-08-18,70.56098175048828
2010-08-19,68.49554443359375
2010-08-20,68.20166778564453
2010-08-23,68.3780288696289
2010-08-24,66.4048843383789
2010-08-25,66.11943817138672
2010-08-26,66.12786865234375
2010-08-27,67.55517578125
2010-08-30,66.14461517333984
2010-08-31,65.53169250488281
2010-09-01,68.31922149658203
2010-09-02,68.61308288574219
2010-09-03,69.4779052734375
2010-09-07,68.83137512207031
2010-09-08,70.47103118896484
2010-09-09,70.86622619628906
2010-09-10,70.7653579711914
2010-09-13,71.1521224975586
2010-09-14,71.54730987548828
2010-09-15,72.26200866699219
2010-09-16,69.55448913574219
2010-09-17,69.18455505371094
2010-09-20,69.71426391601562
2010-09-21,70.31968688964844
2010-09-22,70.88304901123047
2010-09-23,69.50406646728516
2010-09-24,70.8241958618164
2010-09-27,70.68964385986328
2010-09-28,71.22779846191406
