Date,BG
2010-01-04,44.430702209472656
2010-01-05,45.9632682800293
2010-01-06,47.45459747314453
2010-01-07,48.746646881103516
2010-01-08,48.994041442871094
2010-01-11,48.29991912841797
2010-01-12,47.152217864990234
2010-01-13,46.82233428955078
2010-01-14,46.78110885620117
2010-01-15,48.00439453125
2010-01-19,47.420249938964844
2010-01-20,46.56119155883789
2010-01-21,44.038970947265625
2010-01-22,43.21427536010742
2010-01-25,43.069950103759766
2010-01-26,42.62322998046875
2010-01-27,42.25898742675781
2010-01-28,41.283084869384766
2010-01-29,40.40342712402344
2010-02-01,41.00819778442383
2010-02-02,42.190277099609375
2010-02-03,41.5786018371582
2010-02-04,40.23847579956055
2010-02-05,40.37593460083008
2010-02-08,39.10451889038086
2010-02-09,39.7642822265625
2010-02-10,39.90171432495117
2010-02-11,40.5294075012207
2010-02-12,40.460426330566406
2010-02-16,41.17776107788086
2010-02-17,42.239959716796875
2010-02-18,42.219276428222656
2010-02-19,42.288238525390625
2010-02-22,42.41928482055664
2010-02-23,41.47433090209961
2010-02-24,41.419158935546875
2010-02-25,41.66057205200195
2010-02-26,41.10188293457031
2010-03-01,41.56401824951172
2010-03-02,42.35721969604492
2010-03-03,42.46757125854492
2010-03-04,41.99855041503906
2010-03-05,43.6401481628418
2010-03-08,42.90211868286133
2010-03-09,43.01936340332031
2010-03-10,42.660709381103516
2010-03-11,42.03304672241211
2010-03-12,41.964073181152344
2010-03-15,41.71575927734375
2010-03-16,41.39157485961914
2010-03-17,42.54344940185547
2010-03-18,42.75727081298828
2010-03-19,42.77107238769531
2010-03-22,43.56427764892578
2010-03-23,45.06791687011719
2010-03-24,44.40576934814453
2010-03-25,43.978126525878906
2010-03-26,44.033302307128906
2010-03-29,43.819480895996094
2010-03-30,43.62635040283203
2010-03-31,42.50895690917969
2010-04-01,42.660709381103516
2010-04-05,42.07442855834961
2010-04-06,41.50883102416992
2010-04-07,41.23293685913086
2010-04-08,40.846683502197266
2010-04-09,41.62608337402344
2010-04-12,42.50895690917969
2010-04-13,41.253631591796875
2010-04-14,41.846805572509766
2010-04-15,41.66748046875
2010-04-16,41.343292236328125
2010-04-19,41.20535659790039
2010-04-20,41.19844436645508
2010-04-21,40.322479248046875
2010-04-22,40.30866241455078
2010-04-23,40.50870132446289
2010-04-26,40.039676666259766
2010-04-27,38.85331726074219
2010-04-28,39.50857925415039
2010-04-29,36.9013557434082
2010-04-30,36.52198028564453
2010-05-03,36.984107971191406
2010-05-04,36.087440490722656
2010-05-05,35.34941864013672
2010-05-06,35.011451721191406
2010-05-07,35.508052825927734
2010-05-10,35.797760009765625
2010-05-11,35.342529296875
2010-05-12,37.76351547241211
2010-05-13,35.68048858642578
2010-05-14,34.99074935913086
2010-05-17,34.96996307373047
2010-05-18,35.33704376220703
2010-05-19,34.637508392333984
2010-05-20,33.29384231567383
2010-05-21,33.13453674316406
2010-05-24,32.912925720214844
2010-05-25,32.684364318847656
2010-05-26,33.217674255371094
2010-05-27,34.208106994628906
2010-05-28,33.771751403808594
2010-06-01,33.34233093261719
2010-06-02,34.0418701171875
2010-06-03,34.000301361083984
2010-06-04,33.660919189453125
2010-06-07,32.864402770996094
2010-06-08,33.07914352416992
2010-06-09,34.80373764038086
2010-06-10,35.281639099121094
2010-06-11,36.175106048583984
2010-06-14,36.195892333984375
2010-06-15,37.65730285644531
2010-06-16,36.93697738647461
2010-06-17,37.130924224853516
2010-06-18,36.87466812133789
2010-06-21,37.42873764038086
2010-06-22,36.54219055175781
2010-06-23,36.51449966430664
2010-06-24,35.51711654663086
2010-06-25,36.2166633605957
2010-06-28,35.98811340332031
2010-06-29,34.208106994628906
2010-06-30,34.069580078125
2010-07-01,34.498992919921875
2010-07-02,34.47822570800781
2010-07-06,34.67214584350586
2010-07-07,36.14047622680664
2010-07-08,36.833091735839844
2010-07-09,37.3594856262207
2010-07-12,37.110137939453125
2010-07-13,37.37333679199219
2010-07-14,37.44257736206055
2010-07-15,37.401039123535156
2010-07-16,36.001956939697266
2010-07-19,36.0573616027832
2010-07-20,36.99239730834961
2010-07-21,37.13784408569336
2010-07-22,37.36640930175781
2010-07-23,38.14905548095703
2010-07-26,38.16289520263672
2010-07-27,38.66851043701172
2010-07-28,37.380252838134766
2010-07-29,32.061012268066406
2010-07-30,34.38817596435547
2010-08-02,36.11276626586914
2010-08-03,35.717994689941406
2010-08-04,35.745689392089844
2010-08-05,37.73348617553711
2010-08-06,38.55076599121094
2010-08-09,38.072872161865234
2010-08-10,38.038230895996094
2010-08-11,36.85386657714844
2010-08-12,37.68499755859375
2010-08-13,37.532630920410156
2010-08-16,37.401039123535156
2010-08-17,38.124427795410156
2010-08-18,38.08964157104492
2010-08-19,37.609718322753906
2010-08-20,37.31058883666992
2010-08-23,36.94891357421875
2010-08-24,36.135108947753906
2010-08-25,36.204647064208984
2010-08-26,35.564720153808594
2010-08-27,36.7541389465332
2010-08-30,36.169857025146484
2010-08-31,36.86543273925781
2010-09-01,37.47753143310547
2010-09-02,38.70871353149414
2010-09-03,38.70871353149414
2010-09-07,38.159202575683594
2010-09-08,38.903480529785156
2010-09-09,39.43906784057617
2010-09-10,39.67555618286133
2010-09-13,40.412879943847656
2010-09-14,39.01477813720703
2010-09-15,39.404300689697266
2010-09-16,39.7103385925293
2010-09-17,39.96770477294922
2010-09-20,39.99552536010742
2010-09-21,39.4112548828125
2010-09-22,40.78152084350586
2010-09-23,41.365806579589844
2010-09-24,42.24919509887695
2010-09-27,41.977909088134766
2010-09-28,42.85434341430664
