Date,IPG
2010-01-04,4.688660144805908
2010-01-05,4.638844966888428
2010-01-06,4.638844966888428
2010-01-07,4.520537853240967
2010-01-08,4.526765823364258
2010-01-11,4.651298999786377
2010-01-12,4.539219856262207
2010-01-13,4.595259666442871
2010-01-14,4.495633602142334
2010-01-15,4.458273887634277
2010-01-19,4.433367729187012
2010-01-20,4.452046871185303
2010-01-21,4.364874839782715
2010-01-22,4.265248775482178
2010-01-25,4.221660614013672
2010-01-26,4.146942138671875
2010-01-27,4.028636932373047
2010-01-28,4.059767723083496
2010-01-29,4.022408962249756
2010-02-01,4.1095805168151855
2010-02-02,4.184300899505615
2010-02-03,4.165619850158691
2010-02-04,3.991274118423462
2010-02-05,3.978821277618408
2010-02-08,3.953916311264038
2010-02-09,3.985048770904541
2010-02-10,4.047316551208496
2010-02-11,4.190526485443115
2010-02-12,4.184300899505615
2010-02-16,4.277702808380127
2010-02-17,4.346194744110107
2010-02-18,4.4146881103515625
2010-02-19,4.4271416664123535
2010-02-22,4.396008014678955
2010-02-23,4.265248775482178
2010-02-24,4.246568202972412
2010-02-25,4.202981948852539
2010-02-26,4.669978141784668
2010-03-01,5.1432037353515625
2010-03-02,5.087162494659424
2010-03-03,5.093390941619873
2010-03-04,5.16188383102417
2010-03-05,5.261510372161865
2010-03-08,5.298870086669922
2010-03-09,5.305096626281738
2010-03-10,5.342457294464111
2010-03-11,5.311323165893555
2010-03-12,5.242828845977783
2010-03-15,5.193017482757568
2010-03-16,5.249057292938232
2010-03-17,5.317552089691162
2010-03-18,5.379817485809326
2010-03-19,5.361137390136719
2010-03-22,5.435855388641357
2010-03-23,5.473216533660889
2010-03-24,5.311323165893555
2010-03-25,5.224149703979492
2010-03-26,5.18679141998291
2010-03-29,5.286417007446289
2010-03-30,5.292643070220947
2010-03-31,5.180562973022461
2010-04-01,5.286417007446289
2010-04-05,5.398495197296143
2010-04-06,5.305096626281738
2010-04-07,5.317552089691162
2010-04-08,5.273963928222656
2010-04-09,5.429628372192383
2010-04-12,5.460763931274414
2010-04-13,5.379817485809326
2010-04-14,5.635107517242432
2010-04-15,5.740961074829102
2010-04-16,5.579068660736084
2010-04-19,5.641336917877197
2010-04-20,6.064746856689453
2010-04-21,6.002481460571289
2010-04-22,6.133239269256592
2010-04-23,6.058518886566162
2010-04-26,6.145692348480225
2010-04-27,5.86549186706543
2010-04-28,5.772094249725342
2010-04-29,5.91530704498291
2010-04-30,5.547935962677002
2010-05-03,5.59774923324585
2010-05-04,5.261510372161865
2010-05-05,5.23037576675415
2010-05-06,5.012443542480469
2010-05-07,4.806965351104736
2010-05-10,5.205470085144043
2010-05-11,5.087162494659424
2010-05-12,5.242828845977783
2010-05-13,5.217923641204834
2010-05-14,5.012443542480469
2010-05-17,5.037350177764893
2010-05-18,5.006218433380127
2010-05-19,4.9190449714660645
2010-05-20,4.719794273376465
2010-05-21,4.838099956512451
2010-05-24,4.900364875793457
2010-05-25,4.856778621673584
2010-05-26,4.931498050689697
2010-05-27,5.342457294464111
2010-05-28,5.199244976043701
2010-06-01,4.931498050689697
2010-06-02,5.056031227111816
2010-06-03,5.1743388175964355
2010-06-04,4.881685733795166
2010-06-07,4.682431221008301
2010-06-08,4.757150650024414
2010-06-09,4.769606590270996
2010-06-10,5.024895191192627
2010-06-11,4.96885871887207
2010-06-14,4.962629795074463
2010-06-15,5.037350177764893
2010-06-16,5.018670082092285
2010-06-17,5.149428844451904
2010-06-18,5.180562973022461
2010-06-21,5.1743388175964355
2010-06-22,5.08093786239624
2010-06-23,5.136977672576904
2010-06-24,4.956404685974121
2010-06-25,4.800738334655762
2010-06-28,4.688660144805908
2010-06-29,4.526765823364258
2010-06-30,4.439594268798828
2010-07-01,4.35864782333374
2010-07-02,4.315060138702393
2010-07-06,4.420913219451904
2010-07-07,4.551671981811523
2010-07-08,4.7509260177612305
2010-07-09,4.806965351104736
2010-07-12,4.782059669494629
2010-07-13,4.9190449714660645
2010-07-14,4.887911796569824
2010-07-15,4.87545919418335
2010-07-16,4.557900905609131
2010-07-19,4.694886207580566
2010-07-20,4.906593322753906
2010-07-21,4.757150650024414
2010-07-22,4.9999918937683105
2010-07-23,5.093390941619873
2010-07-26,5.217923641204834
2010-07-27,5.180562973022461
2010-07-28,5.136977672576904
2010-07-29,5.591519832611084
2010-07-30,5.6911492347717285
2010-08-02,5.734736442565918
2010-08-03,5.566614627838135
2010-08-04,5.70359992980957
2010-08-05,5.846813201904297
2010-08-06,5.784546375274658
2010-08-09,5.971347808837891
2010-08-10,5.80322790145874
2010-08-11,5.53548002243042
2010-08-12,5.410948753356934
2010-08-13,5.379817485809326
2010-08-16,5.33622932434082
2010-08-17,5.392269611358643
2010-08-18,5.386043071746826
2010-08-19,5.311323165893555
2010-08-20,5.33622932434082
2010-08-23,5.236603736877441
2010-08-24,5.249057292938232
2010-08-25,5.323776721954346
2010-08-26,5.354910850524902
2010-08-27,5.410948753356934
2010-08-30,5.2801899909973145
2010-08-31,5.311323165893555
2010-09-01,5.4856696128845215
2010-09-02,5.622654914855957
2010-09-03,5.728507041931152
2010-09-07,5.603975772857666
2010-09-08,5.716055870056152
2010-09-09,5.734736442565918
2010-09-10,5.940213203430176
2010-09-13,5.983800411224365
2010-09-14,5.958893775939941
2010-09-15,5.871722221374512
2010-09-16,5.734736442565918
2010-09-17,6.008707046508789
2010-09-20,6.158146381378174
2010-09-21,6.0771989822387695
2010-09-22,6.008707046508789
2010-09-23,6.002481460571289
2010-09-24,6.270226955413818
2010-09-27,6.332491874694824
