Date,BAX
2010-01-04,23.300661087036133
2010-01-05,23.140769958496094
2010-01-06,23.220714569091797
2010-01-07,23.596471786499023
2010-01-08,23.652429580688477
2010-01-11,23.516515731811523
2010-01-12,23.888277053833008
2010-01-13,24.132122039794922
2010-01-14,24.667768478393555
2010-01-15,24.611797332763672
2010-01-19,24.559833526611328
2010-01-20,24.304004669189453
2010-01-21,23.824316024780273
2010-01-22,23.480545043945312
2010-01-25,23.568483352661133
2010-01-26,23.60845947265625
2010-01-27,23.548492431640625
2010-01-28,23.26468849182129
2010-01-29,23.020843505859375
2010-02-01,23.128774642944336
2010-02-02,23.37261390686035
2010-02-03,22.980876922607422
2010-02-04,22.52117347717285
2010-02-05,22.621112823486328
2010-02-08,22.52916717529297
2010-02-09,22.537166595458984
2010-02-10,22.437223434448242
2010-02-11,22.38926124572754
2010-02-12,22.353281021118164
2010-02-16,22.761016845703125
2010-02-17,23.044836044311523
2010-02-18,22.93690299987793
2010-02-19,23.000856399536133
2010-02-22,23.080808639526367
2010-02-23,22.769014358520508
2010-02-24,23.024843215942383
2010-02-25,22.820980072021484
2010-02-26,22.757015228271484
2010-03-01,22.89293098449707
2010-03-02,23.36461639404297
2010-03-03,23.5844783782959
2010-03-04,23.600465774536133
2010-03-05,23.776350021362305
2010-03-08,23.75224494934082
2010-03-09,23.691999435424805
2010-03-10,23.491140365600586
2010-03-11,23.362600326538086
2010-03-12,23.22201156616211
2010-03-15,23.44696044921875
2010-03-16,23.31840705871582
2010-03-17,23.434911727905273
2010-03-18,23.687976837158203
2010-03-19,23.80044937133789
2010-03-22,23.969158172607422
2010-03-23,23.84865951538086
2010-03-24,23.659866333007812
2010-03-25,23.587547302246094
2010-03-26,23.471071243286133
2010-03-29,23.583534240722656
2010-03-30,23.56746482849121
2010-03-31,23.378673553466797
2010-04-01,23.39072036743164
2010-04-05,23.402774810791016
2010-04-06,23.378673553466797
2010-04-07,23.286277770996094
2010-04-08,23.177820205688477
2010-04-09,23.2943172454834
2010-04-12,23.35858154296875
2010-04-13,23.724132537841797
2010-04-14,23.812496185302734
2010-04-15,23.904888153076172
2010-04-16,23.740192413330078
2010-04-19,23.832592010498047
2010-04-20,24.0695858001709
2010-04-21,23.679941177368164
2010-04-22,20.538686752319336
2010-04-23,19.81160545349121
2010-04-26,19.11668586730957
2010-04-27,19.07651138305664
2010-04-28,19.237192153930664
2010-04-29,19.369754791259766
2010-04-30,18.968053817749023
2010-05-03,19.080530166625977
2010-05-04,18.108428955078125
2010-05-05,18.33739471435547
2010-05-06,18.47798728942871
2010-05-07,18.12449073791504
2010-05-10,18.5944766998291
2010-05-11,18.27713394165039
2010-05-12,18.028085708618164
2010-05-13,17.738862991333008
2010-05-14,17.48579978942871
2010-05-17,17.05197525024414
2010-05-18,17.4295597076416
2010-05-19,17.112226486206055
2010-05-20,16.69044303894043
2010-05-21,16.336950302124023
2010-05-24,16.798892974853516
2010-05-25,16.7788143157959
2010-05-26,16.67035484313965
2010-05-27,16.899322509765625
2010-05-28,16.96360206604004
2010-06-01,16.686424255371094
2010-06-02,16.794883728027344
2010-06-03,16.947519302368164
2010-06-04,16.618135452270508
2010-06-07,16.581985473632812
2010-06-08,16.57793617248535
2010-06-09,16.371625900268555
2010-06-10,16.618389129638672
2010-06-11,16.75188636779785
2010-06-14,16.772111892700195
2010-06-15,17.136198043823242
2010-06-16,17.209016799926758
2010-06-17,17.225200653076172
2010-06-18,16.99461555480957
2010-06-21,17.136198043823242
2010-06-22,16.853017807006836
2010-06-23,16.715486526489258
2010-06-24,16.63861846923828
2010-06-25,16.90561294555664
2010-06-28,17.06743049621582
2010-06-29,16.670988082885742
2010-06-30,16.440391540527344
2010-07-01,16.642667770385742
2010-07-02,16.84898567199707
2010-07-06,16.90561294555664
2010-07-07,17.31015396118164
2010-07-08,17.552873611450195
2010-07-09,17.76323127746582
2010-07-12,17.682321548461914
2010-07-13,17.698511123657227
2010-07-14,17.496238708496094
2010-07-15,17.23733139038086
2010-07-16,17.172611236572266
2010-07-19,17.23733139038086
2010-07-20,17.277788162231445
2010-07-21,16.90966033935547
2010-07-22,17.496238708496094
2010-07-23,17.79559326171875
2010-07-26,18.090904235839844
2010-07-27,18.123273849487305
2010-07-28,17.848186492919922
2010-07-29,17.67827033996582
2010-07-30,17.70659828186035
2010-08-02,18.111135482788086
2010-08-03,17.96955108642578
2010-08-04,18.208221435546875
2010-08-05,18.21226692199707
2010-08-06,18.25676727294922
2010-08-09,18.345775604248047
2010-08-10,18.738168716430664
2010-08-11,18.45499610900879
2010-08-12,18.52781105041504
2010-08-13,18.491397857666016
2010-08-16,18.394306182861328
2010-08-17,18.57230567932129
2010-08-18,18.539945602416992
2010-08-19,18.200136184692383
2010-08-20,18.030229568481445
2010-08-23,18.111135482788086
2010-08-24,17.79964256286621
2010-08-25,17.86437225341797
2010-08-26,17.577144622802734
2010-08-27,17.698511123657227
2010-08-30,17.47601318359375
2010-08-31,17.213058471679688
2010-09-01,17.58523941040039
2010-09-02,17.79964256286621
2010-09-03,17.892683029174805
2010-09-07,17.95336151123047
2010-09-08,17.49730110168457
2010-09-09,17.436229705810547
2010-09-10,17.53802490234375
2010-09-13,17.619462966918945
2010-09-14,17.941150665283203
2010-09-15,18.360565185546875
2010-09-16,18.315773010253906
2010-09-17,18.31984519958496
2010-09-20,18.625246047973633
2010-09-21,19.30118751525879
2010-09-22,19.508867263793945
2010-09-23,19.39891815185547
2010-09-24,19.55364990234375
2010-09-27,19.46000099182129
2010-09-28,19.525148391723633
