Date,UNP
2010-01-04,23.455730438232422
2010-01-05,23.782150268554688
2010-01-06,23.81801414489746
2010-01-07,23.606380462646484
2010-01-08,24.406288146972656
2010-01-11,24.244876861572266
2010-01-12,24.17313575744629
2010-01-13,24.20183563232422
2010-01-14,23.810848236083984
2010-01-15,23.520294189453125
2010-01-19,23.502357482910156
2010-01-20,22.860280990600586
2010-01-21,23.477243423461914
2010-01-22,22.903318405151367
2010-01-25,22.86744499206543
2010-01-26,23.028871536254883
2010-01-27,22.88897132873535
2010-01-28,22.0747127532959
2010-01-29,21.701658248901367
2010-02-01,22.350906372070312
2010-02-02,22.57331657409668
2010-02-03,22.591243743896484
2010-02-04,21.87384605407715
2010-02-05,22.27558708190918
2010-02-08,21.87024688720703
2010-02-09,22.146455764770508
2010-02-10,22.13569450378418
2010-02-11,22.817232131958008
2010-02-12,22.745494842529297
2010-02-16,23.373233795166016
2010-02-17,23.308650970458984
2010-02-18,23.427032470703125
2010-02-19,23.87900161743164
2010-02-22,23.97944450378418
2010-02-23,23.814435958862305
2010-02-24,24.088159561157227
2010-02-25,24.657228469848633
2010-02-26,24.264644622802734
2010-03-01,24.383502960205078
2010-03-02,24.228635787963867
2010-03-03,24.207014083862305
2010-03-04,24.51315689086914
2010-03-05,24.89854621887207
2010-03-08,25.028207778930664
2010-03-09,25.514432907104492
2010-03-10,25.788166046142578
2010-03-11,26.112319946289062
2010-03-12,26.292400360107422
2010-03-15,26.259986877441406
2010-03-16,26.454471588134766
2010-03-17,26.368040084838867
2010-03-18,26.526517868041992
2010-03-19,26.37884521484375
2010-03-22,26.65257453918457
2010-03-23,26.54452133178711
2010-03-24,26.259986877441406
2010-03-25,26.17354965209961
2010-03-26,26.169937133789062
2010-03-29,26.501296997070312
2010-03-30,26.51209831237793
2010-03-31,26.400447845458984
2010-04-01,26.526517868041992
2010-04-05,26.584142684936523
2010-04-06,26.52290916442871
2010-04-07,26.537315368652344
2010-04-08,27.210832595825195
2010-04-09,27.282867431640625
2010-04-12,27.149599075317383
2010-04-13,27.444942474365234
2010-04-14,27.75469207763672
2010-04-15,27.77269744873047
2010-04-16,27.354890823364258
2010-04-19,27.1532039642334
2010-04-20,27.628637313842773
2010-04-21,27.743877410888672
2010-04-22,27.46295738220215
2010-04-23,27.769102096557617
2010-04-26,27.77269744873047
2010-04-27,27.39813232421875
2010-04-28,27.351303100585938
2010-04-29,27.967195510864258
2010-04-30,27.250457763671875
2010-05-03,27.851938247680664
2010-05-04,27.034353256225586
2010-05-05,26.75702667236328
2010-05-06,26.004268646240234
2010-05-07,25.59727668762207
2010-05-10,26.991125106811523
2010-05-11,26.93712043762207
2010-05-12,27.632230758666992
2010-05-13,27.311687469482422
2010-05-14,26.717405319213867
2010-05-17,26.760623931884766
2010-05-18,26.270784378051758
2010-05-19,25.780948638916016
2010-05-20,24.46994400024414
2010-05-21,25.121850967407227
2010-05-24,24.9705810546875
2010-05-25,24.69684600830078
2010-05-26,25.377246856689453
2010-05-27,25.894779205322266
2010-05-28,25.851343154907227
2010-06-01,25.446006774902344
2010-06-02,26.267539978027344
2010-06-03,26.49917221069336
2010-06-04,25.091337203979492
2010-06-07,24.64618682861328
2010-06-08,25.091337203979492
2010-06-09,25.10942840576172
2010-06-10,26.307355880737305
2010-06-11,26.618614196777344
2010-06-14,26.32544708251953
2010-06-15,27.197668075561523
2010-06-16,27.186798095703125
2010-06-17,27.584909439086914
2010-06-18,27.63919448852539
2010-06-21,27.805665969848633
2010-06-22,26.719932556152344
2010-06-23,26.766983032226562
2010-06-24,26.068496704101562
2010-06-25,26.31821060180664
2010-06-28,26.30011749267578
2010-06-29,25.380868911743164
2010-06-30,25.156482696533203
2010-07-01,25.156482696533203
2010-07-02,24.743894577026367
2010-07-06,24.40370750427246
2010-07-07,25.420669555664062
2010-07-08,25.655916213989258
2010-07-09,25.952674865722656
2010-07-12,26.307355880737305
2010-07-13,26.216882705688477
2010-07-14,26.271162033081055
2010-07-15,26.122779846191406
2010-07-16,24.903127670288086
2010-07-19,24.743894577026367
2010-07-20,25.199907302856445
2010-07-21,25.015335083007812
2010-07-22,26.20240020751953
2010-07-23,26.74526023864746
2010-07-26,27.309850692749023
2010-07-27,27.009469985961914
2010-07-28,27.03841781616211
2010-07-29,26.908124923706055
2010-07-30,27.023948669433594
2010-08-02,27.599382400512695
2010-08-03,27.70071029663086
2010-08-04,27.85633087158203
2010-08-05,28.05900764465332
2010-08-06,27.881662368774414
2010-08-09,28.276159286499023
2010-08-10,28.106060028076172
2010-08-11,26.88279914855957
2010-08-12,26.716318130493164
2010-08-13,26.582406997680664
2010-08-16,26.452117919921875
2010-08-17,27.089080810546875
2010-08-18,27.50528907775879
2010-08-19,26.962417602539062
2010-08-20,26.87555503845215
2010-08-23,26.36887550354004
2010-08-24,26.035921096801758
2010-08-25,26.1191463470459
2010-08-26,26.206024169921875
2010-08-27,26.791366577148438
2010-08-30,26.30417823791504
2010-08-31,26.5186824798584
2010-09-01,27.769357681274414
2010-09-02,28.10748863220215
2010-09-03,28.649200439453125
2010-09-07,28.48924446105957
2010-09-08,28.725543975830078
2010-09-09,28.598308563232422
2010-09-10,28.623762130737305
2010-09-13,28.81281280517578
2010-09-14,28.97641372680664
2010-09-15,28.75099754333496
2010-09-16,28.69283103942871
2010-09-17,29.070945739746094
2010-09-20,29.354520797729492
2010-09-21,29.532669067382812
2010-09-22,29.30362319946289
2010-09-23,28.783716201782227
2010-09-24,29.848974227905273
2010-09-27,29.685365676879883
2010-09-28,29.921688079833984
