Date,AMT
2010-01-04,32.369049072265625
2010-01-05,32.90529251098633
2010-01-06,33.076602935791016
2010-01-07,32.98722457885742
2010-01-08,33.054264068603516
2010-01-11,32.756351470947266
2010-01-12,32.354156494140625
2010-01-13,33.039371490478516
2010-01-14,33.22556686401367
2010-01-15,32.771244049072266
2010-01-19,32.912757873535156
2010-01-20,33.01702880859375
2010-01-21,32.756351470947266
2010-01-22,31.415706634521484
2010-01-25,32.17540740966797
2010-01-26,31.68384552001953
2010-01-27,31.773204803466797
2010-01-28,31.519975662231445
2010-01-29,31.616796493530273
2010-02-01,32.086021423339844
2010-02-02,32.048789978027344
2010-02-03,31.870027542114258
2010-02-04,30.551742553710938
2010-02-05,29.86652183532715
2010-02-08,30.291057586669922
2010-02-09,30.871992111206055
2010-02-10,30.97626304626465
2010-02-11,31.668935775756836
2010-02-12,31.74341583251953
2010-02-16,32.2945671081543
2010-02-17,32.55525207519531
2010-02-18,32.316898345947266
2010-02-19,32.71164321899414
2010-02-22,32.60737991333008
2010-02-23,31.884933471679688
2010-02-24,31.74341583251953
2010-02-25,31.877487182617188
2010-02-26,31.773204803466797
2010-03-01,31.97430419921875
2010-03-02,31.862586975097656
2010-03-03,32.01154708862305
2010-03-04,31.996654510498047
2010-03-05,32.3317985534668
2010-03-08,31.616796493530273
2010-03-09,31.944501876831055
2010-03-10,32.108360290527344
2010-03-11,32.39884567260742
2010-03-12,32.30946731567383
2010-03-15,32.279685974121094
2010-03-16,32.96488571166992
2010-03-17,32.95743942260742
2010-03-18,32.7786750793457
2010-03-19,32.98722457885742
2010-03-22,32.95743942260742
2010-03-23,33.19577407836914
2010-03-24,33.121307373046875
2010-03-25,31.62424087524414
2010-03-26,31.02096176147461
2010-03-29,31.855138778686523
2010-03-30,31.862586975097656
2010-03-31,31.73597526550293
2010-04-01,31.80298614501953
2010-04-05,32.264774322509766
2010-04-06,31.884933471679688
2010-04-07,31.155025482177734
2010-04-08,31.30398178100586
2010-04-09,31.74341583251953
2010-04-12,31.542320251464844
2010-04-13,31.393367767333984
2010-04-14,31.363567352294922
2010-04-15,31.30398178100586
2010-04-16,31.25930404663086
2010-04-19,30.93903160095215
2010-04-20,31.415706634521484
2010-04-21,31.29652976989746
2010-04-22,31.408262252807617
2010-04-23,31.557222366333008
2010-04-26,31.1773738861084
2010-04-27,30.64110565185547
2010-04-28,30.380428314208984
2010-04-29,30.574073791503906
2010-04-30,30.39532470703125
2010-05-03,30.745372772216797
2010-05-04,30.544282913208008
2010-05-05,30.44747543334961
2010-05-06,29.814388275146484
2010-05-07,28.942960739135742
2010-05-10,30.432571411132812
2010-05-11,30.514493942260742
2010-05-12,31.07309341430664
2010-05-13,31.095441818237305
2010-05-14,30.670902252197266
2010-05-17,30.92413902282715
2010-05-18,30.633663177490234
2010-05-19,30.15700340270996
2010-05-20,29.084474563598633
2010-05-21,30.075063705444336
2010-05-24,29.427080154418945
2010-05-25,29.51645851135254
2010-05-26,29.605831146240234
2010-05-27,30.529401779174805
2010-05-28,30.186779022216797
2010-06-01,29.67286491394043
2010-06-02,30.871992111206055
2010-06-03,31.639144897460938
2010-06-04,30.916677474975586
2010-06-07,31.207151412963867
2010-06-08,31.467838287353516
2010-06-09,31.25930404663086
2010-06-10,32.16794967651367
2010-06-11,32.93509292602539
2010-06-14,32.525455474853516
2010-06-15,33.06170654296875
2010-06-16,33.2926025390625
2010-06-17,33.49369430541992
2010-06-18,33.568180084228516
2010-06-21,33.60541534423828
2010-06-22,33.04682159423828
2010-06-23,33.3000602722168
2010-06-24,32.42863464355469
2010-06-25,32.756351470947266
2010-06-28,33.76182174682617
2010-06-29,33.15108871459961
2010-06-30,33.143646240234375
2010-07-01,32.83828353881836
2010-07-02,32.54779052734375
2010-07-06,33.59796142578125
2010-07-07,34.9162712097168
2010-07-08,34.55131530761719
2010-07-09,34.268287658691406
2010-07-12,33.75438690185547
2010-07-13,33.962921142578125
2010-07-14,34.09698486328125
2010-07-15,33.92568588256836
2010-07-16,32.912757873535156
2010-07-19,32.86806106567383
2010-07-20,34.69282150268555
2010-07-21,33.977813720703125
2010-07-22,34.55131530761719
2010-07-23,34.834327697753906
2010-07-26,34.484283447265625
2010-07-27,33.97035598754883
2010-07-28,34.04486083984375
2010-07-29,33.910789489746094
2010-07-30,34.439598083496094
2010-08-02,34.77474594116211
2010-08-03,34.60344696044922
2010-08-04,34.96095275878906
2010-08-05,34.97584915161133
2010-08-06,34.819435119628906
2010-08-09,34.819435119628906
2010-08-10,34.759849548339844
2010-08-11,33.679893493652344
2010-08-12,34.17890930175781
2010-08-13,34.082088470458984
2010-08-16,34.29063415527344
2010-08-17,35.31101989746094
2010-08-18,35.76535415649414
2010-08-19,35.37059020996094
2010-08-20,35.32591247558594
2010-08-23,34.96095275878906
2010-08-24,34.4246940612793
2010-08-25,35.12480163574219
2010-08-26,35.080116271972656
2010-08-27,35.27375793457031
2010-08-30,34.60344696044922
2010-08-31,34.901390075683594
2010-09-01,35.191856384277344
2010-09-02,35.63127136230469
2010-09-03,35.914306640625
2010-09-07,36.02602767944336
2010-09-08,36.763370513916016
2010-09-09,36.562286376953125
2010-09-10,36.54737854003906
2010-09-13,36.495235443115234
2010-09-14,36.29415512084961
2010-09-15,36.4058723449707
2010-09-16,36.018585205078125
2010-09-17,36.69634246826172
2010-09-20,37.292179107666016
2010-09-21,37.59756088256836
2010-09-22,37.612449645996094
2010-09-23,37.672027587890625
2010-09-24,38.498741149902344
2010-09-27,38.5955810546875
2010-09-28,38.81156921386719
