Date,MCD
2010-01-04,41.03273391723633
2010-01-05,40.7190055847168
2010-01-06,40.1634407043457
2010-01-07,40.45756530761719
2010-01-08,40.41835403442383
2010-01-11,40.73207473754883
2010-01-12,40.95428466796875
2010-01-13,40.90854263305664
2010-01-14,40.94773864746094
2010-01-15,40.70591735839844
2010-01-19,41.490234375
2010-01-20,41.18304443359375
2010-01-21,41.30724334716797
2010-01-22,41.43141555786133
2010-01-25,41.2353401184082
2010-01-26,41.705928802490234
2010-01-27,41.65363693237305
2010-01-28,41.065406799316406
2010-01-29,40.803958892822266
2010-02-01,41.75820541381836
2010-02-02,41.8497314453125
2010-02-03,42.62095642089844
2010-02-04,41.869327545166016
2010-02-05,41.41836166381836
2010-02-08,41.12421798706055
2010-02-09,41.5490608215332
2010-02-10,41.33991622924805
2010-02-11,41.69285202026367
2010-02-12,41.562137603759766
2010-02-16,41.83663558959961
2010-02-17,42.00005340576172
2010-02-18,42.14384841918945
2010-02-19,42.31376647949219
2010-02-22,42.333377838134766
2010-02-23,42.398746490478516
2010-02-24,42.65363311767578
2010-02-25,42.43611526489258
2010-02-26,42.08677673339844
2010-03-01,42.172454833984375
2010-03-02,42.23179244995117
2010-03-03,41.9417724609375
2010-03-04,41.8099250793457
2010-03-05,41.96812057495117
2010-03-08,42.923885345458984
2010-03-09,42.91071701049805
2010-03-10,42.80525207519531
2010-03-11,42.98321533203125
2010-03-12,43.19414520263672
2010-03-15,43.45780944824219
2010-03-16,43.550086975097656
2010-03-17,43.75442123413086
2010-03-18,43.95216369628906
2010-03-19,43.8532829284668
2010-03-22,44.169677734375
2010-03-23,44.393802642822266
2010-03-24,44.03126525878906
2010-03-25,44.09718322753906
2010-03-26,44.334468841552734
2010-03-29,44.209228515625
2010-03-30,44.321285247802734
2010-03-31,43.978538513183594
2010-04-01,44.5453987121582
2010-04-05,44.84202575683594
2010-04-06,44.69700241088867
2010-04-07,44.62449264526367
2010-04-08,45.32319641113281
2010-04-09,45.27046203613281
2010-04-12,45.17158889770508
2010-04-13,45.428653717041016
2010-04-14,45.75823211669922
2010-04-15,45.58686065673828
2010-04-16,45.501163482666016
2010-04-19,46.08781433105469
2010-04-20,46.36463928222656
2010-04-21,46.377845764160156
2010-04-22,46.81947708129883
2010-04-23,46.89857482910156
2010-04-26,46.812870025634766
2010-04-27,46.48989486694336
2010-04-28,46.36463928222656
2010-04-29,47.14244842529297
2010-04-30,46.52943801879883
2010-05-03,47.0765380859375
2010-05-04,46.56240463256836
2010-05-05,46.5755729675293
2010-05-06,45.75823211669922
2010-05-07,44.828834533691406
2010-05-10,46.52286148071289
2010-05-11,46.45695114135742
2010-05-12,46.58219528198242
2010-05-13,46.47012710571289
2010-05-14,45.87028884887695
2010-05-17,46.23283004760742
2010-05-18,46.15372085571289
2010-05-19,45.74504089355469
2010-05-20,44.59812927246094
2010-05-21,44.72997283935547
2010-05-24,44.59812927246094
2010-05-25,44.71678161621094
2010-05-26,43.51054000854492
2010-05-27,44.6671028137207
2010-05-28,44.447750091552734
2010-06-01,44.1087532043457
2010-06-02,45.04597473144531
2010-06-03,45.09912872314453
2010-06-04,44.33476257324219
2010-06-07,44.367984771728516
2010-06-08,45.451416015625
2010-06-09,45.37166213989258
2010-06-10,46.10948944091797
2010-06-11,46.222469329833984
2010-06-14,46.06294250488281
2010-06-15,46.79411315917969
2010-06-16,46.720977783203125
2010-06-17,46.561458587646484
2010-06-18,46.448455810546875
2010-06-21,46.475040435791016
2010-06-22,45.624244689941406
2010-06-23,45.61758804321289
2010-06-24,45.019386291503906
2010-06-25,44.81332778930664
2010-06-28,44.75349807739258
2010-06-29,44.175235748291016
2010-06-30,43.78303909301758
2010-07-01,44.34137725830078
2010-07-02,43.962520599365234
2010-07-06,43.94257354736328
2010-07-07,44.740211486816406
2010-07-08,45.87684631347656
2010-07-09,46.009761810302734
2010-07-12,46.48834991455078
2010-07-13,47.08656311035156
2010-07-14,47.1264533996582
2010-07-15,47.41227340698242
2010-07-16,46.48834991455078
2010-07-19,46.46840286254883
2010-07-20,47.10649871826172
2010-07-21,46.60133743286133
2010-07-22,47.45879364013672
2010-07-23,46.461753845214844
2010-07-26,47.10649871826172
2010-07-27,46.79411315917969
2010-07-28,46.37533950805664
2010-07-29,46.116119384765625
2010-07-30,46.348751068115234
2010-08-02,46.69439697265625
2010-08-03,46.82733917236328
2010-08-04,46.986846923828125
2010-08-05,46.82733917236328
2010-08-06,47.684776306152344
2010-08-09,48.469112396240234
2010-08-10,48.41596984863281
2010-08-11,47.571800231933594
2010-08-12,47.89747619628906
2010-08-13,47.784481048583984
2010-08-16,47.718021392822266
2010-08-17,48.668514251708984
2010-08-18,48.6884765625
2010-08-19,48.502342224121094
2010-08-20,48.575462341308594
2010-08-23,48.74827575683594
2010-08-24,48.33616256713867
2010-08-25,48.64860153198242
2010-08-26,48.628639221191406
2010-08-27,49.180320739746094
2010-08-30,48.7115592956543
2010-08-31,48.92585372924805
2010-09-01,49.91696548461914
2010-09-02,50.238407135009766
2010-09-03,50.2852897644043
2010-09-07,50.760746002197266
2010-09-08,50.948246002197266
2010-09-09,49.803104400634766
2010-09-10,50.231712341308594
2010-09-13,49.93705368041992
2010-09-14,49.51515579223633
2010-09-15,50.030799865722656
2010-09-16,50.09108352661133
2010-09-17,49.76963806152344
2010-09-20,50.298675537109375
2010-09-21,50.56654739379883
2010-09-22,50.312068939208984
2010-09-23,49.98394012451172
2010-09-24,50.29197311401367
2010-09-27,50.064292907714844
2010-09-28,49.977230072021484
