Date,WAB
2010-01-04,19.490955352783203
2010-01-05,19.495628356933594
2010-01-06,19.61709213256836
2010-01-07,19.635778427124023
2010-01-08,19.953472137451172
2010-01-11,19.76192283630371
2010-01-12,19.598413467407227
2010-01-13,19.77126693725586
2010-01-14,19.46759605407715
2010-01-15,19.033111572265625
2010-01-19,19.0284423828125
2010-01-20,18.822887420654297
2010-01-21,18.612640380859375
2010-01-22,18.45380210876465
2010-01-25,18.332338333129883
2010-01-26,18.112760543823242
2010-01-27,18.112760543823242
2010-01-28,17.659584045410156
2010-01-29,17.90719985961914
2010-02-01,17.967926025390625
2010-02-02,18.047353744506836
2010-02-03,17.76704978942871
2010-02-04,17.234455108642578
2010-02-05,17.285842895507812
2010-02-08,17.295185089111328
2010-02-09,17.425992965698242
2010-02-10,17.299823760986328
2010-02-11,17.622270584106445
2010-02-12,17.594226837158203
2010-02-16,17.79049301147461
2010-02-17,17.949378967285156
2010-02-18,18.271827697753906
2010-02-19,18.33258056640625
2010-02-22,18.393333435058594
2010-02-23,18.070884704589844
2010-02-24,17.63628387451172
2010-02-25,17.837228775024414
2010-02-26,17.82321548461914
2010-03-01,18.17836570739746
2010-03-02,18.290531158447266
2010-03-03,18.383983612060547
2010-03-04,18.45408058166504
2010-03-05,18.75316619873047
2010-03-08,18.827932357788086
2010-03-09,19.18775177001953
2010-03-10,19.444780349731445
2010-03-11,19.608327865600586
2010-03-12,19.90741539001465
2010-03-15,19.98685646057129
2010-03-16,20.248554229736328
2010-03-17,20.412107467651367
2010-03-18,20.22518539428711
2010-03-19,19.92144012451172
2010-03-22,20.159757614135742
2010-03-23,20.62239646911621
2010-03-24,20.50088882446289
2010-03-25,20.33734130859375
2010-03-26,20.28127098083496
2010-03-29,20.290607452392578
2010-03-30,19.982187271118164
2010-03-31,19.683101654052734
2010-04-01,19.9307804107666
2010-04-05,20.426136016845703
2010-04-06,20.257898330688477
2010-04-07,19.3840274810791
2010-04-08,19.720489501953125
2010-04-09,19.90741539001465
2010-04-12,20.070974349975586
2010-04-13,20.28594207763672
2010-04-14,21.6037540435791
2010-04-15,22.02900505065918
2010-04-16,22.164522171020508
2010-04-19,22.229955673217773
2010-04-20,22.206584930419922
2010-04-21,22.61313819885254
2010-04-22,22.8654842376709
2010-04-23,23.430932998657227
2010-04-26,23.561771392822266
2010-04-27,22.67389678955078
2010-04-28,22.276676177978516
2010-04-29,22.645851135253906
2010-04-30,22.234617233276367
2010-05-03,22.795398712158203
2010-05-04,22.080402374267578
2010-05-05,21.683191299438477
2010-05-06,21.12241554260254
2010-05-07,20.608379364013672
2010-05-10,21.921524047851562
2010-05-11,22.02900505065918
2010-05-12,23.12251091003418
2010-05-13,22.828044891357422
2010-05-14,21.92595672607422
2010-05-17,21.710947036743164
2010-05-18,21.360393524169922
2010-05-19,20.855588912963867
2010-05-20,20.07036018371582
2010-05-21,20.31340789794922
2010-05-24,20.032968521118164
2010-05-25,19.775888442993164
2010-05-26,19.761873245239258
2010-05-27,20.626569747924805
2010-05-28,20.261999130249023
2010-06-01,19.612293243408203
2010-06-02,20.117095947265625
2010-06-03,20.59852409362793
2010-06-04,19.612293243408203
2010-06-07,19.070114135742188
2010-06-08,19.26641845703125
2010-06-09,19.44403648376465
2010-06-10,20.24797248840332
2010-06-11,20.243289947509766
2010-06-14,20.360151290893555
2010-06-15,20.935060501098633
2010-06-16,20.883649826049805
2010-06-17,20.70134925842285
2010-06-18,20.579832077026367
2010-06-21,20.406890869140625
2010-06-22,19.76654624938965
2010-06-23,19.598276138305664
2010-06-24,19.102828979492188
2010-06-25,19.27109146118164
2010-06-28,19.36457633972168
2010-06-29,18.73358154296875
2010-06-30,18.6447696685791
2010-07-01,18.551288604736328
2010-07-02,18.518571853637695
2010-07-06,18.088563919067383
2010-07-07,18.37834930419922
2010-07-08,18.813039779663086
2010-07-09,19.163599014282227
2010-07-12,18.88783073425293
2010-07-13,19.76654624938965
2010-07-14,19.967527389526367
2010-07-15,20.53308868408203
2010-07-16,19.817970275878906
2010-07-19,20.037641525268555
2010-07-20,20.28536605834961
2010-07-21,20.12177848815918
2010-07-22,20.776138305664062
2010-07-23,21.12202262878418
2010-07-26,21.416484832763672
2010-07-27,21.014507293701172
2010-07-28,20.73407554626465
2010-07-29,20.73874282836914
2010-07-30,20.85091781616211
2010-08-02,21.210819244384766
2010-08-03,20.972444534301758
2010-08-04,21.192127227783203
2010-08-05,21.093975067138672
2010-08-06,20.813526153564453
2010-08-09,21.089298248291016
2010-08-10,20.88831901550293
2010-08-11,19.860027313232422
2010-08-12,19.649690628051758
2010-08-13,19.462697982788086
2010-08-16,19.60293197631836
2010-08-17,20.42109489440918
2010-08-18,20.477191925048828
2010-08-19,19.981637954711914
2010-08-20,19.953580856323242
2010-08-23,19.888120651245117
2010-08-24,19.84136962890625
2010-08-25,19.69645118713379
2010-08-26,19.66839027404785
2010-08-27,20.12188720703125
2010-08-30,19.719823837280273
2010-08-31,19.88344383239746
2010-09-01,20.640830993652344
2010-09-02,21.033546447753906
2010-09-03,21.412220001220703
2010-09-07,21.430927276611328
2010-09-08,21.70676612854004
2010-09-09,21.664688110351562
2010-09-10,21.861042022705078
2010-09-13,22.20700454711914
2010-09-14,22.048053741455078
2010-09-15,22.136871337890625
2010-09-16,22.00129508972168
2010-09-17,22.104158401489258
2010-09-20,22.155580520629883
2010-09-21,22.178955078125
2010-09-22,21.898447036743164
2010-09-23,21.56183624267578
2010-09-24,22.136871337890625
2010-09-27,21.931171417236328
2010-09-28,22.632448196411133
