Date,AXP
2010-01-04,32.637977600097656
2010-01-05,32.56618881225586
2010-01-06,33.09260177612305
2010-01-07,33.629310607910156
2010-01-08,33.605289459228516
2010-01-11,33.22077941894531
2010-01-12,33.66136932373047
2010-01-13,33.765506744384766
2010-01-14,34.19007110595703
2010-01-15,33.95775604248047
2010-01-19,34.41437911987305
2010-01-20,34.430397033691406
2010-01-21,33.77353286743164
2010-01-22,30.913654327392578
2010-01-25,30.272811889648438
2010-01-26,30.521137237548828
2010-01-27,30.977752685546875
2010-01-28,29.984405517578125
2010-01-29,30.168651580810547
2010-02-01,30.60926055908203
2010-02-02,31.258127212524414
2010-02-03,30.705394744873047
2010-02-04,30.064517974853516
2010-02-05,30.32085418701172
2010-02-08,29.471708297729492
2010-02-09,30.072534561157227
2010-02-10,30.240764617919922
2010-02-11,30.673337936401367
2010-02-12,30.777467727661133
2010-02-16,31.73877716064453
2010-02-17,31.282154083251953
2010-02-18,31.362266540527344
2010-02-19,31.290184020996094
2010-02-22,31.1860294342041
2010-02-23,30.38494873046875
2010-02-24,30.769460678100586
2010-02-25,30.473066329956055
2010-02-26,30.59323501586914
2010-03-01,30.54515838623047
2010-03-02,30.753440856933594
2010-03-03,30.665321350097656
2010-03-04,31.15397834777832
2010-03-05,32.2033805847168
2010-03-08,31.810880661010742
2010-03-09,31.802873611450195
2010-03-10,31.818880081176758
2010-03-11,32.13130569458008
2010-03-12,32.65199279785156
2010-03-15,32.603939056396484
2010-03-16,32.780181884765625
2010-03-17,32.85226821899414
2010-03-18,32.84425735473633
2010-03-19,32.30754470825195
2010-03-22,32.90835189819336
2010-03-23,33.036529541015625
2010-03-24,32.85226821899414
2010-03-25,33.18070983886719
2010-03-26,32.94038772583008
2010-03-29,33.228797912597656
2010-03-30,33.220733642578125
2010-03-31,33.19659423828125
2010-04-01,33.55059814453125
2010-04-05,34.331031799316406
2010-04-06,34.6931037902832
2010-04-07,34.089683532714844
2010-04-08,35.151702880859375
2010-04-09,35.304588317871094
2010-04-12,35.83560562133789
2010-04-13,36.19764709472656
2010-04-14,37.3803596496582
2010-04-15,37.54934310913086
2010-04-16,36.28614044189453
2010-04-19,36.81717300415039
2010-04-20,37.17116165161133
2010-04-21,37.002227783203125
2010-04-22,37.6297721862793
2010-04-23,38.65964889526367
2010-04-26,37.92747116088867
2010-04-27,36.8412971496582
2010-04-28,37.07463836669922
2010-04-29,38.29757308959961
2010-04-30,37.1068115234375
2010-05-03,37.97576141357422
2010-05-04,36.89761734008789
2010-05-05,35.7470817565918
2010-05-06,34.19425964355469
2010-05-07,32.66559600830078
2010-05-10,34.66896057128906
2010-05-11,34.86206817626953
2010-05-12,35.48158645629883
2010-05-13,34.44368362426758
2010-05-14,32.6977653503418
2010-05-17,33.16442108154297
2010-05-18,32.05411148071289
2010-05-19,32.31962203979492
2010-05-20,31.072532653808594
2010-05-21,32.03801345825195
2010-05-24,31.410449981689453
2010-05-25,31.378271102905273
2010-05-26,30.710466384887695
2010-05-27,32.4483528137207
2010-05-28,32.0782470703125
2010-06-01,31.5311336517334
2010-06-02,32.9632682800293
2010-06-03,32.6173095703125
2010-06-04,30.903566360473633
2010-06-07,30.340368270874023
2010-06-08,30.919662475585938
2010-06-09,30.662199020385742
2010-06-10,32.20697784423828
2010-06-11,32.28742599487305
2010-06-14,32.09434509277344
2010-06-15,33.46210479736328
2010-06-16,34.0655517578125
2010-06-17,33.84026336669922
2010-06-18,33.81611633300781
2010-06-21,34.27473068237305
2010-06-22,33.74370193481445
2010-06-23,33.92876052856445
2010-06-24,33.035682678222656
2010-06-25,34.331031799316406
2010-06-28,33.88048553466797
2010-06-29,32.25525665283203
2010-06-30,32.085540771484375
2010-07-01,31.907737731933594
2010-07-02,31.85922622680664
2010-07-06,31.689517974853516
2010-07-07,33.257423400878906
2010-07-08,34.0413703918457
2010-07-09,34.41313934326172
2010-07-12,34.61520004272461
2010-07-13,35.69818878173828
2010-07-14,35.31831741333008
2010-07-15,35.10011291503906
2010-07-16,33.44331741333008
2010-07-19,33.604949951171875
2010-07-20,33.99287414550781
2010-07-21,33.257423400878906
2010-07-22,34.90614700317383
2010-07-23,36.199275970458984
2010-07-26,36.71650695800781
2010-07-27,36.00530242919922
2010-07-28,36.029537200927734
2010-07-29,36.01337814331055
2010-07-30,36.07803726196289
2010-08-02,36.360904693603516
2010-08-03,36.04568862915039
2010-08-04,35.649696350097656
2010-08-05,34.930397033691406
2010-08-06,35.156681060791016
2010-08-09,35.35873794555664
2010-08-10,35.63352584838867
2010-08-11,34.72026062011719
2010-08-12,34.06562042236328
2010-08-13,33.72617721557617
2010-08-16,33.5726203918457
2010-08-17,33.734256744384766
2010-08-18,33.693843841552734
2010-08-19,33.10386657714844
2010-08-20,32.94220733642578
2010-08-23,32.4896240234375
2010-08-24,31.980459213256836
2010-08-25,32.16634750366211
2010-08-26,32.109771728515625
2010-08-27,33.06345748901367
2010-08-30,32.23909378051758
2010-08-31,32.22291564941406
2010-09-01,33.19275665283203
2010-09-02,33.03919982910156
2010-09-03,33.782737731933594
2010-09-07,32.40073013305664
2010-09-08,32.38456726074219
2010-09-09,32.885658264160156
2010-09-10,32.48155212402344
2010-09-13,33.31399917602539
2010-09-14,32.63511276245117
2010-09-15,33.014957427978516
2010-09-16,33.10386657714844
2010-09-17,33.43523406982422
2010-09-20,34.84957504272461
2010-09-21,34.57476806640625
2010-09-22,34.582855224609375
2010-09-23,34.2353630065918
2010-09-24,34.8576545715332
2010-09-27,35.10820388793945
2010-09-28,35.310245513916016
