Date,AFL
2010-01-04,16.31049156188965
2010-01-05,16.783649444580078
2010-01-06,16.93109130859375
2010-01-07,17.112808227539062
2010-01-08,16.941381454467773
2010-01-11,17.387115478515625
2010-01-12,17.29796028137207
2010-01-13,17.486553192138672
2010-01-14,17.71626853942871
2010-01-15,17.524259567260742
2010-01-19,17.86370086669922
2010-01-20,17.537981033325195
2010-01-21,17.304826736450195
2010-01-22,16.835086822509766
2010-01-25,17.205387115478516
2010-01-26,17.047670364379883
2010-01-27,17.07853126525879
2010-01-28,16.865947723388672
2010-01-29,16.60536766052246
2010-02-01,16.862518310546875
2010-02-02,17.04080581665039
2010-02-03,17.46597671508789
2010-02-04,16.560787200927734
2010-02-05,16.337909698486328
2010-02-08,15.755037307739258
2010-02-09,16.13562774658203
2010-02-10,16.152767181396484
2010-02-11,16.335573196411133
2010-02-12,16.259689331054688
2010-02-16,16.642553329467773
2010-02-17,16.81157112121582
2010-02-18,16.84951400756836
2010-02-19,16.91505241394043
2010-02-22,16.942642211914062
2010-02-23,16.601167678833008
2010-02-24,16.92539405822754
2010-02-25,16.9667911529541
2010-02-26,17.056468963623047
2010-03-01,17.25307273864746
2010-03-02,17.225482940673828
2010-03-03,17.304813385009766
2010-03-04,17.442777633666992
2010-03-05,17.767011642456055
2010-03-08,17.83255386352539
2010-03-09,17.677324295043945
2010-03-10,18.098140716552734
2010-03-11,18.153331756591797
2010-03-12,18.17401885986328
2010-03-15,18.20161247253418
2010-03-16,18.522396087646484
2010-03-17,18.846614837646484
2010-03-18,18.908708572387695
2010-03-19,18.660358428955078
2010-03-22,18.57758331298828
2010-03-23,18.45340919494629
2010-03-24,18.505138397216797
2010-03-25,18.353382110595703
2010-03-26,18.44306182861328
2010-03-29,18.505138397216797
2010-03-30,18.553434371948242
2010-03-31,18.72589874267578
2010-04-01,18.88111114501953
2010-04-05,19.150156021118164
2010-04-06,19.301918029785156
2010-04-07,19.067367553710938
2010-04-08,19.1087589263916
2010-04-09,19.232934951782227
2010-04-12,19.163949966430664
2010-04-13,19.132905960083008
2010-04-14,19.50887680053711
2010-04-15,19.132905960083008
2010-04-16,18.77073097229004
2010-04-19,18.82937240600586
2010-04-20,19.081167221069336
2010-04-21,18.88455581665039
2010-04-22,18.832820892333984
2010-04-23,19.132905960083008
2010-04-26,18.877666473388672
2010-04-27,18.077449798583984
2010-04-28,17.118560791015625
2010-04-29,18.04985237121582
2010-04-30,17.57729721069336
2010-05-03,17.739421844482422
2010-05-04,16.839170455932617
2010-05-05,16.604612350463867
2010-05-06,15.963056564331055
2010-05-07,15.269766807556152
2010-05-10,17.15993881225586
2010-05-11,16.88055992126465
2010-05-12,17.259973526000977
2010-05-13,16.701190948486328
2010-05-14,15.831987380981445
2010-05-17,15.953454971313477
2010-05-18,15.620294570922852
2010-05-19,15.387773513793945
2010-05-20,14.443829536437988
2010-05-21,15.058089256286621
2010-05-24,14.652054786682129
2010-05-25,14.745752334594727
2010-05-26,14.83945083618164
2010-05-27,15.904868125915527
2010-05-28,15.373894691467285
2010-06-01,14.967862129211426
2010-06-02,15.491888999938965
2010-06-03,15.429429054260254
2010-06-04,14.343186378479004
2010-06-07,14.048196792602539
2010-06-08,14.492411613464355
2010-06-09,14.305006980895996
2010-06-10,14.846391677856445
2010-06-11,14.849863052368164
2010-06-14,14.745752334594727
2010-06-15,15.401654243469238
2010-06-16,15.276721954345703
2010-06-17,15.183029174804688
2010-06-18,15.408600807189941
2010-06-21,15.425959587097168
2010-06-22,15.189958572387695
2010-06-23,15.065023422241211
2010-06-24,14.815160751342773
2010-06-25,15.127494812011719
2010-06-28,15.540482521057129
2010-06-29,14.700632095336914
2010-06-30,14.80821704864502
2010-07-01,15.030324935913086
2010-07-02,14.964390754699707
2010-07-06,15.117086410522461
2010-07-07,15.77993392944336
2010-07-08,16.37684440612793
2010-07-09,16.685714721679688
2010-07-12,16.6267147064209
2010-07-13,16.963346481323242
2010-07-14,16.800233840942383
2010-07-15,16.789823532104492
2010-07-16,16.05409049987793
2010-07-19,16.14085578918457
2010-07-20,16.612829208374023
2010-07-21,16.26926612854004
2010-07-22,17.299976348876953
2010-07-23,17.52901840209961
2010-07-26,17.71295738220215
2010-07-27,17.59842872619629
2010-07-28,17.18545150756836
2010-07-29,17.282625198364258
2010-07-30,17.070919036865234
2010-08-02,17.695598602294922
2010-08-03,17.286088943481445
2010-08-04,17.716419219970703
2010-08-05,17.79623794555664
2010-08-06,17.612306594848633
2010-08-09,17.865650177001953
2010-08-10,17.6608943939209
2010-08-11,17.161157608032227
2010-08-12,16.890466690063477
2010-08-13,16.574655532836914
2010-08-16,16.602582931518555
2010-08-17,16.850435256958008
2010-08-18,16.77712631225586
2010-08-19,16.253490447998047
2010-08-20,16.277931213378906
2010-08-23,16.13829803466797
2010-08-24,15.778740882873535
2010-08-25,16.03706169128418
2010-08-26,15.974222183227539
2010-08-27,16.693342208862305
2010-08-30,16.22208023071289
2010-08-31,16.494369506835938
2010-09-01,17.30424690246582
2010-09-02,17.461336135864258
2010-09-03,17.782495498657227
2010-09-07,17.42642593383789
2010-09-08,17.4892635345459
2010-09-09,17.66380500793457
2010-09-10,17.72315216064453
2010-09-13,18.218856811523438
2010-09-14,18.236316680908203
2010-09-15,18.11412811279297
2010-09-16,18.100173950195312
2010-09-17,18.075727462768555
2010-09-20,18.714557647705078
2010-09-21,18.557466506958008
2010-09-22,18.145551681518555
2010-09-23,17.614938735961914
2010-09-24,18.274707794189453
2010-09-27,18.128101348876953
2010-09-28,18.316598892211914
