Date,T
2010-01-04,6.896146297454834
2010-01-05,6.862366676330566
2010-01-06,6.794951915740967
2010-01-07,6.718659400939941
2010-01-08,6.6694416999816895
2010-01-11,6.637447357177734
2010-01-12,6.634984016418457
2010-01-13,6.556230545043945
2010-01-14,6.445481777191162
2010-01-15,6.347039699554443
2010-01-19,6.4479451179504395
2010-01-20,6.356888294219971
2010-01-21,6.317508697509766
2010-01-22,6.248598098754883
2010-01-25,6.295360565185547
2010-01-26,6.233833312988281
2010-01-27,6.305205821990967
2010-01-28,6.285516262054443
2010-01-29,6.241214275360107
2010-02-01,6.246138095855713
2010-02-02,6.322430610656738
2010-02-03,6.295360565185547
2010-02-04,6.160003185272217
2010-02-05,6.2116827964782715
2010-02-08,6.147695541381836
2010-02-09,6.216604232788086
2010-02-10,6.18215274810791
2010-02-11,6.1993794441223145
2010-02-12,6.169846534729004
2010-02-16,6.231371879577637
2010-02-17,6.251059055328369
2010-02-18,6.2116827964782715
2010-02-19,6.177228927612305
2010-02-22,6.157543659210205
2010-02-23,6.110782146453857
2010-02-24,6.130468845367432
2010-02-25,6.096014022827148
2010-02-26,6.105857849121094
2010-03-01,6.152618408203125
2010-03-02,6.1230854988098145
2010-03-03,6.125546455383301
2010-03-04,6.14277458190918
2010-03-05,6.150158405303955
2010-03-08,6.22152853012085
2010-03-09,6.290437698364258
2010-03-10,6.280592441558838
2010-03-11,6.300281047821045
2010-03-12,6.305205821990967
2010-03-15,6.344581127166748
2010-03-16,6.361807823181152
2010-03-17,6.374112606048584
2010-03-18,6.413487911224365
2010-03-19,6.457788944244385
2010-03-22,6.497164249420166
2010-03-23,6.534083366394043
2010-03-24,6.462710380554199
2010-03-25,6.435640811920166
2010-03-26,6.457788944244385
2010-03-29,6.52423620223999
2010-03-30,6.386419296264648
2010-03-31,6.359349727630615
2010-04-01,6.425793647766113
2010-04-05,6.475015640258789
2010-04-06,6.475015640258789
2010-04-07,6.448888778686523
2010-04-08,6.5419135093688965
2010-04-09,6.64750862121582
2010-04-12,6.632423400878906
2010-04-13,6.587169170379639
2010-04-14,6.597225666046143
2010-04-15,6.597225666046143
2010-04-16,6.519285202026367
2010-04-19,6.632423400878906
2010-04-20,6.702823162078857
2010-04-21,6.62237024307251
2010-04-22,6.604767322540283
2010-04-23,6.599740982055664
2010-04-26,6.604767322540283
2010-04-27,6.5243144035339355
2010-04-28,6.514257431030273
2010-04-29,6.572082996368408
2010-04-30,6.551969051361084
2010-05-03,6.607280254364014
2010-05-04,6.511743068695068
2010-05-05,6.479059219360352
2010-05-06,6.3206658363342285
2010-05-07,6.310608386993408
2010-05-10,6.453916549682617
2010-05-11,6.44637393951416
2010-05-12,6.491628646850586
2010-05-13,6.471515655517578
2010-05-14,6.386032581329346
2010-05-17,6.479059219360352
2010-05-18,6.433801651000977
2010-05-19,6.428774833679199
2010-05-20,6.27540922164917
2010-05-21,6.24775505065918
2010-05-24,6.1421589851379395
2010-05-25,6.114503383636475
2010-05-26,6.0667314529418945
2010-05-27,6.192442417144775
2010-05-28,6.109472274780273
2010-06-01,6.1170172691345215
2010-06-02,6.230154514312744
2010-06-03,6.2351813316345215
2010-06-04,6.076788902282715
2010-06-07,6.114503383636475
2010-06-08,6.277925491333008
2010-06-09,6.260324954986572
2010-06-10,6.396090030670166
2010-06-11,6.3583760261535645
2010-06-14,6.3282084465026855
2010-06-15,6.421233654022217
2010-06-16,6.416203022003174
2010-06-17,6.428774833679199
2010-06-18,6.3935770988464355
2010-06-21,6.396090030670166
2010-06-22,6.375975608825684
2010-06-23,6.396090030670166
2010-06-24,6.298037528991699
2010-06-25,6.232666492462158
2010-06-28,6.272894859313965
2010-06-29,6.1496992111206055
2010-06-30,6.081816673278809
2010-07-01,6.1195292472839355
2010-07-02,6.106958866119385
2010-07-06,6.137129306793213
2010-07-07,6.259616374969482
2010-07-08,6.321361541748047
2010-07-09,6.388255596160889
2010-07-12,6.390827655792236
2010-07-13,6.419129371643066
2010-07-14,6.421701431274414
2010-07-15,6.431993007659912
2010-07-16,6.352234840393066
2010-07-19,6.401118278503418
2010-07-20,6.377962112426758
2010-07-21,6.411410808563232
2010-07-22,6.563204765319824
2010-07-23,6.5709228515625
2010-07-26,6.678981781005859
2010-07-27,6.727865219116211
2010-07-28,6.740728855133057
2010-07-29,6.694417476654053
2010-07-30,6.673836708068848
2010-08-02,6.841064929962158
2010-08-03,6.866795539855957
2010-08-04,6.853929042816162
2010-08-05,6.879659652709961
2010-08-06,6.82820463180542
2010-08-09,6.910528659820557
2010-08-10,6.949122905731201
2010-08-11,6.8307785987854
2010-08-12,6.859077453613281
2010-08-13,6.874516010284424
2010-08-16,6.856502532958984
2010-08-17,6.938834190368652
2010-08-18,7.01859188079834
2010-08-19,6.938834190368652
2010-08-20,6.805049896240234
2010-08-23,6.8153395652771
2010-08-24,6.874516010284424
2010-08-25,6.918251037597656
2010-08-26,6.869366645812988
2010-08-27,6.931113243103027
2010-08-30,6.851360321044922
2010-08-31,6.954273223876953
2010-09-01,7.036600589752197
2010-09-02,7.049461364746094
2010-09-03,7.059754371643066
2010-09-07,7.016018390655518
2010-09-08,7.046890735626221
2010-09-09,7.154947757720947
2010-09-10,7.16009521484375
2010-09-13,7.185820579528809
2010-09-14,7.185820579528809
2010-09-15,7.206405162811279
2010-09-16,7.232132911682129
2010-09-17,7.2475714683532715
2010-09-20,7.342763900756836
2010-09-21,7.36077356338501
2010-09-22,7.355625629425049
2010-09-23,7.335046768188477
2010-09-24,7.353052616119385
2010-09-27,7.427665710449219
2010-09-28,7.440527439117432
2010-09-29,7.386500835418701
2010-09-30,7.358199596405029
2010-10-01,7.412230491638184
2010-10-04,7.425090312957764
2010-10-05,7.553731918334961
2010-10-06,7.505499362945557
2010-10-07,7.408465385437012
2010-10-08,7.400598526000977
2010-10-11,7.42682409286499
2010-10-12,7.445181846618652
2010-10-13,7.466158866882324
2010-10-14,7.474030494689941
2010-10-15,7.429447650909424
2010-10-18,7.505499362945557
2010-10-19,7.397977828979492
2010-10-20,7.502877712249756
2010-10-21,7.432069778442383
2010-10-22,7.418959140777588
2010-10-25,7.43731689453125
2010-10-26,7.424201965332031
2010-10-27,7.434695243835449
2010-10-28,7.474030494689941
2010-10-29,7.479274749755859
2010-11-01,7.531723976135254
2010-11-02,7.589419841766357
2010-11-03,7.62088680267334
2010-11-04,7.7205400466918945
2010-11-05,7.675959587097168
2010-11-08,7.652358531951904
2010-11-09,7.652358531951904
2010-11-10,7.6182637214660645
2010-11-11,7.560570240020752
2010-11-12,7.463539123535156
2010-11-15,7.50812292098999
2010-11-16,7.405847072601318
2010-11-17,7.33241605758667
2010-11-18,7.458295822143555
2010-11-19,7.42682409286499
2010-11-22,7.418959140777588
2010-11-23,7.350773334503174
2010-11-24,7.379620552062988
2010-11-26,7.324547290802002
2010-11-29,7.264233589172363
2010-11-30,7.287837028503418
2010-12-01,7.4163336753845215
2010-12-02,7.48714017868042
2010-12-03,7.471405506134033
2010-12-06,7.421581745147705
2010-12-07,7.48452091217041
2010-12-08,7.50812292098999
2010-12-09,7.557946681976318
2010-12-10,7.576303482055664
2010-12-13,7.547458648681641
2010-12-14,7.694314479827881
2010-12-15,7.6392436027526855
2010-12-16,7.665470600128174
2010-12-17,7.660223007202148
2010-12-20,7.6392436027526855
2010-12-21,7.6235127449035645
2010-12-22,7.6392436027526855
2010-12-23,7.657602787017822
2010-12-27,7.670715808868408
2010-12-28,7.665470600128174
2010-12-29,7.68644905090332
2010-12-30,7.6916961669921875
2010-12-31,7.704807281494141
2011-01-03,7.780858993530273
2011-01-04,7.835927963256836
2011-01-05,7.862152576446533
2011-01-06,7.792470455169678
2011-01-07,7.712270736694336
2011-01-10,7.575938701629639
2011-01-11,7.460987091064453
2011-01-12,7.495739459991455
2011-01-13,7.506433486938477
2011-01-14,7.5999979972839355
2011-01-18,7.573267459869385
2011-01-19,7.573267459869385
2011-01-20,7.546532154083252
2011-01-21,7.573267459869385
2011-01-24,7.613362789154053
2011-01-25,7.688211917877197
2011-01-26,7.6801934242248535
2011-01-27,7.519798755645752
2011-01-28,7.348711967468262
2011-01-31,7.35673189163208
2011-02-01,7.450295448303223
2011-02-02,7.396833419799805
2011-02-03,7.482372283935547
2011-02-04,7.477027893066406
2011-02-07,7.474354267120361
2011-02-08,7.460987091064453
2011-02-09,7.477027893066406
2011-02-10,7.54920768737793
2011-02-11,7.610687255859375
2011-02-14,7.608016490936279
2011-02-15,7.54920768737793
2011-02-16,7.56524658203125
2011-02-17,7.618709564208984
2011-02-18,7.637422561645508
2011-02-22,7.538512706756592
2011-02-23,7.493064880371094
2011-02-24,7.463659763336182
2011-02-25,7.519798755645752
2011-02-28,7.586629867553711
2011-03-01,7.506433486938477
2011-03-02,7.530496120452881
2011-03-03,7.519798755645752
2011-03-04,7.463659763336182
2011-03-07,7.458317279815674
2011-03-08,7.605340957641602
2011-03-09,7.696231365203857
2011-03-10,7.648116588592529
2011-03-11,7.608016490936279
2011-03-14,7.53584098815918
2011-03-15,7.4342546463012695
2011-03-16,7.305942535400391
2011-03-17,7.4155402183532715
2011-03-18,7.469005584716797
2011-03-21,7.554555892944336
2011-03-22,7.511777400970459
2011-03-23,7.522470474243164
2011-03-24,7.629403591156006
2011-03-25,7.712270736694336
2011-03-28,7.848606586456299
2011-03-29,8.033060073852539
2011-03-30,8.209490776062012
2011-03-31,8.182760238647461
2011-04-01,8.185436248779297
2011-04-04,8.225533485412598
2011-04-05,8.206819534301758
2011-04-06,8.29924488067627
2011-04-07,8.318307876586914
2011-04-08,8.364611625671387
2011-04-11,8.350992202758789
2011-04-12,8.29924488067627
2011-04-13,8.220253944396973
2011-04-14,8.250215530395508
2011-04-15,8.348267555236816
2011-04-18,8.255661964416504
2011-04-19,8.255661964416504
2011-04-20,8.206636428833008
2011-04-21,8.35644245147705
2011-04-25,8.321030616760254
2011-04-26,8.427255630493164
2011-04-27,8.557997703552246
2011-04-28,8.544378280639648
2011-04-29,8.47628402709961
2011-05-02,8.500800132751465
2011-05-03,8.677842140197754
2011-05-04,8.658772468566895
2011-05-05,8.503520011901855
2011-05-06,8.51441764831543
2011-05-09,8.538931846618652
2011-05-10,8.631539344787598
2011-05-11,8.547103881835938
2011-05-12,8.617919921875
2011-05-13,8.555274963378906
2011-05-16,8.459942817687988
2011-05-17,8.47628402709961
2011-05-18,8.49807357788086
2011-05-19,8.552550315856934
