Date,NRG
2010-01-04,17.92295265197754
2010-01-05,18.200769424438477
2010-01-06,18.598722457885742
2010-01-07,18.703845977783203
2010-01-08,18.395992279052734
2010-01-11,18.56869125366211
2010-01-12,18.05059814453125
2010-01-13,18.24581527709961
2010-01-14,18.058107376098633
2010-01-15,18.32090950012207
2010-01-19,18.884050369262695
2010-01-20,18.523635864257812
2010-01-21,18.020566940307617
2010-01-22,18.56869125366211
2010-01-25,18.72637367248535
2010-01-26,18.71135711669922
2010-01-27,18.763912200927734
2010-01-28,18.561185836791992
2010-01-29,18.103158950805664
2010-02-01,17.94548225402832
2010-02-02,17.690189361572266
2010-02-03,17.352306365966797
2010-02-04,16.59394073486328
2010-02-05,16.301101684570312
2010-02-08,16.21100425720215
2010-02-09,16.436254501342773
2010-02-10,16.263565063476562
2010-02-11,16.684036254882812
2010-02-12,16.563901901245117
2010-02-16,16.88677215576172
2010-02-17,16.961851119995117
2010-02-18,16.946847915649414
2010-02-19,17.41987419128418
2010-02-22,17.322265625
2010-02-23,16.714073181152344
2010-02-24,16.413728713989258
2010-02-25,16.571414947509766
2010-02-26,16.398712158203125
2010-03-01,16.954345703125
2010-03-02,17.021923065185547
2010-03-03,16.894277572631836
2010-03-04,16.74410629272461
2010-03-05,17.13455581665039
2010-03-08,17.194623947143555
2010-03-09,17.08199691772461
2010-03-10,16.999399185180664
2010-03-11,17.224660873413086
2010-03-12,16.661510467529297
2010-03-15,16.721582412719727
2010-03-16,16.894277572631836
2010-03-17,16.871749877929688
2010-03-18,16.533872604370117
2010-03-19,16.563901901245117
2010-03-22,16.23352813720703
2010-03-23,16.203495025634766
2010-03-24,15.895642280578613
2010-03-25,15.257407188415527
2010-03-26,15.204854965209961
2010-03-29,15.467649459838867
2010-03-30,15.835573196411133
2010-03-31,15.692906379699707
2010-04-01,16.113386154174805
2010-04-05,16.25604820251465
2010-04-06,16.24854278564453
2010-04-07,16.105880737304688
2010-04-08,16.263565063476562
2010-04-09,16.368675231933594
2010-04-12,16.826702117919922
2010-04-13,16.931819915771484
2010-04-14,16.88677215576172
2010-04-15,17.044450759887695
2010-04-16,16.406225204467773
2010-04-19,16.563901901245117
2010-04-20,16.90929412841797
2010-04-21,16.774141311645508
2010-04-22,16.826702117919922
2010-04-23,17.097007751464844
2010-04-26,17.509981155395508
2010-04-27,17.7052001953125
2010-04-28,17.690189361572266
2010-04-29,17.862886428833008
2010-04-30,18.148212432861328
2010-05-03,18.899070739746094
2010-05-04,18.22330093383789
2010-05-05,17.787796020507812
2010-05-06,17.089506149291992
2010-05-07,16.999399185180664
2010-05-10,16.571414947509766
2010-05-11,16.49632453918457
2010-05-12,17.55503273010254
2010-05-13,17.58506965637207
2010-05-14,17.051958084106445
2010-05-17,17.044450759887695
2010-05-18,16.969362258911133
2010-05-19,16.88677215576172
2010-05-20,16.15092658996582
2010-05-21,16.368675231933594
2010-05-24,16.2185115814209
2010-05-25,16.286083221435547
2010-05-26,16.60144805908203
2010-05-27,17.28472328186035
2010-05-28,17.532508850097656
2010-06-01,16.654006958007812
2010-06-02,17.127038955688477
2010-06-03,17.58506965637207
2010-06-04,16.90178871154785
2010-06-07,16.90929412841797
2010-06-08,16.916807174682617
2010-06-09,16.99189567565918
2010-06-10,17.58506965637207
2010-06-11,17.224660873413086
2010-06-14,17.209638595581055
2010-06-15,17.69768714904785
2010-06-16,17.524999618530273
2010-06-17,17.479944229125977
2010-06-18,17.750253677368164
2010-06-21,17.720226287841797
2010-06-22,16.819196701049805
2010-06-23,16.676523208618164
2010-06-24,16.353666305541992
2010-06-25,16.406225204467773
2010-06-28,16.511343002319336
2010-06-29,15.963214874267578
2010-06-30,15.925674438476562
2010-07-01,15.910655975341797
2010-07-02,15.76799201965332
2010-07-06,16.045806884765625
2010-07-07,16.60144805908203
2010-07-08,16.76663589477539
2010-07-09,16.99189567565918
2010-07-12,17.26970863342285
2010-07-13,17.194623947143555
2010-07-14,17.127038955688477
2010-07-15,17.17209243774414
2010-07-16,16.706567764282227
2010-07-19,16.864238739013672
2010-07-20,16.924314498901367
2010-07-21,16.548892974853516
2010-07-22,16.819196701049805
2010-07-23,17.187114715576172
2010-07-26,17.464927673339844
2010-07-27,17.60008430480957
2010-07-28,17.39735221862793
2010-07-29,16.834213256835938
2010-07-30,17.029436111450195
2010-08-02,17.26970863342285
2010-08-03,17.449914932250977
2010-08-04,17.412370681762695
2010-08-05,17.442401885986328
2010-08-06,17.262197494506836
2010-08-09,17.292232513427734
2010-08-10,17.337284088134766
2010-08-11,16.946847915649414
2010-08-12,16.826702117919922
2010-08-13,16.488819122314453
2010-08-16,16.458782196044922
2010-08-17,16.481307983398438
2010-08-18,16.36117172241211
2010-08-19,15.98574161529541
2010-08-20,15.56525993347168
2010-08-23,15.62533187866211
2010-08-24,15.257407188415527
2010-08-25,15.370047569274902
2010-08-26,15.212355613708496
2010-08-27,15.490185737609863
2010-08-30,15.257407188415527
2010-08-31,15.257407188415527
2010-09-01,15.798033714294434
2010-09-02,16.21100425720215
2010-09-03,16.25604820251465
2010-09-07,15.97072982788086
2010-09-08,16.045806884765625
2010-09-09,16.36117172241211
2010-09-10,16.398712158203125
2010-09-13,16.428747177124023
2010-09-14,16.25604820251465
2010-09-15,16.263565063476562
2010-09-16,16.195985794067383
2010-09-17,16.1734561920166
2010-09-20,15.963214874267578
2010-09-21,15.850586891174316
2010-09-22,15.775498390197754
2010-09-23,15.467649459838867
2010-09-24,15.580281257629395
2010-09-27,15.542736053466797
2010-09-28,15.685397148132324
